energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,1.99618047,0.00929570,0.10659512,0.97416067,0.69835478,0.23315064,0.01977632,0.74136201
-5.99399700,1.99286241,0.00929886,0.11192586,0.99761476,0.70177283,0.22336984,0.01913424,0.72831205
-5.98799400,1.99477814,0.00927382,0.11807213,1.02430651,0.70664854,0.21440786,0.01859040,0.71694985
-5.98199100,2.00199835,0.00922272,0.12499029,1.05405859,0.71295374,0.20634041,0.01815001,0.70742645
-5.97598799,2.01447189,0.00914851,0.13261594,1.08659447,0.72063022,0.19922861,0.01781666,0.69985576
-5.96998499,2.03202056,0.00905495,0.14086396,1.12153718,0.72958918,0.19311830,0.01759229,0.69431078
-5.96398199,2.05433723,0.00894646,0.14962930,1.15841161,0.73971112,0.18803953,0.01747714,0.69082095
-5.95797899,2.08098787,0.00882804,0.15878847,1.19665022,0.75084662,0.18400636,0.01746982,0.68937067
-5.95197599,2.11141735,0.00870510,0.16820167,1.23560236,0.76281780,0.18101688,0.01756728,0.68989925
-5.94597299,2.14495935,0.00858327,0.17771566,1.27454700,0.77542071,0.17905357,0.01776495,0.69230217
-5.93996998,2.18085007,0.00846827,0.18716715,1.31270861,0.78842849,0.17808388,0.01805681,0.69643375
-5.93396698,2.21824550,0.00836564,0.19638673,1.34927577,0.80159550,0.17806096,0.01843553,0.70211111
-5.92796398,2.25624184,0.00828059,0.20520310,1.38342195,0.81466216,0.17892474,0.01889263,0.70911935
-5.92196098,2.29389832,0.00821779,0.21344756,1.41432773,0.82736060,0.18060304,0.01941869,0.71721762
-5.91595798,2.33026194,0.00818118,0.22095852,1.44120374,0.83942083,0.18301289,0.02000351,0.72614611
-5.90995498,2.36439303,0.00817380,0.22758594,1.46331346,0.85057735,0.18606194,0.02063634,0.73563347
-5.90395198,2.39539095,0.00819764,0.23319542,1.47999505,0.86057606,0.18964994,0.02130615,0.74540451
-5.89794897,2.42241885,0.00825359,0.23767192,1.49068128,0.86918101,0.19367028,0.02200178,0.75518788
-5.89194597,2.44472673,0.00834131,0.24092292,1.49491692,0.87618105,0.19801166,0.02271225,0.76472342
-5.88594297,2.46167180,0.00845920,0.24288077,1.49237276,0.88139584,0.20255970,0.02342689,0.77376896
-5.87993997,2.47273544,0.00860450,0.24350441,1.48285581,0.88468118,0.20719864,0.02413559,0.78210624
-5.87393697,2.47753616,0.00877326,0.24278016,1.46631511,0.88593327,0.21181315,0.02482894,0.78954588
-5.86793397,2.47583793,0.00896052,0.24072164,1.44284320,0.88509180,0.21629003,0.02549841,0.79593106
-5.86193097,2.46755369,0.00916043,0.23736888,1.41267282,0.88214159,0.22052008,0.02613638,0.80113998
-5.85592796,2.45274391,0.00936644,0.23278663,1.37616942,0.87711287,0.22439987,0.02673630,0.80508686
-5.84992496,2.43161024,0.00957155,0.22706193,1.33381938,0.87007987,0.22783358,0.02729264,0.80772165
-5.84392196,2.40448456,0.00976852,0.22030107,1.28621484,0.86115802,0.23073468,0.02780092,0.80902833
-5.83791896,2.37181399,0.00995014,0.21262614,1.23403550,0.85049964,0.23302761,0.02825767,0.80902208
-5.83191596,2.33414238,0.01010948,0.20417116,1.17802823,0.83828843,0.23464924,0.02866032,0.80774537
-5.82591296,2.29208924,0.01024015,0.19507813,1.11898541,0.82473285,0.23555013,0.02900711,0.80526319
-5.81990995,2.24632684,0.01033650,0.18549303,1.05772266,0.81005879,0.23569555,0.02929697,0.80165775
-5.81390695,2.19755671,0.01039384,0.17556200,0.99505703,0.79450176,0.23506614,0.02952932,0.79702280
-5.80790395,2.14648624,0.01040856,0.16542777,0.93178622,0.77829900,0.23365829,0.02970401,0.79145792
-5.80190095,2.09380660,0.01037829,0.15522655,0.86866976,0.76168182,0.23148405,0.02982110,0.78506314
-5.79589795,2.04017280,0.01030190,0.14508537,0.80641256,0.74486852,0.22857071,0.02988076,0.77793394
-5.78989495,1.98618661,0.01017956,0.13512009,0.74565143,0.72805829,0.22495998,0.02988316,0.77015712
-5.78389195,1.93238319,0.01001267,0.12543393,0.68694485,0.71142626,0.22070681,0.02982839,0.76180758
-5.77788894,1.87922164,0.00980375,0.11611669,0.63076600,0.69511992,0.21587790,0.02971641,0.75294627
-5.77188594,1.82708000,0.00955635,0.10724461,0.57749936,0.67925721,0.21055000,0.02954705,0.74361926
-5.76588294,1.77625452,0.00927484,0.09888071,0.52744041,0.66392610,0.20480797,0.02932002,0.73385814
-5.75987994,1.72696330,0.00896426,0.09107572,0.48079834,0.64918594,0.19874284,0.02903499,0.72368156
-5.75387694,1.67935367,0.00863006,0.08386940,0.43770138,0.63507017,0.19244975,0.02869167,0.71309792
-5.74787394,1.63351304,0.00827794,0.07729216,0.39820429,0.62159052,0.18602606,0.02828993,0.70210890
-5.74187094,1.58948232,0.00791361,0.07136695,0.36229740,0.60874220,0.17956949,0.02782996,0.69071384
-5.73586793,1.54727117,0.00754264,0.06611117,0.32991687,0.59651000,0.17317653,0.02731237,0.67891438
-5.72986493,1.50687422,0.00717024,0.06153865,0.30095545,0.58487474,0.16694094,0.02673838,0.66671945
-5.72386193,1.46828724,0.00680119,0.05766149,0.27527337,0.57381983,0.16095261,0.02610989,0.65414994
-5.71785893,1.43152240,0.00643969,0.05449169,0.25270880,0.56333763,0.15529645,0.02542966,0.64124298
-5.71185593,1.39662170,0.00608932,0.05204251,0.23308761,0.55343498,0.15005166,0.02470133,0.62805551
-5.70585293,1.36366777,0.00575298,0.05032949,0.21623194,0.54413784,0.14529091,0.02392947,0.61466675
-5.69984992,1.33279150,0.00543293,0.04937109,0.20196752,0.53549464,0.14107981,0.02311960,0.60117955
-5.69384692,1.30417591,0.00513081,0.04918886,0.19012944,0.52757801,0.13747625,0.02227817,0.58772032
-5.68784392,1.27805605,0.00484766,0.04980726,0.18056637,0.52048500,0.13452984,0.02141241,0.57443762
-5.68184092,1.25471478,0.00458402,0.05125298,0.17314315,0.51433541,0.13228119,0.02053025,0.56149925
-5.67583792,1.23447472,0.00434001,0.05355392,0.16774193,0.50926857,0.13076119,0.01964019,0.54908807
-5.66983492,1.21768654,0.00411538,0.05673779,0.16426181,0.50543841,0.12999013,0.01875103,0.53739658
-5.66383192,1.20471425,0.00390963,0.06083042,0.16261734,0.50300732,0.12997679,0.01787175,0.52662068
-5.65782891,1.19591819,0.00372207,0.06585383,0.16273598,0.50213873,0.13071752,0.01701123,0.51695262
-5.65182591,1.19163656,0.00355189,0.07182418,0.16455466,0.50298918,0.13219527,0.01617806,0.50857374
-5.64582291,1.19216638,0.00339819,0.07874959,0.16801598,0.50569985,0.13437887,0.01538029,0.50164721
-5.63981991,1.19774494,0.00326006,0.08662807,0.17306392,0.51038829,0.13722239,0.01462529,0.49631118
-5.63381691,1.20853265,0.00313659,0.09544553,0.17963965,0.51714065,0.14066486,0.01391952,0.49267266
-5.62781391,1.22459816,0.00302688,0.10517397,0.18767740,0.52600471,0.14463045,0.01326843,0.49080248
-5.62181091,1.24590660,0.00293006,0.11577001,0.19710078,0.53698433,0.14902902,0.01267631,0.49073156
-5.61580790,1.27231148,0.00284526,0.12717381,0.20781960,0.55003525,0.15375729,0.01214626,0.49244872
-5.60980490,1.30355078,0.00277167,0.13930835,0.21972745,0.56506283,0.15870054,0.01168016,0.49590003
-5.60380190,1.33924723,0.00270845,0.15207933,0.23270003,0.58192152,0.16373493,0.01127865,0.50098986
-5.59779890,1.37891304,0.00265477,0.16537543,0.24659437,0.60041629,0.16873027,0.01094120,0.50758344
-5.59179590,1.42195852,0.00260981,0.17906932,0.26124897,0.62030582,0.17355336,0.01066619,0.51551078
-5.58579290,1.46770442,0.00257271,0.19301901,0.27648475,0.64130739,0.17807152,0.01045099,0.52457180
-5.57978989,1.51539717,0.00254262,0.20706987,0.29210698,0.66310305,0.18215648,0.01029208,0.53454225
-5.57378689,1.56422637,0.00251865,0.22105704,0.30790792,0.68534697,0.18568820,0.01018523,0.54518027
-5.56778389,1.61334378,0.00249992,0.23480833,0.32367007,0.70767347,0.18855860,0.01012554,0.55623301
-5.56178089,1.66188278,0.00248554,0.24814737,0.33917018,0.72970543,0.19067506,0.01010768,0.56744328
-5.55577789,1.70897781,0.00247462,0.26089711,0.35418350,0.75106278,0.19196328,0.01012593,0.57855570
-5.54977489,1.75378286,0.00246632,0.27288343,0.36848848,0.77137063,0.19236979,0.01017434,0.58932226
-5.54377189,1.79548856,0.00245978,0.28393881,0.38187161,0.79026697,0.19186354,0.01024681,0.59950713
-5.53776888,1.83333744,0.00245420,0.29390595,0.39413224,0.80740952,0.19043686,0.01033721,0.60889054
-5.53176588,1.86663715,0.00244884,0.30264128,0.40508741,0.82248182,0.18810558,0.01043941,0.61727185
-5.52576288,1.89477154,0.00244301,0.31001816,0.41457642,0.83519836,0.18490838,0.01054738,0.62447183
-5.51975988,1.91720972,0.00243605,0.31592980,0.42246504,0.84530877,0.18090543,0.01065523,0.63033430
-5.51375688,1.93351325,0.00242744,0.32029174,0.42864944,0.85260123,0.17617646,0.01075729,0.63472732
-5.50775388,1.94334175,0.00241668,0.32304388,0.43305948,0.85690510,0.17081827,0.01084810,0.63754402
-5.50175088,1.94645731,0.00240343,0.32415192,0.43566152,0.85809289,0.16494199,0.01092254,0.63870354
-5.49574787,1.94272789,0.00238742,0.32360835,0.43646051,0.85608179,0.15867012,0.01097585,0.63815192
-5.48974487,1.93212999,0.00236856,0.32143277,0.43550145,0.85083479,0.15213354,0.01100371,0.63586329
-5.48374187,1.91475085,0.00234691,0.31767163,0.43287003,0.84236139,0.14546868,0.01100232,0.63184139
-5.47773887,1.89079005,0.00232274,0.31239747,0.42869246,0.83071817,0.13881487,0.01096849,0.62612133
-5.47173587,1.86056059,0.00229656,0.30570755,0.42313454,0.81600897,0.13231208,0.01089970,0.61877164
-5.46573287,1.82448932,0.00226916,0.29772200,0.41639976,0.79838479,0.12609899,0.01079425,0.60989637
-5.45972986,1.78311619,0.00224167,0.28858151,0.40872657,0.77804327,0.12031154,0.01065129,0.59963710
-5.45372686,1.73709242,0.00221561,0.27844460,0.40038480,0.75522767,0.11508185,0.01047093,0.58817460
-5.44772386,1.68717676,0.00219292,0.26748465,0.39167120,0.73022524,0.11053745,0.01025431,0.57572989
-5.44172086,1.63422998,0.00217604,0.25588653,0.38290412,0.70336484,0.10680091,0.01000361,0.56256445
-5.43571786,1.57920686,0.00216794,0.24384323,0.37441757,0.67501376,0.10398958,0.00972210,0.54897940
-5.42971486,1.52314582,0.00217216,0.23155225,0.36655451,0.64557368,0.10221549,0.00941413,0.53531333
-5.42371186,1.46715590,0.00219286,0.21921210,0.35965972,0.61547569,0.10158524,0.00908508,0.52193884
-5.41770885,1.41240123,0.00223478,0.20701880,0.35407220,0.58517453,0.10219978,0.00874130,0.50925764
-5.41170585,1.36008306,0.00230333,0.19516254,0.35011740,0.55514191,0.10415403,0.00839001,0.49769423
-5.40570285,1.31141985,0.00240448,0.18382460,0.34809944,0.52585931,0.10753619,0.00803917,0.48768834
-5.39969985,1.26762554,0.00254476,0.17317445,0.34829353,0.49781019,0.11242683,0.00769733,0.47968622
-5.39369685,1.22988684,0.00273120,0.16336725,0.35093868,0.47147185,0.11889748,0.00737345,0.47413110
-5.38769385,1.19933985,0.00297120,0.15454167,0.35623120,0.44730723,0.12700903,0.00707674,0.47145302
-5.38169085,1.17704681,0.00327243,0.14681810,0.36431883,0.42575676,0.13680971,0.00681641,0.47205841
-5.37568784,1.16397342,0.00364262,0.14029719,0.37529603,0.40723049,0.14833280,0.00660149,0.47631967
-5.36968484,1.16096749,0.00408945,0.13505890,0.38920035,0.39210074,0.16159412,0.00644063,0.48456521
-5.36368184,1.16873934,0.00462023,0.13116182,0.40601023,0.38069526,0.17658945,0.00634190,0.49707000
-5.35767884,1.18784455,0.00524174,0.12864291,0.42564412,0.37329134,0.19329184,0.00631257,0.51404722
-5.35167584,1.21866929,0.00595991,0.12751757,0.44796114,0.37011062,0.21164918,0.00635896,0.53564103
-5.34567284,1.26141890,0.00677956,0.12778009,0.47276332,0.37131501,0.23158186,0.00648628,0.56192068
-5.33966983,1.31610962,0.00770413,0.12940428,0.49979913,0.37700357,0.25298098,0.00669849,0.59287626
-5.33366683,1.38256396,0.00873538,0.13234449,0.52876863,0.38721046,0.27570698,0.00699818,0.62841605
-5.32766383,1.46040972,0.00987314,0.13653679,0.55932968,0.40190403,0.29958905,0.00738648,0.66836563
-5.32166083,1.54908276,0.01111510,0.14190044,0.59110534,0.42098701,0.32442531,0.00786303,0.71246874
-5.31565783,1.64783348,0.01245663,0.14833946,0.62369213,0.44429781,0.34998386,0.00842596,0.76038988
-5.30965483,1.75573704,0.01389061,0.15574450,0.65666889,0.47161297,0.37600487,0.00907185,0.81171866
-5.30365183,1.87170709,0.01540743,0.16399471,0.68960598,0.50265063,0.40220369,0.00979583,0.86597574
-5.29764882,1.99451280,0.01699499,0.17295991,0.72207452,0.53707512,0.42827500,0.01059165,0.92262019
-5.29164582,2.12279896,0.01863876,0.18250266,0.75365548,0.57450250,0.45389791,0.01145174,0.98105831
-5.28564282,2.25510865,0.02032204,0.19248059,0.78394816,0.61450702,0.47874198,0.01236741,1.04065341
-5.27963982,2.38990811,0.02202614,0.20274863,0.81257795,0.65662830,0.50247395,0.01332899,1.10073662
