energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
4.61930965,2.42059652,3.15602566,0.01041434,0.02419807,0.32547966,0.54941448,0.00000000
4.62531266,2.44893291,3.17576694,0.01047038,0.02475233,0.33324433,0.58189180,0.00000000
4.63131566,2.47724971,3.19333483,0.01052478,0.02545144,0.34160560,0.62017792,0.00000000
4.63731866,2.50590649,3.20902633,0.01057722,0.02629942,0.35066167,0.66451073,0.00000000
4.64332166,2.53537365,3.22329656,0.01062781,0.02729846,0.36052203,0.71506491,0.00000000
4.64932466,2.56620378,3.23673297,0.01067707,0.02844855,0.37130128,0.77193400,0.00000000
4.65532766,2.59899786,3.25002471,0.01072583,0.02974698,0.38311225,0.83511234,0.00000000
4.66133067,2.63436830,3.26392858,0.01077515,0.03118802,0.39605857,0.90447773,0.00000000
4.66733367,2.67290041,3.27923341,0.01082621,0.03276264,0.41022718,0.97977587,0.00000000
4.67333667,2.71511445,3.29672439,0.01088026,0.03445837,0.42568107,1.06060758,0.00000000
4.67933967,2.76142988,3.31714871,0.01093847,0.03625927,0.44245261,1.14641965,0.00000000
4.68534267,2.81213363,3.34118387,0.01100189,0.03814607,0.46053790,1.23650034,0.00000000
4.69134567,2.86735385,3.36940952,0.01107136,0.04009642,0.47989235,1.32998015,0.00000000
4.69734867,2.92704029,3.40228362,0.01114745,0.04208530,0.50042769,1.42583840,0.00000000
4.70335168,2.99095205,3.44012320,0.01123045,0.04408552,0.52201075,1.52291584,0.00000000
4.70935468,3.05865318,3.48309003,0.01132030,0.04606838,0.54446391,1.61993340,0.00000000
4.71535768,3.12951620,3.53118110,0.01141661,0.04800435,0.56756734,1.71551658,0.00000000
4.72136068,3.20273314,3.58422358,0.01151864,0.04986386,0.59106293,1.80822501,0.00000000
4.72736368,3.27733348,3.64187425,0.01162535,0.05161809,0.61465980,1.89658631,0.00000000
4.73336668,3.35220817,3.70362270,0.01173537,0.05323970,0.63804113,1.97913292,0.00000000
4.73936968,3.42613839,3.76879823,0.01184707,0.05470365,0.66087208,2.05444083,0.00000000
4.74537269,3.49782805,3.83657993,0.01195856,0.05598776,0.68280851,2.12116853,0.00000000
4.75137569,3.56593851,3.90600986,0.01206774,0.05707338,0.70350618,2.17809476,0.00000000
4.75737869,3.62912424,3.97600891,0.01217233,0.05794574,0.72263002,2.22415346,0.00000000
4.76338169,3.68606823,4.04539536,0.01226992,0.05859435,0.73986323,2.25846456,0.00000000
4.76938469,3.73551591,4.11290600,0.01235798,0.05901310,0.75491586,2.28035930,0.00000000
4.77538769,3.77630657,4.17721947,0.01243391,0.05920034,0.76753249,2.28939913,0.00000000
4.78139070,3.80740149,4.23698199,0.01249505,0.05915871,0.77749894,2.28538730,0.00000000
4.78739370,3.82790816,4.29083490,0.01253879,0.05889494,0.78464761,2.26837289,0.00000000
4.79339670,3.83710005,4.33744389,0.01256252,0.05841950,0.78886146,2.23864715,0.00000000
4.79939970,3.83443169,4.37552932,0.01256374,0.05774611,0.79007637,2.19673230,0.00000000
4.80540270,3.81954896,4.40389707,0.01254009,0.05689127,0.78828203,2.14336362,0.00000000
4.81140570,3.79229472,4.42146918,0.01248939,0.05587365,0.78352123,2.07946549,0.00000000
4.81740870,3.75270976,4.42731345,0.01240972,0.05471358,0.77588759,2.00612256,0.00000000
4.82341171,3.70102948,4.42067106,0.01229946,0.05343241,0.76552206,1.92454732,0.00000000
4.82941471,3.63767669,4.40098120,0.01215737,0.05205198,0.75260817,1.83604550,0.00000000
4.83541771,3.56325079,4.36790201,0.01198263,0.05059414,0.73736621,1.74198050,0.00000000
4.84142071,3.47851398,4.32132664,0.01177489,0.04908025,0.72004683,1.64373848,0.00000000
4.84742371,3.38437483,4.26139398,0.01153434,0.04753084,0.70092398,1.54269503,0.00000000
4.85342671,3.28186982,4.18849333,0.01126172,0.04596525,0.68028770,1.44018482,0.00000000
4.85942971,3.17214336,4.10326278,0.01095837,0.04440142,0.65843700,1.33747479,0.00000000
4.86543272,3.05642672,4.00658106,0.01062622,0.04285572,0.63567296,1.23574177,0.00000000
4.87143572,2.93601653,3.89955304,0.01026781,0.04134280,0.61229244,1.13605481,0.00000000
4.87743872,2.81225310,3.78348937,0.00988624,0.03987563,0.58858254,1.03936246,0.00000000
4.88344172,2.68649929,3.65988062,0.00948515,0.03846542,0.56481594,0.94648482,0.00000000
4.88944472,2.56012008,3.53036699,0.00906866,0.03712170,0.54124738,0.85811023,0.00000000
4.89544772,2.43446336,3.39670432,0.00864131,0.03585242,0.51811112,0.77479617,0.00000000
4.90145073,2.31084215,3.26072760,0.00820796,0.03466403,0.49561970,0.69697371,0.00000000
4.90745373,2.19051858,3.12431304,0.00777371,0.03356160,0.47396360,0.62495498,0.00000000
4.91345673,2.07468959,2.98933985,0.00734379,0.03254897,0.45331194,0.55894292,0.00000000
4.91945973,1.96447465,2.85765272,0.00692346,0.03162884,0.43381406,0.49904269,0.00000000
4.92546273,1.86090525,2.73102601,0.00651790,0.03080292,0.41560162,0.44527395,0.00000000
4.93146573,1.76491627,2.61113057,0.00613211,0.03007205,0.39879111,0.39758346,0.00000000
4.93746873,1.67733895,2.49950365,0.00577082,0.02943630,0.38348658,0.35585752,0.00000000
4.94347174,1.59889531,2.39752266,0.00543837,0.02889506,0.36978218,0.31993367,0.00000000
4.94947474,1.53019375,2.30638300,0.00513866,0.02844717,0.35776438,0.28961133,0.00000000
4.95547774,1.47172570,2.22708013,0.00487508,0.02809094,0.34751365,0.26466123,0.00000000
4.96148074,1.42386295,2.16039615,0.00465042,0.02782427,0.33910538,0.24483334,0.00000000
4.96748374,1.38685567,2.10689060,0.00446687,0.02764465,0.33260991,0.22986327,0.00000000
4.97348674,1.36083090,2.06689565,0.00432598,0.02754927,0.32809167,0.21947726,0.00000000
4.97948974,1.34579158,2.04051546,0.00422860,0.02753502,0.32560730,0.21339574,0.00000000
4.98549275,1.34161622,2.02762948,0.00417497,0.02759852,0.32520292,0.21133575,0.00000000
4.99149575,1.34805936,2.02789981,0.00416463,0.02773617,0.32691065,0.21301234,0.00000000
4.99749875,1.36475319,2.04078243,0.00419652,0.02794419,0.33074452,0.21813924,0.00000000
5.00350175,1.39121072,2.06554214,0.00426897,0.02821859,0.33669604,0.22642913,0.00000000
5.00950475,1.42683078,2.10127145,0.00437979,0.02855524,0.34472981,0.23759365,0.00000000
5.01550775,1.47090557,2.14691311,0.00452628,0.02894985,0.35477925,0.25134359,0.00000000
5.02151076,1.52263086,2.20128636,0.00470534,0.02939806,0.36674306,0.26738932,0.00000000
5.02751376,1.58111943,2.26311664,0.00491351,0.02989539,0.38048251,0.28544178,0.00000000
5.03351676,1.64541777,2.33106856,0.00514712,0.03043735,0.39581994,0.30521412,0.00000000
5.03951976,1.71452619,2.40378160,0.00540231,0.03101943,0.41253872,0.32642402,0.00000000
5.04552276,1.78742204,2.47990783,0.00567522,0.03163718,0.43038479,0.34879683,0.00000000
5.05152576,1.86308563,2.55815096,0.00596201,0.03228628,0.44907005,0.37206925,0.00000000
5.05752876,1.94052825,2.63730542,0.00625905,0.03296259,0.46827733,0.39599361,0.00000000
5.06353177,2.01882121,2.71629429,0.00656297,0.03366225,0.48766720,0.42034238,0.00000000
5.06953477,2.09712482,2.79420457,0.00687079,0.03438176,0.50688618,0.44491272,0.00000000
5.07553777,2.17471595,2.87031825,0.00718000,0.03511803,0.52557623,0.46953079,0.00000000
5.08154077,2.25101282,2.94413753,0.00748866,0.03586853,0.54338512,0.49405532,0.00000000
5.08754377,2.32559544,3.01540273,0.00779542,0.03663131,0.55997727,0.51838031,0.00000000
5.09354677,2.39822043,3.08410156,0.00809959,0.03740505,0.57504459,0.54243650,0.00000000
5.09954977,2.46882897,3.15046856,0.00840112,0.03818909,0.58831682,0.56619119,0.00000000
5.10555278,2.53754691,3.21497421,0.00870060,0.03898347,0.59957089,0.58964657,0.00000000
5.11155578,2.60467656,3.27830333,0.00899918,0.03978883,0.60863890,0.61283608,0.00000000
5.11755878,2.67067980,3.34132319,0.00929853,0.04060635,0.61541416,0.63581925,0.00000000
5.12356178,2.73615305,3.40504220,0.00960067,0.04143768,0.61985518,0.65867479,0.00000000
5.12956478,2.80179467,3.47056045,0.00990790,0.04228472,0.62198719,0.68149245,0.00000000
5.13556778,2.86836621,3.53901432,0.01022257,0.04314950,0.62190129,0.70436397,0.00000000
5.14157079,2.93664902,3.61151718,0.01054700,0.04403394,0.61975103,0.72737354,0.00000000
5.14757379,3.00739845,3.68909914,0.01088321,0.04493968,0.61574678,0.75058829,0.00000000
5.15357679,3.08129768,3.77264857,0.01123283,0.04586784,0.61014800,0.77404954,0.00000000
5.15957979,3.15891372,3.86285829,0.01159691,0.04681885,0.60325383,0.79776514,0.00000000
