energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,5.53532257,0.33370684,0.02499565,1.83764437,5.25412242,0.00260476,0.04966808
-5.99399700,5.64393586,0.34244853,0.02532966,1.87516351,5.35536354,0.00259397,0.05184280
-5.98799400,5.74236448,0.35071330,0.02560179,1.90939866,5.44709307,0.00257924,0.05398693
-5.98199100,5.82873734,0.35837987,0.02580693,1.93972335,5.52752819,0.00256066,0.05607230
-5.97598799,5.90122228,0.36532136,0.02594035,1.96554852,5.59491575,0.00253839,0.05806937
-5.96998499,5.95808738,0.37140829,0.02599787,1.98634240,5.64759168,0.00251262,0.05994791
-5.96398199,5.99776128,0.37651218,0.02597608,2.00164846,5.68403984,0.00248359,0.06167760
-5.95797899,6.01888967,0.38050927,0.02587250,2.01110052,5.70294719,0.00245162,0.06322888
-5.95197599,6.02038488,0.38328455,0.02568576,2.01443421,5.70325264,0.00241707,0.06457360
-5.94597299,6.00146635,0.38473554,0.02541567,2.01149431,5.68418703,0.00238033,0.06568579
-5.93996998,5.96168987,0.38477602,0.02506333,2.00223743,5.64530253,0.00234185,0.06654239
-5.93396698,5.90096432,0.38333924,0.02463113,1.98673025,5.58648997,0.00230209,0.06712382
-5.92796398,5.81955542,0.38038070,0.02412271,1.96514334,5.50798359,0.00226151,0.06741460
-5.92196098,5.71807651,0.37588012,0.02354289,1.93774105,5.41035328,0.00222056,0.06740372
-5.91595798,5.59746716,0.36984284,0.02289754,1.90486835,5.29448503,0.00217962,0.06708500
-5.90995498,5.45896125,0.36230027,0.02219342,1.86693514,5.16155092,0.00213905,0.06645726
-5.90395198,5.30404611,0.35330955,0.02143797,1.82439931,5.01297052,0.00209910,0.06552438
-5.89794897,5.13441538,0.34295246,0.02063910,1.77774931,4.85036578,0.00205994,0.06429520
-5.89194597,4.95191778,0.33133353,0.01980496,1.72748730,4.67551194,0.00202164,0.06278330
-5.88594297,4.75850452,0.31857745,0.01894376,1.67411376,4.49028667,0.00198413,0.06100666
-5.87993997,4.55617757,0.30482604,0.01806349,1.61811414,4.29662003,0.00194728,0.05898720
-5.87393697,4.34694114,0.29023465,0.01717182,1.55994836,4.09644703,0.00191080,0.05675024
-5.86793397,4.13275793,0.27496838,0.01627592,1.50004316,3.89166483,0.00187434,0.05432387
-5.86193097,3.91551172,0.25919812,0.01538231,1.43878768,3.68409571,0.00183748,0.05173829
-5.85592796,3.69697696,0.24309659,0.01449683,1.37653199,3.47545680,0.00179974,0.04902507
-5.84992496,3.47879587,0.22683452,0.01362458,1.31358838,3.26733701,0.00176062,0.04621650
-5.84392196,3.26246296,0.21057713,0.01276992,1.25023481,3.06118100,0.00171963,0.04334483
-5.83791896,3.04931644,0.19448093,0.01193648,1.18672014,2.85828005,0.00167631,0.04044164
-5.83191596,2.84053584,0.17869104,0.01112721,1.12327033,2.65976888,0.00163027,0.03753723
-5.82591296,2.63714476,0.16333893,0.01034448,1.06009505,2.46662767,0.00158121,0.03466005
-5.81990995,2.44001768,0.14854088,0.00959013,0.99739404,2.27968813,0.00152894,0.03183630
-5.81390695,2.24988956,0.13439686,0.00886554,0.93536274,2.09964257,0.00147342,0.02908947
-5.80790395,2.06736733,0.12099005,0.00817177,0.87419669,1.92705483,0.00141471,0.02644017
-5.80190095,1.89294207,0.10838696,0.00750957,0.81409446,1.76237225,0.00135305,0.02390588
-5.79589795,1.72700113,0.09663794,0.00687951,0.75525894,1.60593772,0.00128884,0.02150087
-5.78989495,1.56983968,0.08577824,0.00628200,0.69789700,1.45800124,0.00122258,0.01923628
-5.78389195,1.42167114,0.07582936,0.00571734,0.64221758,1.31873062,0.00115493,0.01712013
-5.77788894,1.28263635,0.06680074,0.00518575,0.58842860,1.18822100,0.00108667,0.01515757
-5.77188594,1.15281145,0.05869169,0.00468741,0.53673278,1.06650315,0.00101867,0.01335103
-5.76588294,1.03221460,0.05149339,0.00422242,0.48732299,0.95355061,0.00095188,0.01170059
-5.75987994,0.92081173,0.04519102,0.00379085,0.44037734,0.84928590,0.00088730,0.01020425
-5.75387694,0.81852155,0.03976575,0.00339271,0.39605447,0.75358590,0.00082599,0.00885830
-5.74787394,0.72522022,0.03519678,0.00302793,0.35448935,0.66628682,0.00076902,0.00765766
-5.74187094,0.64074582,0.03146310,0.00269638,0.31578991,0.58718884,0.00071746,0.00659631
-5.73586793,0.56490282,0.02854512,0.00239782,0.28003467,0.51606076,0.00067236,0.00566758
-5.72986493,0.49746685,0.02642596,0.00213193,0.24727148,0.45264464,0.00063476,0.00486454
-5.72386193,0.43818954,0.02509253,0.00189830,0.21751744,0.39666068,0.00060565,0.00418031
-5.71785893,0.38680366,0.02453622,0.00169642,0.19075990,0.34781218,0.00058598,0.00360838
-5.71185593,0.34302826,0.02475329,0.00152568,0.16695856,0.30579057,0.00057666,0.00314285
-5.70585293,0.30657381,0.02574491,0.00138540,0.14604823,0.27028036,0.00057850,0.00277865
-5.69984992,0.27714693,0.02751685,0.00127481,0.12794235,0.24096394,0.00059229,0.00251178
-5.69384692,0.25445469,0.03007884,0.00119308,0.11253685,0.21752589,0.00061872,0.00233939
-5.68784392,0.23820816,0.03344363,0.00113932,0.09971415,0.19965669,0.00065839,0.00225993
-5.68184092,0.22812499,0.03762580,0.00111258,0.08934707,0.18705579,0.00071183,0.00227316
-5.67583792,0.22393104,0.04264028,0.00111184,0.08130253,0.17943367,0.00077945,0.00238017
-5.66983492,0.22536075,0.04850074,0.00113608,0.07544476,0.17651299,0.00086155,0.00258330
-5.66383192,0.23215651,0.05521785,0.00118416,0.07163803,0.17802883,0.00095830,0.00288606
-5.65782891,0.24406682,0.06279739,0.00125494,0.06974860,0.18372789,0.00106972,0.00329291
-5.65182591,0.26084362,0.07123853,0.00134718,0.06964625,0.19336689,0.00119568,0.00380908
-5.64582291,0.28223887,0.08053199,0.00145956,0.07120490,0.20671037,0.00133585,0.00444025
-5.63981991,0.30800067,0.09065854,0.00159070,0.07430286,0.22352788,0.00148975,0.00519226
-5.63381691,0.33786923,0.10158759,0.00173909,0.07882247,0.24359102,0.00165667,0.00607068
-5.62781391,0.37157311,0.11327617,0.00190314,0.08464933,0.26667056,0.00183572,0.00708044
-5.62181091,0.40882597,0.12566825,0.00208115,0.09167139,0.29253380,0.00202580,0.00822538
-5.61580790,0.44932429,0.13869448,0.00227134,0.09977782,0.32094258,0.00222560,0.00950785
-5.60980490,0.49274634,0.15227249,0.00247179,0.10885802,0.35165218,0.00243366,0.01092825
-5.60380190,0.53875275,0.16630760,0.00268055,0.11880074,0.38441135,0.00264834,0.01248469
-5.59779890,0.58698881,0.18069421,0.00289559,0.12949359,0.41896353,0.00286787,0.01417264
-5.59179590,0.63708877,0.19531764,0.00311487,0.14082297,0.45504963,0.00309039,0.01598473
-5.58579290,0.68868209,0.21005658,0.00333636,0.15267450,0.49241212,0.00331400,0.01791058
-5.57978989,0.74140168,0.22478600,0.00355808,0.16493409,0.53080069,0.00353681,0.01993687
-5.57378689,0.79489387,0.23938050,0.00377818,0.17748957,0.56997906,0.00375700,0.02204738
-5.56778389,0.84882983,0.25371807,0.00399496,0.19023289,0.60973291,0.00397288,0.02422340
