energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,2.43814371,0.33269451,1.80277840,0.01086475,0.02470672,0.18533369,0.83932276,0.00000000
-5.99399700,2.51395467,0.33184380,1.88427733,0.01100388,0.02429978,0.17949864,0.85004116,0.00000000
-5.98799400,2.59558897,0.33199640,1.97004115,0.01111504,0.02407231,0.17402614,0.86259209,0.00000000
-5.98199100,2.68146787,0.33294846,2.05882290,0.01119644,0.02400199,0.16891435,0.87646001,0.00000000
-5.97598799,2.76981702,0.33448069,2.14919592,0.01124662,0.02406692,0.16414898,0.89108419,0.00000000
-5.96998499,2.85870011,0.33636416,2.23957828,0.01126450,0.02424602,0.15970407,0.90587236,0.00000000
-5.96398199,2.94606156,0.33836647,2.32826546,0.01124934,0.02451949,0.15554334,0.92021635,0.00000000
-5.95797899,3.02977718,0.34025816,2.41347058,0.01120072,0.02486943,0.15162204,0.93350931,0.00000000
-5.95197599,3.10771168,0.34181917,2.49337126,0.01111862,0.02528051,0.14788929,0.94516410,0.00000000
-5.94597299,3.17778092,0.34284522,2.56616128,0.01100332,0.02574075,0.14429071,0.95463214,0.00000000
-5.93996998,3.23801684,0.34315387,2.63010532,0.01085551,0.02624227,0.14077126,0.96142225,0.00000000
-5.93396698,3.28663239,0.34259016,2.68359448,0.01067629,0.02678211,0.13727813,0.96511851,0.00000000
-5.92796398,3.32208379,0.34103149,2.72520023,0.01046719,0.02736299,0.13376353,0.96539662,0.00000000
-5.92196098,3.34312724,0.33839171,2.75372435,0.01023020,0.02799392,0.13018726,0.96203780,0.00000000
-5.91595798,3.34886752,0.33462411,2.76824254,0.00996785,0.02869079,0.12651893,0.95493977,0.00000000
-5.90995498,3.33879593,0.32972327,2.76813970,0.00968319,0.02947667,0.12273969,0.94412401,0.00000000
-5.90395198,3.31281571,0.32372566,2.75313491,0.00937982,0.03038197,0.11884343,0.92973896,0.00000000
-5.89794897,3.27125337,0.31670883,2.72329506,0.00906192,0.03144431,0.11483741,0.91205894,0.00000000
-5.89194597,3.21485510,0.30878932,2.67903623,0.00873419,0.03270812,0.11074220,0.89147839,0.00000000
-5.88594297,3.14476821,0.30011919,2.62111261,0.00840183,0.03422389,0.10659105,0.86850192,0.00000000
-5.87993997,3.06250783,0.29088140,2.55059352,0.00807048,0.03604716,0.10242862,0.84372999,0.00000000
-5.87393697,2.96991041,0.28128405,2.46882926,0.00774613,0.03823711,0.09830928,0.81784104,0.00000000
-5.86793397,2.86907545,0.27155379,2.37740750,0.00743497,0.04085492,0.09429485,0.79157045,0.00000000
-5.86193097,2.76229802,0.26192847,2.27810189,0.00714330,0.04396175,0.09045206,0.76568709,0.00000000
-5.85592796,2.65199452,0.25264940,2.17281521,0.00687736,0.04761656,0.08684983,0.74096838,0.00000000
-5.84992496,2.54062469,0.24395345,2.06351939,0.00664312,0.05187362,0.08355633,0.71817460,0.00000000
-5.84392196,2.43061290,0.23606518,1.95219485,0.00644617,0.05678003,0.08063616,0.69802349,0.00000000
-5.83791896,2.32427155,0.22918937,1.84077153,0.00629150,0.06237304,0.07814762,0.68116593,0.00000000
-5.83191596,2.22372960,0.22350411,1.73107386,0.00618333,0.06867754,0.07614023,0.66816352,0.00000000
-5.82591296,2.13086851,0.21915471,1.62477153,0.00612494,0.07570358,0.07465262,0.65946898,0.00000000
-5.81990995,2.04726793,0.21624863,1.52333775,0.00611857,0.08344426,0.07371079,0.65540977,0.00000000
-5.81390695,1.97416273,0.21485161,1.42801603,0.00616524,0.09187385,0.07332689,0.65617574,0.00000000
-5.80790395,1.91241258,0.21498502,1.33979648,0.00626473,0.10094649,0.07349859,0.66181101,0.00000000
-5.80190095,1.86248485,0.21662473,1.25940173,0.00641547,0.11059541,0.07420886,0.67221045,0.00000000
-5.79589795,1.82445101,0.21970125,1.18728257,0.00661454,0.12073276,0.07542647,0.68712085,0.00000000
-5.78989495,1.79799618,0.22410141,1.12362283,0.00685772,0.13125022,0.07710692,0.70614682,0.00000000
-5.78389195,1.78244121,0.22967138,1.06835268,0.00713953,0.14202035,0.07919394,0.72876108,0.00000000
-5.77788894,1.77677607,0.23622099,1.02116948,0.00745332,0.15289865,0.08162139,0.75431910,0.00000000
-5.77188594,1.77970311,0.24352921,0.98156473,0.00779148,0.16372643,0.08431562,0.78207738,0.00000000
-5.76588294,1.78968849,0.25135057,0.94885606,0.00814553,0.17433432,0.08719803,0.81121500,0.00000000
-5.75987994,1.80501969,0.25942254,0.92222255,0.00850641,0.18454640,0.09018790,0.84085766,0.00000000
-5.75387694,1.82386716,0.26747327,0.90074215,0.00886468,0.19418476,0.09320526,0.87010354,0.00000000
-5.74787394,1.84434779,0.27522977,0.88342965,0.00921075,0.20307443,0.09617381,0.89805006,0.00000000
-5.74187094,1.86458809,0.28242616,0.86927400,0.00953521,0.21104836,0.09902363,0.92382073,0.00000000
-5.73586793,1.88278497,0.28881158,0.85727371,0.00982902,0.21795247,0.10169369,0.94659118,0.00000000
-5.72986493,1.89726217,0.29415771,0.84646925,0.01008380,0.22365030,0.10413401,0.96561353,0.00000000
-5.72386193,1.90652055,0.29826552,0.83597175,0.01029209,0.22802733,0.10630737,0.98023825,0.00000000
-5.71785893,1.90928070,0.30097103,0.82498705,0.01044754,0.23099464,0.10819052,0.98993277,0.00000000
-5.71185593,1.90451685,0.30214995,0.81283492,0.01054506,0.23249174,0.10977486,0.99429633,0.00000000
-5.70585293,1.89148107,0.30172097,0.79896289,0.01058105,0.23248860,0.11106640,0.99307043,0.00000000
-5.69984992,1.86971746,0.29964770,0.78295487,0.01055340,0.23098661,0.11208533,0.98614479,0.00000000
-5.69384692,1.83906611,0.29593914,0.76453454,0.01046161,0.22801851,0.11286477,0.97355853,0.00000000
-5.68784392,1.79965739,0.29064878,0.74356375,0.01030674,0.22364737,0.11344923,0.95549673,0.00000000
-5.68184092,1.75189704,0.28387235,0.72003658,0.01009141,0.21796453,0.11389244,0.93228267,0.00000000
-5.67583792,1.69644328,0.27574433,0.69406948,0.00981966,0.21108669,0.11425495,0.90436603,0.00000000
-5.66983492,1.63417705,0.26643350,0.66588820,0.00949684,0.20315232,0.11460140,0.87230782,0.00000000
-5.66383192,1.56616698,0.25613766,0.63581229,0.00912945,0.19431736,0.11499778,0.83676256,0.00000000
-5.65782891,1.49363068,0.24507775,0.60423799,0.00872492,0.18475065,0.11550864,0.79845856,0.00000000
-5.65182591,1.41789405,0.23349165,0.57162015,0.00829139,0.17462913,0.11619447,0.75817713,0.00000000
-5.64582291,1.34035006,0.22162794,0.53845404,0.00783749,0.16413296,0.11710939,0.71673145,0.00000000
-5.63981991,1.26241879,0.20973980,0.50525774,0.00737212,0.15344091,0.11829920,0.67494588,0.00000000
-5.63381691,1.18550977,0.19807924,0.47255558,0.00690422,0.14272605,0.11979985,0.63363640,0.00000000
-5.62781391,1.11098800,0.18689187,0.44086314,0.00644251,0.13215196,0.12163655,0.59359284,0.00000000
-5.62181091,1.04014422,0.17641246,0.41067430,0.00599537,0.12186944,0.12382327,0.55556309,0.00000000
-5.61580790,0.97417030,0.16686110,0.38245031,0.00557062,0.11201405,0.12636292,0.52023993,0.00000000
-5.60980490,0.91413969,0.15844026,0.35661122,0.00517538,0.10270421,0.12924797,0.48825037,0.00000000
-5.60380190,0.86099333,0.15133273,0.33352942,0.00481600,0.09404009,0.13246152,0.46014772,0.00000000
-5.59779890,0.81553044,0.14570022,0.31352544,0.00449790,0.08610321,0.13597876,0.43640620,0.00000000
-5.59179590,0.77840406,0.14168273,0.29686553,0.00422559,0.07895665,0.13976871,0.41741801,0.00000000
-5.58579290,0.75012072,0.13939865,0.28376094,0.00400262,0.07264581,0.14379602,0.40349245,0.00000000
-5.57978989,0.73104352,0.13894522,0.27436856,0.00383158,0.06719969,0.14802297,0.39485709,0.00000000
-5.57378689,0.72139815,0.14039952,0.26879262,0.00371415,0.06263253,0.15241128,0.39166030,0.00000000
-5.56778389,0.72128103,0.14381974,0.26708712,0.00365114,0.05894571,0.15692385,0.39397516,0.00000000
-5.56178089,0.73066901,0.14924662,0.26925879,0.00364259,0.05612986,0.16152622,0.40180433,0.00000000
-5.55577789,0.74943025,0.15670505,0.27527032,0.00368786,0.05416697,0.16618779,0.41508553,0.00000000
-5.54977489,0.77733556,0.16620558,0.28504373,0.00378574,0.05303254,0.17088271,0.43369762,0.00000000
-5.54377189,0.81407011,0.17774601,0.29846369,0.00393460,0.05269762,0.17559046,0.45746696,0.00000000
-5.53776888,0.85924515,0.19131275,0.31538081,0.00413254,0.05313070,0.18029611,0.48617396,0.00000000
-5.53176588,0.91240954,0.20688216,0.33561485,0.00437755,0.05429929,0.18499030,0.51955968,0.00000000
-5.52576288,0.97306099,0.22442155,0.35895783,0.00466768,0.05617136,0.18966902,0.55733250,0.00000000
-5.51975988,1.04065689,0.24389015,0.38517721,0.00500123,0.05871641,0.19433316,0.59917466,0.00000000
-5.51375688,1.11462464,0.26523971,0.41401894,0.00537693,0.06190621,0.19898792,0.64474856,0.00000000
-5.50775388,1.19437142,0.28841499,0.44521075,0.00579411,0.06571524,0.20364216,0.69370294,0.00000000
-5.50175088,1.27929314,0.31335384,0.47846544,0.00625290,0.07012081,0.20830771,0.74567860,0.00000000
-5.49574787,1.36878262,0.33998718,0.51348430,0.00675437,0.07510286,0.21299856,0.80031361,0.00000000
-5.48974487,1.46223667,0.36823862,0.54996066,0.00730070,0.08064339,0.21773019,0.85724792,0.00000000
-5.48374187,1.55906187,0.39802381,0.58758348,0.00789528,0.08672572,0.22251876,0.91612722,0.00000000
-5.47773887,1.65867906,0.42924956,0.62604087,0.00854277,0.09333347,0.22738046,0.97660588,0.00000000
-5.47173587,1.76052612,0.46181271,0.66502353,0.00924918,0.10044932,0.23233070,1.03834890,0.00000000
-5.46573287,1.86405916,0.49559877,0.70422797,0.01002183,0.10805368,0.23738348,1.10103278,0.00000000
-5.45972986,1.96875197,0.53048044,0.74335934,0.01086929,0.11612328,0.24255060,1.16434532,0.00000000
-5.45372686,2.07409381,0.56631607,0.78213387,0.01180123,0.12462976,0.24784105,1.22798435,0.00000000
