energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.49236794,0.02230320,0.09172400,0.45956891,0.03010722,0.82731534,0.38827494,0.17106236
-5.99399700,1.52490247,0.02283067,0.09474300,0.46899181,0.03119551,0.84372283,0.39470075,0.17508697
-5.98799400,1.55030913,0.02322113,0.09720154,0.47585309,0.03211369,0.85646480,0.39927880,0.17824086
-5.98199100,1.56826524,0.02346819,0.09905681,0.48017422,0.03284826,0.86541451,0.40196305,0.18047308
-5.97598799,1.57865470,0.02356880,0.10027931,0.48205805,0.03339007,0.87055910,0.40276155,0.18175622
-5.96998499,1.58158100,0.02352343,0.10085409,0.48168819,0.03373475,0.87200600,0.40173880,0.18208803
-5.96398199,1.57737205,0.02333608,0.10078141,0.47932547,0.03388293,0.86998485,0.39901582,0.18149229
-5.95797899,1.56657642,0.02301420,0.10007687,0.47530136,0.03384032,0.86484466,0.39476815,0.18001857
-5.95197599,1.54995060,0.02256842,0.09877102,0.47000861,0.03361759,0.85704592,0.38922146,0.17774103
-5.94597299,1.52843761,0.02201224,0.09690835,0.46388922,0.03323004,0.84714784,0.38264519,0.17475621
-5.93996998,1.50313734,0.02136156,0.09454584,0.45742022,0.03269712,0.83579110,0.37534408,0.17117997
-5.93396698,1.47526993,0.02063414,0.09175098,0.45109775,0.03204170,0.82367652,0.36764815,0.16714350
-5.92796398,1.44613317,0.01984901,0.08859947,0.44541986,0.03128935,0.81154055,0.35990130,0.16278880
-5.92196098,1.41705587,0.01902583,0.08517263,0.44086881,0.03046731,0.80012828,0.35244913,0.15826362
-5.91595798,1.38934880,0.01818422,0.08155467,0.43789331,0.02960362,0.79016527,0.34562628,0.15371616
-5.90995498,1.36425534,0.01734318,0.07782989,0.43689161,0.02872601,0.78232912,0.33974392,0.14928975
-5.90395198,1.34290384,0.01652043,0.07407995,0.43819578,0.02786095,0.77722203,0.33507786,0.14511767
-5.89794897,1.32626354,0.01573194,0.07038137,0.44205811,0.02703269,0.77534549,0.33185772,0.14131839
-5.89194597,1.31510618,0.01499141,0.06680328,0.44863980,0.02626243,0.77707824,0.33025766,0.13799141
-5.88594297,1.30997461,0.01430998,0.06340554,0.45800285,0.02556760,0.78265838,0.33038908,0.13521383
-5.87993997,1.31116008,0.01369596,0.06023724,0.47010503,0.02496130,0.79217059,0.33229548,0.13303785
-5.87393697,1.31868898,0.01315467,0.05733578,0.48479864,0.02445195,0.80553897,0.33594994,0.13148927
-5.86793397,1.33231984,0.01268847,0.05472635,0.50183292,0.02404309,0.82252603,0.34125509,0.13056699
-5.86193097,1.35155066,0.01229678,0.05242190,0.52086014,0.02373342,0.84273792,0.34804583,0.13024367
-5.85592796,1.37563655,0.01197635,0.05042361,0.54144537,0.02351704,0.86563590,0.35609462,0.13046730
-5.84992496,1.40361693,0.01172147,0.04872180,0.56307950,0.02338378,0.89055363,0.36511915,0.13116387
-5.84392196,1.43435125,0.01152439,0.04729713,0.58519527,0.02331983,0.91671977,0.37479222,0.13224075
-5.83791896,1.46656201,0.01137571,0.04612217,0.60718556,0.02330838,0.94328499,0.38475332,0.13359089
-5.83191596,1.49888326,0.01126483,0.04516322,0.62842354,0.02333046,0.96935256,0.39462166,0.13509751
-5.82591296,1.52991274,0.01118046,0.04438219,0.64828380,0.02336572,0.99401103,0.40400994,0.13663911
-5.81990995,1.55826568,0.01111108,0.04373859,0.66616376,0.02339338,1.01636811,0.41253854,0.13809468
-5.81390695,1.58262796,0.01104544,0.04319158,0.68150455,0.02339308,1.03558414,0.41984948,0.13934881
-5.80790395,1.60180679,0.01097295,0.04270179,0.69381053,0.02334565,1.05090390,0.42561953,0.14029661
-5.80190095,1.61477680,0.01088411,0.04223314,0.70266677,0.02323392,1.06168566,0.42957223,0.14084816
-5.79589795,1.62071980,0.01077081,0.04175434,0.70775377,0.02304329,1.06742611,0.43148805,0.14093235
-5.78989495,1.61905691,0.01062658,0.04124022,0.70885895,0.02276226,1.06778042,0.43121258,0.14050008
-5.78389195,1.60947175,0.01044681,0.04067276,0.70588436,0.02238276,1.06257658,0.42866235,0.13952654
-5.77788894,1.59192411,0.01022878,0.04004176,0.69885050,0.02190035,1.05182364,0.42382814,0.13801269
-5.77188594,1.56665379,0.00997175,0.03934533,0.68789610,0.02131427,1.03571357,0.41677571,0.13598579
-5.76588294,1.53417460,0.00967686,0.03858993,0.67327395,0.02062731,1.01461682,0.40764401,0.13349898
-5.75987994,1.49525924,0.00934703,0.03779022,0.65534296,0.01984560,0.98907193,0.39664104,0.13063006
-5.75387694,1.45091564,0.00898677,0.03696860,0.63455696,0.01897822,0.95976965,0.38403753,0.12747939
-5.74787394,1.40235611,0.00860196,0.03615450,0.61145065,0.01803679,0.92753243,0.37015884,0.12416716
-5.74187094,1.35096049,0.00819957,0.03538351,0.58662335,0.01703491,0.89328999,0.35537539,0.12082996
-5.73586793,1.29823493,0.00778738,0.03469621,0.56072105,0.01598767,0.85805206,0.34009204,0.11761690
