energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.78845723,0.03449536,1.28627511,2.74402223,2.88218195,0.08421509,1.97989416
-5.99399700,5.81688384,0.03469405,1.27657717,2.74761674,2.89885073,0.08392993,1.99755772
-5.98799400,5.85186162,0.03502054,1.26676954,2.75371110,2.91982037,0.08353444,2.01842743
-5.98199100,5.89375424,0.03547783,1.25719692,2.76268261,2.94524467,0.08303440,2.04238345
-5.97598799,5.94268370,0.03606517,1.24817100,2.77481344,2.97512791,0.08243645,2.06922269
-5.96998499,5.99851768,0.03677786,1.23995965,2.79027783,3.00932199,0.08174788,2.09866317
-5.96398199,6.06086649,0.03760725,1.23277812,2.80913373,3.04752912,0.08097626,2.13035120
-5.95797899,6.12908963,0.03854079,1.22678265,2.83131886,3.08930991,0.08012919,2.16387070
-5.95197599,6.20231165,0.03956227,1.22206642,2.85665142,3.13409650,0.07921408,2.19875460
-5.94597299,6.27944687,0.04065224,1.21865830,2.88483512,3.18121037,0.07823792,2.23449773
-5.93996998,6.35923189,0.04178851,1.21652413,2.91546837,3.22988403,0.07720711,2.27057088
-5.93396698,6.44026505,0.04294676,1.21557062,2.94805722,3.27928598,0.07612733,2.30643547
-5.92796398,6.52105117,0.04410129,1.21565160,2.98203154,3.32854786,0.07500354,2.34155847
-5.92196098,6.60005022,0.04522574,1.21657639,3.01676379,3.37679312,0.07383988,2.37542706
-5.91595798,6.67572805,0.04629396,1.21811994,3.05158972,3.42316577,0.07263984,2.40756256
-5.90995498,6.74660744,0.04728074,1.22003423,3.08583030,3.46685856,0.07140629,2.43753326
-5.90395198,6.81131735,0.04816263,1.22206045,3.11881399,3.50713919,0.07014172,2.46496569
-5.89794897,6.86863881,0.04891858,1.22394154,3.14989860,3.54337376,0.06884840,2.48955411
-5.89194597,6.91754543,0.04953059,1.22543424,3.17849195,3.57504652,0.06752868,2.51106779
-5.88594297,6.95723713,0.04998415,1.22632045,3.20407053,3.60177507,0.06618524,2.52935600
-5.87993997,6.98716580,0.05026865,1.22641708,3.22619553,3.62332066,0.06482139,2.54435061
-5.87393697,7.00705191,0.05037755,1.22558411,3.24452567,3.63959296,0.06344135,2.55606619
-5.86793397,7.01689169,0.05030848,1.22373051,3.25882644,3.65064951,0.06205050,2.56459787
-5.86193097,7.01695463,0.05006318,1.22081762,3.26897537,3.65668971,0.06065563,2.57011703
-5.85592796,7.00777190,0.04964729,1.21686009,3.27496342,3.65804400,0.05926514,2.57286519
-5.84992496,6.99011627,0.04907011,1.21192420,3.27689244,3.65515874,0.05788913,2.57314646
-5.84392196,6.96497485,0.04834415,1.20612386,3.27496901,3.64857757,0.05653953,2.57131883
-5.83791896,6.93351595,0.04748475,1.19961449,3.26949508,3.63892031,0.05523007,2.56778502
-5.83191596,6.89705185,0.04650957,1.19258510,3.26085597,3.62686037,0.05397627,2.56298292
-5.82591296,6.85699898,0.04543810,1.18524917,3.24950629,3.61310171,0.05279527,2.55737627
-5.81990995,6.81483738,0.04429113,1.17783472,3.23595443,3.59835641,0.05170567,2.55144574
-5.81390695,6.77207084,0.04309034,1.17057414,3.22074639,3.58332360,0.05072726,2.54568054
-5.80790395,6.73018893,0.04185777,1.16369422,3.20444944,3.56867061,0.04988072,2.54057073
-5.80190095,6.69063208,0.04061549,1.15740697,3.18763613,3.55501673,0.04918721,2.53660007
-5.79589795,6.65476009,0.03938518,1.15190142,3.17086923,3.54291986,0.04866799,2.53423929
-5.78989495,6.62382455,0.03818781,1.14733684,3.15468760,3.53286624,0.04834390,2.53393954
-5.78389195,6.59894490,0.03704338,1.14383748,3.13959342,3.52526289,0.04823484,2.53612562
-5.77788894,6.58108798,0.03597060,1.14148896,3.12604067,3.52043267,0.04835922,2.54118881
