energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.00202671,0.05427648,0.08128682,0.54466116,0.13379412,0.26578891,0.12804970,0.00389568,0.43640147
-5.99399700,0.94550706,0.05294121,0.07328918,0.51205722,0.12453496,0.24985103,0.12367900,0.00373941,0.41724393
-5.98799400,0.89483097,0.05192967,0.06572655,0.48275205,0.11598072,0.23541857,0.12014352,0.00361160,0.40072710
-5.98199100,0.84993352,0.05121370,0.05863895,0.45668922,0.10814768,0.22249510,0.11739382,0.00351262,0.38675345
-5.97598799,0.81063826,0.05075918,0.05205533,0.43375211,0.10103629,0.21105540,0.11536501,0.00344273,0.37518121
-5.96998499,0.77667307,0.05052739,0.04599394,0.41377276,0.09463247,0.20104894,0.11398022,0.00340203,0.36583282
-5.96398199,0.74768971,0.05047667,0.04046316,0.39654262,0.08890948,0.19240441,0.11315447,0.00339062,0.35850489
-5.95797899,0.72328588,0.05056411,0.03546239,0.38182460,0.08383015,0.18503496,0.11279873,0.00340862,0.35297916
-5.95197599,0.70302889,0.05074731,0.03098335,0.36936593,0.07934950,0.17884404,0.11282390,0.00345625,0.34903402
-5.94597299,0.68647971,0.05098613,0.02701141,0.35891124,0.07541746,0.17373142,0.11314470,0.00353388,0.34645596
-5.93996998,0.67321626,0.05124432,0.02352697,0.35021526,0.07198166,0.16959901,0.11368323,0.00364210,0.34505049
-5.93396698,0.66285491,0.05149095,0.02050697,0.34305468,0.06899014,0.16635641,0.11437196,0.00378168,0.34465186
-5.92796398,0.65506909,0.05170166,0.01792629,0.33723850,0.06639385,0.16392568,0.11515615,0.00395363,0.34513126
-5.92196098,0.64960424,0.05185958,0.01575908,0.33261656,0.06414883,0.16224520,0.11599555,0.00415910,0.34640293
-5.91595798,0.64628837,0.05195589,0.01397994,0.32908575,0.06221800,0.16127248,0.11686528,0.00439937,0.34842807
-5.90995498,0.64503785,0.05199006,0.01256495,0.32659376,0.06057243,0.16098567,0.11775586,0.00467569,0.35121608
-5.90395198,0.64585810,0.05196970,0.01149250,0.32514018,0.05919222,0.16138382,0.11867245,0.00498925,0.35482333
-5.89794897,0.64883933,0.05191004,0.01074392,0.32477489,0.05806678,0.16248579,0.11963330,0.00534093,0.35934926
-5.89194597,0.65414744,0.05183305,0.01030385,0.32559381,0.05719459,0.16432794,0.12066751,0.00573123,0.36493012
-5.88594297,0.66201065,0.05176627,0.01016039,0.32773233,0.05658255,0.16696069,0.12181219,0.00616005,0.37173050
-5.87993997,0.67270246,0.05174138,0.01030506,0.33135649,0.05624488,0.17044414,0.12310924,0.00662654,0.37993317
-5.87393697,0.68652176,0.05179259,0.01073256,0.33665250,0.05620162,0.17484286,0.12460184,0.00712895,0.38972750
-5.86793397,0.70377094,0.05195480,0.01144023,0.34381487,0.05647694,0.18022029,0.12633088,0.00766451,0.40129709
-5.86193097,0.72473312,0.05226189,0.01242748,0.35303378,0.05709714,0.18663281,0.12833146,0.00822931,0.41480713
-5.85592796,0.74964943,0.05274482,0.01369499,0.36448200,0.05808865,0.19412388,0.13062978,0.00881826,0.43039202
-5.84992496,0.77869725,0.05343000,0.01524381,0.37830218,0.05947594,0.20271855,0.13324034,0.00942508,0.44814382
-5.84392196,0.81197057,0.05433775,0.01707441,0.39459471,0.06127950,0.21241840,0.13616386,0.01004235,0.46810204
-5.83791896,0.84946308,0.05548095,0.01918564,0.41340686,0.06351399,0.22319747,0.13938575,0.01066163,0.49024516
-5.83191596,0.89105492,0.05686406,0.02157371,0.43472352,0.06618658,0.23499903,0.14287548,0.01127359,0.51448440
-5.82591296,0.93650351,0.05848241,0.02423128,0.45846007,0.06929556,0.24773371,0.14658668,0.01186825,0.54065987
-5.81990995,0.98543898,0.06032182,0.02714647,0.48445749,0.07282929,0.26127876,0.15045798,0.01243522,0.56853942
-5.81390695,1.03736440,0.06235864,0.03030220,0.51248017,0.07676550,0.27547881,0.15441468,0.01296402,0.59782025
-5.80790395,1.09166096,0.06456013,0.03367555,0.54221647,0.08107097,0.29014792,0.15837100,0.01344436,0.62813320
-5.80190095,1.14759784,0.06688516,0.03723741,0.57328215,0.08570165,0.30507305,0.16223291,0.01386648,0.65904977
-5.79589795,1.20434672,0.06928530,0.04095232,0.60522651,0.09060319,0.32001872,0.16590139,0.01422148,0.69009151
-5.78989495,1.26100026,0.07170615,0.04477863,0.63754135,0.09571179,0.33473282,0.16927583,0.01450159,0.72074152
-5.78389195,1.31659418,0.07408895,0.04866890,0.66967228,0.10095559,0.34895329,0.17225769,0.01470047,0.75045776
-5.77788894,1.37013207,0.07637231,0.05257058,0.70103220,0.10625625,0.36241549,0.17475398,0.01481337,0.77868764
-5.77188594,1.42061223,0.07849413,0.05642700,0.73101646,0.11153094,0.37486002,0.17668058,0.01483734,0.80488341
-5.76588294,1.46705553,0.08039354,0.06017856,0.75901924,0.11669453,0.38604064,0.17796519,0.01477127,0.82851787
-5.75987994,1.50853346,0.08201277,0.06376420,0.78445062,0.12166193,0.39573197,0.17854983,0.01461597,0.84909977
-5.75387694,1.54419518,0.08329904,0.06712296,0.80675364,0.12635058,0.40373675,0.17839280,0.01437406,0.86618841
-5.74787394,1.57329286,0.08420617,0.07019567,0.82542077,0.13068289,0.40989231,0.17746999,0.01404992,0.87940690
-5.74187094,1.59520405,0.08469603,0.07292673,0.84000925,0.13458859,0.41407599,0.17577553,0.01364948,0.88845356
-5.73586793,1.60945055,0.08473975,0.07526575,0.85015456,0.13800692,0.41620924,0.17332189,0.01318003,0.89311103
-5.72986493,1.61571272,0.08431850,0.07716916,0.85558154,0.14088848,0.41626026,0.17013914,0.01264996,0.89325284
-5.72386193,1.61383890,0.08342407,0.07860163,0.85611274,0.14319676,0.41424506,0.16627382,0.01206845,0.88884693
-5.71785893,1.60384935,0.08205899,0.07953717,0.85167366,0.14490917,0.41022679,0.16178716,0.01144525,0.87995634
-5.71185593,1.58593458,0.08023630,0.07996001,0.84229452,0.14601760,0.40431348,0.15675287,0.01079029,0.86673660
-5.70585293,1.56044811,0.07797904,0.07986510,0.82810873,0.14652840,0.39665407,0.15125460,0.01011350,0.84943034
-5.69984992,1.52789381,0.07531934,0.07925822,0.80934789,0.14646180,0.38743315,0.14538316,0.00942450,0.82835895
-5.69384692,1.48890848,0.07229730,0.07815576,0.78633373,0.14585084,0.37686435,0.13923356,0.00873238,0.80391187
-5.68784392,1.44424017,0.06895962,0.07658408,0.75946714,0.14473969,0.36518281,0.13290210,0.00804554,0.77653380
-5.68184092,1.39472319,0.06535806,0.07457856,0.72921500,0.14318165,0.35263703,0.12648345,0.00737152,0.74671044
-5.67583792,1.34125094,0.06154784,0.07218238,0.69609524,0.14123671,0.33948041,0.12006800,0.00671692,0.71495320
-5.66983492,1.28474746,0.05758593,0.06944503,0.66066070,0.13896893,0.32596281,0.11373938,0.00608732,0.68178362
-5.66383192,1.22613907,0.05352949,0.06642064,0.62348260,0.13644373,0.31232256,0.10757242,0.00548727,0.64771807
-5.65782891,1.16632713,0.04943429,0.06316632,0.58513431,0.13372515,0.29877923,0.10163147,0.00492029,0.61325328
-5.65182591,1.10616307,0.04535336,0.05974034,0.54617580,0.13087333,0.28552736,0.09596914,0.00438893,0.57885335
-5.64582291,1.04642658,0.04133576,0.05620048,0.50713965,0.12794224,0.27273156,0.09062556,0.00389485,0.54493858
-5.63981991,0.98780781,0.03742567,0.05260249,0.46851891,0.12497787,0.26052300,0.08562813,0.00343885,0.51187666
