energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.89999409,0.01891999,0.45727458,1.31843873,0.30168768,0.88090391,0.90656238,0.04658453,1.80227493
-5.99399700,3.95243891,0.01914615,0.47328421,1.32045224,0.30456417,0.87668449,0.94102334,0.04605166,1.81342535
-5.98799400,3.99558147,0.01929387,0.48966796,1.31747307,0.30614079,0.87126523,0.97491614,0.04545011,1.81793129
-5.98199100,4.02874294,0.01936156,0.50625529,1.30915307,0.30641227,0.86445692,1.00789969,0.04482191,1.81561667
-5.97598799,4.05157677,0.01934962,0.52288916,1.29527948,0.30540654,0.85616128,1.03967398,0.04421302,1.80649585
-5.96998499,4.06407531,0.01926031,0.53942724,1.27578371,0.30318404,0.84637068,1.06998400,0.04367224,1.79077585
-5.96398199,4.06656352,0.01909768,0.55574219,1.25074506,0.29983598,0.83516465,1.09862130,0.04325006,1.76885207
-5.95797899,4.05967992,0.01886727,0.57172103,1.22038893,0.29548162,0.82270344,1.12542331,0.04299734,1.74129729
-5.95197599,4.04434533,0.01857592,0.58726371,1.18507985,0.29026463,0.80921879,1.15027063,0.04296406,1.70884421
-5.94597299,4.02172091,0.01823147,0.60228105,1.14530929,0.28434851,0.79500235,1.17308253,0.04319796,1.67236215
-5.93996998,3.99315733,0.01784239,0.61669252,1.10167920,0.27791148,0.78039225,1.19381139,0.04374326,1.63282857
-5.93396698,3.96013762,0.01741754,0.63042387,1.05488173,0.27114074,0.76575851,1.21243638,0.04463933,1.59129676
-5.92796398,3.92421663,0.01696577,0.64340516,1.00567635,0.26422645,0.75148793,1.22895722,0.04591952,1.54886088
-5.92196098,3.88696015,0.01649565,0.65556942,0.95486528,0.25735576,0.73796928,1.24338862,0.04761003,1.50661988
-5.91595798,3.84988692,0.01601523,0.66685218,0.90326854,0.25070686,0.72557957,1.25575600,0.04972893,1.46564190
-5.90995498,3.81441659,0.01553177,0.67719217,0.85169959,0.24444365,0.71467204,1.26609296,0.05228540,1.42693083
-5.90395198,3.78182628,0.01505159,0.68653326,0.80094284,0.23871094,0.70556670,1.27444103,0.05527911,1.39139627
-5.89794897,3.75321814,0.01457999,0.69482773,0.75173388,0.23363060,0.69854375,1.28085171,0.05869987,1.35982852
