energy_ev,total_up,Hf_p_up,Hf_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.03311926,0.68393774,0.49207380,0.20930682,0.00835355,0.46239745,0.01185636,0.94232888
-5.99399700,2.04168432,0.69776382,0.47897527,0.21312551,0.00866683,0.44068486,0.01251695,0.97328011
-5.98799400,2.05555903,0.71522522,0.46781645,0.21697600,0.00895523,0.42232327,0.01317374,1.00406777
-5.98199100,2.07461170,0.73638827,0.45870486,0.22083003,0.00921247,0.40761873,0.01381393,1.03426080
-5.97598799,2.09862320,0.76127620,0.45170581,0.22466619,0.00943297,0.39681202,0.01442564,1.06344002
-5.96998499,2.12729754,0.78986991,0.44684341,0.22847038,0.00961197,0.39007580,0.01499821,1.09120873
-5.96398199,2.16027555,0.82210979,0.44410304,0.23223613,0.00974577,0.38751386,0.01552252,1.11720331
-5.95797899,2.19715075,0.85789812,0.44343505,0.23596496,0.00983177,0.38916215,0.01599120,1.14110325
-5.95197599,2.23748641,0.89710189,0.44475928,0.23966651,0.00986860,0.39499140,0.01639890,1.16264025
-5.94597299,2.28083262,0.93955582,0.44797023,0.24335868,0.00985611,0.40491108,0.01674246,1.18160586
-5.93996998,2.32674250,0.98506530,0.45294244,0.24706759,0.00979544,0.41877429,0.01702103,1.19785729
-5.93396698,2.37478647,1.03340906,0.45953576,0.25082735,0.00968891,0.43638351,0.01723609,1.21132111
-5.92796398,2.42456397,1.08434150,0.46760043,0.25467959,0.00953998,0.45749673,0.01739146,1.22199448
-5.92196098,2.47571192,1.13759464,0.47698152,0.25867284,0.00935310,0.48183380,0.01749315,1.22994392
-5.91595798,2.52790969,1.19287960,0.48752266,0.26286153,0.00913359,0.50908283,0.01754918,1.23530148
-5.90995498,2.58088038,1.24988778,0.49906904,0.26730477,0.00888746,0.53890647,0.01756932,1.23825855
-5.90395198,2.63438867,1.30829193,0.51146945,0.27206469,0.00862120,0.57094779,0.01756476,1.23905751
-5.89794897,2.68823554,1.36774724,0.52457759,0.27720462,0.00834160,0.60483599,0.01754767,1.23798151
-5.89194597,2.74225036,1.42789267,0.53825254,0.28278682,0.00805553,0.64019156,0.01753085,1.23534300
-5.88594297,2.79628134,1.48835299,0.55235867,0.28887004,0.00776972,0.67663114,0.01752717,1.23147135
-5.87993997,2.85018481,1.54874153,0.56676502,0.29550683,0.00749061,0.71377199,0.01754919,1.22670025
-5.87393697,2.90381454,1.60866407,0.58134444,0.30274066,0.00722413,0.75123618,0.01760863,1.22135544
-5.86793397,2.95701190,1.66772403,0.59597259,0.31060310,0.00697553,0.78865452,0.01771595,1.21574334
-5.86193097,3.00959761,1.72552901,0.61052710,0.31911098,0.00674931,0.82567029,0.01787996,1.21014106
-5.85592796,3.06136595,1.78169878,0.62488689,0.32826375,0.00654905,0.86194300,0.01810748,1.20478830
-5.84992496,3.11208193,1.83587451,0.63893204,0.33804125,0.00637736,0.89715194,0.01840305,1.19988140
-5.84392196,3.16148180,1.88772922,0.65254405,0.34840184,0.00623586,0.93099987,0.01876875,1.19556988
-5.83791896,3.20927707,1.93697890,0.66560673,0.35928124,0.00612514,0.96321661,0.01920405,1.19195541
-5.83191596,3.25516191,1.98339399,0.67800768,0.37059200,0.00604478,0.99356264,0.01970584,1.18909331
-5.82591296,3.29882362,2.02681057,0.68964022,0.38222394,0.00599345,1.02183253,0.02026841,1.18699639
-5.81990995,3.33995564,2.06714075,0.70040584,0.39404534,0.00596895,1.04785818,0.02088366,1.18564073
-5.81390695,3.37827225,2.10438140,0.71021687,0.40590520,0.00596831,1.07151174,0.02154130,1.18497321
-5.80790395,3.41352418,2.13862076,0.71899932,0.41763640,0.00598798,1.09270784,0.02222910,1.18492010
-5.80190095,3.44551395,2.17004211,0.72669554,0.42905968,0.00602390,1.11140531,0.02293329,1.18539633
-5.79589795,3.47411006,2.19892403,0.73326671,0.43998852,0.00607168,1.12760786,0.02363894,1.18631480
-5.78989495,3.49925888,2.22563687,0.73869472,0.45023447,0.00612680,1.14136377,0.02433037,1.18759527
-5.78389195,3.52099338,2.25063507,0.74298345,0.45961305,0.00618471,1.15276437,0.02499164,1.18917213
-5.77788894,3.53943789,2.27444539,0.74615923,0.46794973,0.00624102,1.16194129,0.02560697,1.19100078
-5.77188594,3.55480833,2.29765103,0.74827032,0.47508582,0.00629163,1.16906238,0.02616120,1.19306219
-5.76588294,3.56740767,2.32087231,0.74938550,0.48088409,0.00633288,1.17432637,0.02664022,1.19536528
-5.75987994,3.57761647,2.34474419,0.74959172,0.48523367,0.00636161,1.17795641,0.02703136,1.19794715
-5.75387694,3.58587893,2.36989166,0.74899079,0.48805411,0.00637528,1.18019266,0.02732372,1.20087105
-5.74787394,3.59268489,2.39690384,0.74769548,0.48929834,0.00637201,1.18128415,0.02750844,1.20422218
-5.74187094,3.59854860,2.42630789,0.74582496,0.48895439,0.00635061,1.18148026,0.02757894,1.20810177
-5.73586793,3.60398544,2.45854389,0.74349997,0.48704573,0.00631057,1.18102216,0.02753105,1.21261950
-5.72986493,3.60948753,2.49394177,0.74083785,0.48363025,0.00625200,1.18013456,0.02736308,1.21788504
-5.72386193,3.61549972,2.53270146,0.73794783,0.47879787,0.00617565,1.17901816,0.02707580,1.22399895
-5.71785893,3.62239719,2.57487718,0.73492666,0.47266690,0.00608274,1.17784321,0.02667239,1.23104365
-5.71185593,3.63046588,2.62036670,0.73185495,0.46537942,0.00597494,1.17674437,0.02615828,1.23907501
-5.70585293,3.63988693,2.66890613,0.72879432,0.45709571,0.00585421,1.17581721,0.02554090,1.24811501
-5.69984992,3.65072594,2.72007080,0.72578557,0.44798830,0.00572274,1.17511657,0.02482951,1.25814600
-5.69384692,3.66292784,2.77328209,0.72284792,0.43823561,0.00558276,1.17465670,0.02403483,1.26910698
-5.68784392,3.67631778,2.82782026,0.71997936,0.42801581,0.00543652,1.17441338,0.02316871,1.28089208
-5.68184092,3.69060793,2.88284286,0.71715814,0.41750093,0.00528613,1.17432776,0.02224384,1.29335156
-5.67583792,3.70541025,2.93740806,0.71434524,0.40685175,0.00513351,1.17431182,0.02127335,1.30629524
-5.66983492,3.72025439,2.99050207,0.71148769,0.39621336,0.00498031,1.17425513,0.02027049,1.31949828
-5.66383192,3.73461017,3.04106966,0.70852262,0.38571197,0.00482787,1.17403260,0.01924831,1.33270915
-5.65782891,3.74791342,3.08804669,0.70538181,0.37545270,0.00467721,1.17351279,0.01821935,1.34565941
