energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.95330445,0.59156167,0.18463312,0.01112704,0.12326181,0.02697707,0.53974298,0.34906130,0.59678169
-5.99399700,1.87362821,0.57146958,0.17825245,0.01041557,0.11834724,0.02628978,0.51993146,0.33547206,0.56886658
-5.98799400,1.79344380,0.55098245,0.17188801,0.00970409,0.11338345,0.02550050,0.50008384,0.32207213,0.54098829
-5.98199100,1.71326392,0.53029509,0.16554106,0.00899889,0.10840622,0.02461487,0.48028779,0.30890457,0.51336024
-5.97598799,1.63358368,0.50959898,0.15921635,0.00830668,0.10344669,0.02364080,0.46063010,0.29599742,0.48618233
-5.96998499,1.55487549,0.48907912,0.15292234,0.00763440,0.09853130,0.02258830,0.44119640,0.28336549,0.45963820
-5.96398199,1.47758448,0.46891141,0.14667123,0.00698910,0.09368192,0.02146917,0.42207065,0.27101249,0.43389317
-5.95797899,1.40212471,0.44926067,0.14047865,0.00637781,0.08891616,0.02029669,0.40333478,0.25893356,0.40909265
-5.95197599,1.32887654,0.43027940,0.13436319,0.00580737,0.08424784,0.01908525,0.38506816,0.24711787,0.38536140
-5.94597299,1.25818516,0.41210723,0.12834581,0.00528446,0.07968750,0.01784989,0.36734742,0.23555136,0.36280345
-5.93996998,1.19036056,0.39487123,0.12244912,0.00481547,0.07524310,0.01660596,0.35024620,0.22421936,0.34150278
-5.93396698,1.12567872,0.37868673,0.11669674,0.00440652,0.07092064,0.01536869,0.33383528,0.21310906,0.32152461
-5.92796398,1.06438406,0.36365873,0.11111263,0.00406350,0.06672488,0.01415284,0.31818269,0.20221178,0.30291726
-5.92196098,1.00669268,0.34988368,0.10572045,0.00379208,0.06265999,0.01297238,0.30335412,0.19152471,0.28571449
-5.91595798,0.95279629,0.33745130,0.10054308,0.00359775,0.05873009,0.01184027,0.28941327,0.18105234,0.26993802
-5.90995498,0.90286630,0.32644641,0.09560217,0.00348592,0.05493974,0.01076825,0.27642227,0.17080733,0.25560015
-5.90395198,0.85705768,0.31695050,0.09091782,0.00346193,0.05129425,0.00976671,0.26444195,0.16081079,0.24270630
-5.89794897,0.81551226,0.30904277,0.08650830,0.00353110,0.04779992,0.00884469,0.25353194,0.15109210,0.23125730
-5.89194597,0.77836102,0.30280063,0.08238982,0.00369879,0.04446405,0.00800981,0.24375054,0.14168817,0.22125121
-5.88594297,0.74572518,0.29829947,0.07857636,0.00397032,0.04129484,0.00726837,0.23515427,0.13264224,0.21268472
-5.87993997,0.71771587,0.29561165,0.07507953,0.00435101,0.03830119,0.00662544,0.22779695,0.12400229,0.20555378
-5.87393697,0.69443230,0.29480480,0.07190837,0.00484602,0.03549233,0.00608493,0.22172860,0.11581912,0.19985380
-5.86793397,0.67595848,0.29593935,0.06906920,0.00546030,0.03287739,0.00564976,0.21699385,0.10814426,0.19557904
-5.86193097,0.66235861,0.29906556,0.06656543,0.00619840,0.03046494,0.00532197,0.21363010,0.10102773,0.19272157
-5.85592796,0.65367149,0.30422005,0.06439740,0.00706429,0.02826242,0.00510284,0.21166549,0.09451589,0.19126962
-5.84992496,0.64990413,0.31142215,0.06256213,0.00806114,0.02627570,0.00499299,0.21111672,0.08864930,0.19120567
-5.84392196,0.65102508,0.32067026,0.06105325,0.00919107,0.02450857,0.00499245,0.21198688,0.08346086,0.19250426
-5.83791896,0.65695791,0.33193829,0.05986081,0.01045494,0.02296233,0.00510069,0.21426348,0.07897420,0.19512975
-5.83191596,0.66757516,0.34517265,0.05897128,0.01185202,0.02163550,0.00531665,0.21791658,0.07520243,0.19903422
-5.82591296,0.68269329,0.36028976,0.05836753,0.01337983,0.02052357,0.00563868,0.22289746,0.07214724,0.20415550
-5.81990995,0.70206903,0.37717437,0.05802902,0.01503387,0.01961890,0.00606452,0.22913766,0.06979850,0.21041576
-5.81390695,0.72539724,0.39567880,0.05793202,0.01680744,0.01891077,0.00659117,0.23654858,0.06813421,0.21772042
-5.80790395,0.75231082,0.41562312,0.05804998,0.01869150,0.01838552,0.00721482,0.24502181,0.06712091,0.22595781
-5.80190095,0.78238255,0.43679644,0.05835403,0.02067460,0.01802679,0.00793072,0.25442995,0.06671452,0.23499938
-5.79589795,0.81512907,0.45895926,0.05881357,0.02274279,0.01781593,0.00873305,0.26462823,0.06686155,0.24470060
-5.78989495,0.85001687,0.48184669,0.05939694,0.02487975,0.01773243,0.00961485,0.27545667,0.06750057,0.25490255
-5.78389195,0.88647028,0.50517277,0.06007224,0.02706680,0.01775456,0.01056787,0.28674289,0.06856412,0.26543410
-5.77788894,0.92388121,0.52863542,0.06080810,0.02928317,0.01785989,0.01158259,0.29830541,0.06998066,0.27611463
-5.77188594,0.96162027,0.55192219,0.06157460,0.03150617,0.01802604,0.01264812,0.30995740,0.07167690,0.28675727
-5.76588294,0.99904928,0.57471640,0.06234406,0.03371158,0.01823129,0.01375231,0.32151077,0.07358003,0.29717239
-5.75987994,1.03553447,0.59670368,0.06309197,0.03587395,0.01845532,0.01488178,0.33278050,0.07562011,0.30717146
-5.75387694,1.07046027,0.61757865,0.06379776,0.03796711,0.01867982,0.01602211,0.34358914,0.07773240,0.31657087
-5.74787394,1.10324330,0.63705160,0.06444565,0.03996459,0.01888907,0.01715804,0.35377122,0.07985959,0.32519585
-5.74187094,1.13334612,0.65485500,0.06502535,0.04184014,0.01907055,0.01827375,0.36317777,0.08195381,0.33288423
-5.73586793,1.16029048,0.67074967,0.06553287,0.04356826,0.01921529,0.01935324,0.37168050,0.08397847,0.33948992
-5.72986493,1.18366981,0.68453052,0.06597109,0.04512474,0.01931824,0.02038064,0.37917581,0.08590978,0.34488611
-5.72386193,1.20316054,0.69603166,0.06635054,0.04648718,0.01937852,0.02134076,0.38558845,0.08773790,0.34896800
-5.71785893,1.21853211,0.70513087,0.06668996,0.04763554,0.01939945,0.02221949,0.39087473,0.08946769,0.35165513
-5.71185593,1.22965530,0.71175320,0.06701699,0.04855257,0.01938855,0.02300430,0.39502525,0.09111907,0.35289307
-5.70585293,1.23650882,0.71587365,0.06736876,0.04922430,0.01935735,0.02368478,0.39806704,0.09272684,0.35265463
-5.69984992,1.23918381,0.71751890,0.06779248,0.04964037,0.01932111,0.02425302,0.40006510,0.09434011,0.35094043
-5.69384692,1.23788615,0.71676791,0.06834601,0.04979438,0.01929840,0.02470413,0.40112311,0.09602112,0.34777888
-5.68784392,1.23293637,0.71375143,0.06909829,0.04968409,0.01931054,0.02503655,0.40138351,0.09784372,0.34322554
-5.68184092,1.22476705,0.70865019,0.07012974,0.04931160,0.01938106,0.02525235,0.40102657,0.09989134,0.33736195
