energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,3.21682412,1.53448907,2.34780188,0.01763241,0.22970233,0.89675022,0.01912831
-5.99399700,3.11480373,1.46977353,2.27716863,0.01725765,0.21940485,0.86863952,0.01863509
-5.98799400,3.01611157,1.40623241,2.20871844,0.01687089,0.20944750,0.84142959,0.01819269
-5.98199100,2.92203332,1.34475469,2.14331271,0.01647550,0.19997452,0.81549501,0.01780452
-5.97598799,2.83360469,1.28610842,2.08163385,0.01607385,0.19111073,0.79113935,0.01747230
-5.96998499,2.75158139,1.23091848,2.02416679,0.01566732,0.18295751,0.76858670,0.01719589
-5.96398199,2.67642368,1.17965160,1.97119102,0.01525631,0.17558984,0.74797716,0.01697334
-5.95797899,2.60829556,1.13260893,1.92278311,0.01484035,0.16905456,0.72936657,0.01680092
-5.95197599,2.54707794,1.08992600,1.87882908,0.01441821,0.16336977,0.71273008,0.01667327
-5.94597299,2.49239442,1.05157949,1.83904559,0.01398815,0.15852545,0.69796927,0.01658361
-5.93996998,2.44364780,1.01740024,1.80300824,0.01354814,0.15448512,0.68492232,0.01652398
-5.93396698,2.40006488,0.98709120,1.77018544,0.01309605,0.15118843,0.67337640,0.01648559
-5.92796398,2.36074694,0.96024939,1.73997560,0.01262995,0.14855462,0.66308171,0.01645915
-5.92196098,2.32472315,0.93639051,1.71174566,0.01214827,0.14648650,0.65376629,0.01643520
-5.91595798,2.29100428,0.91497497,1.68486916,0.01165005,0.14487494,0.64515085,0.01640451
-5.90995498,2.25863403,0.89543414,1.65876171,0.01113506,0.14360354,0.63696300,0.01635842
-5.90395198,2.22673590,0.87719568,1.63291255,0.01060388,0.14255340,0.62895013,0.01628918
-5.89794897,2.19455369,0.85970707,1.60691080,0.01005800,0.14160764,0.62089054,0.01619021
-5.89194597,2.16148422,0.84245645,1.58046552,0.00949977,0.14065576,0.61260241,0.01605637
-5.88594297,2.12710116,0.82499017,1.55341898,0.00893237,0.13959743,0.60395024,0.01588412
-5.87993997,2.09116977,0.80692666,1.52575287,0.00835973,0.13834579,0.59484884,0.01567170
