energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.07901558,1.38627298,0.45224825,0.14279185,0.46990823,0.41827197,0.01329115
-5.99399700,1.98976008,1.32362863,0.43223969,0.13778547,0.45499408,0.39584314,0.01261988
-5.98799400,1.90106791,1.25996523,0.41228168,0.13339501,0.44028509,0.37338958,0.01198276
-5.98199100,1.81474082,1.19657013,0.39276852,0.12973388,0.42625775,0.35123913,0.01138792
-5.97598799,1.73255121,1.13471511,0.37408601,0.12690703,0.41337381,0.32972111,0.01084340
-5.96998499,1.65618728,1.07562091,0.35660006,0.12500716,0.40206614,0.30915670,0.01035690
-5.96398199,1.58720173,1.02042481,0.34064598,0.12411121,0.39272553,0.28985014,0.00993546
-5.95797899,1.52696574,0.97015206,0.32651895,0.12427700,0.38568866,0.27208103,0.00958522
-5.95197599,1.47662972,0.92569229,0.31446594,0.12554027,0.38122789,0.25609790,0.00931115
-5.94597299,1.43709209,0.88778122,0.30467938,0.12791228,0.37954294,0.24211319,0.00911690
-5.93996998,1.40897683,0.85698802,0.29729259,0.13137799,0.38075504,0.23029973,0.00900465
-5.93396698,1.39262044,0.83370869,0.29237731,0.13589509,0.38490350,0.22078864,0.00897496
-5.92796398,1.38806839,0.81816496,0.28994314,0.14139373,0.39194490,0.21366872,0.00902682
-5.92196098,1.39508105,0.81040879,0.28993892,0.14777720,0.40175498,0.20898707,0.00915759
-5.91595798,1.41314838,0.81033163,0.29225603,0.15492361,0.41413305,0.20675091,0.00936311
-5.90995498,1.44151291,0.81767824,0.29673328,0.16268827,0.42880890,0.20693037,0.00963783
-5.90395198,1.47919984,0.83206389,0.30316328,0.17090716,0.44545180,0.20946206,0.00997491
-5.89794897,1.52505309,0.85299465,0.31130009,0.17940103,0.46368149,0.21425329,0.01036653
-5.89194597,1.57777598,0.87988950,0.32086763,0.18798022,0.48308057,0.22118670,0.01080401
-5.88594297,1.63597501,0.91210384,0.33156886,0.19644993,0.50320797,0.23012509,0.01127818
-5.87993997,1.69820524,0.94895323,0.34309511,0.20461589,0.52361304,0.24091642,0.01177957
-5.87393697,1.76301573,0.98973687,0.35513551,0.21229010,0.54384972,0.25339867,0.01229871
-5.86793397,1.82899336,1.03375996,0.36738598,0.21929642,0.56349022,0.26740461,0.01282642
-5.86193097,1.89480384,1.08035425,0.37955763,0.22547590,0.58213788,0.28276615,0.01335403
-5.85592796,1.95922830,1.12889630,0.39138435,0.23069154,0.59943864,0.29931845,0.01387364
-5.84992496,2.02119449,1.17882284,0.40262922,0.23483232,0.61509071,0.31690337,0.01437830
-5.84392196,2.07980153,1.22964289,0.41308962,0.23781625,0.62885218,0.33537253,0.01486215
-5.83791896,2.13433741,1.28094618,0.42260107,0.23959252,0.64054624,0.35458958,0.01532059
-5.83191596,2.18428897,1.33240777,0.43103939,0.24014236,0.65006389,0.37443181,0.01575026
-5.82591296,2.22934380,1.38378859,0.43832149,0.23947888,0.65736407,0.39479103,0.01614914
-5.81990995,2.26938443,1.43493197,0.44440458,0.23764568,0.66247127,0.41557347,0.01651643
-5.81390695,2.30447498,1.48575618,0.44928401,0.23471443,0.66547069,0.43669895,0.01685251
-5.80790395,2.33484084,1.53624318,0.45298976,0.23078143,0.66650126,0.45809905,0.01715881
-5.80190095,2.36084234,1.58642395,0.45558184,0.22596346,0.66574681,0.47971439,0.01743759
-5.79589795,2.38294348,1.63636091,0.45714474,0.22039293,0.66342577,0.50149121,0.01769176
-5.78989495,2.40167689,1.68612802,0.45778117,0.21421266,0.65977982,0.52337701,0.01792462
-5.78389195,2.41760659,1.73578934,0.45760542,0.20757051,0.65506206,0.54531581,0.01813962
-5.77788894,2.43129007,1.78537698,0.45673648,0.20061401,0.64952501,0.56724295,0.01834010
-5.77188594,2.44324126,1.83486950,0.45529130,0.19348531,0.64340917,0.58907974,0.01852899
-5.76588294,2.45389602,1.88417173,0.45337848,0.18631658,0.63693242,0.61072843,0.01870864
-5.75987994,2.46358182,1.93309732,0.45109252,0.17922599,0.63028074,0.63206760,0.01888054
-5.75387694,2.47249283,1.98135495,0.44850901,0.17231461,0.62360072,0.65294849,0.01904519
-5.74787394,2.48067182,2.02853934,0.44568092,0.16566399,0.61699398,0.67319252,0.01920195
-5.74187094,2.48799980,2.07412785,0.44263607,0.15933480,0.61051391,0.69259042,0.01934901
-5.73586793,2.49419393,2.11748343,0.43937598,0.15336633,0.60416465,0.71090301,0.01948332
-5.72986493,2.49881418,2.15786407,0.43587617,0.14777693,0.59790253,0.72786412,0.01960072
-5.72386193,2.50127837,2.19443907,0.43208782,0.14256526,0.59163972,0.74318533,0.01969602
-5.71785893,2.50088532,2.22631149,0.42794066,0.13771227,0.58524996,0.75656288,0.01976318
-5.71185593,2.49684485,2.25254634,0.42334720,0.13318380,0.57857610,0.76768618,0.01979558
-5.70585293,2.48831351,2.27220319,0.41820778,0.12893363,0.57143909,0.77624795,0.01978627
-5.69984992,2.47443438,2.28437205,0.41241642,0.12490679,0.56364790,0.78195534,0.01972829
-5.69384692,2.45437878,2.28821060,0.40586704,0.12104310,0.55501002,0.78454163,0.01961500
-5.68784392,2.42738820,2.28298121,0.39845986,0.11728054,0.54534192,0.78377782,0.01944039
-5.68184092,2.39281404,2.26808564,0.39010752,0.11355856,0.53447898,0.77948369,0.01919941
-5.67583792,2.35015332,2.24309575,0.38074069,0.10982103,0.52228455,0.77153746,0.01888825
-5.66983492,2.29907850,2.20777844,0.37031288,0.10601872,0.50865749,0.75988366,0.01850452
-5.66383192,2.23945989,2.16211341,0.35880419,0.10211139,0.49353809,0.74453879,0.01804750
-5.65782891,2.17137953,2.10630289,0.34622378,0.09806915,0.47691189,0.72559414,0.01751817
-5.65182591,2.09513593,2.04077246,0.33261102,0.09387336,0.45881148,0.70321588,0.01691930
-5.64582291,2.01123943,1.96616307,0.31803523,0.08951692,0.43931609,0.67764214,0.01625534
-5.63981991,1.92039865,1.88331449,0.30259407,0.08500390,0.41854907,0.64917726,0.01553237
-5.63381691,1.82349870,1.79324109,0.28641067,0.08034883,0.39667360,0.61818350,0.01475787
-5.62781391,1.72157249,1.69710104,0.26962966,0.07557544,0.37388664,0.58507054,0.01394052
-5.62181091,1.61576663,1.59616061,0.25241241,0.07071515,0.35041182,0.55028336,0.01308989
-5.61580790,1.50730379,1.49175524,0.23493161,0.06580523,0.32649129,0.51428901,0.01221614
-5.60980490,1.39744328,1.38524923,0.21736561,0.06088701,0.30237726,0.47756293,0.01132974
-5.60380190,1.28744185,1.27799596,0.19989271,0.05600385,0.27832350,0.44057548,0.01044107
-5.59779890,1.17851644,1.17130032,0.18268569,0.05119934,0.25457722,0.40377922,0.00956020
-5.59179590,1.07181048,1.06638492,0.16590680,0.04651558,0.23137167,0.36759743,0.00869657
-5.58579290,0.96836491,0.96436129,0.14970355,0.04199171,0.20891978,0.33241442,0.00785877
-5.57978989,0.86909506,0.86620698,0.13420518,0.03766263,0.18740903,0.29856778,0.00705435
-5.57378689,0.77477373,0.77274906,0.11952015,0.03355812,0.16699765,0.26634281,0.00628969
-5.56778389,0.68602080,0.68465435,0.10573457,0.02970216,0.14781223,0.23596932,0.00556990
-5.56178089,0.60329927,0.60242590,0.09291157,0.02611263,0.12994671,0.20762049,0.00489882
-5.55577789,0.52691710,0.52640557,0.08109153,0.02280123,0.11346265,0.18141380,0.00427901
-5.54977489,0.45703440,0.45678178,0.07029312,0.01977369,0.09839065,0.15741383,0.00371182
-5.54377189,0.39367489,0.39360166,0.06051500,0.01703018,0.08473266,0.13563643,0.00319748
-5.53776888,0.33674073,0.33678645,0.05173800,0.01456583,0.07246512,0.11605409,0.00273523
-5.53176588,0.28602969,0.28614935,0.04392763,0.01237145,0.06154249,0.09860207,0.00232345
-5.52576288,0.24125367,0.24141447,0.03703691,0.01043429,0.05190121,0.08318500,0.00195982
-5.51975988,0.20205756,0.20223628,0.03100909,0.00873878,0.04346365,0.06968354,0.00164148
-5.51375688,0.16803773,0.16821852,0.02578046,0.00726732,0.03614201,0.05796092,0.00136516
-5.50775388,0.13875930,0.13893188,0.02128290,0.00600102,0.02984203,0.04786902,0.00112734
-5.50175088,0.11377193,0.11393012,0.01744625,0.00492036,0.02446629,0.03925391,0.00092435
-5.49574787,0.09262342,0.09276399,0.01420032,0.00400573,0.01991712,0.03196068,0.00075254
-5.48974487,0.07487129,0.07499303,0.01147662,0.00323799,0.01609906,0.02583747,0.00060832
-5.48374187,0.06009189,0.06019494,0.00920971,0.00259880,0.01292080,0.02073868,0.00048824
-5.47773887,0.04788747,0.04797274,0.00733828,0.00207095,0.01029666,0.01652748,0.00038908
-5.47173587,0.03789096,0.03795976,0.00580579,0.00163857,0.00814766,0.01307747,0.00030784
-5.46573287,0.02976901,0.02982273,0.00456097,0.00128722,0.00640207,0.01027378,0.00024183
-5.45972986,0.02322335,0.02326322,0.00355799,0.00100400,0.00499581,0.00801353,0.00018863
-5.45372686,0.01799079,0.01801771,0.00275643,0.00077751,0.00387235,0.00620590,0.00014607
-5.44772386,0.01384216,0.01385654,0.00212115,0.00059782,0.00298256,0.00477168,0.00011232
-5.44172086,0.01058049,0.01058207,0.00162193,0.00045640,0.00228428,0.00364272,0.00008575
-5.43571786,0.00803854,0.00802632,0.00123319,0.00034597,0.00174185,0.00276104,0.00006500
-5.42971486,0.00607617,0.00604814,0.00093347,0.00026044,0.00132547,0.00207791,0.00004894
-5.42371186,0.00457737,0.00453036,0.00070508,0.00019473,0.00101071,0.00155278,0.00003659
-5.41770885,0.00344743,0.00337684,0.00053358,0.00014467,0.00077782,0.00115234,0.00002719
-5.41170585,0.00261018,0.00250968,0.00040743,0.00010690,0.00061123,0.00084947,0.00002010
-5.40570285,0.00200545,0.00186658,0.00031756,0.00007869,0.00049902,0.00062236,0.00001480
-5.39969985,0.00158676,0.00139846,0.00025704,0.00005791,0.00043248,0.00045366,0.00001090
-5.39369685,0.00131931,0.00106742,0.00022077,0.00004289,0.00040573,0.00032973,0.00000807
-5.38769385,0.00117832,0.00084489,0.00020525,0.00003238,0.00041542,0.00023998,0.00000609
-5.38169085,0.00114757,0.00071019,0.00020834,0.00002546,0.00046050,0.00017637,0.00000477
-5.37568784,0.00121838,0.00064930,0.00022913,0.00002149,0.00054209,0.00013288,0.00000400
-5.36968484,0.00138872,0.00065400,0.00026782,0.00002010,0.00066335,0.00010519,0.00000370
-5.36368184,0.00166270,0.00072116,0.00032563,0.00002114,0.00082947,0.00009038,0.00000382
-5.35767884,0.00205019,0.00085244,0.00040475,0.00002470,0.00104773,0.00008674,0.00000439
-5.35167584,0.00256673,0.00105407,0.00050838,0.00003107,0.00132758,0.00009356,0.00000542
-5.34567284,0.00323360,0.00133693,0.00064069,0.00004078,0.00168073,0.00011112,0.00000702
-5.33966983,0.00407803,0.00171689,0.00080688,0.00005464,0.00212140,0.00014063,0.00000929
-5.33366683,0.00513362,0.00221523,0.00101326,0.00007374,0.00266649,0.00018424,0.00001241
-5.32766383,0.00644079,0.00285932,0.00126732,0.00009953,0.00333581,0.00024515,0.00001662
-5.32166083,0.00804749,0.00368350,0.00157780,0.00013386,0.00415241,0.00032768,0.00002220
-5.31565783,0.01000983,0.00473007,0.00195481,0.00017906,0.00514279,0.00043745,0.00002952
-5.30965483,0.01239292,0.00605044,0.00240996,0.00023802,0.00633726,0.00058156,0.00003905
-5.30365183,0.01527164,0.00770637,0.00295640,0.00031425,0.00777022,0.00076879,0.00005135
-5.29764882,0.01873158,0.00977137,0.00360901,0.00041200,0.00948046,0.00100985,0.00006712
-5.29164582,0.02286974,0.01233199,0.00438441,0.00053634,0.01151140,0.00131765,0.00008716
-5.28564282,0.02779538,0.01548916,0.00530111,0.00069323,0.01391137,0.00170750,0.00011246
-5.27963982,0.03363059,0.01935942,0.00637950,0.00088959,0.01673375,0.00219739,0.00014417
