energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up
-6.00000000,0.39052953,0.01976985,0.02100067,0.17394483,0.05367407,0.14001585,0.04243908,0.17960590,0.00000000
-5.99399700,0.40978601,0.02092410,0.02224486,0.18418542,0.05660826,0.14782391,0.04332407,0.18837610,0.00000000
-5.98799400,0.42834245,0.02200717,0.02343491,0.19398471,0.05937900,0.15526561,0.04434172,0.19681910,0.00000000
-5.98199100,0.44582008,0.02300284,0.02455648,0.20321980,0.06193835,0.16222428,0.04542709,0.20475473,0.00000000
-5.97598799,0.46190018,0.02389738,0.02559820,0.21179306,0.06424522,0.16860336,0.04652560,0.21203049,0.00000000
-5.96998499,0.47633594,0.02468020,0.02655230,0.21963752,0.06626699,0.17433071,0.04759407,0.21852679,0.00000000
-5.96398199,0.48896267,0.02534440,0.02741525,0.22672163,0.06798103,0.17936233,0.04860161,0.22416162,0.00000000
-5.95797899,0.49970603,0.02588724,0.02818817,0.23305286,0.06937586,0.18368537,0.04953025,0.22889437,0.00000000
-5.95197599,0.50858769,0.02631049,0.02887714,0.23868016,0.07045201,0.18732017,0.05037525,0.23272841,0.00000000
-5.94597299,0.51572811,0.02662059,0.02949336,0.24369489,0.07122244,0.19032123,0.05114530,0.23571247,0.00000000
-5.93996998,0.52134602,0.02682872,0.03005307,0.24823011,0.07171259,0.19277699,0.05186223,0.23794055,0.00000000
-5.93396698,0.52575457,0.02695058,0.03057725,0.25245822,0.07195984,0.19480823,0.05256055,0.23955044,0.00000000
-5.92796398,0.52935400,0.02700611,0.03109120,0.25658678,0.07201257,0.19656530,0.05328661,0.24072057,0.00000000
-5.92196098,0.53262101,0.02701891,0.03162381,0.26085272,0.07192882,0.19822394,0.05409740,0.24166552,0.00000000
-5.91595798,0.53609498,0.02701561,0.03220677,0.26551506,0.07177439,0.19998013,0.05505918,0.24263016,0.00000000
-5.90995498,0.54036159,0.02702499,0.03287347,0.27084621,0.07162071,0.20204373,0.05624565,0.24388252,0.00000000
-5.90395198,0.54603417,0.02707709,0.03365797,0.27712243,0.07154239,0.20463154,0.05773601,0.24570577,0.00000000
-5.89794897,0.55373344,0.02720216,0.03459372,0.28461346,0.07161459,0.20795960,0.05961276,0.24838945,0.00000000
-5.89194597,0.56406640,0.02742961,0.03571236,0.29357198,0.07191023,0.21223541,0.06195927,0.25222023,0.00000000
-5.88594297,0.57760493,0.02778691,0.03704246,0.30422315,0.07249738,0.21765003,0.06485738,0.25747254,0.00000000
-5.87993997,0.59486501,0.02829866,0.03860837,0.31675464,0.07343657,0.22437056,0.06838476,0.26439935,0.00000000
-5.87393697,0.61628709,0.02898553,0.04042910,0.33130771,0.07477851,0.23253320,0.07261236,0.27322339,0.00000000
-5.86793397,0.64221841,0.02986359,0.04251745,0.34796944,0.07656201,0.24223723,0.07760194,0.28412903,0.00000000
-5.86193097,0.67289781,0.03094353,0.04487918,0.36676672,0.07881237,0.25353998,0.08340359,0.29725513,0.00000000
-5.85592796,0.70844357,0.03223029,0.04751254,0.38766202,0.08154019,0.26645327,0.09005350,0.31268904,0.00000000
-5.84992496,0.74884467,0.03372278,0.05040784,0.41055125,0.08474073,0.28094111,0.09757189,0.33046184,0.00000000
-5.84392196,0.79395572,0.03541384,0.05354746,0.43526380,0.08839380,0.29691909,0.10596126,0.35054506,0.00000000
-5.83791896,0.84349575,0.03729045,0.05690590,0.46156474,0.09246419,0.31425521,0.11520489,0.37284886,0.00000000
-5.83191596,0.89705096,0.03933415,0.06045023,0.48915913,0.09690263,0.33277230,0.12526578,0.39722180,0.00000000
-5.82591296,0.95408120,0.04152167,0.06414059,0.51769828,0.10164726,0.35225187,0.13608596,0.42345207,0.00000000
-5.81990995,1.01393013,0.04382573,0.06793107,0.54678781,0.10662545,0.37243926,0.14758630,0.45127038,0.00000000
-5.81390695,1.07583870,0.04621597,0.07177058,0.57599711,0.11175613,0.39304989,0.15966681,0.48035415,0.00000000
-5.80790395,1.13896148,0.04866002,0.07560400,0.60486993,0.11695218,0.41377643,0.17220751,0.51033325,0.00000000
-5.80190095,1.20238557,0.05112461,0.07937337,0.63293582,0.12212317,0.43429660,0.18506981,0.54079687,0.00000000
-5.79589795,1.26515134,0.05357669,0.08301915,0.65972190,0.12717809,0.45428135,0.19809853,0.57130161,0.00000000
-5.78989495,1.32627456,0.05598448,0.08648156,0.68476463,0.13202796,0.47340316,0.21112450,0.60138056,0.00000000
-5.78389195,1.38476935,0.05831851,0.08970192,0.70762128,0.13658847,0.49134415,0.22396761,0.63055312,0.00000000
-5.77788894,1.43967115,0.06055245,0.09262390,0.72788068,0.14078224,0.50780382,0.23644049,0.65833550,0.00000000
-5.77188594,1.49005936,0.06266380,0.09519485,0.74517298,0.14454086,0.52250611,0.24835254,0.68425152,0.00000000
-5.76588294,1.53507876,0.06463440,0.09736691,0.75917819,0.14780647,0.53520567,0.25951431,0.70784360,0.00000000
-5.75987994,1.57395943,0.06645072,0.09909811,0.76963321,0.15053301,0.54569311,0.26974213,0.72868352,0.00000000
-5.75387694,1.60603442,0.06810392,0.10035327,0.77633735,0.15268696,0.55379913,0.27886281,0.74638282,0.00000000
-5.74787394,1.63075478,0.06958972,0.10110485,0.77915605,0.15424766,0.55939754,0.28671822,0.76060240,0.00000000
-5.74187094,1.64770158,0.07090805,0.10133352,0.77802296,0.15520716,0.56240694,0.29316970,0.77106114,0.00000000
-5.73586793,1.65659453,0.07206254,0.10102862,0.77294022,0.15556970,0.56279131,0.29810201,0.77754310,0.00000000
-5.72986493,1.65729699,0.07305988,0.10018840,0.76397711,0.15535077,0.56055936,0.30142673,0.77990328,0.00000000
-5.72386193,1.64981727,0.07390905,0.09882008,0.75126703,0.15457593,0.55576280,0.30308495,0.77807136,0.00000000
