energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.80316020,0.02624886,0.10063073,1.92795383,0.68117514,1.86365173,0.00000000,0.93926059,0.39606792
-5.99399700,2.85759348,0.02702128,0.10065117,1.97229351,0.70658752,1.90534224,0.00000000,0.97934239,0.39643202
-5.98799400,2.91916133,0.02789270,0.10087388,2.02081586,0.73344820,1.95190031,0.00000000,1.02095256,0.39799068
-5.98199100,2.98705324,0.02885135,0.10128350,2.07299720,0.76133226,2.00278256,0.00000000,1.06372068,0.40071133
-5.97598799,3.06017802,0.02988185,0.10185566,2.12812866,0.78975669,2.05725423,0.00000000,1.10719141,0.40451593
-5.96998499,3.13719239,0.03096551,0.10255781,2.18533230,0.81819273,2.11440732,0.00000000,1.15083204,0.40928431
-5.96398199,3.21653810,0.03208088,0.10335040,2.24358346,0.84608003,2.17318471,0.00000000,1.19404354,0.41485888
-5.95797899,3.29648627,0.03320432,0.10418825,2.30173868,0.87284222,2.23240918,0.00000000,1.23617472,0.42105014
-5.95197599,3.37518738,0.03431081,0.10502210,2.35856813,0.89790326,2.29081653,0.00000000,1.27653901,0.42764312
-5.94597299,3.45072497,0.03537479,0.10580019,2.41279140,0.92070398,2.34709148,0.00000000,1.31443326,0.43440417
-5.93996998,3.52117131,0.03637105,0.10646999,2.46311542,0.94071831,2.39990513,0.00000000,1.34915795,0.44108820
-5.93396698,3.58464309,0.03727571,0.10697986,2.50827305,0.95746847,2.44795278,0.00000000,1.38003783,0.44744585
-5.92796398,3.63935521,0.03806710,0.10728062,2.54706101,0.97053868,2.48999070,0.00000000,1.40644245,0.45323059
-5.92196098,3.68367101,0.03872662,0.10732709,2.57837589,0.97958681,2.52487088,0.00000000,1.42780556,0.45820546
-5.91595798,3.71614736,0.03923945,0.10707935,2.60124688,0.98435368,2.55157247,0.00000000,1.44364278,0.46214931
-5.90995498,3.73557326,0.03959514,0.10650391,2.61486421,0.98466960,2.56922917,0.00000000,1.45356678,0.46486245
-5.90395198,3.74100094,0.03978806,0.10557459,2.61860240,0.98045799,2.57715169,0.00000000,1.45729947,0.46617147
-5.89794897,3.73176874,0.03981756,0.10427316,2.61203764,0.97173610,2.57484476,0.00000000,1.45468078,0.46593332
-5.89194597,3.70751519,0.03968799,0.10258973,2.59495873,0.95861274,2.56201834,0.00000000,1.44567364,0.46403846
-5.88594297,3.66818432,0.03940853,0.10052288,2.56737154,0.94128339,2.53859283,0.00000000,1.43036521,0.46041301
-5.87993997,3.61402210,0.03899273,0.09807955,2.52949685,0.92002269,2.50469830,0.00000000,1.40896417,0.45502003
-5.87393697,3.54556471,0.03845796,0.09527461,2.48176188,0.89517497,2.46066793,0.00000000,1.38179445,0.44785981
-5.86793397,3.46361897,0.03782466,0.09213035,2.42478586,0.86714294,2.40702609,0.00000000,1.34928549,0.43896917
-5.86193097,3.36923602,0.03711549,0.08867566,2.35936046,0.83637522,2.34447145,0.00000000,1.31195959,0.42841987
-5.85592796,3.26367901,0.03635438,0.08494512,2.28642550,0.80335311,2.27385588,0.00000000,1.27041672,0.41631623
-5.84992496,3.14838623,0.03556559,0.08097794,2.20704121,0.76857707,2.19615970,0.00000000,1.22531752,0.40279184
-5.84392196,3.02493056,0.03477274,0.07681688,2.12235762,0.73255333,2.11246428,0.00000000,1.17736485,0.38800571
