energy_ev,total_up,As_p_up,As_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.90535856,0.67256990,0.00000000,1.40584492,0.64403294,0.03173364,0.46430206
-5.99399700,1.91036153,0.66823101,0.00000000,1.42433001,0.64931242,0.02975375,0.47287627
-5.98799400,1.91970910,0.66463109,0.00000000,1.44514148,0.65606231,0.02776513,0.48324586
-5.98199100,1.93252529,0.66162978,0.00000000,1.46702153,0.66411754,0.02578235,0.49501966
-5.97598799,1.94790338,0.65908673,0.00000000,1.48873171,0.67329154,0.02382101,0.50778719
-5.96998499,1.96491784,0.65686239,0.00000000,1.50908626,0.68337586,0.02189707,0.52112561
-5.96398199,1.98263919,0.65481988,0.00000000,1.52698465,0.69414167,0.02002628,0.53460720
-5.95797899,2.00015163,0.65282796,0.00000000,1.54144260,0.70534321,0.01822365,0.54780748
-5.95197599,2.01657355,0.65076522,0.00000000,1.55162054,0.71672336,0.01650298,0.56031371
-5.94597299,2.03108035,0.64852521,0.00000000,1.55684858,0.72802124,0.01487651,0.57173375
-5.93996998,2.04292877,0.64602238,0.00000000,1.55664703,0.73898144,0.01335470,0.58170492
-5.93396698,2.05148177,0.64319839,0.00000000,1.55074159,0.74936464,0.01194602,0.58990270
-5.92796398,2.05623270,0.64002844,0.00000000,1.53907255,0.75895891,0.01065699,0.59604891
-5.92196098,2.05682742,0.63652703,0.00000000,1.52179745,0.76759115,0.00949216,0.59991909
-5.91595798,2.05308312,0.63275281,0.00000000,1.49928702,0.77513800,0.00845425,0.60134868
-5.90995498,2.04500249,0.62881197,0.00000000,1.47211429,0.78153547,0.00754435,0.60023789
-5.90395198,2.03278237,0.62485987,0.00000000,1.44103736,0.78678669,0.00676205,0.59655485
-5.89794897,2.01681583,0.62110049,0.00000000,1.40697629,0.79096724,0.00610576,0.59033704
-5.89194597,1.99768744,0.61778370,0.00000000,1.37098505,0.79422759,0.00557284,0.58169079
-5.88594297,1.97616149,0.61520011,0.00000000,1.33421960,0.79679239,0.00515989,0.57078888
-5.87993997,1.95316336,0.61367374,0.00000000,1.29790335,0.79895649,0.00486286,0.55786642
-5.87393697,1.92975478,0.61355264,0.00000000,1.26329137,0.80107787,0.00467726,0.54321503
-5.86793397,1.90710396,0.61519788,0.00000000,1.23163474,0.80356759,0.00459821,0.52717564
-5.86193097,1.88645160,0.61897129,0.00000000,1.20414635,0.80687735,0.00462055,0.51013023
-5.85592796,1.86907461,0.62522265,0.00000000,1.18196956,0.81148515,0.00473883,0.49249278
-5.84992496,1.85624873,0.63427668,0.00000000,1.16615061,0.81787979,0.00494733,0.47469984
-5.84392196,1.84921204,0.64642074,0.00000000,1.15761575,0.82654498,0.00524004,0.45720099
-5.83791896,1.84913064,0.66189362,0.00000000,1.15715375,0.83794386,0.00561056,0.44044962
-5.83191596,1.85706802,0.68087610,0.00000000,1.16540401,0.85250454,0.00605211,0.42489423
-5.82591296,1.87395929,0.70348369,0.00000000,1.18285041,0.87060750,0.00655741,0.41097042
-5.81990995,1.90059104,0.72976188,0.00000000,1.20982055,0.89257536,0.00711872,0.39909387
-5.81390695,1.93758730,0.75968419,0.00000000,1.24648989,0.91866522,0.00772774,0.38965417
-5.80790395,1.98540179,0.79315296,0.00000000,1.29289014,0.94906400,0.00837567,0.38300963
-5.80190095,2.04431598,0.83000285,0.00000000,1.34892072,0.98388660,0.00905322,0.37948289
-5.79589795,2.11444245,0.87000673,0.00000000,1.41436247,1.02317676,0.00975071,0.37935728
-5.78989495,2.19573250,0.91288369,0.00000000,1.48889238,1.06691021,0.01045816,0.38287362
-5.78389195,2.28798685,0.95830839,0.00000000,1.57209817,1.11499958,0.01116542,0.39022738
-5.77788894,2.39086812,1.00592150,0.00000000,1.66349192,1.16730050,0.01186238,0.40156592
-5.77188594,2.50391385,1.05534028,0.00000000,1.76252165,1.22361817,0.01253909,0.41698572
-5.76588294,2.62654868,1.10616895,0.00000000,1.86858046,1.28371379,0.01318601,0.43652945
-5.75987994,2.75809488,1.15800812,0.00000000,1.98101273,1.34731024,0.01379420,0.46018293
-5.75387694,2.89778050,1.21046282,0.00000000,2.09911746,1.41409659,0.01435551,0.48787192
-5.74787394,3.04474468,1.26314894,0.00000000,2.22214899,1.48373112,0.01486273,0.51945902
-5.74187094,3.19804044,1.31569768,0.00000000,2.34931562,1.55584277,0.01530979,0.55474086
-5.73586793,3.35663526,1.36775822,0.00000000,2.47977717,1.63003114,0.01569188,0.59344596
-5.72986493,3.51941053,1.41899850,0.00000000,2.61264228,1.70586539,0.01600547,0.63523358
-5.72386193,3.68516093,1.46910478,0.00000000,2.74696691,1.78288253,0.01624843,0.67969404
-5.71785893,3.85259527,1.51778000,0.00000000,2.88175502,1.86058577,0.01641997,0.72635086
-5.71185593,4.02034030,1.56474183,0.00000000,3.01596271,1.93844368,0.01652063,0.77466520
-5.70585293,4.18694892,1.60972073,0.00000000,3.14850671,2.01589094,0.01655216,0.82404273
-5.69984992,4.35091413,1.65245873,0.00000000,3.27827793,2.09233138,0.01651745,0.87384334
-5.69384692,4.51068964,1.69270934,0.00000000,3.40416039,2.16714401,0.01642033,0.92339351
-5.68784392,4.66471762,1.73023906,0.00000000,3.52505539,2.23969232,0.01626543,0.97200140
-5.68184092,4.81146364,1.76483068,0.00000000,3.63991046,2.30933719,0.01605799,1.01897424
-5.67583792,4.94945801,1.79628850,0.00000000,3.74775212,2.37545324,0.01580366,1.06363770
-5.66983492,5.07734258,1.82444535,0.00000000,3.84772095,2.43744832,0.01550835,1.10535642
-5.66383192,5.19392086,1.84917113,0.00000000,3.93910740,2.49478539,0.01517800,1.14355510
-5.65782891,5.29820956,1.87038238,0.00000000,4.02138632,2.54700593,0.01481847,1.17773916
-5.65182591,5.38948864,1.88805230,0.00000000,4.09424815,2.59375380,0.01443539,1.20751413
-5.64582291,5.46734732,1.90222053,0.00000000,4.15762468,2.63479808,0.01403406,1.23260275
-5.63981991,5.53172287,1.91300187,0.00000000,4.21170742,2.67005366,0.01361933,1.25285882
-5.63381691,5.58292971,1.92059327,0.00000000,4.25695697,2.69959822,0.01319560,1.26827718
-5.62781391,5.62167619,1.92527813,0.00000000,4.29410205,2.72368410,0.01276677,1.27899888
-5.62181091,5.64906722,1.92742766,0.00000000,4.32412729,2.74274422,0.01233626,1.28531124
-5.61580790,5.66659127,1.92749843,0.00000000,4.34824959,2.75739095,0.01190703,1.28764246
-5.60980490,5.67609113,1.92602601,0.00000000,4.36788329,2.76840739,0.01148161,1.28655073
-5.60380190,5.67971854,1.92361458,0.00000000,4.38459486,2.77673102,0.01106221,1.28270803
