energy_ev,total_up,Hg_p_up,Hg_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,2.56708879,2.87317427,0.28535581,0.92719167,0.00241358,0.66130007,0.00000000
-5.99399700,2.63410848,2.95074092,0.29199555,0.94619076,0.00246210,0.68204494,0.00000000
-5.98799400,2.68628122,3.01134541,0.29699369,0.95952795,0.00249708,0.69911710,0.00000000
-5.98199100,2.72269309,3.05389689,0.30026749,0.96696019,0.00251789,0.71223433,0.00000000
-5.97598799,2.74274004,3.07764475,0.30176926,0.96835924,0.00252425,0.72118912,0.00000000
-5.96998499,2.74614894,3.08220489,0.30148799,0.96371633,0.00251620,0.72585581,0.00000000
-5.96398199,2.73298850,3.06757481,0.29945000,0.95314315,0.00249411,0.72619538,0.00000000
-5.95797899,2.70366951,3.03413674,0.29571831,0.93686912,0.00245868,0.72225737,0.00000000
-5.95197599,2.65893422,2.98264835,0.29039096,0.91523495,0.00241092,0.71417904,0.00000000
-5.94597299,2.59983519,2.91422169,0.28359818,0.88868283,0.00235210,0.70218162,0.00000000
-5.93996998,2.52770451,2.83029089,0.27549865,0.85774361,0.00228373,0.68656378,0.00000000
-5.93396698,2.44411441,2.73257025,0.26627487,0.82302147,0.00220752,0.66769280,0.00000000
-5.92796398,2.35083114,2.62300423,0.25612791,0.78517672,0.00212532,0.64599344,0.00000000
-5.92196098,2.24976378,2.50371172,0.24527175,0.74490747,0.00203905,0.62193537,0.00000000
-5.91595798,2.14291023,2.37692681,0.23392733,0.70293086,0.00195070,0.59601935,0.00000000
-5.90995498,2.03230254,2.24493842,0.22231673,0.65996459,0.00186221,0.56876295,0.00000000
-5.90395198,1.91995370,2.11003147,0.21065752,0.61670941,0.00177549,0.54068634,0.00000000
-5.89794897,1.80780796,1.97443158,0.19915760,0.57383335,0.00169230,0.51229861,0.00000000
-5.89194597,1.69769647,1.84025542,0.18801066,0.53195796,0.00161428,0.48408533,0.00000000
-5.88594297,1.59129981,1.70946843,0.17739250,0.49164724,0.00154288,0.45649758,0.00000000
-5.87993997,1.49011836,1.58385091,0.16745815,0.45339929,0.00147934,0.42994298,0.00000000
-5.87393697,1.39545133,1.46497345,0.15834001,0.41764096,0.00142471,0.40477887,0.00000000
-5.86793397,1.30838465,1.35418164,0.15014695,0.38472535,0.00137981,0.38130782,0.00000000
-5.86193097,1.22978744,1.25259012,0.14296431,0.35493215,0.00134524,0.35977542,0.00000000
-5.85592796,1.16031654,1.16108493,0.13685481,0.32847033,0.00132141,0.34037030,0.00000000
-5.84992496,1.10042795,1.08033334,0.13186011,0.30548294,0.00130857,0.32322622,0.00000000
-5.84392196,1.05039407,1.01079949,0.12800302,0.28605346,0.00130678,0.30842579,0.00000000
-5.83791896,1.01032494,0.95276440,0.12528999,0.27021322,0.00131600,0.29600556,0.00000000
-5.83191596,0.98019210,0.90634848,0.12371395,0.25794930,0.00133609,0.28596213,0.00000000
-5.82591296,0.95985311,0.87153482,0.12325698,0.24921247,0.00136684,0.27825860,0.00000000
-5.81990995,0.94907536,0.84819163,0.12389291,0.24392444,0.00140800,0.27283126,0.00000000
-5.81390695,0.94755739,0.83609227,0.12558951,0.24198439,0.00145928,0.26959580,0.00000000
-5.80790395,0.95494678,0.83493175,0.12831018,0.24327396,0.00152040,0.26845290,0.00000000
-5.80190095,0.97085353,0.84433883,0.13201502,0.24766095,0.00159106,0.26929283,0.00000000
-5.79589795,0.99485836,0.86388332,0.13666130,0.25500119,0.00167095,0.27199890,0.00000000
-5.78989495,1.02651598,0.89307839,0.14220323,0.26513894,0.00175977,0.27644957,0.00000000
-5.78389195,1.06535339,0.93137846,0.14859113,0.27790578,0.00185717,0.28251941,0.00000000
-5.77788894,1.11086397,0.97817325,0.15577008,0.29311825,0.00196276,0.29007883,0.00000000
-5.77188594,1.16249843,1.03277929,0.16367827,0.31057466,0.00207606,0.29899292,0.00000000
-5.76588294,1.21965387,1.09443003,0.17224509,0.33005152,0.00219651,0.30911956,0.00000000
-5.75987994,1.28166237,1.16226633,0.18138930,0.35129994,0.00232340,0.32030726,0.00000000
-5.75387694,1.34778091,1.23532865,0.19101742,0.37404264,0.00245589,0.33239301,0.00000000
-5.74787394,1.41718403,1.31255280,0.20102266,0.39797193,0.00259298,0.34520060,0.00000000
-5.74187094,1.48896065,1.39277040,0.21128438,0.42274924,0.00273349,0.35853962,0.00000000
-5.73586793,1.56211641,1.47471522,0.22166846,0.44800628,0.00287609,0.37220566,0.00000000
-5.72986493,1.63558208,1.55703619,0.23202863,0.47334838,0.00301929,0.38598170,0.00000000
-5.72386193,1.70822874,1.63831733,0.24220866,0.49835981,0.00316148,0.39964103,0.00000000
-5.71785893,1.77888933,1.71710437,0.25204563,0.52261121,0.00330099,0.41295154,0.00000000
-5.71185593,1.84638624,1.79193747,0.26137398,0.54566887,0.00343610,0.42568138,0.00000000
-5.70585293,1.90956363,1.86138869,0.27003035,0.56710551,0.00356510,0.43760576,0.00000000
-5.69984992,1.96732318,1.92410277,0.27785884,0.58651207,0.00368639,0.44851447,0.00000000
-5.69384692,2.01866122,1.97883918,0.28471655,0.60351002,0.00379850,0.45821987,0.00000000
-5.68784392,2.06270527,2.02451333,0.29047898,0.61776346,0.00390019,0.46656467,0.00000000
-5.68184092,2.09874776,2.06023460,0.29504515,0.62899045,0.00399045,0.47342911,0.00000000
-5.67583792,2.12627484,2.08533914,0.29834187,0.63697284,0.00406860,0.47873708,0.00000000
-5.66983492,2.14498828,2.09941535,0.30032715,0.64156408,0.00413427,0.48246057,0.00000000
-5.66383192,2.15481893,2.10232035,0.30099233,0.64269455,0.00418746,0.48462213,0.00000000
-5.65782891,2.15593055,2.09418640,0.30036282,0.64037404,0.00422850,0.48529515,0.00000000
-5.65182591,2.14871352,2.07541647,0.29849745,0.63469113,0.00425805,0.48460157,0.00000000
