energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
-6.00000000,1.55719769,0.00808572,1.04093731,0.02746469,0.00004454,0.97989084,0.43446728
-5.99399700,1.56858182,0.00790478,1.04716024,0.02787240,0.00004498,0.98091457,0.43528411
-5.98799400,1.57561366,0.00768926,1.05099757,0.02816229,0.00004525,0.98000754,0.43563649
-5.98199100,1.57842557,0.00744448,1.05263041,0.02833631,0.00004533,0.97745268,0.43563353
-5.97598799,1.57735806,0.00717640,1.05237822,0.02840011,0.00004524,0.97363603,0.43545447
-5.96998499,1.57295665,0.00689154,1.05069495,0.02836313,0.00004496,0.96904246,0.43534425
-5.96398199,1.56596090,0.00659677,1.04815982,0.02823845,0.00004453,0.96424747,0.43560640
-5.95797899,1.55728568,0.00629916,1.04546292,0.02804261,0.00004396,0.95990515,0.43659337
-5.95197599,1.54799509,0.00600582,1.04338587,0.02779518,0.00004327,0.95673221,0.43869464
-5.94597299,1.53926963,0.00572372,1.04277801,0.02751831,0.00004250,0.95548857,0.44232290
-5.93996998,1.53236767,0.00545951,1.04452877,0.02723610,0.00004169,0.95695493,0.44789888
-5.93396698,1.52858240,0.00521937,1.04953713,0.02697381,0.00004088,0.96190799,0.45583506
-5.92796398,1.52919579,0.00500887,1.05867923,0.02675712,0.00004010,0.97109413,0.46651911
-5.92196098,1.53543121,0.00483284,1.07277512,0.02661121,0.00003940,0.98520256,0.48029734
-5.91595798,1.54840661,0.00469521,1.09255619,0.02655988,0.00003883,1.00483897,0.49745904
-5.90995498,1.56908998,0.00459900,1.11863431,0.02662465,0.00003841,1.03050077,0.51822208
-5.90395198,1.59825899,0.00454616,1.15147416,0.02682396,0.00003819,1.06255510,0.54272046
-5.89794897,1.63646667,0.00453760,1.19136989,0.02717236,0.00003819,1.10122071,0.57099437
-5.89194597,1.68401447,0.00457312,1.23842729,0.02767989,0.00003845,1.14655450,0.60298324
-5.88594297,1.74093417,0.00465143,1.29255235,0.02835159,0.00003897,1.19844370,0.63852216
-5.87993997,1.80697955,0.00477021,1.35344695,0.02918712,0.00003978,1.25660427,0.67734192
-5.87393697,1.88162839,0.00492610,1.42061211,0.03018063,0.00004087,1.32058560,0.71907302
-5.86793397,1.96409496,0.00511487,1.49335889,0.03132081,0.00004225,1.38978191,0.76325336
-5.86193097,2.05335264,0.00533147,1.57082671,0.03259116,0.00004391,1.46344973,0.80933977
-5.85592796,2.14816599,0.00557017,1.65200852,0.03397039,0.00004583,1.54073100,0.85672282
-5.84992496,2.24713084,0.00582471,1.73578188,0.03543308,0.00004800,1.62068095,0.90474452
-5.84392196,2.34872094,0.00608847,1.82094470,0.03695046,0.00005038,1.70229927,0.95271826
