energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.44738068,0.75282705,0.00863857,0.04274633,2.61337369,1.89835163,1.99992956
-5.99399700,4.49980190,0.73730777,0.00865463,0.04325365,2.68051668,1.92032482,2.03929451
-5.98799400,4.55565394,0.72162697,0.00868426,0.04373488,2.75055509,1.94265017,2.08068781
-5.98199100,4.61478077,0.70613243,0.00872836,0.04418889,2.82283676,1.96532532,2.12370916
-5.97598799,4.67678148,0.69114206,0.00878716,0.04461432,2.89654741,1.98826547,2.16782812
-5.96998499,4.74102539,0.67693849,0.00886026,0.04500972,2.97073165,2.01130695,2.21239920
-5.96398199,4.80668052,0.66376597,0.00894665,0.04537374,3.04432202,2.03421592,2.25668327
-5.95797899,4.87275381,0.65182940,0.00904483,0.04570537,3.11617479,2.05670175,2.29987429
-5.95197599,4.93814033,0.64129517,0.00915285,0.04600415,3.18511095,2.07843396,2.34113017
-5.94597299,5.00167867,0.63229345,0.00926844,0.04627042,3.24996012,2.09906172,2.37960611
-5.93996998,5.06220904,0.62492150,0.00938915,0.04650550,3.30960542,2.11823454,2.41448878
-5.93396698,5.11863063,0.61924742,0.00951247,0.04671182,3.36302692,2.13562292,2.44502975
-5.92796398,5.16995489,0.61531403,0.00963596,0.04689297,3.40934140,2.15093749,2.47057623
-5.92196098,5.21535169,0.61314229,0.00975735,0.04705369,3.44783659,2.16394566,2.49059789
-5.91595798,5.25418571,0.61273407,0.00987462,0.04719971,3.47799801,2.17448469,2.50470825
-5.90995498,5.28604140,0.61407395,0.00998613,0.04733755,3.49952728,2.18247044,2.51267971
-5.90395198,5.31073509,0.61713000,0.01009061,0.04747419,3.51235102,2.18790145,2.51445168
-5.89794897,5.32831429,0.62185341,0.01018721,0.04761672,3.51662011,2.19085813,2.51013147
-5.89194597,5.33904447,0.62817730,0.01027549,0.04777188,3.51269965,2.19149739,2.49998819
-5.88594297,5.34338477,0.63601473,0.01035539,0.04794564,3.50115032,2.19004308,2.48444022
-5.87993997,5.34195469,0.64525639,0.01042716,0.04814278,3.48270250,2.18677319,2.46403709
-5.87393697,5.33549417,0.65576824,0.01049133,0.04836643,3.45822474,2.18200455,2.43943704
-5.86793397,5.32482012,0.66738963,0.01054859,0.04861780,3.42868846,2.17607637,2.41138160
-5.86193097,5.31078225,0.67993209,0.01059973,0.04889593,3.39513099,2.16933358,2.38066861
-5.85592796,5.29422142,0.69317944,0.01064556,0.04919757,3.35861892,2.16211132,2.34812526
-5.84992496,5.27593304,0.70688928,0.01068682,0.04951720,3.32021367,2.15472140,2.31458249
-5.84392196,5.25663785,0.72079625,0.01072414,0.04984719,3.28094110,2.14744185,2.28085201
-5.83791896,5.23696179,0.73461698,0.01075798,0.05017807,3.24176623,2.14051002,2.24770681
-5.83191596,5.21742597,0.74805688,0.01078863,0.05049899,3.20357421,2.13411968,2.21586598
-5.82591296,5.19844674,0.76081847,0.01081621,0.05079818,3.16715787,2.12842221,2.18598403
-5.81990995,5.18034565,0.77261108,0.01084068,0.05106365,3.13321180,2.12353174,2.15864485
-5.81390695,5.16336768,0.78316141,0.01086190,0.05128379,3.10233253,2.11953356,2.13435979
-5.80790395,5.14770613,0.79222454,0.01087969,0.05144808,3.07502391,2.11649523,2.11356950
-5.80190095,5.13353173,0.79959477,0.01089391,0.05154780,3.05170642,2.11447938,2.09664845
-5.79589795,5.12102321,0.80511581,0.01090455,0.05157662,3.03272919,2.11355715,2.08391139
-5.78989495,5.11039691,0.80868957,0.01091177,0.05153121,3.01838297,2.11382104,2.07562054
-5.78389195,5.10193236,0.81028314,0.01091602,0.05141165,3.00891277,2.11539625,2.07199258
-5.77788894,5.09599188,0.80993339,0.01091810,0.05122179,3.00452874,2.11844922,2.07320451
-5.77188594,5.09303197,0.80774890,0.01091915,0.05096938,3.00541412,2.12319280,2.07939758
-5.76588294,5.09360528,0.80390886,0.01092074,0.05066618,3.01172952,2.12988711,2.09067888
-5.75987994,5.09835250,0.79865890,0.01092481,0.05032774,3.02361298,2.13883599,2.10712008
-5.75387694,5.10798413,0.79230395,0.01093365,0.04997322,3.04117577,2.15037872,2.12875358
-5.74787394,5.12325280,0.78519820,0.01094986,0.04962488,3.06449425,2.16487735,2.15556613
-5.74187094,5.14491767,0.77773270,0.01097623,0.04930764,3.09359832,2.18270012,2.18749047
-5.73586793,5.17370260,0.77032083,0.01101564,0.04904839,3.12845741,2.20420176,2.22439571
-5.72986493,5.21025055,0.76338256,0.01107093,0.04887529,3.16896527,2.22970149,2.26607725
-5.72386193,5.25507680,0.75732784,0.01114479,0.04881703,3.21492453,2.25946014,2.31224709
-5.71785893,5.30852359,0.75254010,0.01123957,0.04890206,3.26603263,2.29365736,2.36252557
-5.71185593,5.37071902,0.74936040,0.01135718,0.04915778,3.32187012,2.33237040,2.41643538
-5.70585293,5.44154245,0.74807306,0.01149895,0.04960980,3.38189259,2.37555552,2.47339845
-5.69984992,5.52059873,0.74889326,0.01166553,0.05028123,3.44542704,2.42303331,2.53273664
-5.69384692,5.60720275,0.75195733,0.01185679,0.05119205,3.51167339,2.47447873,2.59367630
-5.68784392,5.70037560,0.75731595,0.01207178,0.05235848,3.57971151,2.52941677,2.65535715
-5.68184092,5.79885286,0.76493076,0.01230869,0.05379253,3.64851379,2.58722398,2.71684536
