energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,2.37508130,0.00403160,0.15163295,0.03212195,1.22612575,0.48831793,0.14870703,0.36598735,0.25040928
-5.99399700,2.42473291,0.00414805,0.16126713,0.03448660,1.24420330,0.48740502,0.15297742,0.38450697,0.25556142
-5.98799400,2.47986725,0.00433684,0.17160567,0.03698443,1.26482623,0.48691851,0.15770262,0.40595053,0.26079133
-5.98199100,2.54009971,0.00460514,0.18255029,0.03958256,1.28792782,0.48693022,0.16288509,0.43041605,0.26601092
-5.97598799,2.60519130,0.00496227,0.19400942,0.04224828,1.31351781,0.48755165,0.16853179,0.45800978,0.27115570
-5.96998499,2.67505031,0.00541950,0.20590125,0.04494969,1.34167853,0.48893054,0.17465391,0.48884520,0.27618682
-5.96398199,2.74972912,0.00598991,0.21815655,0.04765641,1.37255852,0.49124608,0.18126630,0.52304091,0.28109245
-5.95797899,2.82941575,0.00668810,0.23072083,0.05034016,1.40636373,0.49470254,0.18838678,0.56071718,0.28588834
-5.95197599,2.91441958,0.00752992,0.24355597,0.05297550,1.44334617,0.49952166,0.19603523,0.60199107,0.29061757
-5.94597299,3.00515129,0.00853203,0.25664100,0.05554029,1.48379022,0.50593387,0.20423242,0.64697001,0.29534918
-5.93996998,3.10209708,0.00971144,0.26997186,0.05801624,1.52799691,0.51416852,0.21299873,0.69574389,0.30017589
-5.93396698,3.20578769,0.01108503,0.28356033,0.06038921,1.57626645,0.52444366,0.22235267,0.74837583,0.30521078
-5.92796398,3.31676291,0.01266894,0.29743187,0.06264945,1.62887953,0.53695552,0.23230928,0.80489190,0.31058298
-5.92196098,3.43553264,0.01447794,0.31162246,0.06479161,1.68607803,0.55186816,0.24287844,0.86527024,0.31643249
-5.91595798,3.56253591,0.01652475,0.32617467,0.06681465,1.74804576,0.56930390,0.25406308,0.92943012,0.32290429
-5.90995498,3.69809926,0.01881937,0.34113295,0.06872150,1.81489004,0.58933465,0.26585745,0.99722143,0.33014189
-5.90395198,3.84239642,0.02136839,0.35653847,0.07051867,1.88662478,0.61197495,0.27824542,1.06841548,0.33828048
-5.89794897,3.99541106,0.02417434,0.37242365,0.07221556,1.96315600,0.63717674,0.29119889,1.14269759,0.34744011
-5.89194597,4.15690462,0.02723508,0.38880681,0.07382380,2.04427053,0.66482650,0.30467645,1.21966235,0.35771899
-5.88594297,4.32639098,0.03054329,0.40568704,0.07535637,2.12962848,0.69474486,0.31862230,1.29881201,0.36918728
-5.87993997,4.50311984,0.03408607,0.42303988,0.07682679,2.21876032,0.72668887,0.33296557,1.37955858,0.38188172
-5.87393697,4.68607004,0.03784472,0.44081370,0.07824820,2.31106876,0.76035697,0.34762004,1.46122997,0.39580124
-5.86793397,4.87395398,0.04179457,0.45892744,0.07963253,2.40583590,0.79539665,0.36248444,1.54308028,0.41090385
-5.86193097,5.06523363,0.04590516,0.47726959,0.08098971,2.50223554,0.83141446,0.37744324,1.62430418,0.42710508
-5.85592796,5.25814811,0.05014052,0.49569868,0.08232707,2.59935046,0.86798810,0.39236814,1.70405502,0.44427790
-5.84992496,5.45075209,0.05445962,0.51404529,0.08364875,2.69619422,0.90468007,0.40712005,1.78146610,0.46225444
-5.84392196,5.64096384,0.05881718,0.53211558,0.08495543,2.79173649,0.94105228,0.42155165,1.85567426,0.48082925
-5.83791896,5.82662102,0.06316446,0.54969615,0.08624418,2.88493123,0.97668094,0.43551052,1.92584474,0.49976417
-5.83191596,6.00554162,0.06745041,0.56656005,0.08750843,2.97474604,1.01117098,0.44884256,1.99119631,0.51879456
-5.82591296,6.17558748,0.07162280,0.58247375,0.08873830,3.06019166,1.04416924,0.46139570,2.05102506,0.53763662
-5.81990995,6.33472700,0.07562954,0.59720455,0.08992090,3.14034999,1.07537574,0.47302372,2.10472608,0.55599559
-5.81390695,6.48109417,0.07941994,0.61052828,0.09104089,3.21439911,1.10455234,0.48359001,2.15181133,0.57357437
-5.80790395,6.61304062,0.08294610,0.62223679,0.09208112,3.28163419,1.13152831,0.49297099,2.19192309,0.59008220
-5.80190095,6.72917812,0.08616404,0.63214482,0.09302331,3.34148293,1.15620241,0.50105922,2.22484189,0.60524309
-5.79589795,6.82840940,0.08903488,0.64009603,0.09384878,3.39351487,1.17854136,0.50776584,2.25048865,0.61880356
-5.78989495,6.90994567,0.09152575,0.64596781,0.09453911,3.43744403,1.19857477,0.51302229,2.26892066,0.63053938
-5.78389195,6.97331027,0.09361053,0.64967471,0.09507684,3.47312479,1.21638675,0.51678133,2.28032173,0.64026105
-5.77788894,7.01832862,0.09527030,0.65117029,0.09544595,3.50054154,1.23210473,0.51901714,2.28498704,0.64781789
-5.77188594,7.04510560,0.09649360,0.65044750,0.09563238,3.51979271,1.24588618,0.51972464,2.28330357,0.65310051
