energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,0.53220044,0.04806050,0.00000000,0.16952642,0.15265758,0.00833989,0.12382615
-5.99399700,0.58746157,0.05538624,0.00000000,0.19090727,0.16734472,0.00892875,0.12506008
-5.98799400,0.65279117,0.06356208,0.00000000,0.21538538,0.18481500,0.00973225,0.12921193
-5.98199100,0.72800030,0.07258872,0.00000000,0.24297921,0.20499798,0.01075893,0.13612920
-5.97598799,0.81274871,0.08244967,0.00000000,0.27365003,0.22777843,0.01201652,0.14565089
-5.96998499,0.90652918,0.09310949,0.00000000,0.30729629,0.25299239,0.01351171,0.15760496
-5.96398199,1.00865528,0.10451249,0.00000000,0.34374922,0.28042430,0.01524989,0.17180572
-5.95797899,1.11825378,0.11658206,0.00000000,0.38277010,0.30980543,0.01723493,0.18805129
-5.95197599,1.23426307,0.12922066,0.00000000,0.42404962,0.34081408,0.01946890,0.20612155
-5.94597299,1.35543839,0.14231059,0.00000000,0.46720942,0.37307772,0.02195194,0.22577680
-5.93996998,1.48036465,0.15571567,0.00000000,0.51180634,0.40617723,0.02468208,0.24675742
-5.93396698,1.60747717,0.16928375,0.00000000,0.55733929,0.43965340,0.02765516,0.26878460
-5.92796398,1.73509020,0.18284996,0.00000000,0.60325873,0.47301559,0.03086487,0.29156245
-5.92196098,1.86143276,0.19624084,0.00000000,0.64897872,0.50575237,0.03430274,0.31478126
-5.91595798,1.98469080,0.20927899,0.00000000,0.69389108,0.53734388,0.03795835,0.33812213
-5.90995498,2.10305424,0.22178819,0.00000000,0.73738143,0.56727551,0.04181949,0.36126269
-5.90395198,2.21476713,0.23359877,0.00000000,0.77884621,0.59505238,0.04587242,0.38388375
-5.89794897,2.31817893,0.24455298,0.00000000,0.81771040,0.62021397,0.05010217,0.40567663
-5.89194597,2.41179460,0.25451010,0.00000000,0.85344480,0.64234836,0.05449281,0.42635084
-5.88594297,2.49432120,0.26335111,0.00000000,0.88558244,0.66110543,0.05902771,0.44564176
-5.87993997,2.56470888,0.27098254,0.00000000,0.91373317,0.67620831,0.06368978,0.46331800
-5.87393697,2.62218421,0.27733954,0.00000000,0.93759580,0.68746259,0.06846159,0.47918798
-5.86793397,2.66627414,0.28238777,0.00000000,0.95696727,0.69476286,0.07332545,0.49310548
-5.86193097,2.69681953,0.28612416,0.00000000,0.97174830,0.69809619,0.07826338,0.50497381
-5.85592796,2.71397752,0.28857642,0.00000000,0.98194542,0.69754237,0.08325694,0.51474853
-5.84992496,2.71821252,0.28980144,0.00000000,0.98766917,0.69327096,0.08828698,0.52243828
-5.84392196,2.71027658,0.28988247,0.00000000,0.98912872,0.68553520,0.09333337,0.52810404
-5.83791896,2.69117991,0.28892553,0.00000000,0.98662311,0.67466311,0.09837460,0.53185649
-5.83191596,2.66215321,0.28705489,0.00000000,0.98052966,0.66104625,0.10338739,0.53385193
-5.82591296,2.62460375,0.28440822,0.00000000,0.97129023,0.64512656,0.10834640,0.53428667
-5.81990995,2.58006727,0.28113136,0.00000000,0.95939584,0.62738209,0.11322391,0.53339040
-5.81390695,2.53015815,0.27737323,0.00000000,0.94537065,0.60831202,0.11798973,0.53141864
-5.80790395,2.47652001,0.27328096,0.00000000,0.92975587,0.58842189,0.12261118,0.52864484
-5.80190095,2.42077903,0.26899554,0.00000000,0.91309442,0.56820940,0.12705340,0.52535230
-5.79589795,2.36450180,0.26464816,0.00000000,0.89591691,0.54815157,0.13127974,0.52182633
-5.78989495,2.30915928,0.26035742,0.00000000,0.87872949,0.52869356,0.13525251,0.51834701
-5.78389195,2.25609787,0.25622740,0.00000000,0.86200394,0.51023953,0.13893389,0.51518267
-5.77788894,2.20651840,0.25234670,0.00000000,0.84617015,0.49314581,0.14228704,0.51258447
-5.77188594,2.16146289,0.24878836,0.00000000,0.83161110,0.47771635,0.14527742,0.51078206
-5.76588294,2.12180914,0.24561053,0.00000000,0.81866024,0.46420058,0.14787410,0.50998045
-5.75987994,2.08827210,0.24285788,0.00000000,0.80760106,0.45279333,0.15005127,0.51035814
-5.75387694,2.06141123,0.24056344,0.00000000,0.79866849,0.44363675,0.15178950,0.51206629
-5.74787394,2.04164249,0.23875075,0.00000000,0.79205175,0.43682380,0.15307705,0.51522902
-5.74187094,2.02925356,0.23743614,0.00000000,0.78789823,0.43240294,0.15391085,0.51994438
-5.73586793,2.02442094,0.23663090,0.00000000,0.78631795,0.43038365,0.15429727,0.52628617
