energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.34688933,0.50443722,0.38923002,0.00885072,0.39591297,0.72948984,0.72838057,0.00404466,0.90574298
-5.99399700,2.34898210,0.52099852,0.39020397,0.00873277,0.38673169,0.75032571,0.71279802,0.00399935,0.92417319
-5.98799400,2.36313174,0.54011407,0.39157781,0.00858555,0.38028927,0.77519449,0.70202710,0.00398363,0.94635138
-5.98199100,2.38967559,0.56180241,0.39340432,0.00841292,0.37668612,0.80432476,0.69619062,0.00399531,0.97235108
-5.97598799,2.42872214,0.58603598,0.39573034,0.00821932,0.37596652,0.83787864,0.69530804,0.00403252,1.00218145
-5.96998499,2.48013096,0.61273520,0.39859216,0.00800964,0.37811713,0.87593880,0.69929342,0.00409368,1.03577603
-5.96398199,2.54349858,0.64176365,0.40201115,0.00778902,0.38306699,0.91849719,0.70795593,0.00417740,1.07298331
-5.95797899,2.61815178,0.67292473,0.40599003,0.00756268,0.39068895,0.96544643,0.72100324,0.00428245,1.11355974
-5.95197599,2.70314882,0.70596033,0.41050992,0.00733575,0.40080257,1.01657404,0.73804763,0.00440768,1.15716581
-5.94597299,2.79728955,0.74055142,0.41552845,0.00711305,0.41317845,1.07156020,0.75861489,0.00455197,1.20336554
-5.93996998,2.89913426,0.77632106,0.42097905,0.00689893,0.42754387,1.12997922,0.78215571,0.00471413,1.25162992
-5.93396698,3.00703143,0.81283970,0.42677138,0.00669714,0.44358971,1.19130473,0.80805939,0.00489290,1.30134411
-5.92796398,3.11915342,0.84963272,0.43279307,0.00651070,0.46097821,1.25491879,0.83566953,0.00508691,1.35181858
-5.92196098,3.23353936,0.88619010,0.43891257,0.00634178,0.47935165,1.32012441,0.86430110,0.00529468,1.40230378
-5.91595798,3.34814380,0.92197796,0.44498309,0.00619170,0.49834144,1.38616136,0.89325847,0.00551458,1.45200785
-5.90995498,3.46088927,0.95645138,0.45084729,0.00606086,0.51757744,1.45222453,0.92185383,0.00574492,1.50011680
-5.90395198,3.56972113,0.98906838,0.45634270,0.00594878,0.53669720,1.51748430,0.94942528,0.00598393,1.54581636
-5.89794897,3.67266240,1.01930416,0.46130736,0.00585417,0.55535473,1.58110813,0.97535403,0.00622986,1.58831466
-5.89194597,3.76786665,1.04666538,0.46558573,0.00577499,0.57322869,1.64228250,0.99908014,0.00648098,1.62686470
