energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.64404002,0.06671681,0.00000000,0.03334622,1.02633819,0.56460218,0.59916070
-5.99399700,1.71020036,0.06946781,0.00000000,0.03466274,1.06760418,0.58706082,0.62337455
-5.98799400,1.76741347,0.07184142,0.00000000,0.03580275,1.10328699,0.60651475,0.64430035
-5.98199100,1.81430218,0.07378451,0.00000000,0.03673748,1.13252616,0.62247550,0.66144142
-5.97598799,1.84972096,0.07525283,0.00000000,0.03744300,1.15460530,0.63453805,0.67438396
-5.96998499,1.87278734,0.07621243,0.00000000,0.03790075,1.16897173,0.64239073,0.68280868
-5.96398199,1.88290612,0.07664073,0.00000000,0.03809808,1.17525149,0.64582292,0.68649983
-5.95797899,1.87978514,0.07652722,0.00000000,0.03802853,1.17325898,0.64472984,0.68535098
-5.95197599,1.86344163,0.07587387,0.00000000,0.03769192,1.16300078,0.63911441,0.67936736
-5.94597299,1.83419890,0.07469498,0.00000000,0.03709424,1.14467326,0.62908575,0.66866462
-5.93996998,1.79267337,0.07301679,0.00000000,0.03624741,1.11865418,0.61485458,0.65346393
-5.93396698,1.73975267,0.07087666,0.00000000,0.03516876,1.08548852,0.59672558,0.63408379
-5.92796398,1.67656588,0.06832191,0.00000000,0.03388042,1.04586945,0.57508704,0.61092893
-5.92196098,1.60444737,0.06540843,0.00000000,0.03240851,1.00061504,0.55039856,0.58447675
-5.91595798,1.52489612,0.06219912,0.00000000,0.03078234,0.95064220,0.52317701,0.55526209
-5.90995498,1.43953253,0.05876225,0.00000000,0.02903343,0.89693885,0.49398185,0.52386094
-5.90395198,1.35005471,0.05516969,0.00000000,0.02719460,0.84053562,0.46340014,0.49087398
-5.89794897,1.25819631,0.05149542,0.00000000,0.02529907,0.78247851,0.43203223,0.45691056
-5.89194597,1.16568773,0.04781395,0.00000000,0.02337960,0.72380352,0.40047848,0.42257388
-5.88594297,1.07422220,0.04419914,0.00000000,0.02146777,0.66551419,0.36932771,0.38844796
-5.87993997,0.98542791,0.04072311,0.00000000,0.01959335,0.60856307,0.33914768,0.35508675
-5.87393697,0.90084703,0.03745556,0.00000000,0.01778382,0.55383725,0.31047782,0.32300588
-5.86793397,0.82192165,0.03446326,0.00000000,0.01606403,0.50214860,0.28382439,0.29267693
-5.86193097,0.74998679,0.03180986,0.00000000,0.01445606,0.45422833,0.25965778,0.26452449
-5.85592796,0.68626958,0.02955592,0.00000000,0.01297916,0.41072578,0.23841198,0.23892561
