energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.48093253,0.66354469,0.43695659,0.00548180,0.49632477,1.25398058,1.42373409,0.00610599,1.13178566
-5.99399700,3.59064855,0.68735196,0.45208214,0.00574998,0.51150499,1.28272479,1.47147971,0.00634866,1.16080389
-5.98799400,3.70782988,0.71136396,0.46809358,0.00599577,0.52817028,1.31284042,1.52302399,0.00665865,1.19107412
-5.98199100,3.83177539,0.73533672,0.48488777,0.00621487,0.54629384,1.34425920,1.57803404,0.00703356,1.22238169
-5.97598799,3.96151463,0.75900505,0.50232877,0.00640344,0.56580073,1.37684025,1.63605089,0.00746988,1.25444451
-5.96998499,4.09580403,0.78208755,0.52024707,0.00655824,0.58656494,1.41036531,1.69648857,0.00796291,1.28691396
-5.96398199,4.23313442,0.80429280,0.53844037,0.00667665,0.60840827,1.44453755,1.75863838,0.00850670,1.31937883
-5.95797899,4.37175040,0.82532626,0.55667563,0.00675681,0.63110135,1.47898418,1.82167847,0.00909399,1.35137237
-5.95197599,4.50968127,0.84489780,0.57469271,0.00679764,0.65436671,1.51326257,1.88468883,0.00971625,1.38238224
-5.94597299,4.64478299,0.86272947,0.59220939,0.00679887,0.67788391,1.54687001,1.94667121,0.01036373,1.41186316
-5.93996998,4.77478980,0.87856313,0.60892779,0.00676101,0.70129662,1.57925637,2.00657340,0.01102556,1.43925164
-5.93396698,4.89737370,0.89216765,0.62454189,0.00668531,0.72422130,1.60983945,2.06331706,0.01168998,1.46398236
-5.92796398,5.01020959,0.90334542,0.63874602,0.00657375,0.74625724,1.63802210,2.11582810,0.01234454,1.48550552
-5.92196098,5.11104352,0.91193769,0.65124390,0.00642891,0.76699760,1.66321056,2.16306833,0.01297639,1.50330433
-5.91595798,5.19776119,0.91782876,0.66175792,0.00625389,0.78604094,1.68483312,2.20406716,0.01357259,1.51691210
-5.90995498,5.26845404,0.92094871,0.67003833,0.00605220,0.80300279,1.70235842,2.23795200,0.01412047,1.52592793
-5.90395198,5.32147998,0.92127455,0.67587185,0.00582766,0.81752687,1.71531245,2.26397615,0.01460799,1.53003069
-5.89794897,5.35551634,0.91882997,0.67908937,0.00558424,0.82929547,1.72329371,2.28154294,0.01502409,1.52899026
-5.89194597,5.36960277,0.91368356,0.67957237,0.00532600,0.83803853,1.72598592,2.29022513,0.01535904,1.52267600
-5.88594297,5.36317251,0.90594578,0.67725781,0.00505695,0.84354120,1.72316769,2.28977878,0.01560475,1.51106187
-5.87993997,5.33607058,0.89576486,0.67214115,0.00478096,0.84564960,1.71471905,2.28015110,0.01575500,1.49422805
-5.87393697,5.28855866,0.88332179,0.66427751,0.00450170,0.84427446,1.70062454,2.26148187,0.01580570,1.47235917
-5.86793397,5.22130631,0.86882493,0.65378067,0.00422253,0.83939281,1.68097294,2.23409861,0.01575496,1.44573925
-5.86193097,5.13536944,0.85250415,0.64082022,0.00394651,0.83104753,1.65595379,2.19850573,0.01560317,1.41474354
-5.85592796,5.03215703,0.83460511,0.62561674,0.00367631,0.81934499,1.62585104,2.15536816,0.01535297,1.37982785
-5.84992496,4.91338770,0.81538375,0.60843535,0.00341423,0.80445084,1.59103416,2.10549024,0.01500916,1.34151572
-5.84392196,4.78103815,0.79510117,0.58957785,0.00316219,0.78658432,1.55194721,2.04979089,0.01457847,1.30038404
-5.83791896,4.63728555,0.77401910,0.56937376,0.00292171,0.76601133,1.50909642,1.98927595,0.01406940,1.25704771
-5.83191596,4.48444619,0.75239595,0.54817072,0.00269399,0.74303646,1.46303673,1.92500878,0.01349186,1.21214385
-5.82591296,4.32491266,0.73048347,0.52632445,0.00247985,0.71799445,1.41435773,1.85808041,0.01285683,1.16631620
-5.81990995,4.16109170,0.70852397,0.50418885,0.00227984,0.69124134,1.36366960,1.78958002,0.01217607,1.12020003
-5.81390695,3.99534453,0.68674795,0.48210645,0.00209422,0.66314549,1.31158928,1.72056682,0.01146167,1.07440803
-5.80790395,3.82993149,0.66537207,0.46039962,0.00192303,0.63407891,1.25872721,1.65204418,0.01072573,1.02951747
-5.80190095,3.66696218,0.64459719,0.43936269,0.00176607,0.60440900,1.20567494,1.58493653,0.00998005,0.98605890
-5.79589795,3.50835220,0.62460649,0.41925534,0.00162300,0.57449081,1.15299374,1.52006977,0.00923574,0.94450636
-5.78989495,3.35578715,0.60556349,0.40029736,0.00149333,0.54466023,1.10120436,1.45815533,0.00850303,0.90526937
-5.78389195,3.21069438,0.58760983,0.38266473,0.00137643,0.51522788,1.05077800,1.39977816,0.00779105,0.86868655
-5.77788894,3.07422260,0.57086295,0.36648729,0.00127161,0.48647404,1.00212863,1.34538885,0.00710765,0.83502098
-5.77188594,2.94722937,0.55541361,0.35184783,0.00117807,0.45864453,0.95560675,1.29529959,0.00645931,0.80445714
-5.76588294,2.83027634,0.54132341,0.33878244,0.00109499,0.43194765,0.91149456,1.24968410,0.00585113,0.77709957
-5.75987994,2.72363186,0.52862249,0.32728234,0.00102149,0.40655212,0.87000270,1.20858115,0.00528681,0.75297301
-5.75387694,2.62728073,0.51730760,0.31729665,0.00095667,0.38258609,0.83126867,1.17190147,0.00476874,0.73202419
-5.74787394,2.54094047,0.50734078,0.30873630,0.00089962,0.36013718,0.79535695,1.13943774,0.00429810,0.71412512
-5.74187094,2.46408375,0.49864890,0.30147867,0.00084945,0.33925354,0.76226094,1.11087727,0.00387497,0.69907804
-5.73586793,2.39596638,0.49112430,0.29537300,0.00080526,0.31994581,0.73190670,1.08581708,0.00349855,0.68662183
-5.72986493,2.33566011,0.48462667,0.29024623,0.00076619,0.30219005,0.70415854,1.06378083,0.00316728,0.67643998
-5.72386193,2.28208955,0.47898623,0.28590916,0.00073142,0.28593143,0.67882638,1.04423733,0.00287907,0.66816999
-5.71785893,2.23407234,0.47400841,0.28216287,0.00070017,0.27108864,0.65567464,1.02661996,0.00263147,0.66141410
-5.71185593,2.19036152,0.46947975,0.27880506,0.00067172,0.25755889,0.63443262,1.01034666,0.00242186,0.65575114
-5.70585293,2.14968900,0.46517504,0.27563625,0.00064542,0.24522329,0.61480588,0.99483990,0.00224758,0.65074918
-5.69984992,2.11080896,0.46086533,0.27246572,0.00062070,0.23395248,0.59648832,0.97954601,0.00210614,0.64597878
-5.69384692,2.07253976,0.45632656,0.26911692,0.00059708,0.22361227,0.57917457,0.96395346,0.00199529,0.64102633
-5.68784392,2.03380319,0.45134846,0.26543235,0.00057414,0.21406922,0.56257211,0.94760940,0.00191317,0.63550701
