energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.51331074,0.23843127,0.00356878,0.00878883,0.84762067,0.34100842,0.45000604
-5.99399700,1.54546564,0.24246386,0.00364676,0.00850399,0.86758517,0.35290730,0.45531773
-5.98799400,1.57679355,0.24599401,0.00371625,0.00828271,0.88751400,0.36573916,0.46138833
-5.98199100,1.60680973,0.24892030,0.00377574,0.00812573,0.90714530,0.37938552,0.46815564
-5.97598799,1.63512044,0.25115740,0.00382418,0.00803346,0.92626836,0.39373542,0.47556202
-5.96998499,1.66143687,0.25263872,0.00386094,0.00800598,0.94473152,0.40868775,0.48355816
-5.96398199,1.68558381,0.25331817,0.00388586,0.00804298,0.96244706,0.42415261,0.49210595
-5.95797899,1.70750255,0.25317111,0.00389921,0.00814371,0.97939280,0.44005156,0.50118041
-5.95197599,1.72724757,0.25219425,0.00390165,0.00830691,0.99560997,0.45631672,0.51077027
-5.94597299,1.74497703,0.25040466,0.00389420,0.00853072,1.01119752,0.47288866,0.52087733
-5.93996998,1.76093752,0.24783786,0.00387818,0.00881254,1.02630298,0.48971323,0.53151425
-5.93396698,1.77544359,0.24454524,0.00385509,0.00914899,1.04111009,0.50673753,0.54270115
-5.92796398,1.78885320,0.24059077,0.00382656,0.00953576,1.05582398,0.52390513,0.55446088
-5.92196098,1.80154029,0.23604745,0.00379425,0.00996758,1.07065439,0.54115110,0.56681327
-5.91595798,1.81386597,0.23099345,0.00375975,0.01043815,1.08579800,0.55839692,0.57976879
-5.90995498,1.82614990,0.22550838,0.00372454,0.01094010,1.10142066,0.57554591,0.59332182
-5.90395198,1.83864348,0.21966977,0.00368985,0.01146506,1.11764065,0.59247948,0.60744399
-5.89794897,1.85150652,0.21355000,0.00365667,0.01200371,1.13451380,0.60905449,0.62207819
-5.89194597,1.86478861,0.20721385,0.00362564,0.01254588,1.15202160,0.62510223,0.63713351
-5.88594297,1.87841654,0.20071668,0.00359707,0.01308074,1.17006293,0.64042898,0.65248163
-5.87993997,1.89218856,0.19410342,0.00357093,0.01359704,1.18845007,0.65481859,0.66795504
-5.87393697,1.90577596,0.18740837,0.00354682,0.01408331,1.20690945,0.66803684,0.68334734
-5.86793397,1.91873211,0.18065563,0.00352405,0.01452820,1.22508728,0.67983759,0.69841582
-5.86193097,1.93050859,0.17386024,0.00350164,0.01492075,1.24255990,0.68997057,0.71288631
-5.85592796,1.94047777,0.16702982,0.00347841,0.01525076,1.25884860,0.69819031,0.72646042
-5.84992496,1.94796065,0.16016654,0.00345303,0.01550905,1.27343815,0.70426591,0.73882462
-5.84392196,1.95225872,0.15326935,0.00342409,0.01568777,1.28579828,0.70799119,0.74966118
-5.83791896,1.95268800,0.14633616,0.00339019,0.01578067,1.29540708,0.70919450,0.75866022
-5.83191596,1.94861379,0.13936600,0.00335001,0.01578330,1.30177515,0.70774785,0.76553246
-5.82591296,1.93948412,0.13236079,0.00330237,0.01569314,1.30446918,0.70357478,0.77002203
-5.81990995,1.92486018,0.12532686,0.00324629,0.01550972,1.30313397,0.69665645,0.77191862
-5.81390695,1.90444235,0.11827592,0.00318107,0.01523461,1.29751155,0.68703567,0.77106846
-5.80790395,1.87809019,0.11122560,0.00310628,0.01487138,1.28745644,0.67481854,0.76738333
-5.80190095,1.84583575,0.10419951,0.00302183,0.01442545,1.27294637,0.66017362,0.76084740
-5.79589795,1.80788931,0.09722678,0.00292793,0.01390396,1.25408779,0.64332865,0.75152118
-5.78989495,1.76463742,0.09034123,0.00282514,0.01331547,1.23111595,0.62456483,0.73954266
-5.78389195,1.71663355,0.08358028,0.00271430,0.01266969,1.20438963,0.60420910,0.72512528
-5.77788894,1.66458185,0.07698352,0.00259654,0.01197724,1.17438075,0.58262469,0.70855312
-5.77188594,1.60931497,0.07059130,0.00247320,0.01124923,1.14165960,0.56020043,0.69017322
-5.76588294,1.55176732,0.06444318,0.00234582,0.01049702,1.10687633,0.53733934,0.67038575
-5.75987994,1.49294515,0.05857662,0.00221608,0.00973187,1.07073992,0.51444707,0.64963238
-5.75387694,1.43389503,0.05302572,0.00208573,0.00896468,1.03399560,0.49192077,0.62838342
-5.74787394,1.37567243,0.04782024,0.00195655,0.00820574,0.99740196,0.47013884,0.60712449
-5.74187094,1.31931184,0.04298498,0.00183034,0.00746453,0.96170888,0.44945213,0.58634330
-5.73586793,1.26579992,0.03853938,0.00170880,0.00674961,0.92763732,0.43017679,0.56651709
-5.72986493,1.21605264,0.03449751,0.00159356,0.00606847,0.89586185,0.41258932,0.54810146
-5.72386193,1.17089751,0.03086836,0.00148615,0.00542753,0.86699664,0.39692364,0.53152073
-5.71785893,1.13106116,0.02765643,0.00138796,0.00483214,0.84158528,0.38337049,0.51716042
-5.71185593,1.09716252,0.02486254,0.00130025,0.00428666,0.82009474,0.37207888,0.50536175
-5.70585293,1.06971153,0.02248484,0.00122413,0.00379453,0.80291326,0.36315954,0.49641844
-5.69984992,1.04911260,0.02051995,0.00116062,0.00335843,0.79035197,0.35668994,0.49057538
-5.69384692,1.03567238,0.01896416,0.00111059,0.00298040,0.78264967,0.35272051,0.48802924
-5.68784392,1.02961063,0.01781463,0.00107486,0.00266208,0.77998010,0.35128178,0.48893045
-5.68184092,1.03107321,0.01707050,0.00105414,0.00240479,0.78246103,0.35239171,0.49338639
-5.67583792,1.04014599,0.01673393,0.00104911,0.00220981,0.79016407,0.35606298,0.50146509
-5.66983492,1.05686856,0.01681085,0.00106042,0.00207845,0.80312473,0.36230963,0.51319935
-5.66383192,1.08124675,0.01731152,0.00108870,0.00201221,0.82135160,0.37115264,0.52859062
-5.65782891,1.11326292,0.01825089,0.00113457,0.00201291,0.84483423,0.38262421,0.54761251
-5.65182591,1.15288349,0.01964845,0.00119862,0.00208275,0.87354904,0.39677025,0.57021357
-5.64582291,1.20006307,0.02152794,0.00128145,0.00222431,0.90746298,0.41365113,0.59631929
-5.63981991,1.25474507,0.02391657,0.00138363,0.00244057,0.94653459,0.43334034,0.62583310
-5.63381691,1.31685874,0.02684394,0.00150566,0.00273484,0.99071265,0.45592124,0.65863657
-5.62781391,1.38631287,0.03034062,0.00164797,0.00311064,1.03993235,0.48148193,0.69458878
-5.62181091,1.46298652,0.03443643,0.00181086,0.00357159,1.09410938,0.51010833,0.73352509
-5.61580790,1.54671758,0.03915842,0.00199449,0.00412117,1.15313238,0.54187595,0.77525545
-5.60980490,1.63728963,0.04452874,0.00219879,0.00476255,1.21685414,0.57684047,0.81956257
-5.60380190,1.73441823,0.05056231,0.00242347,0.00549837,1.28508227,0.61502772,0.86620020
-5.59779890,1.83773726,0.05726453,0.00266795,0.00633041,1.35756981,0.65642334,0.91489164
-5.59179590,1.94678646,0.06462907,0.00293132,0.00725946,1.43400648,0.70096288,0.96532884
-5.58579290,2.06100091,0.07263590,0.00321234,0.00828500,1.51401124,0.74852253,1.01717228
-5.57978989,2.17970336,0.08124960,0.00350945,0.00940507,1.59712647,0.79891124,1.07005172
-5.57378689,2.30210014,0.09041822,0.00382069,0.01061607,1.68281466,0.85186470,1.12356796
-5.56778389,2.42728123,0.10007260,0.00414383,0.01191272,1.77045760,0.90704142,1.17729581
-5.56178089,2.55422506,0.11012648,0.00447630,0.01328798,1.85935875,0.96402165,1.23078809
-5.55577789,2.68180820,0.12047729,0.00481534,0.01473317,1.94874879,1.02230905,1.28358093
-5.54977489,2.80882014,0.13100772,0.00515798,0.01623804,2.03779452,1.08133566,1.33520008
-5.54377189,2.93398295,0.14158810,0.00550120,0.01779106,2.12561101,1.14047000,1.38516829
-5.53776888,3.05597545,0.15207956,0.00584198,0.01937963,2.21127686,1.19902829,1.43301348
-5.53176588,3.17346136,0.16233786,0.00617740,0.02099051,2.29385220,1.25628864,1.47827774
-5.52576288,3.28512042,0.17221774,0.00650477,0.02261016,2.37239884,1.31150774,1.52052662
-5.51975988,3.38968159,0.18157771,0.00682170,0.02422523,2.44600217,1.36393960,1.55935871
-5.51375688,3.48595694,0.19028506,0.00712620,0.02582294,2.51379380,1.41285562,1.59441496
-5.50775388,3.57287499,0.19822080,0.00741676,0.02739154,2.57497422,1.45756537,1.62538755
-5.50175088,3.64951188,0.20528435,0.00769240,0.02892067,2.62883462,1.49743707,1.65202785
-5.49574787,3.71511914,0.21139778,0.00795270,0.03040165,2.67477682,1.53191704,1.67415315
-5.48974487,3.76914646,0.21650929,0.00819777,0.03182770,2.71233046,1.56054727,1.69165171
-5.48374187,3.81125847,0.22059575,0.00842828,0.03319402,2.74116677,1.58298020,1.70448598
-5.47773887,3.84134434,0.22366416,0.00864534,0.03449782,2.76110791,1.59899015,1.71269357
-5.47173587,3.85951975,0.22575192,0.00885047,0.03573817,2.77213171,1.60848075,1.71638588
-5.46573287,3.86612074,0.22692573,0.00904542,0.03691573,2.77437124,1.61148797,1.71574437
-5.45972986,3.86168957,0.22727935,0.00923211,0.03803243,2.76810924,1.60817864,1.71101438
-5.45372686,3.84695316,0.22693002,0.00941242,0.03909106,2.75376755,1.59884446,1.70249682
-5.44772386,3.82279471,0.22601384,0.00958810,0.04009477,2.73189184,1.58389160,1.69053783
-5.44172086,3.79021998,0.22468031,0.00976059,0.04104657,2.70313244,1.56382653,1.67551697
-5.43571786,3.75031948,0.22308610,0.00993086,0.04194886,2.66822186,1.53923848,1.65783419
