energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,1.04504657,0.06781823,0.00000000,0.68110750,0.80746355,0.12772049,0.00000000
-5.99399700,1.04564483,0.06704875,0.00000000,0.67890388,0.80901161,0.12573382,0.00000000
-5.98799400,1.05633818,0.06700507,0.00000000,0.68353018,0.81838297,0.12509357,0.00000000
-5.98199100,1.07659085,0.06768320,0.00000000,0.69505966,0.83508217,0.12577201,0.00000000
-5.97598799,1.10577035,0.06907071,0.00000000,0.71348544,0.85854483,0.12772850,0.00000000
-5.96998499,1.14316870,0.07114741,0.00000000,0.73872769,0.88815518,0.13091113,0.00000000
-5.96398199,1.18802400,0.07388627,0.00000000,0.77064133,0.92326389,0.13525849,0.00000000
-5.95797899,1.23954169,0.07725419,0.00000000,0.80902356,0.96320530,0.14070148,0.00000000
-5.95197599,1.29691446,0.08121285,0.00000000,0.85362060,1.00731365,0.14716499,0.00000000
-5.94597299,1.35934016,0.08571937,0.00000000,0.90413288,1.05493756,0.15456946,0.00000000
-5.93996998,1.42603705,0.09072688,0.00000000,0.96021839,1.10545252,0.16283214,0.00000000
-5.93396698,1.49625576,0.09618495,0.00000000,1.02149385,1.15827073,0.17186803,0.00000000
-5.92796398,1.56928780,0.10203990,0.00000000,1.08753356,1.21284827,0.18159049,0.00000000
-5.92196098,1.64447027,0.10823488,0.00000000,1.15786618,1.26868929,0.19191147,0.00000000
-5.91595798,1.72118704,0.11470995,0.00000000,1.23196974,1.32534743,0.20274143,0.00000000
-5.90995498,1.79886663,0.12140206,0.00000000,1.30926558,1.38242449,0.21398898,0.00000000
-5.90395198,1.87697718,0.12824500,0.00000000,1.38911183,1.43956675,0.22556035,0.00000000
-5.89794897,1.95501950,0.13516942,0.00000000,1.47079756,1.49645950,0.23735877,0.00000000
-5.89194597,2.03251864,0.14210298,0.00000000,1.55353844,1.55282010,0.24928389,0.00000000
-5.88594297,2.10901514,0.14897069,0.00000000,1.63647495,1.60839049,0.26123139,0.00000000
-5.87993997,2.18405680,0.15569541,0.00000000,1.71867410,1.66292948,0.27309288,0.00000000
-5.87393697,2.25719172,0.16219869,0.00000000,1.79913535,1.71620567,0.28475612,0.00000000
-5.86793397,2.32796351,0.16840184,0.00000000,1.87680123,1.76799146,0.29610581,0.00000000
-5.86193097,2.39590901,0.17422731,0.00000000,1.95057303,1.81805853,0.30702480,0.00000000
-5.85592796,2.46055911,0.17960028,0.00000000,2.01933121,1.86617517,0.31739584,0.00000000
-5.84992496,2.52144251,0.18445048,0.00000000,2.08196029,1.91210560,0.32710377,0.00000000
-5.84392196,2.57809250,0.18871410,0.00000000,2.13737731,1.95561120,0.33603813,0.00000000
-5.83791896,2.63005618,0.19233573,0.00000000,2.18456264,1.99645363,0.34409598,0.00000000
-5.83191596,2.67690568,0.19527028,0.00000000,2.22259201,2.03439940,0.35118493,0.00000000
-5.82591296,2.71825065,0.19748465,0.00000000,2.25066791,2.06922559,0.35722603,0.00000000
-5.81990995,2.75375106,0.19895918,0.00000000,2.26814907,2.10072632,0.36215651,0.00000000
-5.81390695,2.78312971,0.19968869,0.00000000,2.27457609,2.12871945,0.36593214,0.00000000
-5.80790395,2.80618349,0.19968312,0.00000000,2.26969214,2.15305311,0.36852903,0.00000000
-5.80190095,2.82279279,0.19896766,0.00000000,2.25345718,2.17361164,0.36994487,0.00000000
-5.79589795,2.83292857,0.19758234,0.00000000,2.22605513,2.19032073,0.37019937,0.00000000
-5.78989495,2.83665661,0.19558112,0.00000000,2.18789318,2.20315150,0.36933403,0.00000000
-5.78389195,2.83413900,0.19303055,0.00000000,2.13959337,2.21212338,0.36741108,0.00000000
-5.77788894,2.82563272,0.19000790,0.00000000,2.08197666,2.21730591,0.36451182,0.00000000
-5.77188594,2.81148550,0.18659908,0.00000000,2.01604013,2.21881935,0.36073425,0.00000000
-5.76588294,2.79212949,0.18289615,0.00000000,1.94292839,2.21683425,0.35619022,0.00000000
-5.75987994,2.76807282,0.17899484,0.00000000,1.86390057,2.21157025,0.35100229,0.00000000
-5.75387694,2.73988968,0.17499187,0.00000000,1.78029418,2.20329390,0.34530019,0.00000000
-5.74787394,2.70820933,0.17098240,0.00000000,1.69348759,2.19231589,0.33921733,0.00000000
-5.74187094,2.67370426,0.16705761,0.00000000,1.60486248,2.17898753,0.33288726,0.00000000
-5.73586793,2.63707795,0.16330241,0.00000000,1.51576793,2.16369659,0.32644029,0.00000000
-5.72986493,2.59905247,0.15979352,0.00000000,1.42748730,2.14686225,0.32000034,0.00000000
-5.72386193,2.56035587,0.15659769,0.00000000,1.34120895,2.12892942,0.31368208,0.00000000
-5.71785893,2.52170979,0.15377041,0.00000000,1.25800179,2.11036201,0.30758841,0.00000000
-5.71185593,2.48381705,0.15135482,0.00000000,1.17879594,2.09163530,0.30180840,0.00000000
-5.70585293,2.44734960,0.14938099,0.00000000,1.10436911,2.07322747,0.29641552,0.00000000
-5.69984992,2.41293671,0.14786554,0.00000000,1.03533838,2.05561023,0.29146635,0.00000000
-5.69384692,2.38115373,0.14681152,0.00000000,0.97215749,2.03923884,0.28699971,0.00000000
-5.68784392,2.35251164,0.14620867,0.00000000,0.91511906,2.02454187,0.28303620,0.00000000
-5.68184092,2.32744770,0.14603389,0.00000000,0.86436141,2.01191105,0.27957817,0.00000000
-5.67583792,2.30631753,0.14625207,0.00000000,0.81987921,2.00169158,0.27661021,0.00000000
-5.66983492,2.28938924,0.14681715,0.00000000,0.78153749,1.99417371,0.27410000,0.00000000
-5.66383192,2.27683984,0.14767351,0.00000000,0.74908812,1.98958583,0.27199974,0.00000000
-5.65782891,2.26875433,0.14875758,0.00000000,0.72218830,1.98808979,0.27024798,0.00000000
-5.65182591,2.26512800,0.14999977,0.00000000,0.70042021,1.98977872,0.26877199,0.00000000
-5.64582291,2.26587178,0.15132650,0.00000000,0.68331128,1.99467773,0.26749049,0.00000000
-5.63981991,2.27082096,0.15266260,0.00000000,0.67035440,2.00274770,0.26631681,0.00000000
-5.63381691,2.27974686,0.15393366,0.00000000,0.66102759,2.01389188,0.26516236,0.00000000
-5.62781391,2.29237124,0.15506856,0.00000000,0.65481248,2.02796537,0.26394027,0.00000000
-5.62181091,2.30838280,0.15600192,0.00000000,0.65121121,2.04478680,0.26256908,0.00000000
-5.61580790,2.32745504,0.15667645,0.00000000,0.64976126,2.06415182,0.26097637,0.00000000
-5.60980490,2.34926466,0.15704509,0.00000000,0.65004775,2.08584753,0.25910216,0.00000000
-5.60380190,2.37350947,0.15707283,0.00000000,0.65171303,2.10966716,0.25690180,0.00000000
-5.59779890,2.39992485,0.15673811,0.00000000,0.65446319,2.13542401,0.25434843,0.00000000
-5.59179590,2.42829793,0.15603371,0.00000000,0.65807142,2.16296394,0.25143459,0.00000000
-5.58579290,2.45847841,0.15496716,0.00000000,0.66237813,2.19217555,0.24817303,0.00000000
-5.57978989,2.49038550,0.15356045,0.00000000,0.66728783,2.22299736,0.24459670,0.00000000
-5.57378689,2.52401042,0.15184919,0.00000000,0.67276317,2.25542150,0.24075768,0.00000000
-5.56778389,2.55941403,0.14988118,0.00000000,0.67881620,2.28949357,0.23672525,0.00000000
-5.56178089,2.59671977,0.14771443,0.00000000,0.68549743,2.32530845,0.23258308,0.00000000
-5.55577789,2.63610185,0.14541464,0.00000000,0.69288320,2.36300223,0.22842565,0.00000000
