energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.76870607,0.05293201,0.01908729,1.35385525,1.22022039,0.05973611,2.45004729,0.81822411,0.22573363
-5.99399700,3.66617591,0.05522217,0.01835145,1.31201513,1.18756980,0.05875489,2.38143388,0.81047588,0.21877390
-5.98799400,3.56024691,0.05764411,0.01763523,1.26963141,1.15330282,0.05767360,2.31029920,0.80324271,0.21151387
-5.98199100,3.45159987,0.06016126,0.01694242,1.22697602,1.11767742,0.05649793,2.23712376,0.79646865,0.20400478
-5.97598799,3.34091451,0.06273243,0.01627657,1.18431517,1.08095312,0.05523440,2.16239616,0.79006424,0.19630190
-5.96998499,3.22885844,0.06531280,0.01564093,1.14190433,1.04338732,0.05389025,2.08660437,0.78390883,0.18846336
-5.96398199,3.11607668,0.06785517,0.01503837,1.09998338,1.00523210,0.05247323,2.01022704,0.77785431,0.18054886
-5.95797899,3.00318245,0.07031134,0.01447133,1.05877218,0.96673153,0.05099155,1.93372544,0.77173010,0.17261821
-5.95197599,2.89074987,0.07263361,0.01394179,1.01846699,0.92811974,0.04945363,1.85753638,0.76534938,0.16472998
-5.94597299,2.77930904,0.07477634,0.01345119,0.97923787,0.88961971,0.04786804,1.78206673,0.75851647,0.15694010
-5.93996998,2.66934381,0.07669752,0.01300042,0.94122718,0.85144295,0.04624334,1.70768963,0.75103495,0.14930074
-5.93396698,2.56129221,0.07836029,0.01258981,0.90454938,0.81378988,0.04458799,1.63474253,0.74271647,0.14185921
-5.92796398,2.45554951,0.07973434,0.01221911,0.86929196,0.77685105,0.04291029,1.56352725,0.73338958,0.13465722
-5.92196098,2.35247340,0.08079712,0.01188754,0.83551739,0.74080872,0.04121834,1.49431158,0.72290843,0.12773030
-5.91595798,2.25239080,0.08153484,0.01159376,0.80326598,0.70583899,0.03952003,1.42733242,0.71116073,0.12110751
-5.90995498,2.15560582,0.08194313,0.01133597,0.77255938,0.67211397,0.03782308,1.36279996,0.69807465,0.11481138
-5.90395198,2.06240786,0.08202745,0.01111193,0.74340440,0.63980393,0.03613503,1.30090257,0.68362420,0.10885806
-5.89794897,1.97307953,0.08180305,0.01091902,0.71579702,0.60907913,0.03446336,1.24181183,0.66783292,0.10325768
-5.89194597,1.88790354,0.08129464,0.01075429,0.68972621,0.58011130,0.03281549,1.18568751,0.65077558,0.09801489
-5.88594297,1.80716805,0.08053567,0.01061459,0.66517747,0.55307432,0.03119885,1.13268201,0.63257772,0.09312953
-5.87993997,1.73117030,0.07956728,0.01049656,0.64213589,0.52814440,0.02962095,1.08294395,0.61341319,0.08859734
-5.87393697,1.66021810,0.07843699,0.01039678,0.62058861,0.50549935,0.02808942,1.03662093,0.59349975,0.08441079
-5.86793397,1.59462935,0.07719708,0.01031184,0.60052674,0.48531715,0.02661202,0.99386109,0.57309286,0.08055989
-5.86193097,1.53472953,0.07590293,0.01023836,0.58194662,0.46777390,0.02519669,0.95481368,0.55247818,0.07703301
-5.85592796,1.48084756,0.07461112,0.01017314,0.56485058,0.45304108,0.02385150,0.91962866,0.53196297,0.07381769
-5.84992496,1.43331025,0.07337767,0.01011323,0.54924720,0.44128247,0.02258468,0.88845536,0.51186691,0.07090132
-5.84392196,1.39243587,0.07225626,0.01005595,0.53515125,0.43265071,0.02140455,0.86144055,0.49251282,0.06827181
-5.83791896,1.35852705,0.07129661,0.00999901,0.52258327,0.42728381,0.02031947,0.83872588,0.47421752,0.06591809
-5.83191596,1.33186362,0.07054312,0.00994055,0.51156901,0.42530163,0.01933780,0.82044501,0.45728342,0.06383063
-5.82591296,1.31269537,0.07003372,0.00987919,0.50213867,0.42680256,0.01846775,0.80672043,0.44199094,0.06200164
-5.81990995,1.30123523,0.06979904,0.00981406,0.49432590,0.43186040,0.01771732,0.79766021,0.42859211,0.06042532
-5.81390695,1.29765277,0.06986184,0.00974484,0.48816679,0.44052164,0.01709411,0.79335457,0.41730536,0.05909788
-5.80790395,1.30206813,0.07023683,0.00967173,0.48369847,0.45280305,0.01660523,0.79387224,0.40831162,0.05801739
-5.80190095,1.31454620,0.07093066,0.00959547,0.48095756,0.46868955,0.01625704,0.79925683,0.40175161,0.05718359
-5.79589795,1.33509111,0.07194223,0.00951725,0.47997821,0.48813252,0.01605500,0.80952283,0.39772427,0.05659747
-5.78989495,1.36364065,0.07326318,0.00943873,0.48078977,0.51104829,0.01600340,0.82465140,0.39628600,0.05626080
-5.78389195,1.40006074,0.07487850,0.00936186,0.48341404,0.53731688,0.01610512,0.84458595,0.39745068,0.05617552
-5.77788894,1.44413978,0.07676722,0.00928891,0.48786210,0.56678097,0.01636134,0.86922739,0.40119020,0.05634311
-5.77188594,1.49558298,0.07890314,0.00922224,0.49413083,0.59924506,0.01677131,0.89842936,0.40743528,0.05676385
-5.76588294,1.55400694,0.08125554,0.00916429,0.50219917,0.63447493,0.01733204,0.93199346,0.41607648,0.05743614
-5.75987994,1.61893466,0.08378985,0.00911740,0.51202438,0.67219733,0.01803810,0.96966498,0.42696534,0.05835588
-5.75387694,1.68979167,0.08646818,0.00908371,0.52353845,0.71210025,0.01888135,1.01112917,0.43991555,0.05951582
-5.74787394,1.76590362,0.08924984,0.00906508,0.53664497,0.75383377,0.01985085,1.05600881,0.45470439,0.06090519
-5.74187094,1.84649629,0.09209170,0.00906294,0.55121681,0.79701170,0.02093275,1.10386330,0.47107431,0.06250939
-5.73586793,1.93069842,0.09494860,0.00907832,0.56709482,0.84121428,0.02211030,1.15418984,0.48873500,0.06430988
-5.72986493,2.01754816,0.09777361,0.00911169,0.58408791,0.88599213,0.02336395,1.20642701,0.50736612,0.06628433
-5.72386193,2.10600373,0.10051839,0.00916304,0.60197465,0.93087147,0.02467158,1.25996122,0.52662077,0.06840701
-5.71785893,2.19495845,0.10313357,0.00923184,0.62050669,0.97536094,0.02600885,1.31413606,0.54613004,0.07064931
-5.71185593,2.28326039,0.10556922,0.00931711,0.63941392,1.01895974,0.02734961,1.36826476,0.56550866,0.07298062
-5.70585293,2.36973645,0.10777544,0.00941751,0.65841147,1.06116732,0.02866650,1.42164536,0.58436185,0.07536926
