energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,6.49642140,1.11915962,5.34007815,0.01528618,0.08730550,0.13727292,0.64096274
-5.99399700,6.44436469,1.10698177,5.32056786,0.01451219,0.08732159,0.13050885,0.61803475
-5.98799400,6.42454997,1.09714363,5.32883898,0.01379266,0.08747939,0.12409629,0.59800533
-5.98199100,6.43471403,1.08953362,5.36273601,0.01313109,0.08775590,0.11808276,0.58079562
-5.97598799,6.47219638,1.08402019,5.41974411,0.01252997,0.08812785,0.11250747,0.56630950
-5.96998499,6.53399039,1.08045477,5.49703396,0.01199071,0.08857193,0.10740142,0.55443774
-5.96398199,6.61680216,1.07867377,5.59151459,0.01151376,0.08906492,0.10278779,0.54506188
-5.95797899,6.71711690,1.07849998,5.69989403,0.01109863,0.08958369,0.09868247,0.53805769
-5.95197599,6.83127225,1.07974340,5.81874717,0.01074398,0.09010519,0.09509481,0.53329842
-5.94597299,6.95553769,1.08220188,5.94458990,0.01044767,0.09060640,0.09202839,0.53065774
-5.93996998,7.08619863,1.08566192,6.07395798,0.01020692,0.09106424,0.08948195,0.53001235
-5.93396698,7.21964335,1.08989978,6.20348892,0.01001841,0.09145564,0.08745032,0.53124441
-5.92796398,7.35245066,1.09468345,6.33000456,0.00987837,0.09175762,0.08592533,0.53424376
-5.92196098,7.48147548,1.09977537,6.45059156,0.00978281,0.09194749,0.08489673,0.53890986
-5.91595798,7.60392950,1.10493628,6.56267724,0.00972760,0.09200319,0.08435300,0.54515343
-5.90995498,7.71745390,1.10993005,6.66409750,0.00970865,0.09190381,0.08428216,0.55289790
-5.90395198,7.82018084,1.11452947,6.75315412,0.00972207,0.09163014,0.08467239,0.56208034
-5.89794897,7.91078104,1.11852264,6.82865867,0.00976434,0.09116537,0.08551262,0.57265196
-5.89194597,7.98849467,1.12171981,6.88996073,0.00983240,0.09049591,0.08679289,0.58457803
-5.88594297,8.05314383,1.12396001,6.93695877,0.00992382,0.08961211,0.08850463,0.59783705
-5.87993997,8.10512518,1.12511722,6.97009281,0.01003685,0.08850911,0.09064081,0.61241924
-5.87393697,8.14538252,1.12510551,6.99031847,0.01017053,0.08718748,0.09319580,0.62832415
-5.86793397,8.17535994,1.12388269,6.99906350,0.01032468,0.08565383,0.09616519,0.64555741
-5.86193097,8.19693707,1.12145218,6.99816817,0.01049996,0.08392122,0.09954545,0.66412675
-5.85592796,8.21234916,1.11786274,6.98981224,0.01069774,0.08200928,0.10333332,0.68403731
-5.84992496,8.22409531,1.11320615,6.97643157,0.01092011,0.07994429,0.10752525,0.70528639
-5.84392196,8.23483905,1.10761256,6.96062826,0.01116973,0.07775876,0.11211665,0.72785794
-5.83791896,8.24730576,1.10124402,6.94507840,0.01144973,0.07549099,0.11710112,0.75171699
-5.83191596,8.26418174,1.09428634,6.93244163,0.01176352,0.07318421,0.12246966,0.77680437
-5.82591296,8.28801960,1.08693972,6.92527671,0.01211466,0.07088561,0.12820994,0.80303200
-5.81990995,8.32115430,1.07940879,6.92596660,0.01250670,0.06864521,0.13430566,0.83027911
-5.81390695,8.36563347,1.07189258,6.93665638,0.01294301,0.06651447,0.14073603,0.85838972
-5.80790395,8.42316500,1.06457500,6.95920621,0.01342666,0.06454498,0.14747546,0.88717152
-5.80190095,8.49508360,1.05761640,6.99516074,0.01396031,0.06278702,0.15449338,0.91639645
-5.79589795,8.58233738,1.05114667,7.04573564,0.01454612,0.06128816,0.16175446,0.94580307
-5.78989495,8.68549392,1.04526026,7.11182062,0.01518570,0.06009197,0.16921888,0.97510064
-5.78389195,8.80476458,1.04001328,7.19399769,0.01588013,0.05923679,0.17684298,1.00397504
-5.77788894,8.94004480,1.03542291,7.29257250,0.01662994,0.05875470,0.18458013,1.03209614
-5.77188594,9.09096716,1.03146885,7.40761599,0.01743520,0.05867067,0.19238172,1.05912650
-5.76588294,9.25696359,1.02809676,7.53901324,0.01829557,0.05900186,0.20019839,1.08473105
-5.75987994,9.43733275,1.02522340,7.68651588,0.01921038,0.05975724,0.20798131,1.10858732
-5.75387694,9.63130816,1.02274291,7.84979474,0.02017872,0.06093731,0.21568355,1.13039578
-5.74787394,9.83812322,1.02053398,8.02848919,0.02119951,0.06253418,0.22326142,1.14988996
-5.74187094,10.05706912,1.01846726,8.22225018,0.02227158,0.06453172,0.23067569,1.16684572
-5.73586793,10.28754234,1.01641265,8.43077420,0.02339367,0.06690608,0.23789273,1.18108938
-5.72986493,10.52907897,1.01424607,8.65382619,0.02456442,0.06962629,0.24488542,1.19250431
-5.72386193,10.78137388,1.01185526,8.89124976,0.02578233,0.07265503,0.25163382,1.20103564
-5.71785893,11.04428343,1.00914437,9.14296398,0.02704569,0.07594965,0.25812560,1.20669289
-5.71185593,11.31781138,1.00603730,9.40894659,0.02835244,0.07946320,0.26435613,1.20955037
-5.70585293,11.60207852,1.00247950,9.68920422,0.02970002,0.08314565,0.27032832,1.20974526
-5.69984992,11.89727710,0.99843844,9.98373085,0.03108519,0.08694507,0.27605212,1.20747355
-5.69384692,12.20361239,0.99390271,10.29245641,0.03250388,0.09080895,0.28154377,1.20298377
-5.68784392,12.52123381,0.98888005,10.61518787,0.03395099,0.09468538,0.28682485,1.19656895
-5.68184092,12.85015915,0.98339447,10.95154580,0.03542027,0.09852429,0.29192102,1.18855701
-5.67583792,13.19019570,0.97748266,11.30089970,0.03690420,0.10227851,0.29686074,1.17929992
-5.66983492,13.54086214,0.97119016,11.66230555,0.03839396,0.10590477,0.30167377,1.16916209
-5.66383192,13.90131587,0.96456729,12.03444933,0.03987941,0.10936447,0.30638973,1.15850845
-5.65782891,14.27028964,0.95766529,12.41560014,0.04134920,0.11262429,0.31103656,1.14769251
-5.65182591,14.64604176,0.95053279,12.80357628,0.04279093,0.11565659,0.31563915,1.13704505
-5.64582291,15.02632346,0.94321283,13.19572744,0.04419136,0.11843958,0.32021798,1.12686368
-5.63981991,15.40836631,0.93574037,13.58893537,0.04553675,0.12095726,0.32478795,1.11740363
-5.63381691,15.78889202,0.92814070,13.97963501,0.04681316,0.12319909,0.32935742,1.10887023
-5.62781391,16.16414582,0.92042837,14.36385673,0.04800689,0.12515961,0.33392736,1.10141306
-5.62181091,16.52995355,0.91260692,14.73728984,0.04910485,0.12683771,0.33849083,1.09512217
-5.61580790,16.88180155,0.90466923,15.09536611,0.05009498,0.12823590,0.34303261,1.09002638
-5.60980490,17.21493722,0.89659839,15.43336109,0.05096661,0.12935946,0.34752909,1.08609355
-5.60380190,17.52448681,0.88836906,15.74651015,0.05171081,0.13021557,0.35194843,1.08323294
-5.59779890,17.80558640,0.87994916,16.03013482,0.05232064,0.13081244,0.35625081,1.08129948
-5.59179590,18.05352077,0.87130179,16.27977483,0.05279130,0.13115856,0.36038905,1.08009963
