energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.35448393,0.02160465,0.11632917,0.75152059,0.71612684,1.37146044,0.00000000,0.97491925,0.16380600
-5.99399700,2.25355167,0.01955479,0.10913968,0.71613435,0.69127424,1.31416191,0.00000000,0.92933844,0.15498982
-5.98799400,2.15256606,0.01764777,0.10205554,0.68187702,0.66463849,1.25724564,0.00000000,0.88407111,0.14664750
-5.98199100,2.05302159,0.01590039,0.09514356,0.64926149,0.63666525,1.20160893,0.00000000,0.83979924,0.13889757
-5.97598799,1.95641165,0.01432573,0.08846576,0.61878376,0.60782846,1.14814661,0.00000000,0.79719641,0.13184860
-5.96998499,1.86419963,0.01293328,0.08207857,0.59091378,0.57861994,1.09773318,0.00000000,0.75691285,0.12559773
-5.96398199,1.77778878,0.01172923,0.07603211,0.56608594,0.54953845,1.05120416,0.00000000,0.71956020,0.12022937
-5.95797899,1.69849147,0.01071672,0.07036959,0.54468962,0.52107857,1.00933705,0.00000000,0.68569675,0.11581378
-5.95197599,1.62749911,0.00989620,0.06512672,0.52706000,0.49371981,0.97283259,0.00000000,0.65581331,0.11240589
-5.94597299,1.56585380,0.00926580,0.06033124,0.51346962,0.46791636,0.94229708,0.00000000,0.63032064,0.11004406
-5.93996998,1.51442262,0.00882163,0.05600262,0.50412080,0.44408778,0.91822635,0.00000000,0.60953867,0.10874915
-5.93396698,1.47387605,0.00855816,0.05215187,0.49913949,0.42261101,0.90099225,0.00000000,0.59368805,0.10852372
-5.92796398,1.44467106,0.00846849,0.04878149,0.49857081,0.40381381,0.89083204,0.00000000,0.58288442,0.10935153
-5.92196098,1.42704005,0.00854460,0.04588568,0.50237648,0.38796998,0.88784158,0.00000000,0.57713561,0.11119746
-5.91595798,1.42098601,0.00877755,0.04345060,0.51043455,0.37529615,0.89197233,0.00000000,0.57634210,0.11400777
-5.90995498,1.42628428,0.00915767,0.04145495,0.52254139,0.36595041,0.90303275,0.00000000,0.58030052,0.11771088
-5.90395198,1.44249106,0.00967462,0.03987060,0.53841608,0.36003246,0.92069383,0.00000000,0.58871038,0.12221862
-5.89794897,1.46895823,0.01031751,0.03866349,0.55770716,0.35758522,0.94449894,0.00000000,0.60118363,0.12742799
-5.89194597,1.50485408,0.01107491,0.03779458,0.58000149,0.35859761,0.97387738,0.00000000,0.61725682,0.13322341
-5.88594297,1.54918899,0.01193486,0.03722097,0.60483495,0.36300824,1.00816123,0.00000000,0.63640534,0.13947934
-5.87993997,1.60084512,0.01288487,0.03689710,0.63170467,0.37070970,1.04660484,0.00000000,0.65805924,0.14606339
-5.87393697,1.65860861,0.01391192,0.03677596,0.66008218,0.38155312,1.08840607,0.00000000,0.68161999,0.15283952
-5.86793397,1.72120322,0.01500243,0.03681038,0.68942706,0.39535281,1.13272836,0.00000000,0.70647753,0.15967151
-5.86193097,1.78732375,0.01614225,0.03695420,0.71920053,0.41189054,1.17872278,0.00000000,0.73202697,0.16642638
-5.85592796,1.85566794,0.01731672,0.03716342,0.74887826,0.43091952,1.22554905,0.00000000,0.75768416,0.17297768
-5.84992496,1.92496570,0.01851064,0.03739727,0.77796214,0.45216774,1.27239474,0.00000000,0.78289973,0.17920854
-5.84392196,1.99400446,0.01970840,0.03761907,0.80599027,0.47534077,1.31849191,0.00000000,0.80717096,0.18501425
-5.83791896,2.06165003,0.02089404,0.03779697,0.83254502,0.50012397,1.36313061,0.00000000,0.83005110,0.19030443
-5.83191596,2.12686237,0.02205139,0.03790450,0.85725885,0.52618433,1.40566897,0.00000000,0.85115603,0.19500456
-5.82591296,2.18870629,0.02316427,0.03792094,0.87981778,0.55317197,1.44553973,0.00000000,0.87016797,0.19905692
-5.81990995,2.24635706,0.02421665,0.03783142,0.89996257,0.58072169,1.48225337,0.00000000,0.88683645,0.20242085
-5.81390695,2.29910175,0.02519290,0.03762689,0.91748785,0.60845478,1.51539803,0.00000000,0.90097681,0.20507242
-5.80790395,2.34633676,0.02607806,0.03730390,0.93223941,0.63598126,1.54463696,0.00000000,0.91246636,0.20700361
-5.80190095,2.38756275,0.02685812,0.03686421,0.94411021,0.66290293,1.56970395,0.00000000,0.92123891,0.20822092
-5.79589795,2.42237787,0.02752028,0.03631422,0.95303541,0.68881741,1.59039760,0.00000000,0.92727808,0.20874369
-5.78989495,2.45047043,0.02805327,0.03566437,0.95898710,0.71332320,1.60657515,0.00000000,0.93060996,0.20860223
-5.78389195,2.47161207,0.02844762,0.03492840,0.96196908,0.73602586,1.61814653,0.00000000,0.93129569,0.20783579
-5.77788894,2.48565212,0.02869590,0.03412260,0.96201221,0.75654530,1.62506937,0.00000000,0.92942453,0.20649059
-5.77188594,2.49251383,0.02879298,0.03326504,0.95917066,0.77452390,1.62734528,0.00000000,0.92510771,0.20461798
-5.76588294,2.49219281,0.02873617,0.03237480,0.95351931,0.78963530,1.62501772,0.00000000,0.91847347,0.20227288
-5.75987994,2.48475756,0.02852535,0.03147129,0.94515235,0.80159333,1.61817159,0.00000000,0.90966350,0.19951240
-5.75387694,2.47035192,0.02816307,0.03057358,0.93418311,0.81016090,1.60693423,0.00000000,0.89883066,0.19639488
-5.74787394,2.44919873,0.02765449,0.02969982,0.92074494,0.81515812,1.59147762,0.00000000,0.88613801,0.19297917
-5.74187094,2.42160403,0.02700732,0.02886674,0.90499283,0.81646932,1.57202114,0.00000000,0.87175894,0.18932422
-5.73586793,2.38796082,0.02623165,0.02808929,0.88710546,0.81404850,1.54883449,0.00000000,0.85587795,0.18548890
-5.72986493,2.34875141,0.02533974,0.02738026,0.86728719,0.80792273,1.52223976,0.00000000,0.83869182,0.18153193
-5.72386193,2.30454737,0.02434570,0.02675012,0.84576967,0.79819330,1.49261238,0.00000000,0.82041079,0.17751188
-5.71785893,2.25600645,0.02326519,0.02620684,0.82281246,0.78503433,1.46038006,0.00000000,0.80125917,0.17348719
-5.71185593,2.20386567,0.02211498,0.02575579,0.79870253,0.76868883,1.42601941,0.00000000,0.78147528,0.16951601
-5.70585293,2.14893042,0.02091253,0.02539979,0.77375225,0.74946227,1.39004999,0.00000000,0.76131026,0.16565596
-5.69984992,2.09205940,0.01967559,0.02513911,0.74829564,0.72771386,1.35302549,0.00000000,0.74102562,0.16196354
-5.69384692,2.03414584,0.01842174,0.02497160,0.72268307,0.70384587,1.31552243,0.00000000,0.72088953,0.15849345
-5.68784392,1.97609542,0.01716798,0.02489281,0.69727424,0.67829148,1.27812650,0.00000000,0.70117181,0.15529753
-5.68184092,1.91880183,0.01593032,0.02489620,0.67242985,0.65150160,1.24141706,0.00000000,0.68213778,0.15242358
-5.67583792,1.86312101,0.01472345,0.02497336,0.64850217,0.62393128,1.20595053,0.00000000,0.66404135,0.14991396
-5.66983492,1.80984509,0.01356047,0.02511425,0.62582500,0.59602630,1.17224339,0.00000000,0.64711750,0.14780412
-5.66383192,1.75967746,0.01245263,0.02530746,0.60470333,0.56821039,1.14075547,0.00000000,0.63157459,0.14612110
-5.65782891,1.71321000,0.01140918,0.02554056,0.58540344,0.54087379,1.11187457,0.00000000,0.61758701,0.14488209
-5.65182591,1.67090361,0.01043726,0.02580037,0.56814361,0.51436332,1.08590292,0.00000000,0.60528838,0.14409320
-5.64582291,1.63307302,0.00954191,0.02607330,0.55308621,0.48897453,1.06304631,0.00000000,0.59476578,0.14374842
-5.63981991,1.59987649,0.00872607,0.02634565,0.54033135,0.46494597,1.04340644,0.00000000,0.58605539,0.14382898
-5.63381691,1.57131106,0.00799071,0.02660398,0.52991250,0.44245589,1.02697671,0.00000000,0.57913960,0.14430303
-5.62781391,1.54721341,0.00733495,0.02683534,0.52179438,0.42162110,1.01364188,0.00000000,0.57394597,0.14512585
-5.62181091,1.52726639,0.00675627,0.02702758,0.51587313,0.40249814,1.00318159,0.00000000,0.57034803,0.14624040
-5.61580790,1.51101094,0.00625071,0.02716959,0.51197890,0.38508644,0.99527749,0.00000000,0.56816800,0.14757848
-5.60980490,1.49786288,0.00581315,0.02725153,0.50988075,0.36933326,0.98952396,0.00000000,0.56718124,0.14906223
-5.60380190,1.48713394,0.00543752,0.02726492,0.50929375,0.35514001,0.98544179,0.00000000,0.56712250,0.15060610
-5.59779890,1.47805614,0.00511711,0.02720286,0.50988794,0.34236974,0.98249439,0.00000000,0.56769354,0.15211913
-5.59179590,1.46980860,0.00484479,0.02705999,0.51129885,0.33085529,0.98010596,0.00000000,0.56857199,0.15350752
-5.58579290,1.46154583,0.00461327,0.02683263,0.51313932,0.32040792,0.97768084,0.00000000,0.56942117,0.15467740
-5.57978989,1.45242639,0.00441530,0.02651869,0.51501198,0.31082587,0.97462342,0.00000000,0.56990036,0.15553768
-5.57378689,1.44164096,0.00424391,0.02611765,0.51652208,0.30190275,0.97035785,0.00000000,0.56967543,0.15600281
-5.56778389,1.42843882,0.00409255,0.02563050,0.51729016,0.29343534,0.96434681,0.00000000,0.56842915,0.15599550
-5.56178089,1.41215181,0.00395523,0.02505960,0.51696405,0.28523066,0.95610882,0.00000000,0.56587112,0.15544918
-5.55577789,1.39221515,0.00382665,0.02440860,0.51522990,0.27711208,0.94523332,0.00000000,0.56174673,0.15431009
-5.54977489,1.36818421,0.00370225,0.02368228,0.51182169,0.26892444,0.93139319,0.00000000,0.55584504,0.15253901
-5.54377189,1.33974700,0.00357828,0.02288642,0.50652899,0.26053787,0.91435419,0.00000000,0.54800511,0.15011249
-5.53776888,1.30673188,0.00345180,0.02202768,0.49920276,0.25185059,0.89398114,0.00000000,0.53812082,0.14702356
-5.53176588,1.26911043,0.00332066,0.02111341,0.48975890,0.24279042,0.87024061,0.00000000,0.52614369,0.14328188
-5.52576288,1.22699553,0.00318349,0.02015157,0.47817955,0.23331521,0.84320025,0.00000000,0.51208397,0.13891335
-5.51975988,1.18063484,0.00303959,0.01915054,0.46451220,0.22341217,0.81302473,0.00000000,0.49600974,0.13395923
-5.51375688,1.13040008,0.00288893,0.01811899,0.44886663,0.21309631,0.77996866,0.00000000,0.47804418,0.12847468
-5.50775388,1.07677273,0.00273200,0.01706577,0.43140990,0.20240798,0.74436682,0.00000000,0.45836118,0.12252702
-5.50175088,1.02032670,0.00256973,0.01599977,0.41235973,0.19140980,0.70662222,0.00000000,0.43717938,0.11619352
-5.49574787,0.96170884,0.00240341,0.01492977,0.39197647,0.18018311,0.66719240,0.00000000,0.41475510,0.10955902
-5.48974487,0.90161809,0.00223457,0.01386430,0.37055412,0.16882397,0.62657476,0.00000000,0.39137422,0.10271344
-5.48374187,0.84078407,0.00206488,0.01281159,0.34841076,0.15743915,0.58529126,0.00000000,0.36734351,0.09574913
-5.47773887,0.77994589,0.00189610,0.01177934,0.32587878,0.14614192,0.54387335,0.00000000,0.34298176,0.08875844
-5.47173587,0.71983204,0.00172993,0.01077473,0.30329521,0.13504811,0.50284743,0.00000000,0.31861087,0.08183126
-5.46573287,0.66114193,0.00156801,0.00980421,0.28099261,0.12427240,0.46272148,0.00000000,0.29454745,0.07505295
-5.45972986,0.60452953,0.00141183,0.00887351,0.25929065,0.11392488,0.42397311,0.00000000,0.27109497,0.06850247
-5.45372686,0.55058966,0.00126267,0.00798753,0.23848875,0.10410816,0.38703946,0.00000000,0.24853683,0.06225083
-5.44772386,0.49984709,0.00112163,0.00715027,0.21885975,0.09491488,0.35230901,0.00000000,0.22713048,0.05635995
-5.44172086,0.45274843,0.00098954,0.00636487,0.20064486,0.08642578,0.32011539,0.00000000,0.20710267,0.05088183
-5.43571786,0.40965701,0.00086702,0.00563356,0.18404985,0.07870826,0.29073323,0.00000000,0.18864581,0.04585809
