energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.61305727,0.00590292,0.00677059,0.62964952,0.76577648,0.00253155,0.80054370,0.29038989,0.05340474
-5.99399700,1.56376748,0.00547928,0.00613779,0.61608757,0.73669266,0.00237381,0.78031343,0.28369284,0.05248941
-5.98799400,1.51386113,0.00505837,0.00555495,0.60109456,0.70774979,0.00224175,0.75931465,0.27650610,0.05162402
-5.98199100,1.46401974,0.00464483,0.00502542,0.58480847,0.67934104,0.00213664,0.73783460,0.26891977,0.05083464
-5.97598799,1.41497861,0.00424272,0.00455157,0.56740898,0.65187148,0.00205976,0.71619876,0.26104062,0.05015019
-5.96998499,1.36752128,0.00385549,0.00413489,0.54911571,0.62575561,0.00201239,0.69476805,0.25299104,0.04960199
-5.96398199,1.32247080,0.00348593,0.00377610,0.53018436,0.60141410,0.00199574,0.67393367,0.24490711,0.04922327
-5.95797899,1.28067756,0.00313621,0.00347530,0.51090095,0.57926972,0.00201095,0.65410999,0.23693585,0.04904836
-5.95197599,1.24300395,0.00280791,0.00323205,0.49157429,0.55974238,0.00205898,0.63572526,0.22923171,0.04911179
-5.94597299,1.21030614,0.00250206,0.00304553,0.47252708,0.54324327,0.00214063,0.61921074,0.22195246,0.04944712
-5.93996998,1.18341367,0.00221916,0.00291456,0.45408585,0.53016831,0.00225643,0.60498849,0.21525451,0.05008580
-5.93396698,1.16310765,0.00195931,0.00283778,0.43657049,0.52089101,0.00240663,0.59345843,0.20928803,0.05105585
-5.92796398,1.15009841,0.00172221,0.00281361,0.42028353,0.51575508,0.00259111,0.58498514,0.20419197,0.05238059
-5.92196098,1.14500373,0.00150724,0.00284037,0.40550000,0.51506700,0.00280939,0.57988515,0.20008924,0.05407744
-5.91595798,1.14832859,0.00131354,0.00291624,0.39245808,0.51908892,0.00306052,0.57841521,0.19708225,0.05615680
-5.90995498,1.16044745,0.00114007,0.00303933,0.38135119,0.52803218,0.00334308,0.58076214,0.19524905,0.05862115
-5.90395198,1.18158990,0.00098561,0.00320764,0.37232176,0.54205172,0.00365513,0.58703486,0.19464017,0.06146435
-5.89794897,1.21183047,0.00084889,0.00341904,0.36545700,0.56124166,0.00399423,0.59725877,0.19527642,0.06467126
-5.89194597,1.25108304,0.00072855,0.00367129,0.36078688,0.58563221,0.00435740,0.61137305,0.19714768,0.06821765
-5.88594297,1.29910026,0.00062324,0.00396198,0.35828430,0.61518813,0.00474113,0.62923082,0.20021267,0.07207040
-5.87993997,1.35547801,0.00053162,0.00428853,0.35786753,0.64980864,0.00514145,0.65060231,0.20439989,0.07618814
-5.87393697,1.41966473,0.00045235,0.00464819,0.35940471,0.68932895,0.00555396,0.67518086,0.20960956,0.08052211
-5.86793397,1.49097551,0.00038420,0.00503801,0.36272021,0.73352328,0.00597386,0.70259162,0.21571644,0.08501736
-5.86193097,1.56861010,0.00032597,0.00545489,0.36760263,0.78210921,0.00639612,0.73240253,0.22257367,0.08961424
-5.85592796,1.65167444,0.00027656,0.00589557,0.37381393,0.83475331,0.00681551,0.76413721,0.23001717,0.09425007
-5.84992496,1.73920485,0.00023494,0.00635669,0.38109949,0.89107778,0.00722677,0.79728935,0.23787067,0.09886096
-5.84392196,1.83019395,0.00020019,0.00683484,0.38919857,0.95066788,0.00762471,0.83133789,0.24595111,0.10338375
-5.83791896,1.92361753,0.00017147,0.00732663,0.39785484,1.01308009,0.00800436,0.86576264,0.25407423,0.10775794
-5.83191596,2.01846146,0.00014804,0.00782877,0.40682645,1.07785052,0.00836115,0.90005969,0.26206011,0.11192760
