energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.84380572,0.19385447,0.01471548,1.22145621,0.00000000,0.96980655,0.76613894
-5.99399700,1.86592617,0.19848727,0.01490191,1.23346284,0.00000000,0.98522588,0.77707806
-5.98799400,1.88756528,0.20337108,0.01507157,1.24477991,0.00000000,1.00013526,0.78766080
-5.98199100,1.90850325,0.20859120,0.01522334,1.25514061,0.00000000,1.01456831,0.79775887
-5.97598799,1.92849591,0.21423707,0.01535620,1.26425579,0.00000000,1.02856018,0.80723414
-5.96998499,1.94728152,0.22039919,0.01546926,1.27182261,0.00000000,1.04214444,0.81594243
-5.96398199,1.96458792,0.22716573,0.01556183,1.27753372,0.00000000,1.05534972,0.82373746
-5.95797899,1.98013989,0.23461873,0.01563345,1.28108701,0.00000000,1.06819639,0.83047498
-5.95197599,1.99366668,0.24283026,0.01568394,1.28219539,0.00000000,1.08069344,0.83601687
-5.94597299,2.00490940,0.25185857,0.01571344,1.28059665,0.00000000,1.09283586,0.84023520
-5.93996998,2.01362838,0.26174441,0.01572244,1.27606290,0.00000000,1.10460266,0.84301617
-5.93396698,2.01961008,0.27250770,0.01571178,1.26840932,0.00000000,1.11595562,0.84426362
-5.92796398,2.02267332,0.28414463,0.01568264,1.25750202,0.00000000,1.12683888,0.84390229
-5.92196098,2.02267470,0.29662550,0.01563658,1.24326439,0.00000000,1.13717944,0.84188039
-5.91595798,2.01951296,0.30989322,0.01557543,1.22568204,0.00000000,1.14688835,0.83817159
-5.90995498,2.01313202,0.32386267,0.01550132,1.20480572,0.00000000,1.15586278,0.83277628
-5.90395198,2.00352270,0.33842105,0.01541656,1.18075233,0.00000000,1.16398861,0.82572211
-5.89794897,1.99072308,0.35342921,0.01532359,1.15370381,0.00000000,1.17114375,0.81706368
-5.89194597,1.97481761,0.36872404,0.01522489,1.12390405,0.00000000,1.17720176,0.80688164
-5.88594297,1.95593516,0.38412185,0.01512289,1.09165379,0.00000000,1.18203597,0.79528120
-5.87993997,1.93424624,0.39942285,0.01501990,1.05730406,0.00000000,1.18552390,0.78239016
-5.87393697,1.90995993,0.41441653,0.01491798,1.02124816,0.00000000,1.18755198,0.76835668
-5.86793397,1.88332065,0.42888795,0.01481893,0.98391281,0.00000000,1.18802042,0.75334706
-5.86193097,1.85460533,0.44262470,0.01472421,0.94574881,0.00000000,1.18684836,0.73754347
-5.85592796,1.82412133,0.45542440,0.01463492,0.90722168,0.00000000,1.18397914,0.72114215
-5.84992496,1.79220514,0.46710259,0.01455178,0.86880261,0.00000000,1.17938555,0.70435178
-5.84392196,1.75922224,0.47750058,0.01447517,0.83096030,0.00000000,1.17307507,0.68739249
-5.83791896,1.72556798,0.48649308,0.01440519,0.79415367,0.00000000,1.16509491,0.67049528
-5.83191596,1.69166932,0.49399532,0.01434167,0.75882598,0.00000000,1.15553653,0.65390179
-5.82591296,1.65798718,0.49996925,0.01428433,0.72540018,0.00000000,1.14453964,0.63786455
-5.81990995,1.62501896,0.50442854,0.01423281,0.69427573,0.00000000,1.13229520,0.62264724
-5.81390695,1.59330076,0.50744211,0.01418679,0.66582668,0.00000000,1.11904739,0.60852502
-5.80790395,1.56340878,0.50913583,0.01414606,0.64040095,0.00000000,1.10509406,0.59578457
-5.80190095,1.53595932,0.50969237,0.01411067,0.61832053,0.00000000,1.09078574,0.58472377
-5.79589795,1.51160697,0.50934885,0.01408090,0.59988252,0.00000000,1.07652281,0.57565062
-5.78989495,1.49104054,0.50839236,0.01405737,0.58536053,0.00000000,1.06275092,0.56888150
-5.78389195,1.47497660,0.50715344,0.01404104,0.57500635,0.00000000,1.04995455,0.56473842
-5.77788894,1.46415031,0.50599754,0.01403324,0.56905165,0.00000000,1.03864893,0.56354539
-5.77188594,1.45930387,0.50531476,0.01403559,0.56770935,0.00000000,1.02937035,0.56562380
-5.76588294,1.46117258,0.50550816,0.01404999,0.57117459,0.00000000,1.02266522,0.57128690
-5.75987994,1.47046893,0.50698112,0.01407857,0.57962506,0.00000000,1.01907818,0.58083351
-5.75387694,1.48786524,0.51012406,0.01412359,0.59322061,0.00000000,1.01913951,0.59454109
-5.74787394,1.51397529,0.51530115,0.01418741,0.61210196,0.00000000,1.02335239,0.61265834
-5.74187094,1.54933557,0.52283734,0.01427234,0.63638849,0.00000000,1.03218014,0.63539756
-5.73586793,1.59438672,0.53300641,0.01438062,0.66617503,0.00000000,1.04603399,0.66292696
-5.72986493,1.64945576,0.54602025,0.01451432,0.70152760,0.00000000,1.06526151,0.69536316
-5.72386193,1.71473951,0.56201998,0.01467531,0.74247821,0.00000000,1.09013606,0.73276395
-5.71785893,1.79028980,0.58106905,0.01486515,0.78901864,0.00000000,1.12084725,0.77512172
-5.71185593,1.87600074,0.60314869,0.01508509,0.84109354,0.00000000,1.15749280,0.82235754
-5.70585293,1.97159840,0.62815574,0.01533600,0.89859269,0.00000000,1.20007164,0.87431611
-5.69984992,2.07663322,0.65590302,0.01561834,0.96134310,0.00000000,1.24847846,0.93076182
-5.69384692,2.19047531,0.68612209,0.01593209,1.02910088,0.00000000,1.30249970,0.99137602
-5.68784392,2.31231295,0.71846835,0.01627676,1.10154362,0.00000000,1.36181105,1.05575568
-5.68184092,2.44115446,0.75252828,0.01665130,1.17826350,0.00000000,1.42597661,1.12341362
-5.67583792,2.57583378,0.78782851,0.01705406,1.25876193,0.00000000,1.49444977,1.19378054
-5.66983492,2.71501989,0.82384654,0.01748274,1.34244605,0.00000000,1.56657610,1.26620902
-5.66383192,2.85723045,0.86002270,0.01793437,1.42862791,0.00000000,1.64159840,1.33997960
-5.65782891,3.00084986,0.89577310,0.01840521,1.51652672,0.00000000,1.71866417,1.41430926
-5.65182591,3.14415201,0.93050320,0.01889078,1.60527480,0.00000000,1.79683587,1.48836223
-5.64582291,3.28532770,0.96362172,0.01938583,1.69392747,0.00000000,1.87510413,1.56126329
-5.63981991,3.42251689,0.99455456,0.01988437,1.78147728,0.00000000,1.95240403,1.63211349
-5.63381691,3.55384542,1.02275850,0.02037973,1.86687238,0.00000000,2.02763470,1.70000815
-5.62781391,3.67746590,1.04773433,0.02086467,1.94903915,0.00000000,2.09968203,1.76405689
-5.62181091,3.79160203,1.06903928,0.02133152,2.02690834,0.00000000,2.16744430,1.82340527
-5.61580790,3.89459538,1.08629838,0.02177238,2.09944434,0.00000000,2.22986026,1.87725756
-5.60980490,3.98495346,1.09921458,0.02217938,2.16567640,0.00000000,2.28593912,1.92489991
-5.60380190,4.06139756,1.10757742,0.02254492,2.22473102,0.00000000,2.33479139,1.96572332
-5.59779890,4.12290866,1.11126996,0.02286204,2.27586390,0.00000000,2.37565969,1.99924534
-5.59179590,4.16876956,1.11027386,0.02312468,2.31849035,0.00000000,2.40794826,2.02512984
-5.58579290,4.19860133,1.10467229,0.02332806,2.35221261,0.00000000,2.43124983,2.04320383
-5.57978989,4.21239219,1.09465060,0.02346898,2.37684268,0.00000000,2.44536854,2.05347048
-5.57378689,4.21051702,1.08049452,0.02354608,2.39241947,0.00000000,2.45033749,2.05611758
-5.56778389,4.19374601,1.06258588,0.02356008,2.39921910,0.00000000,2.44642987,2.05152079
-5.56178089,4.16324122,1.04139572,0.02351393,2.39775751,0.00000000,2.43416251,2.04024119
-5.55577789,4.12054028,1.01747481,0.02341287,2.38878475,0.00000000,2.41429109,2.02301687
-5.54977489,4.06752696,0.99144184,0.02326441,2.37327090,0.00000000,2.38779662,2.00074845
-5.54377189,4.00638877,0.96396919,0.02307821,2.35238345,0.00000000,2.35586310,1.97447873
-5.53776888,3.93956247,0.93576679,0.02286579,2.32745696,0.00000000,2.31984663,1.94536699
-5.53176588,3.86966878,0.90756428,0.02264027,2.29995552,0.00000000,2.28123671,1.91465835
-5.52576288,3.79943813,0.88009201,0.02241588,2.27142943,0.00000000,2.24161093,1.88364938
