energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.94282094,0.01748891,0.06758312,1.08086191,0.38759343,0.03237357,1.58424167,0.45775331,0.18305028
-5.99399700,2.91730827,0.01804572,0.06762909,1.06709849,0.38716563,0.03267516,1.56885801,0.45019026,0.18177936
-5.98799400,2.88827098,0.01866328,0.06788609,1.05294129,0.38584762,0.03308903,1.55135013,0.44162430,0.18017547
-5.98199100,2.85617476,0.01932547,0.06836615,1.03858121,0.38368146,0.03360542,1.53196689,0.43222761,0.17826132
-5.97598799,2.82150053,0.02001454,0.06907235,1.02421121,0.38071430,0.03421047,1.51097793,0.42218587,0.17606289
-5.96998499,2.78471718,0.02071138,0.06999856,1.01001443,0.37699577,0.03488654,1.48865811,0.41169030,0.17360803
-5.96398199,2.74625636,0.02139602,0.07112951,0.99615290,0.37257546,0.03561259,1.46527272,0.40092975,0.17092503
-5.95797899,2.70649039,0.02204806,0.07244121,0.98275744,0.36750083,0.03636485,1.44106385,0.39008318,0.16804141
-5.95197599,2.66571445,0.02264730,0.07390168,0.96991912,0.36181561,0.03711748,1.41623889,0.37931291,0.16498272
-5.94597299,2.62413373,0.02317425,0.07547199,0.95768280,0.35555864,0.03784346,1.39096139,0.36875884,0.16177174
-5.93996998,2.58185604,0.02361075,0.07710753,0.94604294,0.34876330,0.03851542,1.36534484,0.35853395,0.15842775
-5.93396698,2.53889011,0.02394054,0.07875952,0.93494192,0.34145744,0.03910659,1.33944949,0.34872116,0.15496624
-5.92796398,2.49514948,0.02414973,0.08037658,0.92427099,0.33366391,0.03959170,1.31328218,0.33937166,0.15139878
-5.92196098,2.45046163,0.02422733,0.08190646,0.91387365,0.32540137,0.03994778,1.28679932,0.33050475,0.14773321
-5.91595798,2.40458177,0.02416552,0.08329770,0.90355149,0.31668559,0.04015492,1.25991247,0.32210909,0.14397409
-5.90995498,2.35721044,0.02395992,0.08450136,0.89307207,0.30753089,0.04019695,1.23249637,0.31414532,0.14012332
-5.90395198,2.30801403,0.02360971,0.08547253,0.88217856,0.29795174,0.04006182,1.20439889,0.30654976,0.13618095
-5.89794897,2.25664707,0.02311765,0.08617175,0.87060069,0.28796440,0.03974202,1.17545222,0.29923908,0.13214612
-5.89194597,2.20277524,0.02248986,0.08656625,0.85806644,0.27758841,0.03923467,1.14548495,0.29211562,0.12801801
-5.88594297,2.14609793,0.02173566,0.08663093,0.84431407,0.26684790,0.03854155,1.11433415,0.28507317,0.12379683
-5.87993997,2.08636924,0.02086713,0.08634912,0.82910387,0.25577268,0.03766888,1.08185706,0.27800281,0.11948473
-5.87393697,2.02341658,0.01989871,0.08571299,0.81222904,0.24439895,0.03662708,1.04794175,0.27079862,0.11508662
-5.86793397,1.95715592,0.01884665,0.08472379,0.79352536,0.23276966,0.03543026,1.01251621,0.26336305,0.11061078
-5.86193097,1.88760303,0.01772849,0.08339172,0.77287908,0.22093458,0.03409573,0.97555561,0.25561156,0.10606938
-5.85592796,1.81488035,0.01656247,0.08173552,0.75023284,0.20894989,0.03264337,0.93708722,0.24747659,0.10147868
-5.84992496,1.73921922,0.01536697,0.07978187,0.72558918,0.19687758,0.03109498,0.89719307,0.23891043,0.09685907
-5.84392196,1.66095741,0.01416000,0.07756447,0.69901171,0.18478447,0.02947361,0.85601005,0.22988724,0.09223483
-5.83791896,1.58053226,0.01295876,0.07512298,0.67062378,0.17274114,0.02780291,0.81372768,0.22040384,0.08763372
-5.83191596,1.49846972,0.01177919,0.07250175,0.64060484,0.16082059,0.02610649,0.77058360,0.21047957,0.08308631
-5.82591296,1.41537001,0.01063572,0.06974845,0.60918461,0.14909697,0.02440735,0.72685724,0.20015515,0.07862520
-5.81990995,1.33189056,0.00954101,0.06691258,0.57663551,0.13764418,0.02272738,0.68286178,0.18949067,0.07428410
-5.81390695,1.24872709,0.00850587,0.06404404,0.54326354,0.12653472,0.02108692,0.63893504,0.17856287,0.07009678
-5.80790395,1.16659379,0.00753920,0.06119163,0.50939824,0.11583849,0.01950445,0.59542970,0.16746190,0.06609607
