energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.17188482,-3.44598239,1.42054966,-2.09503963,1.09765394,-0.72624918,0.00720828,-0.00652377,0.91776105,-0.88423517,0.01390326,-0.00624623,0.83452368,-1.23232757,0.38498757,-0.60296021,0.13379526,-0.18134794
-5.99399700,3.19863720,-3.45123269,1.37660213,-2.10547834,1.12827848,-0.73776652,0.00719154,-0.00666769,0.92418891,-0.90435957,0.01456868,-0.00615785,0.83777027,-1.21253515,0.38600245,-0.59278487,0.13442635,-0.17926118
-5.98799400,3.23151004,-3.44264289,1.33642794,-2.10589932,1.15845536,-0.74673235,0.00715719,-0.00677213,0.92969067,-0.92065716,0.01535368,-0.00610025,0.84617975,-1.18796396,0.38956127,-0.58000273,0.13597426,-0.17631183
-5.98199100,3.26953465,-3.42002506,1.29985940,-2.09630235,1.18760814,-0.75286059,0.00711042,-0.00683461,0.93387149,-0.93277595,0.01626066,-0.00606838,0.85968147,-1.15892600,0.39560912,-0.56480284,0.13846668,-0.17253628
-5.97598799,3.31159135,-3.38343372,1.26663177,-2.07685326,1.21516316,-0.75591570,0.00705711,-0.00685360,0.93635165,-0.94043931,0.01729018,-0.00605795,0.87808854,-1.12580589,0.40403168,-0.54741267,0.14191245,-0.16798700
-5.96998499,3.35646153,-3.33317139,1.23641144,-2.04787880,1.24056985,-0.75572289,0.00700364,-0.00682861,0.93678525,-0.94345561,0.01844099,-0.00606554,0.90110703,-1.08905219,0.41466023,-0.52809242,0.14630160,-0.16273154
-5.96398199,3.40287901,-3.26978809,1.20882435,-2.00985759,1.26331965,-0.75217640,0.00695664,-0.00676017,0.93487710,-0.94172521,0.01971000,-0.00608862,0.92834706,-1.04916793,0.42727760,-0.50712895,0.15160555,-0.15685132
-5.95797899,3.44957840,-3.19407464,1.18348306,-1.96340752,1.28296248,-0.74524536,0.00692277,-0.00664991,0.93039707,-0.93524440,0.02109235,-0.00612563,0.95933529,-1.00670068,0.44162504,-0.48482947,0.15777761,-0.15044008
-5.95197599,3.49533822,-3.10705012,1.16001130,-1.90927015,1.29912026,-0.73497714,0.00690852,-0.00650047,0.92319097,-0.92410633,0.02258135,-0.00617602,0.99352814,-0.96223243,0.45740954,-0.46151521,0.16475360,-0.14360219
-5.94597299,3.53901697,-3.00994376,1.13806482,-1.84829273,1.31149688,-0.72149791,0.00691989,-0.00631548,0.91318779,-0.90849873,0.02416852,-0.00624030,1.03032545,-0.91636980,0.47431145,-0.43751536,0.17245274,-0.13645072
-5.93996998,3.57958126,-2.90417203,1.11734785,-1.78140857,1.31988428,-0.70501058,0.00696219,-0.00609947,0.90040280,-0.88869875,0.02584357,-0.00632013,1.06908402,-0.86973452,0.49199225,-0.41316135,0.18077866,-0.12910547
-5.93396698,3.61612519,-2.79131156,1.09762461,-1.70961634,1.32416462,-0.68579000,0.00703980,-0.00585775,0.88493659,-0.86506498,0.02759438,-0.00641833,1.10913089,-0.82295474,0.51010213,-0.38878168,0.18962069,-0.12169097
-5.92796398,3.64788113,-2.67306892,1.07872580,-1.63395908,1.32430869,-0.66417592,0.00715596,-0.00559629,0.86697023,-0.83802723,0.02940700,-0.00653901,1.14977586,-0.77665712,0.52828740,-0.36469736,0.19885532,-0.11433447
-5.92196098,3.67422227,-2.55124812,1.06055003,-1.55550351,1.32037084,-0.64056382,0.00731262,-0.00532160,0.84675686,-0.80807433,0.03126563,-0.00668751,1.19032343,-0.73145981,0.54619747,-0.34121808,0.20834784,-0.10716404
-5.91595798,3.69465807,-2.42771681,1.04306062,-1.47532017,1.31248098,-0.61539417,0.00751032,-0.00504054,0.82461037,-0.77574059,0.03315263,-0.00687051,1.23008375,-0.68796644,0.56349133,-0.31863908,0.21795430,-0.10030668
-5.90995498,3.70882367,-2.30437208,1.02627830,-1.39446487,1.30083420,-0.58914052,0.00774807,-0.00476022,0.80089180,-0.74159139,0.03504858,-0.00709597,1.26838271,-0.64676089,0.57984351,-0.29723866,0.22752365,-0.09388673
-5.90395198,3.71646496,-2.18310676,1.01027064,-1.31396189,1.28567881,-0.56229683,0.00802337,-0.00448782,0.77599419,-0.70620847,0.03693238,-0.00737311,1.30457123,-0.60840285,0.59494933,-0.27727635,0.23690018,-0.08802421
-5.89794897,3.71742088,-2.06577683,0.99513882,-1.23478891,1.26730346,-0.53536473,0.00833221,-0.00423044,0.75032669,-0.67017549,0.03878141,-0.00771232,1.33803364,-0.57342397,0.60852954,-0.25899161,0.24592607,-0.08283345
-5.89194597,3.71160443,-1.95417063,0.98100295,-1.15786416,1.24602394,-0.50884090,0.00866915,-0.00399501,0.72429872,-0.63406426,0.04057173,-0.00812499,1.36819530,-0.54232428,0.62033425,-0.24260284,0.25444425,-0.07842176
-5.88594297,3.69898411,-1.84998027,0.96798656,-1.08403547,1.22217060,-0.48320526,0.00902746,-0.00378811,0.69830490,-0.59842218,0.04227845,-0.00862338,1.39452950,-0.51556880,0.63014607,-0.22830674,0.26230134,-0.07488822
-5.87993997,3.67956682,-1.75477567,0.95620136,-1.01407142,1.19607653,-0.45891013,0.00939930,-0.00361590,0.67271133,-0.56376113,0.04387611,-0.00922025,1.41656373,-0.49358392,0.63778257,-0.21627767,0.26935070,-0.07232252
