energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-0.92746373,4.33421563,0.57702503,2.52432300,0.05619153,0.40421255,1.21912860,0.85626981,0.34733974,0.00000000
-0.92146073,4.44867452,0.59790104,2.60966325,0.05714785,0.40576338,1.25020562,0.86838697,0.35755757,0.00000000
-0.91545773,4.55249378,0.61745490,2.68858369,0.05783497,0.40674756,1.27915416,0.87838254,0.36712262,0.00000000
-0.90945473,4.64471610,0.63551801,2.76024282,0.05824090,0.40724530,1.30592594,0.88618477,0.37595916,0.00000000
-0.90345173,4.72454025,0.65194707,2.82390049,0.05835794,0.40733963,1.33049904,0.89174575,0.38400605,0.00000000
-0.89744872,4.79134955,0.66662851,2.87894141,0.05818308,0.40711499,1.35287652,0.89504502,0.39121843,0.00000000
-0.89144572,4.84473660,0.67948181,2.92489553,0.05771814,0.40665608,1.37308423,0.89609290,0.39756885,0.00000000
-0.88544272,4.88452237,0.69046166,2.96145443,0.05696994,0.40604685,1.39116794,0.89493323,0.40304776,0.00000000
-0.87943972,4.91076843,0.69955871,2.98848265,0.05595020,0.40536982,1.40718971,0.89164529,0.40766335,0.00000000
-0.87343672,4.92378132,0.70679887,3.00602324,0.05467536,0.40470538,1.42122373,0.88634466,0.41144073,0.00000000
-0.86743372,4.92410840,0.71224117,3.01429717,0.05316626,0.40413117,1.43335175,0.87918286,0.41442038,0.00000000
-0.86143072,4.91252494,0.71597425,3.01369643,0.05144763,0.40372149,1.44365828,0.87034564,0.41665603,0.00000000
-0.85542771,4.89001300,0.71811171,3.00477095,0.04954751,0.40354668,1.45222593,0.86004996,0.41821205,0.00000000
-0.84942471,4.85773274,0.71878644,2.98821008,0.04749659,0.40367238,1.45913113,0.84853976,0.41916043,0.00000000
-0.84342171,4.81698746,0.71814442,2.96481920,0.04532738,0.40415883,1.46444043,0.83608065,0.41957746,0.00000000
-0.83741871,4.76918411,0.71633808,2.93549277,0.04307344,0.40506013,1.46820780,0.82295381,0.41954041,0.00000000
-0.83141571,4.71579088,0.71351990,2.90118487,0.04076855,0.40642340,1.47047300,0.80944925,0.41912430,0.00000000
-0.82541271,4.65829413,0.70983621,2.86287881,0.03844587,0.40828813,1.47126121,0.79585900,0.41839884,0.00000000
-0.81940970,4.59815638,0.70542187,2.82155702,0.03613722,0.41068549,1.47058399,0.78247023,0.41742586,0.00000000
-0.81340670,4.53677736,0.70039589,2.77817273,0.03387236,0.41363783,1.46844149,0.76955882,0.41625717,0.00000000
-0.80740370,4.47545968,0.69485815,2.73362445,0.03167841,0.41715822,1.46482575,0.75738353,0.41493314,0.00000000
-0.80140070,4.41538027,0.68888759,2.68873441,0.02957939,0.42125027,1.45972489,0.74618096,0.41348183,0.00000000
-0.79539770,4.35756861,0.68254164,2.64423169,0.02759585,0.42590797,1.45312791,0.73616146,0.41191889,0.00000000
-0.78939470,4.30289200,0.67585695,2.60074042,0.02574467,0.43111573,1.44502957,0.72750595,0.41024800,0.00000000
-0.78339170,4.25204797,0.66885139,2.55877333,0.02403900,0.43684847,1.43543527,0.72036375,0.40846204,0.00000000
-0.77738869,4.20556345,0.66152694,2.51873042,0.02248825,0.44307188,1.42436522,0.71485121,0.40654463,0.00000000
-0.77138569,4.16379981,0.65387340,2.48090257,0.02109831,0.44974258,1.41185780,0.71105114,0.40447211,0.00000000
-0.76538269,4.12696302,0.64587257,2.44547921,0.01987170,0.45680842,1.39797180,0.70901273,0.40221574,0.00000000
-0.75937969,4.09511767,0.63750260,2.41255958,0.01880800,0.46420866,1.38278724,0.70875203,0.39974410,0.00000000
-0.75337669,4.06820361,0.62874230,2.38216654,0.01790411,0.47187429,1.36640488,0.71025264,0.39702534,0.00000000
-0.74737369,4.04605428,0.61957509,2.35426201,0.01715473,0.47972822,1.34894438,0.71346657,0.39402940,0.00000000
-0.74137069,4.02841555,0.60999244,2.32876325,0.01655269,0.48768562,1.33054129,0.71831533,0.39073000,0.00000000
-0.73536768,4.01496428,0.59999660,2.30555900,0.01608939,0.49565440,1.31134303,0.72469104,0.38710627,0.00000000
-0.72936468,4.00532612,0.58960255,2.28452490,0.01575517,0.50353578,1.29150447,0.73245776,0.38314406,0.00000000
-0.72336168,3.99909206,0.57883912,2.26553751,0.01553961,0.51122529,1.27118315,0.74145306,0.37883694,0.00000000
-0.71735868,3.99583371,0.56774934,2.24848644,0.01543183,0.51861399,1.25053489,0.75149000,0.37418673,0.00000000
-0.71135568,3.99511731,0.55639004,2.23328444,0.01542077,0.52559020,1.22970993,0.76235965,0.36920380,0.00000000
-0.70535268,3.99651687,0.54483084,2.21987526,0.01549535,0.53204173,1.20885011,0.77383434,0.36390704,0.00000000
-0.69934967,3.99962642,0.53315276,2.20823921,0.01564466,0.53785853,1.18808735,0.78567170,0.35832362,0.00000000
-0.69334667,4.00407208,0.52144646,2.19839659,0.01585810,0.54293599,1.16754358,0.79761970,0.35248858,0.00000000
-0.68734367,4.00952379,0.50981041,2.19040907,0.01612552,0.54717852,1.14733214,0.80942260,0.34644432,0.00000000
-0.68134067,4.01570706,0.49834901,2.18437931,0.01643729,0.55050354,1.12756072,0.82082786,0.34024004,0.00000000
-0.67533767,4.02241462,0.48717092,2.18044893,0.01678446,0.55284575,1.10833552,0.83159382,0.33393112,0.00000000
-0.66933467,4.02951761,0.47638757,2.17879499,0.01715886,0.55416124,1.08976641,0.84149795,0.32757860,0.00000000
-0.66333167,4.03697596,0.46611196,2.17962518,0.01755322,0.55443156,1.07197263,0.85034534,0.32124850,0.00000000
-0.65732866,4.04484725,0.45645766,2.18317190,0.01796133,0.55366725,1.05508864,0.85797715,0.31501129,0.00000000
-0.65132566,4.05329325,0.44753813,2.18968508,0.01837818,0.55191079,1.03926949,0.86427838,0.30894120,0.00000000
-0.64532266,4.06258338,0.43946612,2.19942402,0.01880012,0.54923850,1.02469538,0.86918474,0.30311548,0.00000000
-0.63931966,4.07309412,0.43235317,2.21264821,0.01922498,0.54576147,1.01157466,0.87268801,0.29761354,0.00000000
-0.63331666,4.08530373,0.42630898,2.22960713,0.01965223,0.54162509,1.00014518,0.87483950,0.29251586,0.00000000
-0.62731366,4.09978160,0.42144073,2.25052926,0.02008305,0.53700720,0.99067327,0.87575124,0.28790277,0.00000000
-0.62131066,4.11717204,0.41785199,2.27561046,0.02052036,0.53211474,0.98345049,0.87559468,0.28385291,0.00000000
-0.61530765,4.13817237,0.41564137,2.30500182,0.02096885,0.52717898,0.97878785,0.87459667,0.28044147,0.00000000
