energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.60518481,0.04634367,0.09242667,0.72478221,0.03644387,1.50365479,0.63632732,0.40699300
-5.99399700,2.59400339,0.04499766,0.09561503,0.72453424,0.03673102,1.49273637,0.63738325,0.40892157
-5.98799400,2.57818260,0.04354950,0.09933165,0.72348140,0.03694610,1.47801893,0.63800692,0.41061325
-5.98199100,2.55805964,0.04201395,0.10351826,0.72151822,0.03709303,1.45982675,0.63825985,0.41202129
-5.97598799,2.53399806,0.04040702,0.10810519,0.71854767,0.03717560,1.43851750,0.63819020,0.41309441
-5.96998499,2.50636799,0.03874545,0.11301249,0.71448201,0.03719712,1.41446735,0.63782882,0.41377638
-5.96398199,2.47552847,0.03704627,0.11815129,0.70924373,0.03716010,1.38805670,0.63718653,0.41400624
-5.95797899,2.44181287,0.03532620,0.12342572,0.70276656,0.03706597,1.35965755,0.63625291,0.41371891
-5.95197599,2.40551853,0.03360122,0.12873513,0.69499675,0.03691495,1.32962315,0.63499697,0.41284654
-5.94597299,2.36690130,0.03188614,0.13397664,0.68589453,0.03670604,1.29828023,0.63336955,0.41132052
-5.93996998,2.32617524,0.03019422,0.13904798,0.67543591,0.03643714,1.26592450,0.63130748,0.40907408
-5.93396698,2.28351745,0.02853698,0.14385059,0.66361463,0.03610518,1.23281912,0.62873939,0.40604548
-5.92796398,2.23907760,0.02692402,0.14829274,0.65044416,0.03570655,1.19919623,0.62559283,0.40218162
-5.92196098,2.19299140,0.02536298,0.15229267,0.63595966,0.03523741,1.16526122,0.62180240,0.39744186
-5.91595798,2.14539702,0.02385968,0.15578172,0.62021974,0.03469422,1.13119913,0.61731844,0.39180193
-5.90995498,2.09645333,0.02241818,0.15870703,0.60330772,0.03407418,1.09718267,0.61211580,0.38525764
-5.90395198,2.04635850,0.02104112,0.16103408,0.58533245,0.03337581,1.06338121,0.60620239,0.37782818
