energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.04234777,0.00825516,0.00000000,0.00208679,0.05800859,0.37392755,0.50555424,0.01988438,0.44417804
-5.99399700,1.04957374,0.00819817,0.00000000,0.00226841,0.06012212,0.38595589,0.50763946,0.01932212,0.44529311
-5.98799400,1.05793268,0.00812571,0.00000000,0.00246849,0.06240228,0.39878605,0.51063595,0.01870273,0.44640807
-5.98199100,1.06743113,0.00804056,0.00000000,0.00268554,0.06484529,0.41234614,0.51452245,0.01803728,0.44756541
-5.97598799,1.07801704,0.00794533,0.00000000,0.00291776,0.06744393,0.42653344,0.51924706,0.01733702,0.44878692
-5.96998499,1.08957890,0.00784229,0.00000000,0.00316312,0.07018770,0.44121591,0.52472834,0.01661293,0.45007153
-5.96398199,1.10194888,0.00773337,0.00000000,0.00341944,0.07306336,0.45623547,0.53085836,0.01587544,0.45139473
-5.95797899,1.11491033,0.00762002,0.00000000,0.00368446,0.07605569,0.47141322,0.53750786,0.01513409,0.45270996
-5.95197599,1.12820967,0.00750329,0.00000000,0.00395592,0.07914841,0.48655639,0.54453337,0.01439734,0.45395180
-5.94597299,1.14157212,0.00738376,0.00000000,0.00423168,0.08232535,0.50146687,0.55178616,0.01367236,0.45504112
-5.93996998,1.15472088,0.00726167,0.00000000,0.00450976,0.08557168,0.51595086,0.55912269,0.01296502,0.45589178
-5.93396698,1.16739882,0.00713694,0.00000000,0.00478845,0.08887524,0.52982937,0.56641610,0.01227982,0.45641871
-5.92796398,1.17939146,0.00700933,0.00000000,0.00506637,0.09222775,0.54294886,0.57356819,0.01162000,0.45654689
-5.92196098,1.19055020,0.00687853,0.00000000,0.00534254,0.09562597,0.55519172,0.58052130,0.01098766,0.45622082
-5.91595798,1.20081433,0.00674430,0.00000000,0.00561636,0.09907255,0.56648569,0.58726938,0.01038388,0.45541380
-5.90995498,1.21023058,0.00660664,0.00000000,0.00588766,0.10257671,0.57681203,0.59386761,0.00980901,0.45413667
-5.90395198,1.21896884,0.00646588,0.00000000,0.00615667,0.10615441,0.58621167,0.60043994,0.00926282,0.45244527
-5.89794897,1.22733317,0.00632283,0.00000000,0.00642396,0.10982828,0.59478915,0.60718396,0.00874477,0.45044641
-5.89194597,1.23576701,0.00617884,0.00000000,0.00669038,0.11362699,0.60271392,0.61437273,0.00825420,0.44830159
-5.88594297,1.24485214,0.00603591,0.00000000,0.00695697,0.11758432,0.61021900,0.62235316,0.00779057,0.44622860
-5.87993997,1.25530107,0.00589672,0.00000000,0.00722484,0.12173773,0.61759688,0.63154090,0.00735361,0.44450039
-5.87393697,1.26794289,0.00576462,0.00000000,0.00749510,0.12612665,0.62519275,0.64241162,0.00694345,0.44344150
-5.86793397,1.28370296,0.00564363,0.00000000,0.00776864,0.13079054,0.63339551,0.65548900,0.00656074,0.44342187
-5.86193097,1.30357707,0.00553837,0.00000000,0.00804613,0.13576667,0.64262670,0.67132963,0.00620669,0.44484832
-5.85592796,1.32860102,0.00545399,0.00000000,0.00832783,0.14108795,0.65332786,0.69050547,0.00588312,0.44815397
-5.84992496,1.35981668,0.00539603,0.00000000,0.00861355,0.14678068,0.66594690,0.71358429,0.00559241,0.45378590
-5.84392196,1.39823589,0.00537032,0.00000000,0.00890257,0.15286252,0.68092386,0.74110900,0.00533748,0.46219158
-5.83791896,1.44480336,0.00538282,0.00000000,0.00919363,0.15934070,0.69867662,0.77357640,0.00512170,0.47380440
-5.83191596,1.50036028,0.00543944,0.00000000,0.00948490,0.16621046,0.71958707,0.81141648,0.00494881,0.48902896
-5.82591296,1.56560955,0.00554589,0.00000000,0.00977406,0.17345404,0.74398808,0.85497274,0.00482279,0.50822648
-5.81990995,1.64108437,0.00570750,0.00000000,0.01005835,0.18104000,0.77215172,0.90448458,0.00474776,0.53170087
-5.81390695,1.72712086,0.00592901,0.00000000,0.01033466,0.18892304,0.80427896,0.96007230,0.00472782,0.55968591
-5.80790395,1.82383608,0.00621447,0.00000000,0.01059967,0.19704437,0.84049106,1.02172552,0.00476692,0.59233394
-5.80190095,1.93111203,0.00656700,0.00000000,0.01084999,0.20533250,0.88082283,1.08929542,0.00486872,0.62970642
-5.79589795,2.04858625,0.00698868,0.00000000,0.01108229,0.21370451,0.92521783,1.16249120,0.00503647,0.67176671
-5.78989495,2.17564954,0.00748038,0.00000000,0.01129348,0.22206768,0.97352558,1.24088116,0.00527283,0.71837522
-5.78389195,2.31145081,0.00804168,0.00000000,0.01148082,0.23032152,1.02550078,1.32389836,0.00557975,0.76928726
-5.77788894,2.45490924,0.00867074,0.00000000,0.01164204,0.23836009,1.08080456,1.41085092,0.00595835,0.82415363
-5.77188594,2.60473328,0.00936420,0.00000000,0.01177551,0.24607442,1.13900774,1.50093665,0.00640878,0.88252401
