energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.91637349,0.69709886,0.54785926,0.03255457,0.72688568,0.16146907,0.00000000
-5.99399700,1.94224035,0.70504952,0.55601001,0.03290848,0.73644102,0.16628663,0.00000000
-5.98799400,1.96383433,0.71239820,0.56311579,0.03309999,0.74446999,0.17039341,0.00000000
-5.98199100,1.98038125,0.71892146,0.56895398,0.03311856,0.75066956,0.17373675,0.00000000
-5.97598799,1.99128416,0.72444769,0.57334386,0.03295936,0.75479671,0.17629213,0.00000000
-5.96998499,1.99614662,0.72886582,0.57615389,0.03262336,0.75667765,0.17806408,0.00000000
-5.96398199,1.99478863,0.73213133,0.57730710,0.03211730,0.75621432,0.17908619,0.00000000
-5.95797899,1.98725430,0.73426919,0.57678460,0.03145343,0.75338804,0.17942009,0.00000000
-5.95197599,1.97381101,0.73537371,0.57462680,0.03064911,0.74825999,0.17915350,0.00000000
-5.94597299,1.95494012,0.73560505,0.57093251,0.02972624,0.74096867,0.17839740,0.00000000
-5.93996998,1.93131959,0.73518286,0.56585591,0.02871056,0.73172433,0.17728232,0.00000000
-5.93396698,1.90379951,0.73437703,0.55960162,0.02763075,0.72080095,0.17595394,0.00000000
-5.92796398,1.87337148,0.73349638,0.55241797,0.02651760,0.70852578,0.17456816,0.00000000
-5.92196098,1.84113341,0.73287541,0.54458895,0.02540299,0.69526732,0.17328582,0.00000000
-5.91595798,1.80825098,0.73286023,0.53642498,0.02431892,0.68142201,0.17226721,0.00000000
-5.90995498,1.77591755,0.73379384,0.52825301,0.02329655,0.66740036,0.17166660,0.00000000
-5.90395198,1.74531396,0.73600183,0.52040611,0.02236526,0.65361296,0.17162703,0.00000000
-5.89794897,1.71756963,0.73977886,0.51321304,0.02155180,0.64045703,0.17227542,0.00000000
-5.89194597,1.69372637,0.74537659,0.50698806,0.02087957,0.62830388,0.17371830,0.00000000
-5.88594297,1.67470583,0.75299346,0.50202117,0.02036790,0.61748764,0.17603809,0.00000000
-5.87993997,1.66128168,0.76276675,0.49856916,0.02003160,0.60829577,0.17929032,0.00000000
-5.87393697,1.65405696,0.77476703,0.49684758,0.01988053,0.60096132,0.18350152,0.00000000
-5.86793397,1.65344716,0.78899518,0.49702385,0.01991940,0.59565723,0.18866817,0.00000000
-5.86193097,1.65966925,0.80538196,0.49921169,0.02014762,0.59249265,0.19475636,0.00000000
-5.85592796,1.67273661,0.82378992,0.50346690,0.02055940,0.59151136,0.20170250,0.00000000
-5.84992496,1.69245979,0.84401755,0.50978473,0.02114391,0.59269205,0.20941480,0.00000000
-5.84392196,1.71845287,0.86580524,0.51809883,0.02188559,0.59595044,0.21777553,0.00000000
-5.83791896,1.75014515,0.88884298,0.52828194,0.02276459,0.60114313,0.22664405,0.00000000
-5.83191596,1.78679760,0.91277909,0.54014829,0.02375731,0.60807282,0.23586047,0.00000000
-5.82591296,1.82752380,0.93723005,0.55345773,0.02483710,0.61649493,0.24524988,0.00000000
-5.81990995,1.87131479,0.96179077,0.56792171,0.02597489,0.62612516,0.25462705,0.00000000
