energy_ev,total_up,Cu_p_up,Cu_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.74673286,0.22299309,0.32383054,0.18685346,0.00000000,0.12585170,0.00000000
-5.99399700,0.78207865,0.23592858,0.33905440,0.19965742,0.00000000,0.12642936,0.00000000
-5.98799400,0.81772618,0.24883160,0.35435965,0.21218002,0.00000000,0.12757781,0.00000000
-5.98199100,0.85284630,0.26145994,0.36938575,0.22423680,0.00000000,0.12912535,0.00000000
-5.97598799,0.88663521,0.27358329,0.38378112,0.23565086,0.00000000,0.13090392,0.00000000
-5.96998499,0.91834136,0.28499075,0.39721513,0.24625948,0.00000000,0.13275369,0.00000000
-5.96398199,0.94729104,0.29549790,0.40938949,0.25592038,0.00000000,0.13452736,0.00000000
-5.95797899,0.97291147,0.30495318,0.42004860,0.26451742,0.00000000,0.13609402,0.00000000
-5.95197599,0.99475026,0.31324315,0.42898831,0.27196537,0.00000000,0.13734240,0.00000000
-5.94597299,1.01249029,0.32029638,0.43606274,0.27821347,0.00000000,0.13818335,0.00000000
-5.93996998,1.02595919,0.32608562,0.44118873,0.28324759,0.00000000,0.13855157,0.00000000
-5.93396698,1.03513289,0.33062828,0.44434786,0.28709076,0.00000000,0.13840647,0.00000000
-5.92796398,1.04013308,0.33398493,0.44558568,0.28980213,0.00000000,0.13773207,0.00000000
-5.92196098,1.04121857,0.33625596,0.44500846,0.29147421,0.00000000,0.13653619,0.00000000
-5.91595798,1.03877093,0.33757658,0.44277735,0.29222860,0.00000000,0.13484870,0.00000000
-5.90995498,1.03327526,0.33811025,0.43910053,0.29221036,0.00000000,0.13271921,0.00000000
-5.90395198,1.02529698,0.33804101,0.43422348,0.29158139,0.00000000,0.13021415,0.00000000
-5.89794897,1.01545587,0.33756507,0.42841814,0.29051300,0.00000000,0.12741348,0.00000000
-5.89194597,1.00439878,0.33688212,0.42197139,0.28917825,0.00000000,0.12440724,0.00000000
-5.88594297,0.99277254,0.33618674,0.41517347,0.28774433,0.00000000,0.12129196,0.00000000
-5.87993997,0.98119833,0.33566064,0.40830706,0.28636552,0.00000000,0.11816740,0.00000000
-5.87393697,0.97024917,0.33546588,0.40163746,0.28517702,0.00000000,0.11513344,0.00000000
-5.86793397,0.96043142,0.33573965,0.39540449,0.28429010,0.00000000,0.11228756,0.00000000
-5.86193097,0.95217148,0.33659083,0.38981646,0.28378877,0.00000000,0.10972277,0.00000000
-5.85592796,0.94580811,0.33809847,0.38504638,0.28372818,0.00000000,0.10752630,0.00000000
-5.84992496,0.94159082,0.34031238,0.38123078,0.28413480,0.00000000,0.10577880,0.00000000
-5.84392196,0.93968402,0.34325555,0.37847077,0.28500837,0.00000000,0.10455429,0.00000000
-5.83791896,0.94017661,0.34692840,0.37683548,0.28632556,0.00000000,0.10392058,0.00000000
-5.83191596,0.94309611,0.35131437,0.37636726,0.28804483,0.00000000,0.10394014,0.00000000
-5.82591296,0.94842617,0.35638658,0.37708840,0.29011256,0.00000000,0.10467138,0.00000000
-5.81990995,0.95612618,0.36211488,0.37900872,0.29246960,0.00000000,0.10616994,0.00000000
-5.81390695,0.96615145,0.36847296,0.38213337,0.29505816,0.00000000,0.10849001,0.00000000
