energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.97512757,0.00953655,0.12656284,0.44026459,0.59295513,0.05431615,2.16519726,1.03184176,0.57577887
-5.99399700,4.08043017,0.00971017,0.13007251,0.45048289,0.61075752,0.05514334,2.22285094,1.07342547,0.59784633
-5.98799400,4.18328022,0.00990420,0.13366693,0.46024313,0.62836480,0.05598677,2.27913118,1.11552847,0.61998777
-5.98199100,4.28272188,0.01011751,0.13731174,0.46940257,0.64563532,0.05684075,2.33354935,1.15774665,0.64203597
-5.97598799,4.37791744,0.01034855,0.14097405,0.47783417,0.66243235,0.05769934,2.38568351,1.19968892,0.66383728
-5.96998499,4.46816127,0.01059537,0.14462214,0.48542935,0.67862643,0.05855648,2.43518642,1.24098562,0.68525328
-5.96398199,4.55288791,0.01085573,0.14822511,0.49209978,0.69409743,0.05940612,2.48179019,1.28129554,0.70616183
-5.95797899,4.63167470,0.01112720,0.15175253,0.49777841,0.70873624,0.06024236,2.52530796,1.32031146,0.72645750
-5.95197599,4.70423919,0.01140725,0.15517402,0.50241960,0.72244604,0.06105958,2.56563250,1.35776400,0.74605157
-5.94597299,4.77043243,0.01169337,0.15845902,0.50599852,0.73514328,0.06185254,2.60273254,1.39342395,0.76487179
-5.93996998,4.83022881,0.01198317,0.16157668,0.50850996,0.74675839,0.06261646,2.63664700,1.42710302,0.78286196
-5.93396698,4.88371394,0.01227450,0.16449593,0.50996663,0.75723618,0.06334710,2.66747794,1.45865337,0.79998151
-5.92796398,4.93107121,0.01256553,0.16718571,0.51039716,0.76653623,0.06404083,2.69538263,1.48796592,0.81620509
-5.92196098,4.97256836,0.01285479,0.16961550,0.50984394,0.77463303,0.06469464,2.72056549,1.51496789,0.83152241
-5.91595798,5.00854464,0.01314128,0.17175602,0.50836102,0.78151615,0.06530616,2.74327005,1.53961963,0.84593799
-5.90995498,5.03939904,0.01342443,0.17358004,0.50601203,0.78719036,0.06587369,2.76377138,1.56191114,0.85947113
-5.90395198,5.06557993,0.01370414,0.17506336,0.50286841,0.79167558,0.06639608,2.78236915,1.58185830,0.87215562
-5.89794897,5.08757598,0.01398074,0.17618586,0.49900786,0.79500689,0.06687278,2.79938113,1.59949907,0.88403940
-5.89194597,5.10590795,0.01425494,0.17693248,0.49451305,0.79723416,0.06730370,2.81513719,1.61488976,0.89518368
-5.88594297,5.12112112,0.01452772,0.17729410,0.48947065,0.79842167,0.06768911,2.82997344,1.62810139,0.90566164
-5.87993997,5.13377743,0.01480029,0.17726834,0.48397050,0.79864720,0.06802958,2.84422625,1.63921612,0.91555642
-5.87393697,5.14444705,0.01507392,0.17685999,0.47810499,0.79800088,0.06832580,2.85822588,1.64832394,0.92495826
-5.86793397,5.15369857,0.01534984,0.17608131,0.47196840,0.79658355,0.06857849,2.87228948,1.65551933,0.93396103
-5.86193097,5.16208773,0.01562913,0.17495194,0.46565629,0.79450469,0.06878823,2.88671343,1.66089818,0.94265789
-5.85592796,5.17014438,0.01591258,0.17349853,0.45926476,0.79187993,0.06895537,2.90176477,1.66455476,0.95113641
-5.84992496,5.17835796,0.01620059,0.17175406,0.45288951,0.78882820,0.06907995,2.91767218,1.66657894,0.95947327
-5.84392196,5.18716187,0.01649309,0.16975698,0.44662475,0.78546854,0.06916159,2.93461665,1.66705362,0.96772892
