energy_ev,total_up,total_down,In_p_up,In_p_down,In_d_up,In_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.95479585,-1.95479585,0.04663018,-0.04663018,0.00087697,-0.00087697,0.49493481,-0.49493481,0.78098026,-0.78098026,0.04521489,-0.04521489,1.15202302,-1.15202302
-5.99399700,1.89170442,-1.89170443,0.04402620,-0.04402620,0.00085020,-0.00085020,0.46649680,-0.46649680,0.76066877,-0.76066877,0.04386559,-0.04386559,1.12051040,-1.12051040
-5.98799400,1.84235970,-1.84235970,0.04182086,-0.04182086,0.00082609,-0.00082609,0.44368630,-0.44368630,0.74471907,-0.74471907,0.04269901,-0.04269901,1.09795289,-1.09795289
-5.98199100,1.80707772,-1.80707773,0.04001496,-0.04001496,0.00080464,-0.00080464,0.42633057,-0.42633057,0.73327400,-0.73327400,0.04172903,-0.04172903,1.08452234,-1.08452235
-5.97598799,1.78589144,-1.78589144,0.03859925,-0.03859925,0.00078576,-0.00078576,0.41421176,-0.41421176,0.72635901,-0.72635901,0.04096256,-0.04096256,1.08021994,-1.08021994
-5.96998499,1.77855681,-1.77855681,0.03755551,-0.03755551,0.00076935,-0.00076935,0.40706903,-0.40706903,0.72388649,-0.72388649,0.04039968,-0.04039968,1.08487775,-1.08487775
-5.96398199,1.78456505,-1.78456505,0.03685772,-0.03685772,0.00075527,-0.00075527,0.40460093,-0.40460093,0.72566345,-0.72566345,0.04003401,-0.04003401,1.09816368,-1.09816368
-5.95797899,1.80316022,-1.80316022,0.03647346,-0.03647346,0.00074337,-0.00074337,0.40646812,-0.40646812,0.73140191,-0.73140191,0.03985330,-0.03985330,1.11958955,-1.11958955
-5.95197599,1.83336160,-1.83336160,0.03636536,-0.03636536,0.00073349,-0.00073349,0.41229658,-0.41229658,0.74073171,-0.74073171,0.03984016,-0.03984016,1.14852212,-1.14852213
-5.94597299,1.87399002,-1.87399002,0.03649263,-0.03649263,0.00072546,-0.00072546,0.42168132,-0.42168132,0.75321500,-0.75321500,0.03997295,-0.03997295,1.18419674,-1.18419674
-5.93996998,1.92369750,-1.92369750,0.03681255,-0.03681255,0.00071910,-0.00071910,0.43419074,-0.43419074,0.76836193,-0.76836193,0.04022668,-0.04022668,1.22573326,-1.22573326
-5.93396698,1.98099935,-1.98099935,0.03728203,-0.03728203,0.00071426,-0.00071426,0.44937163,-0.44937163,0.78564686,-0.78564686,0.04057408,-0.04057408,1.27215401,-1.27215401
-5.92796398,2.04430830,-2.04430830,0.03785896,-0.03785896,0.00071078,-0.00071078,0.46675483,-0.46675483,0.80452464,-0.80452464,0.04098655,-0.04098655,1.32240356,-1.32240356
-5.92196098,2.11196979,-2.11196979,0.03850357,-0.03850357,0.00070852,-0.00070852,0.48586155,-0.48586155,0.82444632,-0.82444632,0.04143519,-0.04143519,1.37536987,-1.37536988
-5.91595798,2.18229816,-2.18229816,0.03917963,-0.03917963,0.00070735,-0.00070735,0.50621027,-0.50621027,0.84487401,-0.84487400,0.04189165,-0.04189165,1.42990671,-1.42990671
-5.90995498,2.25361299,-2.25361299,0.03985552,-0.03985552,0.00070717,-0.00070717,0.52732431,-0.52732431,0.86529439,-0.86529439,0.04232898,-0.04232898,1.48485690,-1.48485690
-5.90395198,2.32427529,-2.32427529,0.04050510,-0.04050510,0.00070786,-0.00070786,0.54873977,-0.54873977,0.88523082,-0.88523082,0.04272233,-0.04272233,1.53907623,-1.53907623
-5.89794897,2.39272302,-2.39272302,0.04110853,-0.04110853,0.00070935,-0.00070935,0.57001392,-0.57001392,0.90425368,-0.90425368,0.04304952,-0.04304952,1.59145765,-1.59145765
-5.89194597,2.45750541,-2.45750541,0.04165277,-0.04165277,0.00071158,-0.00071158,0.59073373,-0.59073373,0.92198898,-0.92198898,0.04329152,-0.04329152,1.64095524,-1.64095524
-5.88594297,2.51731554,-2.51731554,0.04213212,-0.04213212,0.00071451,-0.00071451,0.61052447,-0.61052447,0.93812524,-0.93812524,0.04343273,-0.04343273,1.68660767,-1.68660767
-5.87993997,2.57102067,-2.57102067,0.04254835,-0.04254835,0.00071813,-0.00071813,0.62905806,-0.62905806,0.95241863,-0.95241863,0.04346121,-0.04346121,1.72756053,-1.72756053
-5.87393697,2.61768941,-2.61768941,0.04291092,-0.04291092,0.00072247,-0.00072247,0.64606091,-0.64606091,0.96469643,-0.96469643,0.04336876,-0.04336876,1.76308697,-1.76308697
