energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,0.42473843,0.25430343,0.16162837,0.06368333,0.04845044,0.00517399,0.05358208
-5.99399700,0.38373177,0.22661645,0.14866446,0.06080496,0.04157058,0.00453368,0.04605703
-5.98799400,0.34713429,0.20151322,0.13684771,0.05783567,0.03562845,0.00412705,0.03946004
-5.98199100,0.31475622,0.17891916,0.12612957,0.05479380,0.03057436,0.00394192,0.03375223
-5.97598799,0.28643171,0.15874048,0.11647511,0.05170175,0.02635870,0.00397145,0.02889003
-5.96998499,0.26202487,0.14087106,0.10786388,0.04858549,0.02293360,0.00421411,0.02482743
-5.96398199,0.24143376,0.12519854,0.10029003,0.04547395,0.02025432,0.00467345,0.02151810
-5.95797899,0.22459251,0.11160967,0.09376178,0.04239817,0.01828031,0.00535783,0.01891711
-5.95197599,0.21147126,0.09999445,0.08830024,0.03939049,0.01697602,0.00627991,0.01698243
-5.94597299,0.20207427,0.09024937,0.08393767,0.03648357,0.01631132,0.00745616,0.01567599
-5.93996998,0.19643599,0.08227947,0.08071525,0.03370947,0.01626157,0.00890609,0.01496442
-5.93396698,0.19461540,0.07599949,0.07868034,0.03109878,0.01680732,0.01065146,0.01481944
-5.92796398,0.19668875,0.07133401,0.07788347,0.02867974,0.01793370,0.01271527,0.01521789
-5.92196098,0.20274092,0.06821684,0.07837493,0.02647755,0.01962946,0.01512068,0.01614144
-5.91595798,0.21285565,0.06658971,0.08020130,0.02451371,0.02188571,0.01788979,0.01757605
-5.90995498,0.22710492,0.06640047,0.08340173,0.02280553,0.02469449,0.02104232,0.01951119
-5.90395198,0.24553801,0.06760089,0.08800433,0.02136581,0.02804713,0.02459425,0.02193887
-5.89794897,0.26817034,0.07014425,0.09402262,0.02020257,0.03193247,0.02855642,0.02485262
-5.89194597,0.29497285,0.07398300,0.10145222,0.01931896,0.03633514,0.03293319,0.02824639
-5.88594297,0.32586213,0.07906632,0.11026795,0.01871330,0.04123383,0.03772118,0.03211346
-5.87993997,0.36069205,0.08533812,0.12042135,0.01837920,0.04659981,0.04290815,0.03644546
-5.87393697,0.39924710,0.09273529,0.13183892,0.01830580,0.05239559,0.04847214,0.04123150
-5.86793397,0.44123811,0.10118649,0.14442104,0.01847805,0.05857400,0.05438091,0.04645752
-5.86193097,0.48630071,0.11061143,0.15804188,0.01887715,0.06507767,0.06059167,0.05210588
-5.85592796,0.53399678,0.12092080,0.17255013,0.01948097,0.07183895,0.06705130,0.05815515
-5.84992496,0.58381918,0.13201688,0.18777089,0.02026459,0.07878043,0.07369698,0.06458019
-5.84392196,0.63519982,0.14379472,0.20350853,0.02120082,0.08581595,0.08045723,0.07135255
-5.83791896,0.68752085,0.15614388,0.21955056,0.02226082,0.09285219,0.08725348,0.07844098
-5.83191596,0.74012896,0.16895082,0.23567240,0.02341471,0.09979081,0.09400203,0.08581227
-5.82591296,0.79235205,0.18210151,0.25164297,0.02463220,0.10653102,0.10061631,0.09343210
-5.81990995,0.84351788,0.19548446,0.26723081,0.02588318,0.11297253,0.10700956,0.10126605
-5.81390695,0.89297379,0.20899373,0.28221058,0.02713840,0.11901883,0.11309755,0.10928056
-5.80790395,0.94010681,0.22253202,0.29636959,0.02836999,0.12458056,0.11880145,0.11744383
-5.80190095,0.98436306,0.23601340,0.30951414,0.02955201,0.12957889,0.12405059,0.12572649
-5.79589795,1.02526565,0.24936575,0.32147534,0.03066094,0.13394878,0.12878506,0.13410219
-5.78989495,1.06243012,0.26253269,0.33211415,0.03167604,0.13764193,0.13295794,0.14254776
-5.78389195,1.09557667,0.27547489,0.34132530,0.03257971,0.14062925,0.13653710,0.15104320
-5.77788894,1.12453869,0.28817073,0.34904010,0.03335764,0.14290285,0.13950647,0.15957132
-5.77188594,1.14926691,0.30061631,0.35522778,0.03399899,0.14447731,0.14186664,0.16811712
-5.76588294,1.16982929,0.31282491,0.35989548,0.03449638,0.14539028,0.14363488,0.17666698
-5.75987994,1.18640645,0.32482585,0.36308674,0.03484583,0.14570226,0.14484442,0.18520768
-5.75387694,1.19928314,0.33666303,0.36487878,0.03504662,0.14549570,0.14554311,0.19372535
-5.74787394,1.20883602,0.34839323,0.36537856,0.03510109,0.14487334,0.14579150,0.20220458
-5.74187094,1.21551874,0.36008436,0.36471795,0.03501438,0.14395592,0.14566044,0.21062754
-5.73586793,1.21984482,0.37181386,0.36304825,0.03479417,0.14287932,0.14522819,0.21897347
-5.72986493,1.22236951,0.38366732,0.36053436,0.03445038,0.14179129,0.14457744,0.22721847
-5.72386193,1.22367126,0.39573753,0.35734885,0.03399486,0.14084788,0.14379201,0.23533564
-5.71785893,1.22433396,0.40812400,0.35366637,0.03344122,0.14020961,0.14295376,0.24329577
-5.71185593,1.22493049,0.42093285,0.34965844,0.03280452,0.14003776,0.14213949,0.25106824
-5.70585293,1.22600828,0.43427723,0.34548900,0.03210116,0.14049058,0.14141822,0.25862252
-5.69984992,1.22807736,0.44827791,0.34131079,0.03134869,0.14171978,0.14084880,0.26592973
-5.69384692,1.23160114,0.46306404,0.33726271,0.03056571,0.14386735,0.14047803,0.27296453
-5.68784392,1.23699000,0.47877375,0.33346809,0.02977181,0.14706259,0.14033929,0.27970698
-5.68184092,1.24459759,0.49555435,0.33003389,0.02898747,0.15141969,0.14045169,0.28614429
-5.67583792,1.25471952,0.51356198,0.32705081,0.02823400,0.15703567,0.14081989,0.29227228
-5.66983492,1.26759426,0.53296027,0.32459400,0.02753343,0.16398875,0.14143437,0.29809653
