energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.34869401,0.05633798,0.05130471,0.00541589,0.09114132,0.00730161,0.07340404
-5.99399700,0.34844291,0.05728713,0.05505466,0.00638735,0.09501900,0.00668273,0.06945287
-5.98799400,0.35917156,0.06004980,0.06065626,0.00758792,0.10200620,0.00625585,0.06757547
-5.98199100,0.38135284,0.06472357,0.06825359,0.00904400,0.11230473,0.00601883,0.06779402
-5.97598799,0.41546791,0.07140725,0.07799408,0.01078256,0.12612062,0.00596943,0.07013033
-5.96998499,0.46199571,0.08019879,0.09002493,0.01283040,0.14365933,0.00610541,0.07460567
-5.96398199,0.52139590,0.09119199,0.10448838,0.01521338,0.16511896,0.00642459,0.08123946
-5.95797899,0.59408537,0.10447217,0.12151581,0.01795537,0.19068164,0.00692473,0.09004674
-5.95197599,0.68040933,0.12011103,0.14122095,0.02107712,0.22050340,0.00760346,0.10103463
-5.94597299,0.78060786,0.13816069,0.16369232,0.02459511,0.25470272,0.00845793,0.11419793
-5.93996998,0.89477972,0.15864735,0.18898522,0.02852023,0.29334836,0.00948463,0.12951415
-5.93396698,1.02284503,0.18156483,0.21711375,0.03285659,0.33644709,0.01067902,0.14693811
-5.92796398,1.16450907,0.20686829,0.24804309,0.03760032,0.38393182,0.01203521,0.16639668
-5.92196098,1.31922952,0.23446866,0.28168270,0.04273854,0.43565105,0.01354568,0.18778382
-5.91595798,1.48618934,0.26422807,0.31788076,0.04824854,0.49136020,0.01520101,0.21095637
-5.90995498,1.66427766,0.29595672,0.35642038,0.05409723,0.55071574,0.01698971,0.23573090
-5.90395198,1.85208080,0.32941150,0.39701799,0.06024088,0.61327253,0.01889809,0.26188208
-5.89794897,2.04788489,0.36429676,0.43932427,0.06662538,0.67848512,0.02091035,0.28914260
-5.89194597,2.24969157,0.40026723,0.48292774,0.07318676,0.74571328,0.02300866,0.31720507
-5.88594297,2.45524700,0.43693339,0.52736128,0.07985227,0.81423182,0.02517348,0.34572591
-5.87993997,2.66208436,0.47386907,0.57211142,0.08654180,0.88324484,0.02738390,0.37433119
-5.87393697,2.86757860,0.51062119,0.61663016,0.09316978,0.95190392,0.02961817,0.40262435
-5.86793397,3.06901189,0.54672133,0.66034906,0.09964737,1.01932968,0.03185427,0.43019570
-5.86193097,3.26364729,0.58169864,0.70269497,0.10588492,1.08463597,0.03407057,0.45663309
-5.85592796,3.44880749,0.61509355,0.74310675,0.11179455,1.14695551,0.03624645,0.48153357
-5.84992496,3.62195510,0.64647167,0.78105224,0.11729288,1.20546598,0.03836304,0.50451546
-5.84392196,3.78077058,0.67543720,0.81604463,0.12230357,1.25941512,0.04040372,0.52523024
-5.83791896,3.92322395,0.70164512,0.84765742,0.12675966,1.30814366,0.04235474,0.54337374
-5.83191596,4.04763657,0.72481160,0.87553720,0.13060567,1.35110483,0.04420550,0.55869604
-5.82591296,4.15272962,0.74472201,0.89941351,0.13379913,1.38787937,0.04594886,0.57100970
-5.81990995,4.23765685,0.76123617,0.91910529,0.13631174,1.41818529,0.04758115,0.58019577
-5.81390695,4.30201968,0.77429052,0.93452362,0.13812981,1.44188176,0.04910204,0.58620732
-5.80790395,4.34586413,0.78389706,0.94567047,0.13925419,1.45896701,0.05051422,0.58907049
-5.80190095,4.36965964,0.79013943,0.95263376,0.13969959,1.46957031,0.05182290,0.58888278
-5.79589795,4.37426144,0.79316597,0.95557884,0.13949336,1.47393864,0.05303517,0.58580898
-5.78989495,4.36085863,0.79318073,0.95473717,0.13867378,1.47241882,0.05415928,0.58007472
-5.78389195,4.33091121,0.79043255,0.95039263,0.13728802,1.46543623,0.05520377,0.57195838
-5.77788894,4.28607984,0.78520331,0.94286653,0.13538981,1.45347139,0.05617666,0.56178145
-5.77188594,4.22815246,0.77779570,0.93250209,0.13303707,1.43703581,0.05708466,0.54989817
-5.76588294,4.15897190,0.76852161,0.91964931,0.13028949,1.41664860,0.05793245,0.53668486
-5.75987994,4.08036848,0.75769155,0.90465110,0.12720635,1.39281504,0.05872211,0.52252945
-5.75387694,3.99410101,0.74560579,0.88783139,0.12384449,1.36600830,0.05945267,0.50782175
