energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.21392988,0.21580718,0.47299272,0.01762604,0.06349611,0.18163994,0.49974938,0.12463421,0.00000000
-5.99399700,1.18208332,0.21010571,0.45140539,0.01643108,0.06047183,0.18038756,0.49995011,0.11960126,0.00000000
-5.98799400,1.15560284,0.20649827,0.43141110,0.01521877,0.05795667,0.17990799,0.50171487,0.11587240,0.00000000
-5.98199100,1.13453004,0.20504646,0.41302292,0.01400673,0.05597845,0.18024218,0.50498910,0.11349241,0.00000000
-5.97598799,1.11895237,0.20582354,0.39628006,0.01281138,0.05455780,0.18143219,0.50975336,0.11250474,0.00000000
-5.96998499,1.10899520,0.20891367,0.38124446,0.01164762,0.05370814,0.18351907,0.51601979,0.11295082,0.00000000
-5.96398199,1.10481146,0.21441033,0.36799658,0.01052846,0.05343578,0.18654063,0.52382672,0.11486935,0.00000000
-5.95797899,1.10656957,0.22241406,0.35663035,0.00946492,0.05374022,0.19052946,0.53323189,0.11829540,0.00000000
-5.95197599,1.11444045,0.23302958,0.34724784,0.00846586,0.05461460,0.19551109,0.54430483,0.12325944,0.00000000
-5.94597299,1.12858445,0.24636218,0.33995378,0.00753797,0.05604632,0.20150252,0.55711888,0.12978634,0.00000000
-5.93996998,1.14913886,0.26251359,0.33485016,0.00668582,0.05801779,0.20851103,0.57174338,0.13789432,0.00000000
-5.93396698,1.17620669,0.28157712,0.33203121,0.00591199,0.06050726,0.21653344,0.58823661,0.14759386,0.00000000
-5.92796398,1.20984705,0.30363241,0.33157868,0.00521724,0.06348976,0.22555561,0.60663970,0.15888653,0.00000000
-5.92196098,1.25006748,0.32873962,0.33355781,0.00460070,0.06693805,0.23555231,0.62697207,0.17176377,0.00000000
-5.91595798,1.29681843,0.35693325,0.33801374,0.00406013,0.07082357,0.24648735,0.64922835,0.18620563,0.00000000
-5.90995498,1.34998972,0.38821583,0.34496869,0.00359215,0.07511737,0.25831386,0.67337702,0.20217941,0.00000000
-5.90395198,1.40940905,0.42255149,0.35441965,0.00319251,0.07979087,0.27097469,0.69936060,0.21963826,0.00000000
-5.89794897,1.47484207,0.45985983,0.36633675,0.00285635,0.08481661,0.28440285,0.72709735,0.23851977,0.00000000
-5.89194597,1.54599393,0.50001023,0.38066212,0.00257837,0.09016880,0.29852201,0.75648395,0.25874456,0.00000000
-5.88594297,1.62251176,0.54281707,0.39730938,0.00235310,0.09582360,0.31324684,0.78739915,0.28021497,0.00000000
-5.87993997,1.70398785,0.58803609,0.41616356,0.00217504,0.10175943,0.32848348,0.81970773,0.30281394,0.00000000
-5.87393697,1.78996322,0.63536237,0.43708155,0.00203880,0.10795686,0.34412985,0.85326444,0.32640414,0.00000000
-5.86793397,1.87993128,0.68443006,0.45989300,0.00193923,0.11439849,0.36007608,0.88791767,0.35082756,0.00000000
-5.86193097,1.97334153,0.73481448,0.48440165,0.00187154,0.12106858,0.37620503,0.92351235,0.37590549,0.00000000
-5.85592796,2.06960322,0.78603651,0.51038727,0.00183130,0.12795258,0.39239297,0.95989200,0.40143924,0.00000000
-5.84992496,2.16808899,0.83756946,0.53760788,0.00181451,0.13503656,0.40851050,0.99689967,0.42721147,0.00000000
-5.84392196,2.26813873,0.88884859,0.56580265,0.00181763,0.14230655,0.42442387,1.03437797,0.45298837,0.00000000
-5.83791896,2.36906374,0.93928285,0.59469517,0.00183756,0.14974788,0.43999661,1.07216795,0.47852262,0.00000000
-5.83191596,2.47015161,0.98826874,0.62399729,0.00187164,0.15734448,0.45509166,1.11010739,0.50355712,0.00000000
-5.82591296,2.57067176,1.03520575,0.65341331,0.00191761,0.16507831,0.46957383,1.14802855,0.52782958,0.00000000
-5.81990995,2.66988224,1.07951284,0.68264468,0.00197357,0.17292871,0.48331270,1.18575579,0.55107766,0.00000000
-5.81390695,2.76703749,1.12064522,0.71139492,0.00203798,0.18087200,0.49618573,1.22310337,0.57304467,0.00000000
-5.80790395,2.86139748,1.15811068,0.73937476,0.00210957,0.18888111,0.50808152,1.25987394,0.59348556,0.00000000
-5.80190095,2.95223783,1.19148469,0.76630739,0.00218730,0.19692527,0.51890311,1.29585785,0.61217301,0.00000000
-5.79589795,3.03886101,1.22042353,0.79193352,0.00227034,0.20496996,0.52857106,1.33083365,0.62890339,0.00000000
-5.78989495,3.12060807,1.24467460,0.81601634,0.00235800,0.21297690,0.53702611,1.36456983,0.64350224,0.00000000
-5.78389195,3.19687065,1.26408361,0.83834585,0.00244968,0.22090417,0.54423136,1.39682802,0.65582918,0.00000000
-5.77788894,3.26710272,1.27859785,0.85874279,0.00254482,0.22870652,0.55017369,1.42736736,0.66578188,0.00000000
-5.77188594,3.33083159,1.28826576,0.87706173,0.00264287,0.23633573,0.55486436,1.45595005,0.67329891,0.00000000
-5.76588294,3.38766753,1.29323244,0.89319324,0.00274324,0.24374120,0.55833874,1.48234761,0.67836147,0.00000000
-5.75987994,3.43731162,1.29373147,0.90706522,0.00284525,0.25087056,0.56065499,1.50634770,0.68099368,0.00000000
