energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.88201378,0.36781311,0.15467327,0.01093414,0.13768477,0.00219661,0.47551788,0.18019721,0.11090240
-5.99399700,0.93742865,0.39422469,0.16184978,0.01183820,0.14512245,0.00241581,0.50786775,0.19314740,0.11914269
-5.98799400,1.00135412,0.42333923,0.17082230,0.01275970,0.15404992,0.00266730,0.54479711,0.20804000,0.12811067
-5.98199100,1.07282107,0.45481176,0.18139183,0.01368636,0.16430300,0.00294849,0.58581166,0.22469995,0.13768595
-5.97598799,1.15076601,0.48826057,0.19334904,0.01460504,0.17570898,0.00325641,0.63035486,0.24292536,0.14773596
-5.96998499,1.23403750,0.52327022,0.20647492,0.01550204,0.18808685,0.00358765,0.67781161,0.26248830,0.15811746
-5.96398199,1.32140463,0.55939518,0.22054143,0.01636341,0.20124760,0.00393836,0.72751347,0.28313634,0.16867832
-5.95797899,1.41156787,0.59616438,0.23531244,0.01717524,0.21499466,0.00430420,0.77874563,0.30459496,0.17925976
-5.95197599,1.50317303,0.63308656,0.25054494,0.01792399,0.22912467,0.00468040,0.83075587,0.32657090,0.18969885
-5.94597299,1.59482865,0.66965693,0.26599079,0.01859687,0.24342856,0.00506182,0.88276584,0.34875662,0.19983142
-5.93996998,1.68512695,0.70536474,0.28139914,0.01918215,0.25769334,0.00544299,0.93398448,0.37083589,0.20949532
-5.93396698,1.77266843,0.73970224,0.29651937,0.01966948,0.27170430,0.00581825,0.98362367,0.39249040,0.21853379
-5.92796398,1.85608982,0.77217460,0.31110480,0.02005021,0.28524798,0.00618183,1.03091574,0.41340745,0.22679920
-5.92196098,1.93409470,0.80231081,0.32491706,0.02031762,0.29811567,0.00652806,1.07513258,0.43328836,0.23415668
-5.91595798,2.00548611,0.82967531,0.33773089,0.02046715,0.31010754,0.00685148,1.11560562,0.45185747,0.24048783
-5.90995498,2.06919999,0.85387990,0.34933948,0.02049653,0.32103708,0.00714703,1.15174612,0.46887141,0.24569416
-5.90395198,2.12433812,0.87459569,0.35955987,0.02040589,0.33073598,0.00741021,1.18306494,0.48412815,0.24970027
-5.89794897,2.17019919,0.89156439,0.36823844,0.02019774,0.33905891,0.00763726,1.20919081,0.49747551,0.25245653
-5.89194597,2.20630630,0.90460856,0.37525601,0.01987695,0.34588823,0.00782525,1.22988632,0.50881870,0.25394114
-5.88594297,2.23242950,0.91364019,0.38053244,0.01945060,0.35113825,0.00797230,1.24506062,0.51812633,0.25416150
-5.87993997,2.24860181,0.91866702,0.38403023,0.01892783,0.35475884,0.00807757,1.25477802,0.52543462,0.25315473
-5.87393697,2.25512738,0.91979620,0.38575719,0.01831951,0.35673800,0.00814139,1.25926186,0.53084936,0.25098731
-5.86793397,2.25258094,0.91723478,0.38576759,0.01763802,0.35710342,0.00816525,1.25889296,0.53454539,0.24775371
-5.86193097,2.24179769,0.91128674,0.38416189,0.01689684,0.35592259,0.00815175,1.25420248,0.53676339,0.24357419
-5.85592796,2.22385353,0.90234638,0.38108483,0.01611022,0.35330154,0.00810462,1.24585902,0.53780396,0.23859158
-5.84992496,2.20003570,0.89088815,0.37672180,0.01529274,0.34938206,0.00802850,1.23465015,0.53801904,0.23296734
-5.84392196,2.17180458,0.87745294,0.37129371,0.01445896,0.34433746,0.00792890,1.22145888,0.53780082,0.22687683
-5.83791896,2.14074777,0.86263140,0.36505029,0.01362301,0.33836701,0.00781197,1.20723572,0.53756855,0.22050410
-5.83191596,2.10852786,0.84704459,0.35826216,0.01279823,0.33168920,0.00768431,1.19296727,0.53775364,0.21403630
-5.82591296,2.07682605,0.83132284,0.35121196,0.01199687,0.32453408,0.00755278,1.17964252,0.53878359,0.20765788
-5.81990995,2.04728350,0.81608349,0.34418483,0.01122976,0.31713512,0.00742427,1.16821811,0.54106543,0.20154490
-5.81390695,2.02144293,0.80190856,0.33745853,0.01050615,0.30972072,0.00730550,1.15958391,0.54496922,0.19585958
-5.80790395,2.00069287,0.78932315,0.33129389,0.00983349,0.30250601,0.00720280,1.15453031,0.55081246,0.19074530
-5.80190095,1.98621674,0.77877558,0.32592569,0.00921736,0.29568510,0.00712194,1.15371848,0.55884586,0.18632230
-5.79589795,1.97894910,0.77062026,0.32155445,0.00866141,0.28942428,0.00706798,1.15765502,0.56924141,0.18268415
-5.78989495,1.97954085,0.76510391,0.31833960,0.00816739,0.28385648,0.00704515,1.16667180,0.58208288,0.17989524
-5.78389195,1.98833487,0.76235596,0.31639418,0.00773525,0.27907717,0.00705679,1.18091206,0.59735961,0.17798918
-5.77788894,2.00535316,0.76238356,0.31578125,0.00736324,0.27514200,0.00710526,1.20032317,0.61496364,0.17696843
-5.77188594,2.03029605,0.76507149,0.31651237,0.00704810,0.27206616,0.00719197,1.22465647,0.63469034,0.17680489
-5.76588294,2.06255349,0.77018711,0.31854792,0.00678529,0.26982567,0.00731741,1.25347419,0.65624284,0.17744158
-5.75987994,2.10122790,0.77739013,0.32179944,0.00656923,0.26836029,0.00748116,1.28616308,0.67923972,0.17879526
-5.75387694,2.14516765,0.78624696,0.32613383,0.00639353,0.26757811,0.00768205,1.32195431,0.70322607,0.18075987
-5.74787394,2.19300964,0.79624905,0.33137904,0.00625129,0.26736145,0.00791819,1.35994867,0.72768725,0.18321070
-5.74187094,2.24322943,0.80683445,0.33733134,0.00613536,0.26757387,0.00818710,1.39914622,0.75206495,0.18600903
-5.73586793,2.29419654,0.81741195,0.34376345,0.00603857,0.26806795,0.00848582,1.43847916,0.77577486,0.18900705
-5.72986493,2.34423301,0.82738663,0.35043359,0.00595400,0.26869342,0.00881103,1.47684650,0.79822538,0.19205304
-5.72386193,2.39167269,0.83618598,0.35709470,0.00587517,0.26930536,0.00915911,1.51314947,0.81883651,0.19499638
-5.71785893,2.43491914,0.84328558,0.36350386,0.00579622,0.26977216,0.00952625,1.54632606,0.83705835,0.19769234
-5.71185593,2.47250003,0.84823338,0.36943119,0.00571205,0.26998280,0.00990848,1.57538368,0.85238845,0.20000652
-5.70585293,2.50311603,0.85067169,0.37466822,0.00561845,0.26985331,0.01030175,1.59942870,0.86438735,0.20181872
-5.69984992,2.52568279,0.85035606,0.37903530,0.00551214,0.26933212,0.01070194,1.61769192,0.87269194,0.20302615
-5.69384692,2.53936462,0.84717062,0.38238777,0.00539082,0.26840420,0.01110486,1.62954924,0.87702601,0.20354595
-5.68784392,2.54359912,0.84113901,0.38462099,0.00525318,0.26709387,0.01150632,1.63453698,0.87720780,0.20331692
-5.68184092,2.53811227,0.83243099,0.38567373,0.00509883,0.26546621,0.01190208,1.63236159,0.87315436,0.20230053
-5.67583792,2.52292395,0.82136425,0.38553025,0.00492828,0.26362719,0.01228787,1.62290363,0.86488265,0.20048106
-5.66983492,2.49834414,0.80840146,0.38422084,0.00474282,0.26172243,0.01265948,1.60621627,0.85250745,0.19786515
-5.66383192,2.46496042,0.79414277,0.38182087,0.00454443,0.25993477,0.01301271,1.58251855,0.83623634,0.19448068
-5.65782891,2.42361766,0.77931383,0.37844863,0.00433568,0.25848073,0.01334351,1.55218407,0.81636195,0.19037504
-5.65182591,2.37539085,0.76474970,0.37426184,0.00411958,0.25760598,0.01364802,1.51572575,0.79325197,0.18561308
