energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.78938073,0.84428854,0.48880626,0.00298030,0.16460576,0.73819419,0.00000000,0.95425080,0.06373082
-5.99399700,1.71846864,0.79888690,0.47139563,0.00318583,0.15112249,0.71745661,0.00000000,0.91181809,0.06136336
-5.98799400,1.64635786,0.75293449,0.45419285,0.00339483,0.13798142,0.69551949,0.00000000,0.86799888,0.05891710
-5.98199100,1.57370987,0.70691194,0.43729664,0.00360446,0.12528898,0.67262796,0.00000000,0.82326119,0.05641547
-5.97598799,1.50114676,0.66127861,0.42078466,0.00381164,0.11314008,0.64902320,0.00000000,0.77806899,0.05388157
-5.96998499,1.42923389,0.61646084,0.40471202,0.00401309,0.10161668,0.62493355,0.00000000,0.73286828,0.05133743
-5.96398199,1.35846655,0.57284259,0.38911093,0.00420537,0.09078710,0.60056716,0.00000000,0.68807502,0.04880333
-5.95797899,1.28926093,0.53075854,0.37399136,0.00438498,0.08070585,0.57610647,0.00000000,0.64406517,0.04629730
-5.95197599,1.22194964,0.49048995,0.35934291,0.00454846,0.07141397,0.55170465,0.00000000,0.60116724,0.04383478
-5.94597299,1.15678174,0.45226300,0.34513750,0.00469246,0.06293998,0.52748410,0.00000000,0.55965734,0.04142837
-5.93996998,1.09392688,0.41624970,0.33133293,0.00481387,0.05530104,0.50353690,0.00000000,0.51975693,0.03908787
-5.93396698,1.03348309,0.38257082,0.31787699,0.00490994,0.04850460,0.47992701,0.00000000,0.48163291,0.03682027
-5.92796398,0.97548751,0.35130067,0.30471202,0.00497832,0.04255006,0.45669390,0.00000000,0.44539999,0.03463009
-5.92196098,0.91992916,0.32247320,0.29177950,0.00501725,0.03743070,0.43385738,0.00000000,0.41112485,0.03251962
-5.91595798,0.86676293,0.29608900,0.27902456,0.00502557,0.03313542,0.41142307,0.00000000,0.37883177,0.03048934
-5.90995498,0.81592381,0.27212274,0.26640009,0.00500280,0.02965057,0.38938816,0.00000000,0.34850925,0.02853839
-5.90395198,0.76734058,0.25053054,0.25387031,0.00494920,0.02696145,0.36774714,0.00000000,0.32011717,0.02666497
-5.89794897,0.72094805,0.23125701,0.24141351,0.00486579,0.02505358,0.34649704,0.00000000,0.29359407,0.02486678
-5.89194597,0.67669740,0.21424142,0.22902393,0.00475433,0.02391377,0.32564190,0.00000000,0.26886424,0.02314143
-5.88594297,0.63456393,0.19942295,0.21671275,0.00461733,0.02353066,0.30519631,0.00000000,0.24584412,0.02148675
-5.87993997,0.59455227,0.18674463,0.20450796,0.00445800,0.02389507,0.28518788,0.00000000,0.22444800,0.01990104
-5.87393697,0.55669863,0.17615603,0.19245348,0.00428017,0.02499977,0.26565851,0.00000000,0.20459269,0.01838327
-5.86793397,0.52107041,0.16761456,0.18060734,0.00408828,0.02683906,0.24666465,0.00000000,0.18620119,0.01693316
-5.86193097,0.48776346,0.16108559,0.16903921,0.00388724,0.02940790,0.22827656,0.00000000,0.16920524,0.01555120
-5.85592796,0.45689727,0.15654136,0.15782748,0.00368237,0.03270080,0.21057669,0.00000000,0.15354703,0.01423861
-5.84992496,0.42860864,0.15395895,0.14705598,0.00347936,0.03671043,0.19365759,0.00000000,0.13917993,0.01299727
-5.84392196,0.40304450,0.15331759,0.13681065,0.00328414,0.04142615,0.17761935,0.00000000,0.12606857,0.01182957
-5.83791896,0.38035431,0.15459552,0.12717626,0.00310282,0.04683246,0.16256693,0.00000000,0.11418842,0.01073824
-5.83191596,0.36068271,0.15776658,0.11823352,0.00294162,0.05290744,0.14860750,0.00000000,0.10352497,0.00972623
-5.82591296,0.34416282,0.16279703,0.11005653,0.00280684,0.05962147,0.13584813,0.00000000,0.09407275,0.00879655
-5.81990995,0.33091079,0.16964257,0.10271091,0.00270475,0.06693604,0.12439367,0.00000000,0.08583430,0.00795212
-5.81390695,0.32102163,0.17824604,0.09625250,0.00264160,0.07480306,0.11434522,0.00000000,0.07881921,0.00719569
-5.80790395,0.31456680,0.18853568,0.09072680,0.00262348,0.08316447,0.10579892,0.00000000,0.07304328,0.00652975
-5.80190095,0.31159339,0.20042441,0.08616912,0.00265635,0.09195243,0.09884534,0.00000000,0.06852787,0.00595649
-5.79589795,0.31212499,0.21380980,0.08260531,0.00274592,0.10109001,0.09356908,0.00000000,0.06529942,0.00547781
-5.78989495,0.31616395,0.22857509,0.08005312,0.00289757,0.11049244,0.09004868,0.00000000,0.06338906,0.00509531
-5.78389195,0.32369483,0.24459091,0.07852393,0.00311625,0.12006886,0.08835672,0.00000000,0.06283238,0.00481035
-5.77788894,0.33468862,0.26171777,0.07802488,0.00340638,0.12972454,0.08855982,0.00000000,0.06366906,0.00462408
-5.77188594,0.34910739,0.27980901,0.07856106,0.00377167,0.13936353,0.09071848,0.00000000,0.06594247,0.00453750
-5.76588294,0.36690883,0.29871414,0.08013768,0.00421502,0.14889152,0.09488672,0.00000000,0.06969900,0.00455149
-5.75987994,0.38805026,0.31828223,0.08276215,0.00473827,0.15821885,0.10111121,0.00000000,0.07498712,0.00466685
-5.75387694,0.41249176,0.33836518,0.08644566,0.00534209,0.16726352,0.10942999,0.00000000,0.08185601,0.00488429
-5.74787394,0.44019794,0.35882060,0.09120436,0.00602573,0.17595397,0.11987068,0.00000000,0.09035372,0.00520439
-5.74187094,0.47113811,0.37951416,0.09705990,0.00678688,0.18423150,0.13244817,0.00000000,0.10052488,0.00562758
-5.73586793,0.50528465,0.40032118,0.10403921,0.00762149,0.19205222,0.14716187,0.00000000,0.11240789,0.00615401
-5.72986493,0.54260950,0.42112742,0.11217361,0.00852368,0.19938835,0.16399262,0.00000000,0.12603161,0.00678342
-5.72386193,0.58307880,0.44182896,0.12149701,0.00948557,0.20622872,0.18289940,0.00000000,0.14141174,0.00751499
-5.71785893,0.62664583,0.46233126,0.13204344,0.01049736,0.21257856,0.20381595,0.00000000,0.15854685,0.00834716
-5.71185593,0.67324267,0.48254737,0.14384389,0.01154729,0.21845842,0.22664764,0.00000000,0.17741425,0.00927739
-5.70585293,0.72277080,0.50239564,0.15692259,0.01262176,0.22390234,0.25126860,0.00000000,0.19796596,0.01030201
-5.69984992,0.77509136,0.52179685,0.17129288,0.01370559,0.22895525,0.27751952,0.00000000,0.22012479,0.01141597
-5.69384692,0.83001552,0.54067132,0.18695293,0.01478220,0.23366989,0.30520620,0.00000000,0.24378095,0.01261265
-5.68784392,0.88729567,0.55893591,0.20388148,0.01583401,0.23810322,0.33409910,0.00000000,0.26878920,0.01388372
-5.68184092,0.94661811,0.57650155,0.22203388,0.01684287,0.24231258,0.36393402,0.00000000,0.29496699,0.01521905
-5.67583792,1.00759777,0.59327111,0.24133871,0.01779049,0.24635193,0.39441402,0.00000000,0.32209357,0.01660658
-5.66983492,1.06977563,0.60913831,0.26169515,0.01865896,0.25026810,0.42521269,0.00000000,0.34991033,0.01803239
-5.66383192,1.13261922,0.62398735,0.28297142,0.01943134,0.25409757,0.45597868,0.00000000,0.37812265,0.01948074
-5.65782891,1.19552655,0.63769368,0.30500441,0.02009208,0.25786368,0.48634156,0.00000000,0.40640305,0.02093427
-5.65182591,1.25783360,0.65012586,0.32760066,0.02062761,0.26157465,0.51591881,0.00000000,0.43439595,0.02237417
-5.64582291,1.31882539,0.66114831,0.35053872,0.02102677,0.26522233,0.54432369,0.00000000,0.46172386,0.02378058
-5.63981991,1.37775029,0.67062507,0.37357295,0.02128115,0.26878196,0.57117393,0.00000000,0.48799490,0.02513291
-5.63381691,1.43383725,0.67842414,0.39643859,0.02138541,0.27221270,0.59610076,0.00000000,0.51281149,0.02641033
-5.62781391,1.48631525,0.68442235,0.41885800,0.02133747,0.27545914,0.61875812,0.00000000,0.53577994,0.02759226
-5.62181091,1.53443424,0.68851033,0.44054777,0.02113856,0.27845355,0.63883151,0.00000000,0.55652065,0.02865892
-5.61580790,1.57748666,0.69059749,0.46122648,0.02079317,0.28111879,0.65604631,0.00000000,0.57467852,0.02959185
-5.60980490,1.61482859,0.69061641,0.48062262,0.02030892,0.28337176,0.67017512,0.00000000,0.58993316,0.03037445
-5.60380190,1.64589949,0.68852669,0.49848250,0.01969622,0.28512716,0.68104373,0.00000000,0.60200853,0.03099249
-5.59779890,1.67023970,0.68431778,0.51457755,0.01896799,0.28630130,0.68853570,0.00000000,0.61068154,0.03143454
-5.59179590,1.68750473,0.67801075,0.52871083,0.01813914,0.28681594,0.69259496,0.00000000,0.61578925,0.03169238
-5.58579290,1.69747565,0.66965888,0.54072234,0.01722612,0.28660173,0.69322674,0.00000000,0.61723437,0.03176122
-5.57978989,1.70006520,0.65934685,0.55049294,0.01624637,0.28560134,0.69049636,0.00000000,0.61498873,0.03163988
-5.57378689,1.69531920,0.64718887,0.55794666,0.01521777,0.28377185,0.68452623,0.00000000,0.60909454,0.03133089
-5.56778389,1.68341329,0.63332557,0.56305144,0.01415814,0.28108659,0.67549109,0.00000000,0.59966345,0.03084036
-5.56178089,1.66464535,0.61791998,0.56581820,0.01308475,0.27753612,0.66361163,0.00000000,0.58687337,0.03017784
-5.55577789,1.63942381,0.60115275,0.56629852,0.01201384,0.27312858,0.64914698,0.00000000,0.57096315,0.02935599
-5.54977489,1.60825285,0.58321696,0.56458099,0.01096033,0.26788915,0.63238624,0.00000000,0.55222547,0.02839024
-5.54377189,1.57171513,0.56431272,0.56078673,0.00993746,0.26185903,0.61363957,0.00000000,0.53099811,0.02729825
-5.53776888,1.53045303,0.54464187,0.55506416,0.00895664,0.25509371,0.59322914,0.00000000,0.50765415,0.02609947
-5.53176588,1.48514955,0.52440306,0.54758364,0.00802731,0.24766093,0.57148049,0.00000000,0.48259142,0.02481451
-5.52576288,1.43650967,0.50378755,0.53853207,0.00715691,0.23963833,0.54871456,0.00000000,0.45622167,0.02346461
-5.51975988,1.38524314,0.48297567,0.52810803,0.00635094,0.23111091,0.52524068,0.00000000,0.42896003,0.02207108
-5.51375688,1.33204950,0.46213437,0.51651749,0.00561302,0.22216863,0.50135095,0.00000000,0.40121496,0.02065479
-5.50775388,1.27760578,0.44141572,0.50397038,0.00494513,0.21290402,0.47731588,0.00000000,0.37337934,0.01923569
-5.50175088,1.22255726,0.42095640,0.49067808,0.00434771,0.20341011,0.45338169,0.00000000,0.34582274,0.01783247
-5.49574787,1.16751140,0.40087819,0.47685185,0.00381997,0.19377868,0.42976896,0.00000000,0.31888524,0.01646218
-5.48974487,1.11303468,0.38128915,0.46270205,0.00336008,0.18409884,0.40667268,0.00000000,0.29287289,0.01514006
-5.48374187,1.05965223,0.36228552,0.44843794,0.00296543,0.17445602,0.38426345,0.00000000,0.26805480,0.01387939
-5.47773887,1.00784932,0.34395390,0.43426799,0.00263284,0.16493128,0.36268964,0.00000000,0.24466181,0.01269143
-5.47173587,0.95807453,0.32637363,0.42040010,0.00235879,0.15560100,0.34208005,0.00000000,0.22288657,0.01158544
-5.46573287,0.91074338,0.30961905,0.40704181,0.00213957,0.14653673,0.32254704,0.00000000,0.20288495,0.01056877
-5.45972986,0.86624206,0.29376137,0.39439985,0.00197143,0.13780527,0.30418948,0.00000000,0.18477829,0.00964695
-5.45372686,0.82493033,0.27887012,0.38267902,0.00185070,0.12946879,0.28709551,0.00000000,0.16865636,0.00882391
-5.44772386,0.78714306,0.26501378,0.37208017,0.00177387,0.12158501,0.27134473,0.00000000,0.15458076,0.00810210
-5.44172086,0.75319003,0.25225974,0.36279707,0.00173759,0.11420724,0.25700963,0.00000000,0.14258831,0.00748271
-5.43571786,0.72335360,0.24067337,0.35501233,0.00173873,0.10738428,0.24415621,0.00000000,0.13269433,0.00696580
-5.42971486,0.69788430,0.23031633,0.34889230,0.00177435,0.10116023,0.23284363,0.00000000,0.12489547,0.00655051
-5.42371186,0.67699440,0.22124424,0.34458125,0.00184161,0.09557397,0.22312304,0.00000000,0.11917198,0.00623511
-5.41770885,0.66084988,0.21350368,0.34219507,0.00193778,0.09065856,0.21503562,0.00000000,0.11548940,0.00601715
-5.41170585,0.64956114,0.20712902,0.34181480,0.00206015,0.08644042,0.20860997,0.00000000,0.11379937,0.00589349
-5.40570285,0.64317332,0.20213891,0.34348045,0.00220595,0.08293838,0.20385911,0.00000000,0.11403990,0.00586032
-5.39969985,0.64165670,0.19853307,0.34718546,0.00237231,0.08016267,0.20077727,0.00000000,0.11613493,0.00591318
-5.39369685,0.64489818,0.19628931,0.35287225,0.00255619,0.07811395,0.19933679,0.00000000,0.11999349,0.00604694
-5.38769385,0.65269441,0.19536123,0.36042927,0.00275434,0.07678240,0.19948538,0.00000000,0.12550852,0.00625574
-5.38169085,0.66474743,0.19567663,0.36968983,0.00296329,0.07614700,0.20114396,0.00000000,0.13255557,0.00653299
-5.37568784,0.68066333,0.19713696,0.38043293,0.00317932,0.07617503,0.20420531,0.00000000,0.14099170,0.00687132
-5.36968484,0.69995435,0.19961782,0.39238635,0.00339852,0.07682196,0.20853374,0.00000000,0.15065470,0.00726259
-5.36368184,0.72204488,0.20297061,0.40523191,0.00361679,0.07803168,0.21396590,0.00000000,0.16136288,0.00769791
-5.35767884,0.74628126,0.20702530,0.41861289,0.00382993,0.07973711,0.22031281,0.00000000,0.17291561,0.00816766
-5.35167584,0.77194534,0.21159437,0.43214339,0.00403368,0.08186138,0.22736308,0.00000000,0.18509483,0.00866164
-5.34567284,0.79827156,0.21647772,0.44541932,0.00422386,0.08431930,0.23488729,0.00000000,0.19766744,0.00916914
-5.33966983,0.82446690,0.22146832,0.45803069,0.00439645,0.08701942,0.24264349,0.00000000,0.21038887,0.00967916
-5.33366683,0.84973320,0.22635861,0.46957450,0.00454768,0.08986632,0.25038353,0.00000000,0.22300761,0.01018058
-5.32766383,0.87329087,0.23094725,0.47966809,0.00467418,0.09276331,0.25786007,0.00000000,0.23527066,0.01066244
-5.32166083,0.89440325,0.23504591,0.48796195,0.00477304,0.09561539,0.26483401,0.00000000,0.24692985,0.01111419
-5.31565783,0.91240054,0.23848611,0.49415186,0.00484192,0.09833222,0.27108208,0.00000000,0.25774866,0.01152598
-5.30965483,0.92670243,0.24112548,0.49798956,0.00487911,0.10083130,0.27640419,0.00000000,0.26750950,0.01188894
-5.30365183,0.93683853,0.24285354,0.49929165,0.00488361,0.10304094,0.28063044,0.00000000,0.27602093,0.01219547
-5.29764882,0.94246563,0.24359650,0.49794633,0.00485512,0.10490304,0.28362728,0.00000000,0.28312475,0.01243950
-5.29164582,0.94338133,0.24332114,0.49391768,0.00479410,0.10637567,0.28530278,0.00000000,0.28870248,0.01261668
-5.28564282,0.93953325,0.24203739,0.48724740,0.00470170,0.10743509,0.28561068,0.00000000,0.29268105,0.01272462
-5.27963982,0.93102362,0.23979974,0.47805394,0.00457974,0.10807741,0.28455303,0.00000000,0.29503730,0.01276298
-5.27363682,0.91810902,0.23670727,0.46652898,0.00443064,0.10831955,0.28218143,0.00000000,0.29580126,0.01273352
-5.26763382,0.90119528,0.23290232,0.45293172,0.00425736,0.10819964,0.27859668,0.00000000,0.29505781,0.01264014
-5.26163082,0.88082770,0.22856791,0.43758099,0.00406325,0.10777679,0.27394701,0.00000000,0.29294674,0.01248879
-5.25562781,0.85767708,0.22392387,0.42084559,0.00385200,0.10713009,0.26842467,0.00000000,0.28966109,0.01228731
-5.24962481,0.83252190,0.21922183,0.40313336,0.00362747,0.10635704,0.26226133,0.00000000,0.28544383,0.01204526
-5.24362181,0.80622734,0.21473928,0.38487927,0.00339362,0.10557129,0.25572218,0.00000000,0.28058282,0.01177366
