energy_ev,total_up,Hf_p_up,Hf_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,6.22141906,2.99966654,1.99309129,0.98592080,0.01455248,0.08955313,3.47249193
-5.99399700,6.24986462,3.00829991,1.98903395,0.99889391,0.01466505,0.08863208,3.48077421
-5.98799400,6.26897781,3.01174604,1.98179177,1.01129170,0.01475561,0.08745491,3.48310975
-5.98199100,6.27840468,3.00971033,1.97154968,1.02288137,0.01482380,0.08603367,3.47949734
-5.97598799,6.27788384,3.00197032,1.95851813,1.03343086,0.01486947,0.08438356,3.46999717
-5.96998499,6.26726838,2.98838785,1.94293459,1.04271652,0.01489278,0.08252271,3.45473888
-5.96398199,6.24654300,2.96891793,1.92506399,1.05053020,0.01489416,0.08047196,3.43392684
-5.95797899,6.21583534,2.94361381,1.90519784,1.05668562,0.01487436,0.07825450,3.40784221
-5.95197599,6.17542101,2.91262838,1.88365182,1.06102380,0.01483441,0.07589539,3.37684157
-5.94597299,6.12572222,2.87621181,1.86076198,1.06341745,0.01477564,0.07342118,3.34135208
-5.93996998,6.06730030,2.83470596,1.83687945,1.06377428,0.01469960,0.07085929,3.30186340
-5.93396698,6.00084276,2.78853572,1.81236413,1.06203920,0.01460805,0.06823753,3.25891670
-5.92796398,5.92714582,2.73819812,1.78757738,1.05819557,0.01450287,0.06558352,3.21309143
-5.92196098,5.84709352,2.68424953,1.76287419,1.05226539,0.01438604,0.06292422,3.16499043
-5.91595798,5.76163459,2.62729182,1.73859517,1.04430869,0.01425957,0.06028538,3.11522417
-5.90995498,5.67175835,2.56795786,1.71505869,1.03442217,0.01412539,0.05769113,3.06439490
-5.90395198,5.57847066,2.50689704,1.69255356,1.02273719,0.01398539,0.05516360,3.01308123
-5.89794897,5.48277105,2.44476134,1.67133248,1.00941711,0.01384130,0.05272264,2.96182409
-5.89194597,5.38563167,2.38219212,1.65160661,0.99465425,0.01369466,0.05038556,2.91111425
-5.88594297,5.28797874,2.31980823,1.63354135,0.97866626,0.01354683,0.04816699,2.86138207
-5.87993997,5.19067689,2.25819545,1.61725355,0.96169222,0.01339894,0.04607882,2.81298965
-5.87393697,5.09451655,2.19789754,1.60281010,0.94398824,0.01325191,0.04413018,2.76622550
-5.86793397,5.00020448,2.13940887,1.59022810,0.92582280,0.01310643,0.04232753,2.72130190
-5.86193097,4.90835731,2.08316883,1.57947638,0.90747180,0.01296298,0.04067475,2.67835485
-5.85592796,4.81949800,2.02955781,1.57047851,0.88921333,0.01282189,0.03917334,2.63744647
-5.84992496,4.73405497,1.97889487,1.56311695,0.87132230,0.01268331,0.03782262,2.59856966
-5.84392196,4.65236365,1.93143704,1.55723852,0.85406501,0.01254729,0.03661996,2.56165488
-5.83791896,4.57467024,1.88737990,1.55266070,0.83769381,0.01241378,0.03556108,2.52657866
-5.83191596,4.50113730,1.84685976,1.54917890,0.82244184,0.01228270,0.03464026,2.49317352
-5.82591296,4.43185105,1.80995678,1.54657413,0.80851820,0.01215396,0.03385070,2.46123908
-5.81990995,4.36682990,1.77669929,1.54462115,0.79610348,0.01202751,0.03318472,2.43055383
-5.81390695,4.30603391,1.74706875,1.54309658,0.78534593,0.01190333,0.03263406,2.40088710
-5.80790395,4.24937478,1.72100536,1.54178677,0.77635831,0.01178151,0.03219015,2.37201102
-5.80190095,4.19672604,1.69841381,1.54049511,0.76921553,0.01166223,0.03184425,2.34371172
-5.79589795,4.14793267,1.67916914,1.53904837,0.76395314,0.01154578,0.03158774,2.31579944
-5.78989495,4.10282010,1.66312216,1.53730199,0.76056675,0.01143255,0.03141217,2.28811718
-5.78389195,4.06120178,1.65010447,1.53514372,0.75901233,0.01132304,0.03130944,2.26054728
-5.77788894,4.02288515,1.63993255,1.53249576,0.75920739,0.01121783,0.03127185,2.23301588
-5.77188594,3.98767564,1.63241110,1.52931503,0.76103303,0.01111754,0.03129210,2.20549480
-5.76588294,3.95537856,1.62733530,1.52559165,0.76433676,0.01102280,0.03136330,2.17800090
-5.75987994,3.92579900,1.62449209,1.52134570,0.76893604,0.01093421,0.03147890,2.15059293
-5.75387694,3.89873979,1.62366066,1.51662244,0.77462241,0.01085231,0.03163263,2.12336606
-5.74787394,3.87399799,1.62461222,1.51148633,0.78116622,0.01077747,0.03181838,2.09644447
-5.74187094,3.85136047,1.62710941,1.50601416,0.78832169,0.01070994,0.03203008,2.06997248
-5.73586793,3.83059916,1.63090558,1.50028782,0.79583242,0.01064972,0.03226162,2.04410482
-5.72986493,3.81146685,1.63574445,1.49438721,0.80343703,0.01059658,0.03250676,2.01899664
