energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.09708597,0.00153500,0.02910814,0.37720243,0.20572633,0.00413878,0.67564003,0.26353302,0.06626137
-5.99399700,1.13500008,0.00149384,0.02961999,0.39333303,0.21197366,0.00444989,0.70186825,0.26767028,0.06941197
-5.98799400,1.18049256,0.00148448,0.03022596,0.41262975,0.21965860,0.00479676,0.73288240,0.27355300,0.07297066
-5.98199100,1.23307074,0.00150424,0.03091252,0.43489434,0.22872756,0.00517756,0.76837848,0.28110406,0.07689979
-5.97598799,1.29217908,0.00155092,0.03166467,0.45989375,0.23911795,0.00559038,0.80801274,0.29023242,0.08115744
-5.96998499,1.35720888,0.00162282,0.03246625,0.48736363,0.25075857,0.00603334,0.85140775,0.30083427,0.08569824
-5.96398199,1.42750940,0.00171874,0.03330051,0.51701267,0.26357037,0.00650475,0.89815935,0.31279437,0.09047435
-5.95797899,1.50240019,0.00183789,0.03415047,0.54852751,0.27746747,0.00700312,0.94784429,0.32598759,0.09543642
-5.95197599,1.58118418,0.00197992,0.03499950,0.58157831,0.29235836,0.00752735,1.00002847,0.34028062,0.10053469
-5.94597299,1.66316120,0.00214481,0.03583170,0.61582470,0.30814742,0.00807673,1.05427530,0.35553385,0.10572005
-5.93996998,1.74764119,0.00233287,0.03663242,0.65092196,0.32473651,0.00865107,1.11015401,0.37160335,0.11094503
-5.93396698,1.83395669,0.00254465,0.03738858,0.68652717,0.34202662,0.00925074,1.16724727,0.38834277,0.11616480
-5.92796398,1.92147366,0.00278083,0.03808902,0.72230510,0.35991946,0.00987665,1.22515800,0.40560529,0.12133792
-5.92196098,2.00960026,0.00304218,0.03872469,0.75793361,0.37831879,0.01053029,1.28351462,0.42324521,0.12642698
-5.91595798,2.09779277,0.00332943,0.03928882,0.79310822,0.39713143,0.01121363,1.34197464,0.44111940,0.13139900
-5.90995498,2.18555835,0.00364317,0.03977690,0.82754583,0.41626783,0.01192904,1.40022619,0.45908828,0.13622562
-5.90395198,2.27245431,0.00398376,0.04018664,0.86098723,0.43564205,0.01267915,1.45798735,0.47701640,0.14088298
-5.89794897,2.35808391,0.00435119,0.04051776,0.89319852,0.45517122,0.01346668,1.51500329,0.49477260,0.14535140
-5.89194597,2.44208870,0.00474502,0.04077175,0.92397127,0.47477432,0.01429419,1.57104127,0.51222977,0.14961484
-5.88594297,2.52413817,0.00516424,0.04095151,0.95312163,0.49437049,0.01516386,1.62588393,0.52926418,0.15366009
-5.87993997,2.60391704,0.00560726,0.04106095,0.98048844,0.51387686,0.01607721,1.67932120,0.54575464,0.15747592
-5.87393697,2.68111139,0.00607180,0.04110459,1.00593068,0.53320614,0.01703480,1.73114150,0.56158151,0.16105204
-5.86793397,2.75539451,0.00655489,0.04108708,1.02932441,0.55226411,0.01803600,1.78112287,0.57662574,0.16437813
-5.86193097,2.82641378,0.00705284,0.04101283,1.05055969,0.57094727,0.01907870,1.82902480,0.59076817,0.16744286
-5.85592796,2.89377957,0.00756133,0.04088565,1.06953762,0.58914086,0.02015909,1.87458145,0.60388914,0.17023313
-5.84992496,2.95705741,0.00807541,0.04070839,1.08616797,0.60671758,0.02127153,1.91749710,0.61586871,0.17273337
-5.84392196,3.01576440,0.00858964,0.04048278,1.10036758,0.62353709,0.02240837,1.95744416,0.62658745,0.17492529
-5.83791896,3.06937040,0.00909821,0.04020930,1.11205976,0.63944665,0.02356004,1.99406458,0.63592801,0.17678771
-5.83191596,3.11730459,0.00959507,0.03988715,1.12117487,0.65428283,0.02471498,2.02697447,0.64377731,0.17829688
-5.82591296,3.15896748,0.01007416,0.03951437,1.12765198,0.66787450,0.02585991,2.05577229,0.65002950,0.17942706
-5.81990995,3.19374792,0.01052955,0.03908802,1.13144169,0.68004701,0.02698000,2.08005032,0.65458946,0.18015135
-5.81390695,3.22104474,0.01095570,0.03860445,1.13250983,0.69062741,0.02805923,2.09940893,0.65737661,0.18044292
-5.80790395,3.24029180,0.01134759,0.03805972,1.13084191,0.69945064,0.02908082,2.11347299,0.65832908,0.18027628
