energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.14878154,0.05693352,0.21367644,1.29318936,0.00000000,0.74578791,0.41533106,0.77679894,0.38830181
-5.99399700,3.28362391,0.05862495,0.21997622,1.35931303,0.00000000,0.79185741,0.43156963,0.80900747,0.40049645
-5.98799400,3.41553232,0.06030178,0.22590930,1.42466762,0.00000000,0.83831830,0.44729620,0.84031639,0.41226964
-5.98199100,3.54299751,0.06193836,0.23141178,1.48848160,0.00000000,0.88463290,0.46233759,0.87032562,0.42348577
-5.97598799,3.66451461,0.06350914,0.23642540,1.54998244,0.00000000,0.93023651,0.47652717,0.89865691,0.43400868
-5.96998499,3.77861483,0.06498946,0.24089921,1.60841353,0.00000000,0.97454800,0.48970821,0.92496533,0.44370420
-5.96398199,3.88390000,0.06635629,0.24479126,1.66305223,0.00000000,1.01698176,0.50173753,0.94895064,0.45244283
-5.95797899,3.97907901,0.06758909,0.24807035,1.71322850,0.00000000,1.05696083,0.51248933,0.97036808,0.46010290
-5.95197599,4.06300533,0.06867049,0.25071771,1.75834375,0.00000000,1.09393103,0.52185917,0.98903838,0.46657381
-5.94597299,4.13471401,0.06958704,0.25272857,1.79788906,0.00000000,1.12737537,0.52976798,1.00485637,0.47175949
-5.93996998,4.19345687,0.07032985,0.25411361,1.83146209,0.00000000,1.15682849,0.53616573,1.01779799,0.47558180
-5.93396698,4.23873412,0.07089512,0.25489994,1.85878210,0.00000000,1.18189057,0.54103479,1.02792508,0.47798376
-5.92796398,4.27032083,0.07128450,0.25513188,1.87970203,0.00000000,1.20224003,0.54439258,1.03538782,0.47893246
-5.92196098,4.28828655,0.07150534,0.25487105,1.89421731,0.00000000,1.21764454,0.54629336,1.04042434,0.47842151
-5.91595798,4.29300669,0.07157075,0.25419604,1.90247043,0.00000000,1.22796978,0.54682897,1.04335735,0.47647273
-5.90995498,4.28516436,0.07149939,0.25320132,1.90475105,0.00000000,1.23318555,0.54612828,1.04458771,0.47313719
-5.90395198,4.26574187,0.07131512,0.25199560,1.90149116,0.00000000,1.23336868,0.54435533,1.04458479,0.46849517
-5.89794897,4.23600145,0.07104645,0.25069941,1.89325520,0.00000000,1.22870264,0.54170598,1.04387385,0.46265525
-5.89194597,4.19745507,0.07072565,0.24944207,1.88072526,0.00000000,1.21947359,0.53840315,1.04302070,0.45575231
-5.88594297,4.15182411,0.07038788,0.24835813,1.86468157,0.00000000,1.20606296,0.53469069,1.04261391,0.44794453
-5.87993997,4.10098981,0.07006995,0.24758322,1.84597890,0.00000000,1.18893667,0.53082610,1.04324521,0.43940945
-5.87393697,4.04693613,0.06980912,0.24724971,1.82551961,0.00000000,1.16863134,0.52707223,1.04548871,0.43033916
-5.86793397,3.99168709,0.06964173,0.24748202,1.80422422,0.00000000,1.14573804,0.52368832,1.04987965,0.42093491
-5.86193097,3.93724092,0.06960186,0.24839213,1.78300075,0.00000000,1.12088395,0.52092079,1.05689354,0.41140111
-5.85592796,3.88550380,0.06972000,0.25007514,1.76271393,0.00000000,1.09471297,0.51899410,1.06692662,0.40193931
-5.84992496,3.83822602,0.07002186,0.25260537,1.74415565,0.00000000,1.06786570,0.51810202,1.08027845,0.39274197
-5.84392196,3.79694328,0.07052725,0.25603298,1.72801791,0.00000000,1.04095989,0.51840001,1.09713753,0.38398678
-5.83791896,3.76292599,0.07124928,0.26038151,1.71486943,0.00000000,1.01457192,0.51999870,1.11757063,0.37583128
-5.83191596,3.73713871,0.07219371,0.26564626,1.70513704,0.00000000,0.98922020,0.52295921,1.14151662,0.36840846
-5.82591296,3.72021193,0.07335869,0.27179379,1.69909275,0.00000000,0.96535110,0.52729021,1.16878506,0.36182327
-5.81990995,3.71242729,0.07473470,0.27876252,1.69684702,0.00000000,0.94332793,0.53294721,1.19905992,0.35615022
