energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-5.26163082,0.86592193,0.37763102,0.00000000,0.00902383,0.22960313,0.22059937,0.43024219
-5.25562781,0.88718574,0.37627400,0.00000000,0.00881034,0.24388091,0.22675636,0.43512425
-5.24962481,0.91184299,0.37486279,0.00000000,0.00869071,0.25985610,0.23330845,0.44037027
-5.24362181,0.93973511,0.37326498,0.00000000,0.00866686,0.27750858,0.24019770,0.44582708
-5.23761881,0.97061621,0.37134160,0.00000000,0.00873813,0.29677901,0.24735833,0.45132350
-5.23161581,1.00416088,0.36895564,0.00000000,0.00890135,0.31756778,0.25471953,0.45667799
-5.22561281,1.03997347,0.36598013,0.00000000,0.00915086,0.33973493,0.26220827,0.46170636
-5.21960980,1.07759850,0.36230544,0.00000000,0.00947868,0.36310100,0.26975186,0.46622895
-5.21360680,1.11653164,0.35784540,0.00000000,0.00987474,0.38744901,0.27728003,0.47007719
-5.20760380,1.15623124,0.35254188,0.00000000,0.01032706,0.41252757,0.28472673,0.47309906
-5.20160080,1.19612993,0.34636773,0.00000000,0.01082215,0.43805499,0.29203127,0.47516350
-5.19559780,1.23564622,0.33932794,0.00000000,0.01134528,0.46372451,0.29913891,0.47616347
-5.18959480,1.27419591,0.33145909,0.00000000,0.01188092,0.48921048,0.30600103,0.47601791
-5.18359180,1.31120320,0.32282715,0.00000000,0.01241311,0.51417538,0.31257471,0.47467233
-5.17758879,1.34611138,0.31352384,0.00000000,0.01292592,0.53827748,0.31882202,0.47209853
-5.17158579,1.37839296,0.30366195,0.00000000,0.01340388,0.56117891,0.32470900,0.46829330
-5.16558279,1.40755927,0.29336971,0.00000000,0.01383240,0.58255397,0.33020447,0.46327646
-5.15957979,1.43316913,0.28278482,0.00000000,0.01419819,0.60209727,0.33527896,0.45708843
-5.15357679,1.45483685,0.27204822,0.00000000,0.01448960,0.61953151,0.33990358,0.44978746
-5.14757379,1.47223903,0.26129821,0.00000000,0.01469695,0.63461461,0.34404934,0.44144678
-5.14157079,1.48512042,0.25066500,0.00000000,0.01481278,0.64714595,0.34768672,0.43215179
-5.13556778,1.49329849,0.24026606,0.00000000,0.01483205,0.65697147,0.35078581,0.42199744
-5.12956478,1.49666677,0.23020242,0.00000000,0.01475222,0.66398759,0.35331692,0.41108592
-5.12356178,1.49519704,0.22055608,0.00000000,0.01457327,0.66814371,0.35525186,0.39952469
-5.11755878,1.48894023,0.21138862,0.00000000,0.01429764,0.66944345,0.35656585,0.38742487
-5.11155578,1.47802632,0.20274088,0.00000000,0.01393011,0.66794459,0.35724000,0.37490015
-5.10555278,1.46266329,0.19463387,0.00000000,0.01347754,0.66375783,0.35726449,0.36206596
-5.09954977,1.44313538,0.18707063,0.00000000,0.01294861,0.65704453,0.35664214,0.34903916
-5.09354677,1.41980069,0.18003899,0.00000000,0.01235354,0.64801375,0.35539259,0.33593798
-5.08754377,1.39308864,0.17351499,0.00000000,0.01170365,0.63691863,0.35355661,0.32288229
-5.08154077,1.36349706,0.16746684,0.00000000,0.01101105,0.62405242,0.35120076,0.30999412
-5.07553777,1.33158940,0.16185918,0.00000000,0.01028825,0.60974444,0.34842195,0.29739834
-5.06953477,1.29799185,0.15665736,0.00000000,0.00954780,0.59435590,0.34535182,0.28522344
-5.06353177,1.26339050,0.15183176,0.00000000,0.00880194,0.57827604,0.34216079,0.27360240
-5.05752876,1.22852841,0.14736164,0.00000000,0.00806235,0.56191824,0.33906137,0.26267346
-5.05152576,1.19420233,0.14323869,0.00000000,0.00733987,0.54571647,0.33631076,0.25258087
-5.04552276,1.16125889,0.13946992,0.00000000,0.00664436,0.53012173,0.33421229,0.24347531
-5.03951976,1.13058992,0.13607982,0.00000000,0.00598454,0.51559860,0.33311553,0.23551415
-5.03351676,1.10312646,0.13311175,0.00000000,0.00536791,0.50262155,0.33341498,0.22886126
-5.02751376,1.07983120,0.13062848,0.00000000,0.00480077,0.49167095,0.33554696,0.22368639
-5.02151076,1.06168889,0.12871182,0.00000000,0.00428821,0.48322853,0.33998467,0.22016406
-5.01550775,1.04969452,0.12746134,0.00000000,0.00383419,0.47777214,0.34723124,0.21847175
-5.00950475,1.04483883,0.12699218,0.00000000,0.00344163,0.47576961,0.35781070,0.21878752
-5.00350175,1.04809126,0.12743208,0.00000000,0.00311252,0.47767160,0.37225696,0.22128696
-4.99749875,1.06038017,0.12891756,0.00000000,0.00284801,0.48390336,0.39110066,0.22613933
-4.99149575,1.08257041,0.13158941,0.00000000,0.00264856,0.49485546,0.41485419,0.23350316
-4.98549275,1.11543875,0.13558762,0.00000000,0.00251402,0.51087341,0.44399516,0.24352109
-4.97948974,1.15964739,0.14104580,0.00000000,0.00244372,0.53224656,0.47894841,0.25631428
-4.97348674,1.21571634,0.14808535,0.00000000,0.00243652,0.55919627,0.52006730,0.27197630
-4.96748374,1.28399537,0.15680938,0.00000000,0.00249086,0.59186390,0.56761454,0.29056684
-4.96148074,1.36463656,0.16729679,0.00000000,0.00260479,0.63029886,0.62174339,0.31210530
-4.95547774,1.45756845,0.17959655,0.00000000,0.00277593,0.67444736,0.68247980,0.33656461
-4.94947474,1.56247308,0.19372240,0.00000000,0.00300143,0.72414222,0.74970637,0.36386547
-4.94347174,1.67876711,0.20964835,0.00000000,0.00327799,0.77909451,0.82314889,0.39387140
-4.93746873,1.80558824,0.22730505,0.00000000,0.00360172,0.83888747,0.90236627,0.42638483
-4.93146573,1.94178830,0.24657729,0.00000000,0.00396819,0.90297329,0.98674465,0.46114455
-4.92546273,2.08593403,0.26730299,0.00000000,0.00437229,0.97067342,1.07549651,0.49782495
-4.91945973,2.23631647,0.28927356,0.00000000,0.00480830,1.04118268,1.16766519,0.53603717
-4.91345673,2.39096978,0.31223610,0.00000000,0.00526982,1.11357766,1.26213537,0.57533248
-4.90745373,2.54769975,0.33589736,0.00000000,0.00574985,1.18682945,1.35764967,0.61520800
-4.90145073,2.70412205,0.35992938,0.00000000,0.00624084,1.25982090,1.45283138,0.65511495
-4.89544772,2.85770975,0.38397713,0.00000000,0.00673478,1.33136809,1.54621290,0.69446923
-4.88944472,3.00584941,0.40766754,0.00000000,0.00722338,1.40024564,1.63626943,0.73266432
-4.88344172,3.14590406,0.43062017,0.00000000,0.00769822,1.46521527,1.72145691,0.76908622
-4.87743872,3.27528164,0.45245888,0.00000000,0.00815095,1.52505690,1.80025306,0.80312997
-4.87143572,3.39150650,0.47282434,0.00000000,0.00857357,1.57860104,1.87120029,0.83421735
-4.86543272,3.49229155,0.49138689,0.00000000,0.00895861,1.62476164,1.93294866,0.86181510
-4.85942971,3.57560828,0.50785914,0.00000000,0.00929942,1.66256794,1.98429746,0.88545299
-4.85342671,3.63975198,0.52200804,0.00000000,0.00959040,1.69119413,2.02423360,0.90474103
-4.84742371,3.68339922,0.53366560,0.00000000,0.00982722,1.70998561,2.05196517,0.91938497
-4.84142071,3.70565517,0.54273795,0.00000000,0.01000701,1.71848062,2.06694877,0.92919959
-4.83541771,3.70608847,0.54921215,0.00000000,0.01012850,1.71642635,2.06890927,0.93411878
-4.82941471,3.68475186,0.55316038,0.00000000,0.01019214,1.70378860,2.05785097,0.93420207
-4.82341171,3.64218740,0.55474117,0.00000000,0.01020008,1.68075470,2.03405981,0.92963713
-4.81740870,3.57941570,0.55419742,0.00000000,0.01015623,1.64772929,1.99809614,0.92073781
-4.81140570,3.49790931,0.55185115,0.00000000,0.01006609,1.60532316,1.95077847,0.90793773
-4.80540270,3.39955121,0.54809500,0.00000000,0.00993667,1.55433562,1.89315863,0.89177942
-4.79939970,3.28657963,0.54338063,0.00000000,0.00977624,1.49573105,1.82648960,0.87289935
-4.79339670,3.16152170,0.53820444,0.00000000,0.00959411,1.43061059,1.75218696,0.85200919
-4.78739370,3.02711808,0.53309081,0.00000000,0.00940032,1.36018030,1.67178588,0.82987401
-4.78139070,2.88624187,0.52857368,0.00000000,0.00920532,1.28571685,1.58689513,0.80728815
-4.77538769,2.74181471,0.52517698,0.00000000,0.00901968,1.20853243,1.49915007,0.78504966
-4.76938469,2.59672333,0.52339457,0.00000000,0.00885369,1.12993995,1.41016638,0.76393415
