energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.79632154,0.00391365,0.05790625,0.00451158,0.38545445,0.11237579,0.08028792
-5.99399700,0.84153218,0.00400836,0.06061370,0.00467626,0.40894825,0.11981384,0.08475153
-5.98799400,0.88661544,0.00408000,0.06321647,0.00483164,0.43261135,0.12713161,0.08924014
-5.98199100,0.93069686,0.00412689,0.06567023,0.00497380,0.45597562,0.13419683,0.09366772
-5.97598799,0.97290594,0.00414791,0.06793271,0.00509916,0.47856984,0.14087677,0.09794824
-5.96998499,1.01239283,0.00414249,0.06996445,0.00520454,0.49992899,0.14704145,0.10199717
-5.96398199,1.04834536,0.00411060,0.07172934,0.00528722,0.51960407,0.15256691,0.10573296
-5.95797899,1.08000621,0.00405282,0.07319521,0.00534497,0.53717200,0.15733852,0.10907864
-5.95197599,1.10668970,0.00397021,0.07433440,0.00537610,0.55224555,0.16125421,0.11196333
-5.94597299,1.12779768,0.00386436,0.07512414,0.00537948,0.56448274,0.16422734,0.11432379
-5.93996998,1.14283402,0.00373725,0.07554702,0.00535454,0.57359560,0.16618937,0.11610585
-5.93396698,1.15141711,0.00359125,0.07559129,0.00530126,0.57935768,0.16709186,0.11726573
-5.92796398,1.15328982,0.00342900,0.07525110,0.00522018,0.58161021,0.16690806,0.11777115
-5.92196098,1.14832649,0.00325333,0.07452665,0.00511236,0.58026647,0.16563371,0.11760222
-5.91595798,1.13653659,0.00306720,0.07342428,0.00497935,0.57531424,0.16328721,0.11675200
-5.90995498,1.11806473,0.00287359,0.07195636,0.00482314,0.56681610,0.15990903,0.11522686
-5.90395198,1.09318711,0.00267545,0.07014115,0.00464612,0.55490763,0.15556047,0.11304636
-5.89794897,1.06230424,0.00247561,0.06800250,0.00445105,0.53979351,0.15032169,0.11024287
-5.89194597,1.02593040,0.00227674,0.06556939,0.00424096,0.52174167,0.14428930,0.10686081
-5.88594297,0.98468019,0.00208128,0.06287545,0.00401912,0.50107579,0.13757338,0.10295564
-5.87993997,0.93925267,0.00189145,0.05995831,0.00378899,0.47816643,0.13029427,0.09859248
-5.87393697,0.89041389,0.00170918,0.05685886,0.00355418,0.45342129,0.12257918,0.09384462
-5.86793397,0.83897847,0.00153613,0.05362051,0.00331836,0.42727493,0.11455875,0.08879178
-5.86193097,0.78579113,0.00137369,0.05028841,0.00308530,0.40017853,0.10636375,0.08351842
-5.85592796,0.73170892,0.00122302,0.04690860,0.00285878,0.37259004,0.09812209,0.07811198
-5.84992496,0.67758493,0.00108501,0.04352734,0.00264263,0.34496525,0.08995619,0.07266120
-5.84392196,0.62425411,0.00096039,0.04019033,0.00244070,0.31775005,0.08198075,0.06725468
-5.83791896,0.57252173,0.00084974,0.03694222,0.00225688,0.29137422,0.07430122,0.06197958
-5.83191596,0.52315490,0.00075351,0.03382607,0.00209516,0.26624693,0.06701271,0.05692064
-5.82591296,0.47687721,0.00067209,0.03088307,0.00195961,0.24275397,0.06019954,0.05215947
-5.81990995,0.43436657,0.00060589,0.02815234,0.00185446,0.22125673,0.05393535,0.04777416
-5.81390695,0.39625596,0.00055533,0.02567088,0.00178415,0.20209285,0.04828366,0.04383919
-5.80790395,0.36313674,0.00052091,0.02347370,0.00175335,0.18557811,0.04329893,0.04042553
-5.80190095,0.33556396,0.00050326,0.02159399,0.00176705,0.17200952,0.03902792,0.03760106
-5.79589795,0.31406291,0.00050314,0.02006342,0.00183052,0.16166892,0.03551123,0.03543104
-5.78989495,0.29913627,0.00052153,0.01891247,0.00194938,0.15482689,0.03278503,0.03397863
-5.78389195,0.29127083,0.00055955,0.01817076,0.00212958,0.15174642,0.03088274,0.03330549
-5.77788894,0.29094323,0.00061854,0.01786734,0.00237734,0.15268588,0.02983663,0.03347210
-5.77188594,0.29862364,0.00070003,0.01803087,0.00269910,0.15790097,0.02967921,0.03453803
-5.76588294,0.31477701,0.00080569,0.01868972,0.00310143,0.16764518,0.03044434,0.03656181
-5.75987994,0.33986115,0.00093733,0.01987185,0.00359085,0.18216862,0.03216796,0.03960057
-5.75387694,0.37432138,0.00109685,0.02160448,0.00417370,0.20171498,0.03488847,0.04370919
-5.74787394,0.41858172,0.00128614,0.02391364,0.00485592,0.22651660,0.03864666,0.04893911
-5.74187094,0.47303261,0.00150706,0.02682338,0.00564278,0.25678782,0.04348527,0.05533682
-5.73586793,0.53801557,0.00176129,0.03035484,0.00653870,0.29271666,0.04944814,0.06294187
-5.72986493,0.61380557,0.00205030,0.03452514,0.00754694,0.33445547,0.05657902,0.07178472
-5.72386193,0.70059171,0.00237522,0.03934607,0.00866936,0.38211070,0.06492017,0.08188438
-5.71785893,0.79845753,0.00273675,0.04482277,0.00990622,0.43573270,0.07451074,0.09324600
-5.71185593,0.90736197,0.00313508,0.05095230,0.01125596,0.49530592,0.08538515,0.10585861
-5.70585293,1.02712231,0.00356978,0.05772237,0.01271506,0.56074038,0.09757145,0.11969296
-5.69984992,1.15740036,0.00403978,0.06511011,0.01427800,0.63186497,0.11108984,0.13469997
-5.69384692,1.29769320,0.00454328,0.07308113,0.01593725,0.70842321,0.12595157,0.15080954
-5.68784392,1.44732929,0.00507776,0.08158888,0.01768337,0.79007210,0.14215798,0.16793014
-5.68184092,1.60547101,0.00563999,0.09057438,0.01950518,0.87638419,0.15970021,0.18594917
-5.67583792,1.77112384,0.00622607,0.09996639,0.02139010,0.96685327,0.17855912,0.20473409
-5.66983492,1.94315247,0.00683148,0.10968210,0.02332446,1.06090358,0.19870591,0.22413454
-5.66383192,2.12030331,0.00745126,0.11962825,0.02529396,1.15790215,0.22010300,0.24398512
-5.65782891,2.30123285,0.00808010,0.12970284,0.02728419,1.25717400,0.24270541,0.26410908
-5.65182591,2.48454045,0.00871251,0.13979717,0.02928109,1.35801931,0.26646235,0.28432247
-5.64582291,2.66880424,0.00934305,0.14979847,0.03127154,1.45973177,0.29131894,0.30443885
-5.63981991,2.85261809,0.00996653,0.15959259,0.03324377,1.56161703,0.31721795,0.32427414
-5.63381691,3.03462797,0.01057817,0.16906714,0.03518786,1.66301030,0.34410133,0.34365146
-5.62781391,3.21356527,0.01117388,0.17811450,0.03709603,1.76329181,0.37191135,0.36240574
-5.62181091,3.38827552,0.01175034,0.18663488,0.03896283,1.86189941,0.40059122,0.38038775
-5.61580790,3.55774058,0.01230525,0.19453917,0.04078526,1.95833723,0.43008506,0.39746749
-5.60980490,3.72109302,0.01283738,0.20175140,0.04256264,2.05218003,0.46033707,0.41353657
-5.60380190,3.87762183,0.01334660,0.20821081,0.04429636,2.14307272,0.49128997,0.42850965
-5.59779890,4.02676923,0.01383397,0.21387328,0.04598951,2.23072527,0.52288253,0.44232472
-5.59179590,4.16811877,0.01430156,0.21871227,0.04764632,2.31490325,0.55504652,0.45494228
-5.58579290,4.30137559,0.01475244,0.22271892,0.04927154,2.39541462,0.58770306,0.46634351
-5.57978989,4.42634046,0.01519042,0.22590164,0.05086968,2.47209396,0.62075862,0.47652753
-5.57378689,4.54287935,0.01561984,0.22828494,0.05244430,2.54478509,0.65410099,0.48550802
-5.56778389,4.65089080,0.01604531,0.22990775,0.05399728,2.61332356,0.68759545,0.49330928
-5.56178089,4.75027360,0.01647143,0.23082121,0.05552813,2.67752045,0.72108155,0.49996223
-5.55577789,4.84089723,0.01690244,0.23108613,0.05703344,2.73714877,0.75437076,0.50550042
-5.54977489,4.92257727,0.01734194,0.23077015,0.05850652,2.79193370,0.78724530,0.50995641
-5.54377189,4.99505792,0.01779264,0.22994485,0.05993716,2.84154766,0.81945841,0.51335883
-5.53776888,5.05800307,0.01825608,0.22868293,0.06131162,2.88561095,0.85073629,0.51573017
-5.53176588,5.11099682,0.01873247,0.22705552,0.06261293,2.92369819,0.88078177,0.51708556
-5.52576288,5.15355392,0.01922060,0.22512982,0.06382127,2.95535049,0.90927964,0.51743259
-5.51975988,5.18513965,0.01971778,0.22296723,0.06491471,2.98009294,0.93590373,0.51677214
-5.51375688,5.20519814,0.02021987,0.22062184,0.06587002,2.99745647,0.96032539,0.51510020
-5.50775388,5.21318771,0.02072144,0.21813960,0.06666369,3.00700304,0.98222308,0.51241053
-5.50175088,5.20862092,0.02121594,0.21555795,0.06727299,3.00835260,1.00129277,0.50869797
-5.49574787,5.19110716,0.02169599,0.21290613,0.06767716,3.00121047,1.01725866,0.50396224
-5.48974487,5.16039519,0.02215364,0.21020583,0.06785850,2.98539326,1.02988374,0.49821187
-5.48374187,5.11641290,0.02258076,0.20747251,0.06780339,2.96085210,1.03897963,0.49146811
-5.47773887,5.05930201,0.02296941,0.20471690,0.06750326,2.92769148,1.04441537,0.48376852
-5.47173587,4.98944555,0.02331213,0.20194686,0.06695528,2.88618272,1.04612455,0.47516993
-5.46573287,4.90748621,0.02360237,0.19916939,0.06616291,2.83677108,1.04411052,0.46575084
-5.45972986,4.81433461,0.02383470,0.19639263,0.06513616,2.78007605,1.03844929,0.45561269
-5.45372686,4.71116655,0.02400508,0.19362784,0.06389165,2.71688466,1.02929006,0.44488033
-5.44772386,4.59940923,0.02411104,0.19089106,0.06245234,2.64813789,1.01685317,0.43370131
-5.44172086,4.48071695,0.02415174,0.18820462,0.06084706,2.57491091,1.00142559,0.42224420
-5.43571786,4.35693712,0.02412805,0.18559810,0.05910982,2.49838786,0.98335410,0.41069588
-5.42971486,4.23006798,0.02404241,0.18310895,0.05727885,2.41983220,0.96303637,0.39925790
-5.42371186,4.10220981,0.02389876,0.18078247,0.05539560,2.34055406,0.94091032,0.38814213
-5.41770885,3.97551140,0.02370236,0.17867135,0.05350349,2.26187564,0.91744217,0.37756573
-5.41170585,3.85211397,0.02345950,0.17683461,0.05164672,2.18509631,0.89311357,0.36774566
-5.40570285,3.73409445,0.02317730,0.17533598,0.04986898,2.11145842,0.86840845,0.35889296
-5.39969985,3.62341022,0.02286339,0.17424188,0.04821215,2.04211520,0.84379977,0.35120688
-5.39369685,3.52184699,0.02252564,0.17361890,0.04671519,1.97810177,0.81973701,0.34486915
-5.38769385,3.43097160,0.02217191,0.17353101,0.04541299,1.92030995,0.79663448,0.34003848
-5.38169085,3.35209097,0.02180978,0.17403655,0.04433544,1.86946785,0.77486100,0.33684547
-5.37568784,3.28621856,0.02144641,0.17518514,0.04350661,1.82612438,0.75473123,0.33538817
-5.36968484,3.23404897,0.02108837,0.17701462,0.04294412,1.79063926,0.73649885,0.33572831
-5.36368184,3.19594173,0.02074155,0.17954823,0.04265871,1.76317857,0.72035179,0.33788846
-5.35767884,3.17191437,0.02041112,0.18279211,0.04265399,1.74371574,0.70640959,0.34185014
-5.35167584,3.16164551,0.02010160,0.18673334,0.04292642,1.73203822,0.69472306,0.34755315
-5.34567284,3.16448768,0.01981687,0.19133852,0.04346551,1.72775922,0.68527599,0.35489606
-5.33966983,3.17949021,0.01956037,0.19655322,0.04425416,1.73033470,0.67798911,0.36373803
-5.33366683,3.20543171,0.01933519,0.20230215,0.04526931,1.73908495,0.67272604,0.37390204
-5.32766383,3.24086194,0.01914428,0.20849033,0.04648272,1.75322070,0.66930114,0.38517952
-5.32166083,3.28415230,0.01899069,0.21500511,0.04786195,1.77187298,0.66748906,0.39733626
-5.31565783,3.33355411,0.01887772,0.22171910,0.04937152,1.79412652,0.66703577,0.41011978
-5.30965483,3.38726349,0.01880913,0.22849405,0.05097420,1.81905569,0.66767076,0.42326774
-5.30365183,3.44349130,0.01878933,0.23518530,0.05263238,1.84576241,0.66912017,0.43651735
-5.29764882,3.50053613,0.01882354,0.24164697,0.05430961,1.87341504,0.67112042,0.44961549
-5.29164582,3.55685836,0.01891782,0.24773748,0.05597204,1.90128693,0.67343192,0.46232916
-5.28564282,3.61115252,0.01907918,0.25332522,0.05758994,1.92879364,0.67585249,0.47445598
-5.27963982,3.66241519,0.01931551,0.25829422,0.05913906,1.95552725,0.67822996,0.48583411
-5.27363682,3.71000563,0.01963550,0.26254939,0.06060191,1.98128630,0.68047339,0.49635137
