energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.01793202,0.90177535,0.46652653,0.00321404,0.41333190,1.30158365,0.62978791,0.01063697,1.41810956
-5.99399700,3.02403151,0.89975541,0.47463676,0.00337284,0.41073451,1.29147664,0.62614039,0.01097838,1.42386245
-5.98799400,3.03141725,0.89806422,0.48262365,0.00354152,0.40819220,1.28225529,0.62278364,0.01132790,1.43028372
-5.98199100,3.04113290,0.89708887,0.49054272,0.00371824,0.40587342,1.27440494,0.62001853,0.01168144,1.43787985
-5.97598799,3.05419075,0.89719728,0.49844707,0.00390095,0.40395505,1.26842191,0.61814026,0.01203491,1.44712714
-5.96998499,3.07153606,0.89872439,0.50638537,0.00408741,0.40261811,1.26479792,0.61742899,0.01238438,1.45845267
-5.96398199,3.09401337,0.90195928,0.51440032,0.00427525,0.40204342,1.26400398,0.61814104,0.01272618,1.47221694
-5.95797899,3.12233589,0.90713375,0.52252728,0.00446199,0.40240703,1.26647438,0.62050077,0.01305708,1.48869846
-5.95197599,3.15705868,0.91441261,0.53079329,0.00464511,0.40387566,1.27259078,0.62469347,0.01337436,1.50808117
-5.94597299,3.19855642,0.92388628,0.53921623,0.00482209,0.40660217,1.28266705,0.63085937,0.01367589,1.53044487
-5.93996998,3.24700636,0.93556571,0.54780428,0.00499048,0.41072109,1.29693516,0.63908901,0.01396021,1.55575911
-5.93396698,3.30237696,0.94938016,0.55655556,0.00514795,0.41634430,1.31553252,0.64942001,0.01422653,1.58388077
-5.92796398,3.36442251,0.96517767,0.56545783,0.00529231,0.42355709,1.33849137,0.66183541,0.01447469,1.61455531
-5.92196098,3.43268405,0.98272846,0.57448845,0.00542161,0.43241459,1.36573064,0.67626350,0.01470510,1.64742186
-5.91595798,3.50649662,1.00173120,0.58361436,0.00553412,0.44293869,1.39705075,0.69257928,0.01491865,1.68202186
-5.90995498,3.58500277,1.02182183,0.59279227,0.00562842,0.45511578,1.43213187,0.71060743,0.01511655,1.71781117
-5.90395198,3.66717214,1.04258489,0.60196898,0.00570338,0.46889521,1.47053583,0.73012664,0.01530017,1.75417509
-5.89794897,3.75182667,1.06356686,0.61108190,0.00575820,0.48418878,1.51171215,0.75087545,0.01547090,1.79044602
-5.89194597,3.83767095,1.08429116,0.62005984,0.00579241,0.50087124,1.55500811,0.77255908,0.01562991,1.82592316
-5.88594297,3.92332683,1.10427429,0.62882402,0.00580586,0.51878199,1.59968294,0.79485744,0.01577805,1.85989355
-5.87993997,4.00737150,1.12304254,0.63728943,0.00579874,0.53772795,1.64492574,0.81743376,0.01591568,1.89165389
-5.87393697,4.08837784,1.14014868,0.64536650,0.00577153,0.55748756,1.68987688,0.83994389,0.01604255,1.92053234
-5.86793397,4.16495598,1.15518805,0.65296306,0.00572498,0.57781596,1.73365216,0.86204578,0.01615774,1.94590961
-5.86193097,4.23579448,1.16781342,0.65998664,0.00566010,0.59845109,1.77536884,0.88340892,0.01625965,1.96723862
-5.85592796,4.29970012,1.17774795,0.66634698,0.00557812,0.61912072,1.81417290,0.90372355,0.01634599,1.98406200
-5.84992496,4.35563453,1.18479600,0.67195872,0.00548043,0.63954994,1.84926617,0.92270913,0.01641392,1.99602687
-5.84392196,4.40274654,1.18885095,0.67674418,0.00536859,0.65946913,1.87993245,0.94012198,0.01646012,2.00289640
-5.83791896,4.44039898,1.18990007,0.68063600,0.00524425,0.67862190,1.90556143,0.95576173,0.01648096,2.00455750
-5.83191596,4.46818876,1.18802588,0.68357975,0.00510913,0.69677279,1.92566946,0.96947634,0.01647273,2.00102474
-5.82591296,4.48595932,1.18340412,0.68553607,0.00496499,0.71371437,1.93991607,0.98116556,0.01643183,1.99243987
-5.81990995,4.49380504,1.17629819,0.68648248,0.00481359,0.72927346,1.94811564,0.99078265,0.01635501,1.97906735
-5.81390695,4.49206699,1.16705027,0.68641455,0.00465667,0.74331622,1.95024352,0.99833430,0.01623958,1.96128570
-5.80790395,4.48132030,1.15606939,0.68534646,0.00449591,0.75575181,1.94643629,1.00387875,0.01608360,1.93957523
-5.80190095,4.46235325,1.14381693,0.68331084,0.00433294,0.76653442,1.93698605,1.00752213,0.01588608,1.91450230
-5.79589795,4.43613901,1.13078987,0.68035782,0.00416929,0.77566377,1.92232904,1.00941324,0.01564712,1.88670095
-5.78989495,4.40380073,1.11750269,0.67655341,0.00400640,0.78318373,1.90302879,1.00973684,0.01536796,1.85685232
-5.78389195,4.36657159,1.10446837,0.67197715,0.00384561,0.78917933,1.87975479,1.00870578,0.01505107,1.82566272
-5.77788894,4.32575114,1.09217935,0.66671919,0.00368813,0.79377230,1.85325727,1.00655230,0.01470009,1.79384121
-5.77188594,4.28265964,1.08108922,0.66087695,0.00353504,0.79711514,1.82433951,1.00351879,0.01431980,1.76207729
-5.76588294,4.23859243,1.07159582,0.65455148,0.00338731,0.79938424,1.79382855,0.99984842,0.01391598,1.73101988
-5.75987994,4.19477601,1.06402651,0.64784372,0.00324578,0.80077218,1.76254587,0.99577598,0.01349526,1.70125800
-5.75387694,4.15232772,1.05862628,0.64085083,0.00311113,0.80147970,1.73127913,0.99151940,0.01306491,1.67330419
-5.74787394,4.11222085,1.05554922,0.63366291,0.00298393,0.80170769,1.70075625,0.98727225,0.01263265,1.64758111
-5.74187094,4.07525644,1.05485366,0.62636009,0.00286461,0.80164954,1.67162302,0.98319754,0.01220634,1.62441188
-5.73586793,4.04204319,1.05650146,0.61901037,0.00275344,0.80148430,1.64442505,0.97942309,0.01179381,1.60401458
-5.72986493,4.01298623,1.06036124,0.61166813,0.00265059,0.80137088,1.61959484,0.97603872,0.01140254,1.58650095
-5.72386193,3.98828519,1.06621575,0.60437359,0.00255606,0.80144367,1.59744454,0.97309532,0.01103945,1.57187948
-5.71785893,3.96794162,1.07377286,0.59715311,0.00246977,0.80180962,1.57816432,0.97060577,0.01071069,1.56006254
-5.71185593,3.95177531,1.08267985,0.59002041,0.00239149,0.80254704,1.56182654,0.96854786,0.01042143,1.55087740
-5.70585293,3.93944859,1.09254028,0.58297860,0.00232091,0.80370595,1.54839513,0.96686870,0.01017570,1.54408040
-5.69984992,3.93049749,1.10293276,0.57602287,0.00225762,0.80531008,1.53773957,0.96549080,0.00997629,1.53937376
-5.69384692,3.92436796,1.11343071,0.56914386,0.00220117,0.80736020,1.52965265,0.96431906,0.00982464,1.53642425
-5.68784392,3.92045543,1.12362220,0.56233126,0.00215103,0.80983854,1.52387083,0.96324869,0.00972084,1.53488268
-5.68184092,3.91814565,1.13312891,0.55557764,0.00210668,0.81271409,1.52009620,0.96217331,0.00966362,1.53440362
-5.67583792,3.91685469,1.14162333,0.54888228,0.00206759,0.81594827,1.51801855,0.96099307,0.00965040,1.53466406
-5.66983492,3.91606608,1.14884344,0.54225460,0.00203324,0.81950070,1.51733661,0.95962213,0.00967742,1.53538055
-5.66383192,3.91536329,1.15460399,0.53571722,0.00200318,0.82333459,1.51777710,0.95799526,0.00973980,1.53632373
-5.65782891,3.91445590,1.15880414,0.52930831,0.00197701,0.82742154,1.51911074,0.95607316,0.00983180,1.53732985
-5.65182591,3.91319817,1.16143088,0.52308320,0.00195443,0.83174525,1.52116434,0.95384618,0.00994691,1.53830867
-5.64582291,3.91159924,1.16255829,0.51711505,0.00193521,0.83630412,1.52382856,0.95133638,0.01007817,1.53924753
-5.63981991,3.90982459,1.16234267,0.51149456,0.00191924,0.84111237,1.52706082,0.94859769,0.01021828,1.54021142
-5.63381691,3.90818874,1.16101388,0.50632880,0.00190650,0.84619976,1.53088360,0.94571425,0.01035992,1.54133927
-5.62781391,3.90713985,1.15886343,0.50173905,0.00189708,0.85160990,1.53537828,0.94279704,0.01049594,1.54283656
-5.62181091,3.90723700,1.15622998,0.49785790,0.00189114,0.85739718,1.54067495,0.93997901,0.01061956,1.54496491
-5.61580790,3.90912163,1.15348301,0.49482556,0.00188896,0.86362259,1.54693908,0.93740890,0.01072457,1.54802905
-5.60980490,3.91348446,1.15100551,0.49278573,0.00189082,0.87034860,1.55435573,0.93524417,0.01080552,1.55236200
-5.60380190,3.92102975,1.14917668,0.49188104,0.00189708,0.87763354,1.56311240,0.93364334,0.01085781,1.55830906
-5.59779890,3.93243869,1.14835524,0.49224842,0.00190810,0.88552554,1.57338144,0.93275813,0.01087782,1.56621150
-5.59179590,3.94833348,1.14886434,0.49401436,0.00192425,0.89405667,1.58530309,0.93272581,0.01086295,1.57639063
-5.58579290,3.96924403,1.15097859,0.49729056,0.00194585,0.90323735,1.59896999,0.93366210,0.01081164,1.58913292
-5.57978989,3.99557839,1.15491363,0.50216990,0.00197318,0.91305150,1.61441402,0.93565487,0.01072333,1.60467674
-5.57378689,4.02759837,1.16081875,0.50872297,0.00200646,0.92345254,1.63159603,0.93875900,0.01059843,1.62320132
-5.56778389,4.06540100,1.16877248,0.51699531,0.00204583,0.93436058,1.65039900,0.94299246,0.01043819,1.64481809
-5.56178089,4.10890657,1.17878123,0.52700537,0.00209132,0.94566081,1.67062485,0.94833387,0.01024463,1.66956473
-5.55577789,4.15785335,1.19078079,0.53874344,0.00214288,0.95720334,1.69199487,0.95472147,0.01002034,1.69740200
-5.54977489,4.21179894,1.20464033,0.55217119,0.00220034,0.96880429,1.71415384,0.96205357,0.00976839,1.72821318
-5.54377189,4.27012790,1.22016852,0.56722228,0.00226345,0.98024835,1.73667732,0.97019033,0.00949216,1.76180611
-5.53776888,4.33206511,1.23712122,0.58380358,0.00233183,0.99129250,1.75908186,0.97895683,0.00919520,1.79791739
-5.53176588,4.39669396,1.25521030,0.60179708,0.00240502,1.00167090,1.78083753,0.98814723,0.00888108,1.83621853
-5.52576288,4.46297860,1.27411305,0.62106247,0.00248247,1.01110073,1.80138212,0.99752974,0.00855329,1.87632360
-5.51975988,4.52978915,1.29348168,0.64144007,0.00256355,1.01928883,1.82013649,1.00685241,0.00821519,1.91779806
-5.51375688,4.59592899,1.31295263,0.66275408,0.00264755,1.02593884,1.83652036,1.01584931,0.00786986,1.96016822
-5.50775388,4.66016304,1.33215514,0.68481604,0.00273368,1.03075873,1.84996805,1.02424700,0.00752012,2.00293121
-5.50175088,4.72124622,1.35071919,0.70742825,0.00282109,1.03346844,1.85994348,1.03177107,0.00716850,2.04556488
-5.49574787,4.77795122,1.36828233,0.73038717,0.00290888,1.03380736,1.86595418,1.03815267,0.00681725,2.08753760
-5.48974487,4.82909495,1.38449570,0.75348659,0.00299607,1.03154154,1.86756375,1.04313460,0.00646835,2.12831757
-5.48374187,4.87356310,1.39902899,0.77652048,0.00308164,1.02647036,1.86440263,1.04647725,0.00612358,2.16738169
-5.47773887,4.91033229,1.41157466,0.79928560,0.00316451,1.01843245,1.85617687,1.04796379,0.00578455,2.20422375
-5.47173587,4.93848964,1.42185154,0.82158366,0.00324355,1.00731074,1.84267496,1.04740499,0.00545275,2.23836200
-5.46573287,4.95724941,1.42960784,0.84322320,0.00331759,0.99303653,1.82377240,1.04464318,0.00512965,2.26934610
-5.45972986,4.96596669,1.43462392,0.86402107,0.00338543,0.97559230,1.79943437,1.03955565,0.00481675,2.29676354
-5.45372686,4.96414804,1.43671483,0.88380367,0.00344585,0.95501340,1.76971631,1.03205718,0.00451558,2.32024538
-5.44772386,4.95145910,1.43573276,0.90240794,0.00349760,0.93138833,1.73476255,1.02210181,0.00422783,2.33947158
-5.44172086,4.92772920,1.43156942,0.91968220,0.00353949,0.90485779,1.69480326,1.00968383,0.00395531,2.35417581
-5.43571786,4.89295297,1.42415839,0.93548688,0.00357034,0.87561235,1.65014966,0.99483792,0.00370002,2.36414962
-5.42971486,4.84728916,1.41347727,0.94969531,0.00358907,0.84388890,1.60118776,0.97763850,0.00346412,2.36924621
-5.42371186,4.79105660,1.39954956,0.96219441,0.00359470,0.80996590,1.54837077,0.95819828,0.00324998,2.36938334
-5.41770885,4.72472744,1.38244604,0.97288564,0.00358638,0.77415764,1.49221027,0.93666600,0.00306009,2.36454557
-5.41170585,4.64891776,1.36228556,0.98168590,0.00356346,0.73680753,1.43326637,0.91322353,0.00289711,2.35478552
-5.40570285,4.56437568,1.33923483,0.98852865,0.00352546,0.69828079,1.37213700,0.88808216,0.00276376,2.34022401
-5.39969985,4.47196713,1.31350729,0.99336503,0.00347218,0.65895661,1.30944657,0.86147842,0.00266283,2.32104902
-5.39369685,4.37265931,1.28536061,0.99616507,0.00340366,0.61921999,1.24583405,0.83366921,0.00259704,2.29751313
-5.38769385,4.26750228,1.25509292,0.99691886,0.00332020,0.57945373,1.18194088,0.80492666,0.00256905,2.26992965
-5.38169085,4.15760879,1.22303766,0.99563756,0.00322241,0.54003043,1.11839880,0.77553251,0.00258133,2.23866700
-5.37568784,4.04413267,1.18955701,0.99235424,0.00311113,0.50130510,1.05581786,0.74577241,0.00263605,2.20414166
-5.36968484,3.92824622,1.15503415,0.98712433,0.00298752,0.46360829,0.99477494,0.71593008,0.00273504,2.16680956
-5.36368184,3.81111706,1.11986436,0.98002567,0.00285292,0.42724015,0.93580291,0.68628157,0.00287964,2.12715611
-5.35767884,3.69388468,1.08444542,0.97115805,0.00270891,0.39246537,0.87938082,0.65708967,0.00307060,2.08568500
-5.35167584,3.57763754,1.04916740,0.96064205,0.00255723,0.35950925,0.82592523,0.62859875,0.00330800,2.04290621
-5.34567284,3.46339095,1.01440241,0.94861730,0.00239972,0.32855492,0.77578300,0.60102998,0.00359113,1.99932330
-5.33966983,3.35206642,0.98049461,0.93523996,0.00223831,0.29974174,0.72922573,0.57457722,0.00391841,1.95542060
-5.33366683,3.24447306,0.94775078,0.92067961,0.00207493,0.27316484,0.68644587,0.54940350,0.00428731,1.91165057
-5.32766383,3.14129140,0.91643205,0.90511536,0.00191149,0.24887580,0.64755488,0.52563844,0.00469431,1.86842182
-5.32166083,3.04306038,0.88674694,0.88873162,0.00174979,0.22688439,0.61258322,0.50337633,0.00513487,1.82608826
-5.31565783,2.95016763,0.85884612,0.87171323,0.00159153,0.20716119,0.58148235,0.48267527,0.00560344,1.78493975
-5.30965483,2.86284371,0.83281909,0.85424059,0.00143823,0.18964108,0.55412873,0.46355716,0.00609348,1.74519465
-5.30365183,2.78116041,0.80869293,0.83648455,0.00129122,0.17422728,0.53032957,0.44600856,0.00659756,1.70699472
-5.29764882,2.70503330,0.78643319,0.81860162,0.00115161,0.16079597,0.50983028,0.42998251,0.00710749,1.67040237
-5.29164582,2.63422866,0.76594696,0.80072946,0.00102031,0.14920126,0.49232344,0.41540115,0.00761444,1.63540084
-5.28564282,2.56837460,0.74708788,0.78298310,0.00089796,0.13928023,0.47745890,0.40215908,0.00810917,1.60189691
-5.27963982,2.50697614,0.72966303,0.76545190,0.00078500,0.13085812,0.46485491,0.39012737,0.00858222,1.56972651
-5.27363682,2.44943394,0.71344139,0.74819747,0.00068165,0.12375337,0.45410972,0.37915813,0.00902419,1.53866287
-5.26763382,2.39506606,0.69816345,0.73125282,0.00058792,0.11778242,0.44481356,0.36908944,0.00942598,1.50842690
-5.26163082,2.34313216,0.68355174,0.71462253,0.00050368,0.11276414,0.43656034,0.35975050,0.00977906,1.47869964
-5.25562781,2.29285927,0.66932172,0.69828427,0.00042860,0.10852395,0.42895904,0.35096692,0.01007572,1.44913612
