energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.32424854,1.20464936,0.36825663,0.02110243,0.51541918,1.98304836,1.00434754,0.01825921,1.27557423
-5.99399700,3.34950072,1.23930494,0.36942398,0.02116164,0.51638228,2.00194990,1.00808271,0.01726633,1.29166124
-5.98799400,3.37867798,1.27478281,0.37014306,0.02112507,0.51843162,2.02510705,1.01351686,0.01633618,1.30850143
-5.98199100,3.41171460,1.31090989,0.37046277,0.02099339,0.52153058,2.05242655,1.02060094,0.01547457,1.32609904
-5.97598799,3.44832936,1.34744702,0.37042273,0.02076881,0.52560612,2.08366840,1.02920948,0.01468514,1.34438523
-5.96998499,3.48802059,1.38408729,0.37005093,0.02045502,0.53054956,2.11844271,1.03914100,0.01396935,1.36321383
-5.96398199,3.53006843,1.42045672,0.36936210,0.02005706,0.53621835,2.15621039,1.05012104,0.01332677,1.38235971
-5.95797899,3.57354475,1.45611762,0.36835676,0.01958118,0.54243872,2.19628824,1.06180770,0.01275518,1.40152032
-5.95197599,3.61733113,1.49057471,0.36702117,0.01903466,0.54900945,2.23785884,1.07379972,0.01225083,1.42032037
-5.94597299,3.66014461,1.52328403,0.36532801,0.01842559,0.55570645,2.27998528,1.08564701,0.01180871,1.43831979
-5.93996998,3.70057095,1.55366447,0.36323794,0.01776267,0.56228826,2.32163084,1.09686321,0.01142274,1.45502477
-5.93396698,3.73710429,1.58111185,0.36070186,0.01705492,0.56850232,2.36168318,1.10694014,0.01108607,1.46990166
-5.92796398,3.76819235,1.60501489,0.35766384,0.01631152,0.57409179,2.39898259,1.11536350,0.01079133,1.48239326
-5.92196098,3.79228528,1.62477279,0.35406440,0.01554152,0.57880283,2.43235355,1.12162930,0.01053085,1.49193686
-5.91595798,3.80788664,1.63981361,0.34984425,0.01475369,0.58239204,2.46063852,1.12526050,0.01029686,1.49798345
-5.90995498,3.81360447,1.64961288,0.34494795,0.01395632,0.58463380,2.48273277,1.12582317,0.01008177,1.50001724
-5.90395198,3.80820043,1.65371160,0.33932760,0.01315708,0.58532738,2.49761910,1.12294142,0.00987831,1.49757476
-5.89794897,3.79063488,1.65173297,0.33294619,0.01236292,0.58430336,2.50440088,1.11631077,0.00967972,1.49026261
-5.89194597,3.76010630,1.64339699,0.32578047,0.01157998,0.58142931,2.50233220,1.10570913,0.00947991,1.47777326
-5.88594297,3.71608308,1.62853248,0.31782334,0.01081356,0.57661438,2.49084387,1.09100518,0.00927354,1.45989809
-5.87993997,3.65832661,1.60708575,0.30908538,0.01006812,0.56981266,2.46956400,1.07216366,0.00905619,1.43653716
-5.87393697,3.58690468,1.57912578,0.29959575,0.00934729,0.56102522,2.43833261,1.04924750,0.00882435,1.40770529
-5.86793397,3.50219459,1.54484540,0.28940232,0.00865392,0.55030067,2.39720927,1.02241676,0.00857553,1.37353430
-5.86193097,3.40487624,1.50455863,0.27857096,0.00799020,0.53773434,2.34647381,0.99192439,0.00830826,1.33427119
-5.85592796,3.29591538,1.45869412,0.26718423,0.00735766,0.52346603,2.28661996,0.95810916,0.00802204,1.29027258
-5.84992496,3.17653811,1.40778512,0.25533950,0.00675731,0.50767647,2.21834221,0.92138606,0.00771735,1.24199556
-5.84392196,3.04819786,1.35245635,0.24314654,0.00618977,0.49058274,2.14251682,0.88223473,0.00739556,1.18998561
-5.83791896,2.91253647,1.29340834,0.23072488,0.00565526,0.47243270,2.06017756,0.84118637,0.00705886,1.13486192
-5.83191596,2.77134102,1.23140001,0.21820100,0.00515382,0.45349882,1.97248755,0.79880977,0.00671017,1.07730109
-5.82591296,2.62649859,1.16723012,0.20570548,0.00468525,0.43407151,1.88070830,0.75569705,0.00635300,1.01801972
-5.81990995,2.47995056,1.10171844,0.19337031,0.00424929,0.41445244,1.78616746,0.71244964,0.00599135,0.95775684
-5.81390695,2.33364839,1.03568743,0.18132647,0.00384562,0.39494772,1.69022635,0.66966504,0.00562960,0.89725669
-5.80790395,2.18951247,0.96994499,0.16970185,0.00347390,0.37586158,1.59424875,0.62792476,0.00527238,0.83725275
