energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.77257028,0.02177505,0.75597288,0.29379160,1.36818499,0.00000000,1.43848378,1.15698551
-5.99399700,3.69757415,0.02262669,0.74368300,0.27988304,1.33858964,0.00000000,1.40737443,1.14683888
-5.98799400,3.62831612,0.02359391,0.73173524,0.26735467,1.31248689,0.00000000,1.37625471,1.13852840
-5.98199100,3.56542732,0.02467896,0.72014203,0.25634509,1.29028662,0.00000000,1.34533348,1.13206503
-5.97598799,3.50947979,0.02588370,0.70890318,0.24697301,1.27237863,0.00000000,1.31484636,1.12742183
-5.96998499,3.46099462,0.02720939,0.69800980,0.23933690,1.25913178,0.00000000,1.28505934,1.12453959
-5.96398199,3.42044745,0.02865644,0.68744827,0.23351465,1.25089118,0.00000000,1.25627002,1.12333315
-5.95797899,3.38827078,0.03022415,0.67720413,0.22956322,1.24797329,0.00000000,1.22880598,1.12369782
-5.95197599,3.36485249,0.03191052,0.66726569,0.22751821,1.25065900,0.00000000,1.20302059,1.12551585
-5.94597299,3.35053091,0.03371200,0.65762721,0.22739342,1.25918506,0.00000000,1.17928635,1.12866238
-5.93996998,3.34558698,0.03562327,0.64829143,0.22918027,1.27373447,0.00000000,1.15798620,1.13301100
-5.93396698,3.35023417,0.03763716,0.63927156,0.23284737,1.29442650,0.00000000,1.13950336,1.13843843
-5.92796398,3.36460757,0.03974446,0.63059255,0.23834022,1.32130718,0.00000000,1.12421033,1.14482844
-5.92196098,3.38875317,0.04193392,0.62229159,0.24558128,1.35434110,0.00000000,1.11245772,1.15207493
-5.91595798,3.42261858,0.04419224,0.61441804,0.25447035,1.39340545,0.00000000,1.10456357,1.16008406
-5.90995498,3.46604641,0.04650418,0.60703258,0.26488565,1.43828676,0.00000000,1.10080372,1.16877555
-5.90395198,3.51877103,0.04885272,0.60020585,0.27668544,1.48868104,0.00000000,1.10140373,1.17808315
-5.89794897,3.58041944,0.05121926,0.59401653,0.28971031,1.54419758,0.00000000,1.10653259,1.18795442
-5.89194597,3.65051639,0.05358401,0.58854890,0.30378618,1.60436632,0.00000000,1.11629857,1.19834976
-5.88594297,3.72849374,0.05592627,0.58389013,0.31872780,1.66864865,0.00000000,1.13074709,1.20924099
-5.87993997,3.81370357,0.05822491,0.58012731,0.33434278,1.73645124,0.00000000,1.14986059,1.22060950
-5.87393697,3.90543434,0.06045880,0.57734433,0.35043580,1.80714199,0.00000000,1.17356016,1.23244407
-5.86793397,4.00292911,0.06260727,0.57561880,0.36681302,1.88006748,0.00000000,1.20170860,1.24473861
-5.86193097,4.10540481,0.06465060,0.57501912,0.38328626,1.95457084,0.00000000,1.23411455,1.25748979
-5.85592796,4.21207130,0.06657046,0.57560177,0.39967678,2.03000921,0.00000000,1.27053738,1.27069484
-5.84992496,4.32214925,0.06835031,0.57740900,0.41581856,2.10576965,0.00000000,1.31069235,1.28434951
-5.84392196,4.43488576,0.06997581,0.58046698,0.43156084,2.18128304,0.00000000,1.35425579,1.29844631
-5.83791896,4.54956699,0.07143508,0.58478446,0.44676968,2.25603504,0.00000000,1.40087012,1.31297306
-5.83191596,4.66552729,0.07271897,0.59035195,0.46132881,2.32957394,0.00000000,1.45014837,1.32791171
-5.82591296,4.78215456,0.07382119,0.59714142,0.47513940,2.40151518,0.00000000,1.50167832,1.34323755
-5.81990995,4.89889185,0.07473844,0.60510653,0.48811919,2.47154253,0.00000000,1.55502614,1.35891856
-5.81390695,5.01523558,0.07547037,0.61418326,0.50020088,2.53940636,0.00000000,1.60973971,1.37491496
-5.80790395,5.13073085,0.07601958,0.62429085,0.51133010,2.60491947,0.00000000,1.66535166,1.39117887
-5.80190095,5.24496446,0.07639145,0.63533298,0.52146316,2.66795094,0.00000000,1.72138249,1.40765395
-5.79589795,5.35755668,0.07659403,0.64719912,0.53056480,2.72841877,0.00000000,1.77734375,1.42427494
-5.78989495,5.46815218,0.07663775,0.65976590,0.53860625,2.78628200,0.00000000,1.83274171,1.44096724
-5.78389195,5.57641137,0.07653523,0.67289850,0.54556366,2.84153266,0.00000000,1.88708143,1.45764622
-5.77788894,5.68200237,0.07630094,0.68645204,0.55141719,2.89418827,0.00000000,1.93987148,1.47421671
-5.77188594,5.78459442,0.07595089,0.70027292,0.55615072,2.94428500,0.00000000,1.99062931,1.49057244
-5.76588294,5.88385296,0.07550225,0.71420024,0.55975235,2.99187169,0.00000000,2.03888715,1.50659574
-5.75987994,5.97943654,0.07497300,0.72806733,0.56221542,3.03700466,0.00000000,2.08419848,1.52215770
-5.75387694,6.07099547,0.07438144,0.74170349,0.56354011,3.07974319,0.00000000,2.12614464,1.53711880
-5.74787394,6.15817226,0.07374579,0.75493604,0.56373536,3.12014530,0.00000000,2.16434172,1.55133052
-5.74187094,6.24060326,0.07308367,0.76759284,0.56282086,3.15826364,0.00000000,2.19844707,1.56463770
-5.73586793,6.31792154,0.07241161,0.77950523,0.56082898,3.19414121,0.00000000,2.22816553,1.57688212
-5.72986493,6.38976044,0.07174455,0.79051159,0.55780623,3.22780650,0.00000000,2.25325486,1.58790715
-5.72386193,6.45575764,0.07109528,0.80046134,0.55381420,3.25926834,0.00000000,2.27353038,1.59756345
-5.71785893,6.51555950,0.07047397,0.80921938,0.54892983,3.28851016,0.00000000,2.28886838,1.60571562
-5.71185593,6.56882575,0.06988772,0.81667084,0.54324467,3.31548427,0.00000000,2.29920844,1.61224960
-5.70585293,6.61523421,0.06934016,0.82272591,0.53686346,3.34010623,0.00000000,2.30455437,1.61708036
-5.69984992,6.65448595,0.06883118,0.82732444,0.52990168,3.36225026,0.00000000,2.30497388,1.62015959
-5.69384692,6.68631080,0.06835676,0.83044015,0.52248253,3.38174586,0.00000000,2.30059693,1.62148278
-5.68784392,6.71047336,0.06790891,0.83208392,0.51473316,3.39837676,0.00000000,2.29161292,1.62109533
-5.68184092,6.72677969,0.06747587,0.83230614,0.50678071,3.41188231,0.00000000,2.27826664,1.61909691
-5.67583792,6.73508446,0.06704236,0.83119750,0.49874801,3.42196215,0.00000000,2.26085331,1.61564393
-5.66983492,6.73529857,0.06659009,0.82888829,0.49074953,3.42828406,0.00000000,2.23971268,1.61094930
-5.66383192,6.72739690,0.06609839,0.82554590,0.48288757,3.43049525,0.00000000,2.21522226,1.60527951
-5.65782891,6.71142569,0.06554499,0.82137051,0.47524894,3.42823663,0.00000000,2.18779006,1.59894865
-5.65182591,6.68750898,0.06490693,0.81658894,0.46790239,3.42115950,0.00000000,2.15784657,1.59230940
-5.64582291,6.65585360,0.06416151,0.81144702,0.46089675,3.40894398,0.00000000,2.12583645,1.58574118
-5.63981991,6.61675171,0.06328730,0.80620050,0.45425995,3.39131796,0.00000000,2.09220977,1.57963580
-5.63381691,6.57058057,0.06226510,0.80110499,0.44799881,3.36807561,0.00000000,2.05741316,1.57438108
-5.62781391,6.51779876,0.06107889,0.79640544,0.44209969,3.33909408,0.00000000,2.02188081,1.57034317
-5.62181091,6.45893857,0.05971655,0.79232550,0.43652978,3.30434736,0.00000000,1.98602563,1.56784833
-5.61580790,6.39459444,0.05817056,0.78905732,0.43123901,3.26391624,0.00000000,1.95023080,1.56716499
-5.60980490,6.32540757,0.05643842,0.78675247,0.42616241,3.21799358,0.00000000,1.91484171,1.56848720
-5.60380190,6.25204721,0.05452284,0.78551415,0.42122280,3.16688437,0.00000000,1.88015887,1.57192014
-5.59779890,6.17518923,0.05243183,0.78539145,0.41633368,3.11100048,0.00000000,1.84643178,1.57746867
-5.59179590,6.09549309,0.05017838,0.78637571,0.41140216,3.05085006,0.00000000,1.81385412,1.58502963
-5.58579290,6.01357836,0.04778014,0.78839929,0.40633199,2.98702236,0.00000000,1.78256046,1.59438841
-5.57978989,5.93000199,0.04525873,0.79133695,0.40102640,2.92016856,0.00000000,1.75262477,1.60522020
-5.57378689,5.84523772,0.04263903,0.79500952,0.39539085,2.85097968,0.00000000,1.72406073,1.61709597
-5.56778389,5.75965886,0.03994833,0.79919003,0.38933563,2.78016286,0.00000000,1.69682398,1.62949318
-5.56178089,5.67352555,0.03721538,0.80361178,0.38277824,2.70841716,0.00000000,1.67081634,1.64181087
-5.55577789,5.58697726,0.03446946,0.80797799,0.37564556,2.63641024,0.00000000,1.64589184,1.65338840
-5.54977489,5.50003115,0.03173949,0.81197275,0.36787581,2.56475714,0.00000000,1.62186436,1.66352736
-5.54377189,5.41258654,0.02905318,0.81527258,0.35942029,2.49400212,0.00000000,1.59851669,1.67151544
-5.53776888,5.32443524,0.02643627,0.81755816,0.35024480,2.42460439,0.00000000,1.57561063,1.67665148
