energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,2.36145952,0.02430874,0.44823112,0.96178905,0.00000000,0.56776080,0.31049495,2.02198264,0.59741730
-5.99399700,2.38043608,0.02569979,0.45009038,0.96756062,0.00000000,0.56935827,0.32267849,2.03260319,0.59922461
-5.98799400,2.39129189,0.02710442,0.44989755,0.97037802,0.00000000,0.56924134,0.33445882,2.03352200,0.59872088
-5.98199100,2.39476533,0.02851398,0.44778940,0.97060012,0.00000000,0.56766666,0.34581315,2.02521262,0.59613606
-5.97598799,2.39175274,0.02991864,0.44394737,0.96864038,0.00000000,0.56492324,0.35672328,2.00834639,0.59174853
-5.96998499,2.38327622,0.03130763,0.43859135,0.96495346,0.00000000,0.56132349,0.36717450,1.98376798,0.58587554
-5.96398199,2.37044818,0.03266943,0.43197215,0.96002122,0.00000000,0.55719394,0.37715462,1.95246535,0.57886250
-5.95797899,2.35443414,0.03399212,0.42436302,0.95433839,0.00000000,0.55286575,0.38665321,1.91553556,0.57107145
-5.95197599,2.33641537,0.03526374,0.41605059,0.94839872,0.00000000,0.54866550,0.39566108,1.87414785,0.56286938
-5.94597299,2.31755237,0.03647265,0.40732543,0.94268165,0.00000000,0.54490640,0.40416995,1.82950538,0.55461653
-5.93996998,2.29895086,0.03760801,0.39847284,0.93764015,0.00000000,0.54188024,0.41217249,1.78280728,0.54665538
-5.93396698,2.28163101,0.03866011,0.38976393,0.93368985,0.00000000,0.53985015,0.41966251,1.73521252,0.53930052
-5.92796398,2.26650094,0.03962076,0.38144760,0.93119963,0.00000000,0.53904433,0.42663534,1.68780687,0.53282983
-5.92196098,2.25433506,0.04048358,0.37374354,0.93048381,0.00000000,0.53965085,0.43308830,1.64157415,0.52747711
-5.91595798,2.24575758,0.04124416,0.36683642,0.93179596,0.00000000,0.54181350,0.43902116,1.59737277,0.52342650
-5.90995498,2.24123137,0.04190024,0.36087170,0.93532431,0.00000000,0.54562873,0.44443650,1.55591810,0.52080867
-5.90395198,2.24105207,0.04245161,0.35595277,0.94118862,0.00000000,0.55114360,0.44933988,1.51777107,0.51969883
-5.89794897,2.24534720,0.04290003,0.35213989,0.94943860,0.00000000,0.55835480,0.45373975,1.48333309,0.52011655
-5.89194597,2.25407998,0.04324895,0.34945045,0.96005368,0.00000000,0.56720869,0.45764708,1.45284707,0.52202728
-5.88594297,2.26705717,0.04350321,0.34786085,0.97294406,0.00000000,0.57760231,0.46107466,1.42640403,0.52534539
-5.87993997,2.28394079,0.04366855,0.34730960,0.98795317,0.00000000,0.58938543,0.46403608,1.40395478,0.52993857
-5.87393697,2.30426271,0.04375120,0.34770155,1.00486127,0.00000000,0.60236358,0.46654459,1.38532562,0.53563340
-5.86793397,2.32744208,0.04375734,0.34891301,1.02339049,0.00000000,0.61630213,0.46861168,1.37023737,0.54222181
-5.86193097,2.35280464,0.04369265,0.35079761,1.04321102,0.00000000,0.63093143,0.47024574,1.35832662,0.54946823
-5.85592796,2.37960374,0.04356186,0.35319248,1.06394865,0.00000000,0.64595299,0.47145078,1.34916811,0.55711722
-5.84992496,2.40704251,0.04336840,0.35592467,1.08519359,0.00000000,0.66104659,0.47222545,1.34229753,0.56490141
-5.84392196,2.43429667,0.04311413,0.35881752,1.10651044,0.00000000,0.67587844,0.47256236,1.33723354,0.57254934
-5.83791896,2.46053767,0.04279927,0.36169671,1.12744921,0.00000000,0.69011008,0.47244793,1.33349848,0.57979333
-5.83191596,2.48495560,0.04242235,0.36439592,1.14755722,0.00000000,0.70340790,0.47186279,1.33063693,0.58637690
-5.82591296,2.50678156,0.04198038,0.36676181,1.16639163,0.00000000,0.71545310,0.47078280,1.32823174,0.59206178
-5.81990995,2.52530882,0.04146914,0.36865829,1.18353212,0.00000000,0.72595173,0.46918063,1.32591705,0.59663430
-5.81390695,2.53991254,0.04088354,0.36996992,1.19859361,0.00000000,0.73464452,0.46702790,1.32338820,0.59991092
-5.80790395,2.55006737,0.04021811,0.37060448,1.21123826,0.00000000,0.74131610,0.46429783,1.32040832,0.60174304
-5.80190095,2.55536251,0.03946750,0.37049455,1.22118651,0.00000000,0.74580331,0.46096811,1.31681187,0.60202068
-5.79589795,2.55551386,0.03862708,0.36959829,1.22822671,0.00000000,0.74800209,0.45702404,1.31250511,0.60067522
-5.78989495,2.55037287,0.03769343,0.36789930,1.23222279,0.00000000,0.74787278,0.45246160,1.30746394,0.59768096
-5.78389195,2.53993171,0.03666486,0.36540578,1.23311973,0.00000000,0.74544347,0.44729032,1.30172935,0.59305563
-5.77788894,2.52432463,0.03554177,0.36214899,1.23094651,0.00000000,0.74081113,0.44153575,1.29540098,0.58685969
-5.77188594,2.50382547,0.03432699,0.35818114,1.22581640,0.00000000,0.73414049,0.43524140,1.28862920,0.57919460
-5.76588294,2.47884124,0.03302593,0.35357290,1.21792443,0.00000000,0.72566060,0.42846996,1.28160600,0.57020007
-5.75987994,2.44990212,0.03164661,0.34841059,1.20754218,0.00000000,0.71565911,0.42130371,1.27455534,0.56005031
-5.75387694,2.41764795,0.03019955,0.34279312,1.19501005,0.00000000,0.70447448,0.41384405,1.26772313,0.54894963
-5.74787394,2.38281184,0.02869753,0.33682896,1.18072720,0.00000000,0.69248636,0.40621012,1.26136717,0.53712718
-5.74187094,2.34620119,0.02715525,0.33063311,1.16513956,0.00000000,0.68010450,0.39853658,1.25574746,0.52483139
-5.73586793,2.30867688,0.02558886,0.32432413,1.14872634,0.00000000,0.66775651,0.39097057,1.25111690,0.51232400
-5.72986493,2.27113113,0.02401541,0.31802150,1.13198558,0.00000000,0.65587510,0.38366796,1.24771259,0.49987389
-5.72386193,2.23446471,0.02245232,0.31184308,1.11541909,0.00000000,0.64488504,0.37678907,1.24574792,0.48775111
-5.71785893,2.19956419,0.02091678,0.30590291,1.09951752,0.00000000,0.63519052,0.37049402,1.24540541,0.47622091
-5.71185593,2.16727993,0.01942518,0.30030936,1.08474588,0.00000000,0.62716327,0.36493785,1.24683039,0.46553832
-5.70585293,2.13840535,0.01799260,0.29516350,1.07153015,0.00000000,0.62113183,0.36026579,1.25012564,0.45594301
-5.69984992,2.11365818,0.01663237,0.29055784,1.06024538,0.00000000,0.61737243,0.35660858,1.25534709,0.44765497
-5.69384692,2.09366412,0.01535571,0.28657534,1.05120564,0.00000000,0.61610182,0.35407841,1.26250048,0.44087068
-5.68784392,2.07894356,0.01417146,0.28328876,1.04465622,0.00000000,0.61747205,0.35276535,1.27153938,0.43576017
