energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,9.31118163,0.00528423,2.11018678,0.01399941,0.00000000,6.18855912,5.87500367,0.06421867,1.08702138
-5.99399700,9.34105328,0.00546800,2.11595883,0.01395751,0.00000000,6.26233061,5.89553982,0.06492988,1.08632144
-5.98799400,9.35042193,0.00565491,2.11578546,0.01389657,0.00000000,6.32053281,5.90142025,0.06552948,1.08485935
-5.98199100,9.33870644,0.00584485,2.10947626,0.01381541,0.00000000,6.36265528,5.89216356,0.06601827,1.08267287
-5.97598799,9.30589570,0.00603816,2.09696647,0.01371431,0.00000000,6.38857803,5.86765540,0.06640251,1.07986807
-5.96998499,9.25252999,0.00623560,2.07831674,0.01359486,0.00000000,6.39855841,5.82814252,0.06669341,1.07661191
-5.96398199,9.17966385,0.00643825,2.05370880,0.01345989,0.00000000,6.39320667,5.77421425,0.06690637,1.07312279
-5.95797899,9.08881195,0.00664745,2.02343737,0.01331332,0.00000000,6.37345108,5.70677223,0.06706012,1.06965936
-5.95197599,8.98188002,0.00686465,1.98789866,0.01315997,0.00000000,6.34049396,5.62698993,0.06717568,1.06650785
-5.94597299,8.86108404,0.00709130,1.94757592,0.01300543,0.00000000,6.29576036,5.53626370,0.06727525,1.06396835
-5.93996998,8.72886107,0.00732870,1.90302285,0.01285577,0.00000000,6.24084171,5.43615782,0.06738114,1.06234070
-5.93396698,8.58777586,0.00757787,1.85484555,0.01271744,0.00000000,6.17743668,5.32834618,0.06751458,1.06191032
-5.92796398,8.44042765,0.00783942,1.80368378,0.01259703,0.00000000,6.10729204,5.21455345,0.06769471,1.06293482
-5.92196098,8.28936127,0.00811340,1.75019250,0.01250108,0.00000000,6.03214605,5.09649834,0.06793755,1.06563187
-5.91595798,8.13698677,0.00839922,1.69502423,0.01243596,0.00000000,5.95367697,4.97584176,0.06825524,1.07016897
-5.90995498,7.98551109,0.00869555,1.63881308,0.01240772,0.00000000,5.87345887,4.85414207,0.06865538,1.07665577
-5.90395198,7.83688465,0.00900028,1.58216097,0.01242199,0.00000000,5.79292669,4.73281915,0.06914069,1.08513923
-5.89794897,7.69276496,0.00931052,1.52562645,0.01248389,0.00000000,5.71335175,4.61312867,0.06970879,1.09560199
-5.89194597,7.55449816,0.00962260,1.46971625,0.01259800,0.00000000,5.63582860,4.49614704,0.07035238,1.10796424
-5.88594297,7.42311865,0.00993219,1.41487986,0.01276832,0.00000000,5.56127305,4.38276708,0.07105960,1.12208884
-5.87993997,7.29936555,0.01023436,1.36150691,0.01299826,0.00000000,5.49043097,4.27370372,0.07181461,1.13778970
-5.87393697,7.18371409,0.01052379,1.30992707,0.01329068,0.00000000,5.42389645,4.16950841,0.07259845,1.15484279
-5.86793397,7.07641898,0.01079489,1.26041231,0.01364790,0.00000000,5.36213762,4.07059059,0.07339003,1.17299943
-5.86193097,6.97756620,0.01104206,1.21318083,0.01407172,0.00000000,5.30552774,3.97724407,0.07416722,1.19200092
-5.85592796,6.88712932,0.01125991,1.16840238,0.01456346,0.00000000,5.25437914,3.88967598,0.07490805,1.21159382
-5.84992496,6.80502608,0.01144345,1.12620428,0.01512396,0.00000000,5.20897724,3.80803609,0.07559188,1.23154485
-5.84392196,6.73117132,0.01158834,1.08667764,0.01575364,0.00000000,5.16961195,3.73244393,0.07620043,1.25165465
-5.83791896,6.66552247,0.01169107,1.04988348,0.01645244,0.00000000,5.13660422,3.66301206,0.07671881,1.27176938
-5.83191596,6.60811455,0.01174917,1.01585808,0.01721982,0.00000000,5.11032541,3.59986357,0.07713624,1.29178954
-5.82591296,6.55908247,0.01176130,0.98461749,0.01805475,0.00000000,5.09120821,3.54314273,0.07744660,1.31167537
-5.81990995,6.51866900,0.01172738,0.95616089,0.01895562,0.00000000,5.07974805,3.49301824,0.07764868,1.33144844
-5.81390695,6.48721834,0.01164863,0.93047277,0.01992021,0.00000000,5.07649473,3.44967889,0.07774621,1.35118928
-5.80790395,6.46515569,0.01152755,0.90752392,0.02094561,0.00000000,5.08203473,3.41332216,0.07774752,1.37103116
-5.80190095,6.45295449,0.01136789,0.88727136,0.02202816,0.00000000,5.09696526,3.38413693,0.07766501,1.39115026
-5.79589795,6.45109374,0.01117454,0.86965748,0.02316343,0.00000000,5.12186161,3.36228137,0.07751435,1.41175293
-5.78989495,6.46000848,0.01095344,0.85460852,0.02434613,0.00000000,5.15723983,3.34785819,0.07731354,1.43306059
-5.78389195,6.48003689,0.01071135,0.84203291,0.02557014,0.00000000,5.20351722,3.34088890,0.07708180,1.45529325
-5.77788894,6.51136773,0.01045571,0.83181955,0.02682849,0.00000000,5.26097291,3.34128922,0.07683838,1.47865267
-5.77188594,6.55399181,0.01019444,0.82383647,0.02811343,0.00000000,5.32971126,3.34884758,0.07660147,1.50330591
-5.76588294,6.60766087,0.00993571,0.81793013,0.02941646,0.00000000,5.40963009,3.36320844,0.07638709,1.52937051
-5.75987994,6.67185669,0.00968773,0.81392549,0.03072848,0.00000000,5.50039604,3.38386187,0.07620813,1.55690187
-5.75387694,6.74577275,0.00945858,0.81162706,0.03203990,0.00000000,5.60142834,3.41014039,0.07607363,1.58588377
-5.74787394,6.82830978,0.00925600,0.81082093,0.03334075,0.00000000,5.71189224,3.44122378,0.07598822,1.61622233
-5.74187094,6.91808592,0.00908724,0.81127783,0.03462091,0.00000000,5.83070251,3.47615183,0.07595191,1.64774392
-5.73586793,7.01346112,0.00895888,0.81275707,0.03587023,0.00000000,5.95653704,3.51384471,0.07595998,1.68019691
-5.72986493,7.11257477,0.00887674,0.81501123,0.03707873,0.00000000,6.08785987,3.55313024,0.07600338,1.71325735
-5.72386193,7.21339473,0.00884572,0.81779137,0.03823672,0.00000000,6.22295277,3.59277679,0.07606913,1.74653797
-5.71785893,7.31377559,0.00886976,0.82085258,0.03933500,0.00000000,6.35995375,3.63153036,0.07614109,1.77960034
-5.71185593,7.41152312,0.00895171,0.82395957,0.04036490,0.00000000,6.49690100,3.66815417,0.07620086,1.81196923
-5.70585293,7.50446224,0.00909334,0.82689204,0.04131846,0.00000000,6.63178023,3.70146907,0.07622877,1.84314868
-5.69984992,7.59050526,0.00929521,0.82944956,0.04218842,0.00000000,6.76257357,3.73039285,0.07620494,1.87263894
-5.69384692,7.66771761,0.00955672,0.83145593,0.04296832,0.00000000,6.88730814,3.75397693,0.07611038,1.89995347
-5.68784392,7.73437841,0.00987606,0.83276260,0.04365248,0.00000000,7.00410242,3.77143882,0.07592794,1.92463542
-5.68184092,7.78903355,0.01025021,0.83325125,0.04423601,0.00000000,7.11120909,3.78218926,0.07564326,1.94627280
-5.67583792,7.83053965,0.01067501,0.83283537,0.04471481,0.00000000,7.20705298,3.78585292,0.07524550,1.96451194
-5.66983492,7.85809756,0.01114520,0.83146085,0.04508554,0.00000000,7.29026314,3.78228209,0.07472789,1.97906871
-5.66383192,7.87127456,0.01165446,0.82910562,0.04534560,0.00000000,7.35969867,3.77156314,0.07408806,1.98973731
-5.65782891,7.87001528,0.01219562,0.82577850,0.04549315,0.00000000,7.41446772,3.75401555,0.07332824,1.99639646
-5.65182591,7.85464137,0.01276071,0.82151715,0.04552712,0.00000000,7.45394002,3.73018393,0.07245507,1.99901282
-5.64582291,7.82584048,0.01334120,0.81638556,0.04544719,0.00000000,7.47775307,3.70082342,0.07147943,1.99764188
-5.63981991,7.78464569,0.01392821,0.81047098,0.04525386,0.00000000,7.48581245,3.66687926,0.07041589,1.99242635
-5.63381691,7.73240620,0.01451269,0.80388046,0.04494853,0.00000000,7.47828709,3.62946121,0.06928212,1.98359222
-5.62781391,7.67075070,0.01508573,0.79673729,0.04453349,0.00000000,7.45560001,3.58981377,0.06809820,1.97144282
-5.62181091,7.60154465,0.01563879,0.78917727,0.04401205,0.00000000,7.41841550,3.54928327,0.06688577,1.95635107
-5.61580790,7.52684266,0.01616398,0.78134495,0.04338857,0.00000000,7.36762311,3.50928242,0.06566724,1.93875020
-5.60980490,7.44883724,0.01665427,0.77338997,0.04266854,0.00000000,7.30431926,3.47125366,0.06446495,1.91912322
-5.60380190,7.36980499,0.01710372,0.76546348,0.04185857,0.00000000,7.22978682,3.43663170,0.06330037,1.89799134
-5.59779890,7.29205126,0.01750769,0.75771464,0.04096643,0.00000000,7.14547275,3.40680641,0.06219342,1.87590165
