energy_ev,total_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.05260124,1.12182003,0.00000000,1.93489171,0.54569926,0.02726596,0.77734718,0.01115811,1.31868678
-5.99399700,3.01120045,1.10263438,0.00000000,1.90461143,0.54060098,0.02678724,0.77005989,0.01101164,1.29814005
-5.98799400,2.95584421,1.07818497,0.00000000,1.86565352,0.53329834,0.02615237,0.75979415,0.01080232,1.27072265
-5.98199100,2.88808560,1.04901892,0.00000000,1.81888357,0.52411366,0.02537193,0.74696268,0.01053515,1.23708332
-5.97598799,2.80979163,1.01579939,0.00000000,1.76534612,0.51342571,0.02445988,0.73204256,0.01021644,1.19802349
-5.96998499,2.72308544,0.97928563,0.00000000,1.70622948,0.50165865,0.02343307,0.71555842,0.00985353,1.15447388
-5.96398199,2.63027921,0.94030957,0.00000000,1.64282510,0.48926907,0.02231073,0.69806360,0.00945460,1.10746706
-5.95797899,2.53380099,0.89975032,0.00000000,1.57648363,0.47673203,0.02111387,0.68012000,0.00902836,1.05810692
-5.95197599,2.43611862,0.85850738,0.00000000,1.50856970,0.46452647,0.01986459,0.66227762,0.00858382,1.00753668
-5.94597299,2.33966400,0.81747403,0.00000000,1.44041745,0.45312076,0.01858546,0.64505471,0.00812998,0.95690648
-5.93996998,2.24676094,0.77751184,0.00000000,1.37328890,0.44295875,0.01729883,0.62891930,0.00767558,0.90734202
-5.93396698,2.15955924,0.73942740,0.00000000,1.30833674,0.43444705,0.01602627,0.61427314,0.00722886,0.85991536
-5.92796398,2.07997754,0.70395198,0.00000000,1.24657319,0.42794384,0.01478799,0.60143855,0.00679740,0.81561869
-5.92196098,2.00965665,0.67172499,0.00000000,1.18884582,0.42374968,0.01360241,0.59064873,0.00638788,0.77534195
-5.91595798,1.94992460,0.64328137,0.00000000,1.13582113,0.42210044,0.01248573,0.58204204,0.00600603,0.73985473
-5.90995498,1.90177406,0.61904337,0.00000000,1.08797600,0.42316253,0.01145169,0.57566018,0.00565651,0.70979265
-5.90395198,1.86585205,0.59931658,0.00000000,1.04559706,0.42703048,0.01051138,0.57145042,0.00534291,0.68564832
-5.89794897,1.84246133,0.58428989,0.00000000,1.00878716,0.43372680,0.00967310,0.56927159,0.00506768,0.66776665
-5.89194597,1.83157259,0.57403927,0.00000000,0.97747835,0.44320384,0.00894240,0.56890348,0.00483226,0.65634425
-5.88594297,1.83284589,0.56853455,0.00000000,0.95145012,0.45534755,0.00832210,0.57005899,0.00463707,0.65143239
-5.87993997,1.84565970,0.56764877,0.00000000,0.93035181,0.46998281,0.00781245,0.57239866,0.00448162,0.65294314
-5.87393697,1.86914594,0.57116940,0.00000000,0.91372765,0.48688004,0.00741127,0.57554652,0.00436461,0.66065803
-5.86793397,1.90222894,0.57881079,0.00000000,0.90104331,0.50576267,0.00711421,0.57910688,0.00428405,0.67423896
-5.86193097,1.94366688,0.59022719,0.00000000,0.89171265,0.52631538,0.00691496,0.58268094,0.00423734,0.69324059
-5.85592796,1.99209392,0.60502580,0.00000000,0.88512340,0.54819269,0.00680555,0.58588282,0.00422143,0.71712419
-5.84992496,2.04606186,0.62277941,0.00000000,0.88066111,0.57102763,0.00677661,0.58835419,0.00423287,0.74527239
-5.84392196,2.10408015,0.64303822,0.00000000,0.87773027,0.59444044,0.00681766,0.58977695,0.00426796,0.77700471
-5.83791896,2.16465341,0.66534059,0.00000000,0.87577245,0.61804709,0.00691743,0.58988363,0.00432282,0.81159369
