energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.23127517,-1.23127518,0.18113586,-0.18113586,0.00000000,-0.00000000,0.71781935,-0.71781936,0.39799758,-0.39799759,0.66806699,-0.66806700,0.00000000,-0.00000000
-5.99399700,1.28207015,-1.28207016,0.19222730,-0.19222730,0.00000000,-0.00000000,0.75185858,-0.75185859,0.41326354,-0.41326354,0.69099052,-0.69099052,0.00000000,-0.00000000
-5.98799400,1.33332798,-1.33332799,0.20319285,-0.20319285,0.00000000,-0.00000000,0.78554198,-0.78554199,0.42885604,-0.42885605,0.71415578,-0.71415579,0.00000000,-0.00000000
-5.98199100,1.38427894,-1.38427896,0.21389023,-0.21389023,0.00000000,-0.00000000,0.81848478,-0.81848479,0.44453080,-0.44453081,0.73723679,-0.73723680,0.00000000,-0.00000000
-5.97598799,1.43410585,-1.43410586,0.22417412,-0.22417413,0.00000000,-0.00000000,0.85028494,-0.85028494,0.46002356,-0.46002356,0.75988279,-0.75988280,0.00000000,-0.00000000
-5.96998499,1.48195957,-1.48195958,0.23389885,-0.23389885,0.00000000,-0.00000000,0.88052842,-0.88052843,0.47505557,-0.47505557,0.78172392,-0.78172393,0.00000000,-0.00000000
-5.96398199,1.52697700,-1.52697701,0.24292129,-0.24292130,0.00000000,-0.00000000,0.90879553,-0.90879554,0.48934003,-0.48934004,0.80237797,-0.80237798,0.00000000,-0.00000000
-5.95797899,1.56830116,-1.56830117,0.25110401,-0.25110402,0.00000000,-0.00000000,0.93466826,-0.93466827,0.50258942,-0.50258942,0.82145830,-0.82145831,0.00000000,-0.00000000
-5.95197599,1.60510281,-1.60510282,0.25831845,-0.25831845,0.00000000,-0.00000000,0.95773861,-0.95773861,0.51452342,-0.51452343,0.83858260,-0.83858261,0.00000000,-0.00000000
-5.94597299,1.63660302,-1.63660303,0.26444807,-0.26444807,0.00000000,-0.00000000,0.97761760,-0.97761761,0.52487737,-0.52487738,0.85338245,-0.85338246,0.00000000,-0.00000000
-5.93996998,1.66209588,-1.66209589,0.26939149,-0.26939149,0.00000000,-0.00000000,0.99394486,-0.99394486,0.53341079,-0.53341079,0.86551338,-0.86551339,0.00000000,-0.00000000
-5.93396698,1.68097070,-1.68097070,0.27306523,-0.27306523,0.00000000,-0.00000000,1.00639837,-1.00639837,0.53991579,-0.53991580,0.87466506,-0.87466507,0.00000000,-0.00000000
-5.92796398,1.69273270,-1.69273270,0.27540630,-0.27540630,0.00000000,-0.00000000,1.01470420,-1.01470420,0.54422503,-0.54422503,0.88057143,-0.88057143,0.00000000,-0.00000000
-5.92196098,1.69702151,-1.69702151,0.27637420,-0.27637420,0.00000000,-0.00000000,1.01864570,-1.01864570,0.54621882,-0.54621882,0.88302019,-0.88302019,0.00000000,-0.00000000
-5.91595798,1.69362658,-1.69362658,0.27595253,-0.27595253,0.00000000,-0.00000000,1.01807190,-1.01807190,0.54583119,-0.54583118,0.88186144,-0.88186144,0.00000000,-0.00000000
-5.90995498,1.68249887,-1.68249887,0.27414991,-0.27414991,0.00000000,-0.00000000,1.01290463,-1.01290463,0.54305452,-0.54305451,0.87701496,-0.87701496,0.00000000,-0.00000000
-5.90395198,1.66375824,-1.66375823,0.27100037,-0.27100037,0.00000000,-0.00000000,1.00314408,-1.00314408,0.53794261,-0.53794261,0.86847584,-0.86847584,0.00000000,-0.00000000
-5.89794897,1.63769603,-1.63769602,0.26656295,-0.26656295,0.00000000,-0.00000000,0.98887246,-0.98887245,0.53061196,-0.53061196,0.85631810,-0.85631810,0.00000000,-0.00000000
