energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.55206965,0.00573539,0.41282859,0.62740259,0.53122648,0.94227445,1.16682737,0.01440665,1.50622018
-5.99399700,3.48709012,0.00606904,0.39153259,0.63429068,0.52725257,0.95143022,1.12319651,0.01347966,1.50254944
-5.98799400,3.42048165,0.00642324,0.37115827,0.63995068,0.52358210,0.95849002,1.07980373,0.01258955,1.49649298
-5.98199100,3.35357399,0.00679903,0.35196553,0.64447575,0.52040810,0.96361716,1.03722014,0.01175065,1.48843575
-5.97598799,3.28771279,0.00719729,0.33418773,0.64799042,0.51791659,0.96704989,0.99599314,0.01097525,1.47881438
-5.96998499,3.22421073,0.00761860,0.31802765,0.65064031,0.51627695,0.96908763,0.95663319,0.01027335,1.46809431
-5.96398199,3.16429829,0.00806304,0.30365409,0.65258103,0.51563251,0.97007474,0.91960137,0.00965262,1.45674531
-5.95797899,3.10907612,0.00853000,0.29119924,0.65396678,0.51609180,0.97038246,0.88529798,0.00911827,1.44521696
-5.95197599,3.05947141,0.00901807,0.28075677,0.65493929,0.51772104,0.97039001,0.85405264,0.00867315,1.43391506
-5.94597299,3.01620015,0.00952485,0.27238084,0.65561782,0.52053808,0.97046587,0.82611633,0.00831778,1.42318042
-5.93996998,2.97973745,0.01004684,0.26608584,0.65609069,0.52450843,0.97095015,0.80165556,0.00805055,1.41327106
-5.93396698,2.95029737,0.01057941,0.26184707,0.65640893,0.52954328,0.97213900,0.78074910,0.00786789,1.40434885
-5.92796398,2.92782350,0.01111680,0.25960221,0.65658239,0.53550013,0.97427190,0.76338738,0.00776450,1.39647135
-5.92196098,2.91199112,0.01165209,0.25925375,0.65657855,0.54218572,0.97752252,0.74947463,0.00773366,1.38958926
-5.91595798,2.90222103,0.01217741,0.26067212,0.65632409,0.54936145,0.98199361,0.73883380,0.00776744,1.38354976
-5.90995498,2.89770465,0.01268404,0.26369972,0.65570920,0.55675108,0.98771610,0.73121413,0.00785706,1.37810546
-5.90395198,2.89743950,0.01316265,0.26815562,0.65459421,0.56405034,0.99465255,0.72630106,0.00799318,1.37292861
-5.89794897,2.90027347,0.01360357,0.27384088,0.65281839,0.57093815,1.00270462,0.72372832,0.00816615,1.36762966
-5.89194597,2.90495601,0.01399712,0.28054443,0.65021022,0.57708890,1.01172406,0.72309153,0.00836635,1.36177932
-5.88594297,2.91019378,0.01433390,0.28804926,0.64659857,0.58218534,1.02152664,0.72396302,0.00858446,1.35493285
-5.87993997,2.91470835,0.01460518,0.29613886,0.64182417,0.58593135,1.03190820,0.72590722,0.00881168,1.34665522
-5.87393697,2.91729325,0.01480318,0.30460358,0.63575072,0.58806415,1.04266167,0.72849605,0.00903996,1.33654595
-5.86793397,2.91686761,0.01492141,0.31324694,0.62827499,0.58836532,1.05359435,0.73132369,0.00926223,1.32426216
-5.86193097,2.91252415,0.01495495,0.32189136,0.61933531,0.58667011,1.06454420,0.73402026,0.00947251,1.30953879
-5.85592796,2.90356919,0.01490061,0.33038337,0.60891812,0.58287471,1.07539428,0.73626382,0.00966608,1.29220492
-5.84992496,2.88955305,0.01475715,0.33859798,0.59706204,0.57694104,1.08608450,0.73779030,0.00983952,1.27219542
-5.84392196,2.87028947,0.01452530,0.34644200,0.58385952,0.56889901,1.09661993,0.73840093,0.00999076,1.24955743
-5.83791896,2.84586345,0.01420781,0.35385623,0.56945573,0.55884603,1.10707520,0.73796704,0.01011909,1.22445144
-5.83191596,2.81662718,0.01380935,0.36081636,0.55404505,0.54694403,1.11759468,0.73643202,0.01022508,1.19714711
