energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.31101510,0.11711325,0.00778760,0.64241826,0.55504294,0.00967054,0.18994754
-5.99399700,1.28897900,0.11837051,0.00753975,0.62268010,0.55543719,0.00955939,0.18541942
-5.98799400,1.26450363,0.11918992,0.00727586,0.60230778,0.55418923,0.00939237,0.18020949
-5.98199100,1.23731524,0.11952416,0.00699606,0.58120127,0.55114015,0.00917078,0.17431032
-5.97598799,1.20726919,0.11933804,0.00670121,0.55932068,0.54618464,0.00889735,0.16774079
-5.96998499,1.17434532,0.11860886,0.00639291,0.53668339,0.53927077,0.00857604,0.16054405
-5.96398199,1.13863844,0.11732641,0.00607335,0.51335868,0.53039802,0.00821193,0.15278467
-5.95797899,1.10034485,0.11549256,0.00574521,0.48946039,0.51961361,0.00781094,0.14454503
-5.95197599,1.05974582,0.11312072,0.00541154,0.46513813,0.50700771,0.00737967,0.13592131
-5.94597299,1.01718914,0.11023487,0.00507561,0.44056759,0.49270759,0.00692513,0.12701923
-5.93996998,0.97306971,0.10686856,0.00474077,0.41594053,0.47687119,0.00645450,0.11794972
-5.93396698,0.92781035,0.10306362,0.00441031,0.39145492,0.45968030,0.00597492,0.10882471
-5.92796398,0.88184347,0.09886880,0.00408734,0.36730589,0.44133384,0.00549328,0.09975333
-5.92196098,0.83559458,0.09433839,0.00377469,0.34367759,0.42204123,0.00501601,0.09083846
-5.91595798,0.78946809,0.08953071,0.00347481,0.32073655,0.40201635,0.00454897,0.08217393
-5.90995498,0.74383591,0.08450667,0.00318973,0.29862656,0.38147203,0.00409731,0.07384231
-5.90395198,0.69902895,0.07932835,0.00292100,0.27746521,0.36061534,0.00366539,0.06591332
-5.89794897,0.65533174,0.07405770,0.00266969,0.25734216,0.33964379,0.00325675,0.05844299
-5.89194597,0.61297990,0.06875525,0.00243640,0.23831893,0.31874224,0.00287409,0.05147330
-5.88594297,0.57216030,0.06347909,0.00222129,0.22043018,0.29808090,0.00251930,0.04503252
-5.87993997,0.53301361,0.05828384,0.00202412,0.20368609,0.27781405,0.00219351,0.03913588
-5.87393697,0.49563864,0.05321999,0.00184430,0.18807582,0.25807958,0.00189711,0.03378672
-5.86793397,0.46009825,0.04833323,0.00168099,0.17357152,0.23899927,0.00162991,0.02897791
-5.86193097,0.42642616,0.04366414,0.00153313,0.16013280,0.22067969,0.00139118,0.02469339
-5.85592796,0.39463429,0.03924800,0.00139954,0.14771134,0.20321359,0.00117974,0.02090990
-5.84992496,0.36472025,0.03511478,0.00127897,0.13625532,0.18668177,0.00099409,0.01759862
-5.84392196,0.33667455,0.03128938,0.00117017,0.12571366,0.17115521,0.00083248,0.01472685
-5.83791896,0.31048719,0.02779201,0.00107196,0.11603970,0.15669746,0.00069302,0.01225951
-5.83191596,0.28615366,0.02463869,0.00098322,0.10719439,0.14336708,0.00057371,0.01016049
-5.82591296,0.26367981,0.02184191,0.00090300,0.09914876,0.13122019,0.00047257,0.00839383
-5.81990995,0.24308592,0.01941140,0.00083048,0.09188584,0.12031291,0.00038764,0.00692472
-5.81390695,0.22440957,0.01735487,0.00076502,0.08540181,0.11070369,0.00031707,0.00572023
-5.80790395,0.20770767,0.01567887,0.00070615,0.07970657,0.10245538,0.00025910,0.00474994
-5.80190095,0.19305738,0.01438958,0.00065360,0.07482378,0.09563713,0.00021216,0.00398629
-5.79589795,0.18055629,0.01349352,0.00060724,0.07079028,0.09032587,0.00017481,0.00340480
-5.78989495,0.17032176,0.01299826,0.00056711,0.06765521,0.08660742,0.00014578,0.00298419
-5.78389195,0.16248955,0.01291291,0.00053341,0.06547860,0.08457721,0.00012400,0.00270630
-5.77788894,0.15721189,0.01324852,0.00050644,0.06432980,0.08434052,0.00010855,0.00255593
-5.77188594,0.15465499,0.01401832,0.00048663,0.06428557,0.08601215,0.00009865,0.00252064
-5.76588294,0.15499608,0.01523770,0.00047449,0.06542800,0.08971569,0.00009369,0.00259042
-5.75987994,0.15842005,0.01692413,0.00047063,0.06784228,0.09558220,0.00009320,0.00275739
