energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.94697349,0.22746310,0.08799036,0.00094300,0.16133525,0.06052878,0.00163748,0.09591268
-3.94097049,0.25782242,0.09817498,0.00110067,0.18305545,0.06866825,0.00152373,0.11089073
-3.93496748,0.29196484,0.10986820,0.00127632,0.20731396,0.07782156,0.00142969,0.12738995
-3.92896448,0.32990883,0.12309707,0.00147044,0.23408697,0.08799508,0.00135549,0.14538764
-3.92296148,0.37159685,0.13786222,0.00168321,0.26329218,0.09917509,0.00130084,0.16482449
-3.91695848,0.41688849,0.15413549,0.00191451,0.29478422,0.11132599,0.00126503,0.18560141
-3.91095548,0.46555549,0.17185801,0.00216385,0.32835159,0.12438891,0.00124705,0.20757737
-3.90495248,0.51727906,0.19093902,0.00243037,0.36371563,0.13828097,0.00124555,0.23056857
-3.89894947,0.57164974,0.21125541,0.00271282,0.40053155,0.15289523,0.00125895,0.25434900
-3.89294647,0.62817020,0.23265210,0.00300953,0.43839195,0.16810133,0.00128545,0.27865272
-3.88694347,0.68626114,0.25494341,0.00331843,0.47683276,0.18374707,0.00132313,0.30317769
-3.88094047,0.74527019,0.27791530,0.00363707,0.51534171,0.19966071,0.00136993,0.32759140
-3.87493747,0.80448391,0.30132858,0.00396264,0.55336909,0.21565410,0.00142379,0.35153800
-3.86893447,0.86314250,0.32492305,0.00429201,0.59034072,0.23152660,0.00148262,0.37464681
-3.86293147,0.92045677,0.34842241,0.00462179,0.62567246,0.24706951,0.00154442,0.39654202
-3.85692846,0.97562707,0.37153981,0.00494835,0.65878605,0.26207116,0.00160729,0.41685307
-3.85092546,1.02786322,0.39398404,0.00526796,0.68912548,0.27632218,0.00166948,0.43522552
-3.84492246,1.07640507,0.41546590,0.00557680,0.71617346,0.28962102,0.00172950,0.45133171
-3.83891946,1.12054265,0.43570490,0.00587105,0.73946707,0.30177940,0.00178606,0.46488107
-3.83291646,1.15963541,0.45443577,0.00614701,0.75861215,0.31262750,0.00183822,0.47562925
-3.82691346,1.19312966,0.47141482,0.00640113,0.77329574,0.32201879,0.00188537,0.48338609
