energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.78732711,0.03678872,0.77440469,2.44315734,2.03950605,0.08585220,2.37233520,1.72514233,0.51849580
-5.99399700,5.88587738,0.03855778,0.78739963,2.51335977,2.07016079,0.08771502,2.41641690,1.77091594,0.52620997
-5.98799400,5.99500247,0.04066940,0.80152217,2.58677214,2.10219822,0.08950962,2.46605553,1.82181669,0.53553993
-5.98199100,6.11508095,0.04314443,0.81686887,2.66366117,2.13578380,0.09123681,2.52129585,1.87750867,0.54656223
-5.97598799,6.24633465,0.04599869,0.83352803,2.74427967,2.17106783,0.09289858,2.58208542,1.93757030,0.55931723
-5.96998499,6.38877185,0.04924185,0.85157029,2.82883516,2.20816694,0.09449772,2.64825420,2.00148831,0.57380316
-5.96398199,6.54213457,0.05287631,0.87103945,2.91745730,2.24714627,0.09603732,2.71949719,2.06865389,0.58997134
-5.95797899,6.70585313,0.05689622,0.89194380,3.01016593,2.28800351,0.09752026,2.79536111,2.13836193,0.60772283
-5.95197599,6.87901064,0.06128662,0.91424859,3.10684135,2.33065543,0.09894865,2.87523621,2.20981365,0.62690689
-5.94597299,7.06031990,0.06602278,0.93787000,3.20719875,2.37492797,0.10032328,2.95835403,2.28212306,0.64732124
-5.93996998,7.24811455,0.07106985,0.96267078,3.31076821,2.42055005,0.10164313,3.04379160,2.35432733,0.66871439
-5.93396698,7.44035568,0.07638272,0.98845810,3.41688188,2.46715170,0.10290495,3.13048239,2.42540104,0.69078984
-5.92796398,7.63465448,0.08190626,1.01498346,3.52466942,2.51426663,0.10410287,3.21723376,2.49427392,0.71321226
-5.92196098,7.82831073,0.08757595,1.04194497,3.63306260,2.56133895,0.10522827,3.30275079,2.55985177,0.73561532
-5.91595798,8.01836629,0.09331880,1.06899181,3.74080945,2.60773414,0.10626968,3.38566545,2.62103974,0.75761087
-5.90995498,8.20167201,0.09905470,1.09573090,3.84649794,2.65275348,0.10721299,3.46457046,2.67676746,0.77879926
-5.90395198,8.37496591,0.10469809,1.12173540,3.94858869,2.69565173,0.10804169,3.53805642,2.72601487,0.79878025
-5.89794897,8.53495997,0.11015992,1.14655489,4.04545571,2.73565713,0.10873745,3.60475094,2.76783809,0.81716416
-5.89194597,8.67843243,0.11534993,1.16972694,4.13543383,2.77199317,0.10928080,3.66335827,2.80139438,0.83358283
-5.88594297,8.80232224,0.12017902,1.19078943,4.21687077,2.80390127,0.10965195,3.71269796,2.82596516,0.84769985
-5.87993997,8.90382215,0.12456183,1.20929349,4.28818206,2.83066364,0.10983182,3.75174103,2.84097656,0.85921976
-5.87393697,8.98046702,0.12841922,1.22481639,4.34790608,2.85162547,0.10980301,3.77964226,2.84601645,0.86789596
-5.86793397,9.03021397,0.13168077,1.23697411,4.39475713,2.86621581,0.10955098,3.79576739,2.84084773,0.87353681
-5.86193097,9.05151137,0.13428705,1.24543295,4.42767389,2.87396644,0.10906502,3.79971425,2.82541709,0.87601004
-5.85592796,9.04335405,0.13619159,1.24992003,4.44586125,2.87452808,0.10833930,3.79132705,2.79985920,0.87524513
-5.84992496,9.00532279,0.13736257,1.25023207,4.44882340,2.86768346,0.10737364,3.77070325,2.76449601,0.87123385
-5.84392196,8.93760639,0.13778396,1.24624244,4.43638690,2.85335694,0.10617423,3.73819297,2.71983135,0.86402886
-5.83791896,8.84100582,0.13745629,1.23790594,4.40871255,2.83162016,0.10475398,3.69439095,2.66654083,0.85374066
-5.83191596,8.71692012,0.13639678,1.22526143,4.36629565,2.80269380,0.10313273,3.64012143,2.60545752,0.84053302
-5.82591296,8.56731467,0.13463900,1.20843216,4.30995472,2.76694514,0.10133705,3.57641662,2.53755376,0.82461722
-5.81990995,8.39467318,0.13223198,1.18762364,4.24080932,2.72488166,0.09939988,3.50448958,2.46391969,0.80624523
-5.81390695,8.20193491,0.12923876,1.16311943,4.16024811,2.67714070,0.09735976,3.42570249,2.38573914,0.78570232
-5.80790395,7.99241956,0.12573458,1.13527476,4.06988856,2.62447553,0.09525989,3.34153145,2.30426370,0.76329921
-5.80190095,7.76974228,0.12180460,1.10450828,3.97153028,2.56773820,0.09314689,3.25352894,2.22078547,0.73936417
-5.79589795,7.53772180,0.11754140,1.07129221,3.86710385,2.50785954,0.09106945,3.16328526,2.13660956,0.71423516
-5.78989495,7.30028437,0.11304219,1.03614109,3.75861731,2.44582698,0.08907679,3.07238993,2.05302686,0.68825234
-5.78389195,7.06136673,0.10840606,0.99959965,3.64810222,2.38266059,0.08721707,2.98239422,1.97128775,0.66175105
-5.77788894,6.82482075,0.10373108,0.96222985,3.53756125,2.31938819,0.08553581,2.89477574,1.89257762,0.63505540
-5.77188594,6.59432242,0.09911167,0.92459769,3.42891889,2.25702001,0.08407435,2.81090606,1.81799438,0.60847257
-5.76588294,6.37328761,0.09463607,0.88725999,3.32397654,2.19652369,0.08286841,2.73202178,1.74852868,0.58228781
-5.75987994,6.16479650,0.09038414,0.85075150,3.22437303,2.13880025,0.08194684,2.65919985,1.68504697,0.55676035
-5.75387694,5.97152851,0.08642548,0.81557266,3.13155134,2.08466166,0.08133057,2.59333746,1.62827776,0.53211997
-5.74787394,5.79570896,0.08281803,0.78217833,3.04673171,2.03481072,0.08103183,2.53513666,1.57880105,0.50856449
-5.74187094,5.63906832,0.07960700,0.75096773,2.97089146,1.98982369,0.08105363,2.48509407,1.53704105,0.48625797
-5.73586793,5.50281491,0.07682434,0.72227582,2.90475126,1.95013640,0.08138951,2.44349551,1.50326216,0.46532978
-5.72986493,5.38762114,0.07448856,0.69636645,2.84876787,1.91603399,0.08202368,2.41041562,1.47756794,0.44587429
-5.72386193,5.29362326,0.07260507,0.67342731,2.80313272,1.88764493,0.08293142,2.38572233,1.45990315,0.42795143
-5.71785893,5.22043451,0.07116680,0.65356695,2.76777634,1.86493936,0.08407971,2.36908594,1.45005847,0.41158783
-5.71185593,5.16717089,0.07015524,0.63681391,2.74237798,1.84773196,0.08542825,2.35999253,1.44767783,0.39677865
-5.70585293,5.13248890,0.06954169,0.62311801,2.72638019,1.83568932,0.08693066,2.35776145,1.45226814,0.38348999
-5.69984992,5.11463406,0.06928879,0.61235381,2.71900815,1.82834167,0.08853587,2.36156627,1.46321113,0.37166185
-5.69384692,5.11149890,0.06935218,0.60432611,2.71929309,1.82509866,0.09018975,2.37045898,1.47977722,0.36121150
-5.68784392,5.12068895,0.06968220,0.59877743,2.72609980,1.82526872,0.09183674,2.38339656,1.50114105,0.35203724
-5.68184092,5.13959479,0.07022568,0.59539717,2.73815745,1.82808148,0.09342167,2.39926950,1.52639861,0.34402232
-5.67583792,5.16546824,0.07092771,0.59383222,2.75409348,1.83271239,0.09489149,2.41693142,1.55458554,0.33703909
