energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.91451868,0.01302361,0.22966829,0.37168071,0.23498697,1.13108359,0.59027039,0.77130532,0.00000000
-5.99399700,1.94163704,0.01212859,0.23235349,0.37763526,0.23931617,1.13773822,0.59833742,0.78609261,0.00000000
-5.98799400,1.97229170,0.01130290,0.23621778,0.38445392,0.24348112,1.14800551,0.60814502,0.80107241,0.00000000
-5.98199100,2.00647034,0.01054618,0.24122460,0.39214341,0.24749156,1.16170065,0.61968361,0.81624382,0.00000000
-5.97598799,2.04408746,0.00985668,0.24730782,0.40069649,0.25136340,1.17854220,0.63290749,0.83160394,0.00000000
-5.96998499,2.08497373,0.00923146,0.25437372,0.41008865,0.25511546,1.19815845,0.64773355,0.84713925,0.00000000
-5.96398199,2.12886761,0.00866659,0.26230386,0.42027529,0.25876610,1.22009716,0.66404105,0.86281744,0.00000000
-5.95797899,2.17541016,0.00815738,0.27095875,0.43118928,0.26232990,1.24383852,0.68167242,0.87858008,0.00000000
-5.95197599,2.22414357,0.00769861,0.28018227,0.44273949,0.26581482,1.26881109,0.70043537,0.89433689,0.00000000
-5.94597299,2.27451419,0.00728474,0.28980662,0.45481005,0.26921973,1.29441026,0.72010621,0.90996186,0.00000000
-5.93996998,2.32588018,0.00691019,0.29965773,0.46726083,0.27253277,1.32001888,0.74043436,0.92529183,0.00000000
-5.93396698,2.37752413,0.00656951,0.30956086,0.47992896,0.27573043,1.34502919,0.76114818,0.94012760,0.00000000
-5.92796398,2.42867041,0.00625756,0.31934637,0.49263163,0.27877766,1.36886558,0.78196170,0.95423778,0.00000000
-5.92196098,2.47850669,0.00596974,0.32885519,0.50516992,0.28162878,1.39100713,0.80258238,0.96736522,0.00000000
-5.91595798,2.52620914,0.00570207,0.33794414,0.51733374,0.28422938,1.41100906,0.82271934,0.97923585,0.00000000
-5.90995498,2.57097004,0.00545137,0.34649051,0.52890767,0.28651901,1.42852225,0.84209201,0.98956941,0.00000000
-5.90395198,2.61202670,0.00521530,0.35439609,0.53967733,0.28843448,1.44330984,0.86043866,0.99809160,0.00000000
-5.89794897,2.64869027,0.00499248,0.36159018,0.54943624,0.28991369,1.45526006,0.87752456,1.00454693,0.00000000
-5.89194597,2.68037304,0.00478248,0.36803165,0.55799271,0.29089966,1.46439463,0.89314932,1.00871161,0.00000000
-5.88594297,2.70661258,0.00458588,0.37370980,0.56517639,0.29134456,1.47087210,0.90715308,1.01040561,0.00000000
-5.87993997,2.72709167,0.00440422,0.37864411,0.57084440,0.29121356,1.47498582,0.91942126,1.00950331,0.00000000
-5.87393697,2.74165258,0.00424001,0.38288276,0.57488645,0.29048814,1.47715646,0.92988756,1.00594191,0.00000000
-5.86793397,2.75030505,0.00409660,0.38650001,0.57722893,0.28916874,1.47791910,0.93853513,0.99972730,0.00000000
-5.86193097,2.75322722,0.00397819,0.38959255,0.57783754,0.28727654,1.47790556,0.94539571,0.99093677,0.00000000
-5.85592796,2.75075950,0.00388963,0.39227496,0.57671859,0.28485432,1.47782228,0.95054687,0.97971854,0.00000000
-5.84992496,2.74339135,0.00383641,0.39467440,0.57391863,0.28196619,1.47842498,0.95410741,0.96628792,0.00000000
-5.84392196,2.73174183,0.00382440,0.39692493,0.56952262,0.27869630,1.48049089,0.95623113,0.95092049,0.00000000
-5.83791896,2.71653456,0.00385979,0.39916142,0.56365063,0.27514651,1.48478989,0.95709933,0.93394236,0.00000000
-5.83191596,2.69856837,0.00394885,0.40151370,0.55645328,0.27143317,1.49205576,0.95691233,0.91571830,0.00000000
-5.82591296,2.67868522,0.00409777,0.40410077,0.54810607,0.26768304,1.50295873,0.95588043,0.89663814,0.00000000
-5.81990995,2.65773659,0.00431243,0.40702568,0.53880296,0.26402872,1.51808053,0.95421486,0.87710219,0.00000000
-5.81390695,2.63655030,0.00459819,0.41037114,0.52874945,0.26060359,1.53789296,0.95211893,0.85750646,0.00000000
-5.80790395,2.61589898,0.00495964,0.41419597,0.51815548,0.25753667,1.56274071,0.94978000,0.83822839,0.00000000
-5.80190095,2.59647178,0.00540041,0.41853271,0.50722844,0.25494748,1.59282914,0.94736245,0.81961369,0.00000000
-5.79589795,2.57885046,0.00592288,0.42338630,0.49616670,0.25294128,1.62821717,0.94500207,0.80196495,0.00000000
-5.78989495,2.56349063,0.00652799,0.42873393,0.48515371,0.25160477,1.66881546,0.94280186,0.78553250,0.00000000
-5.78389195,2.55070901,0.00721502,0.43452603,0.47435315,0.25100254,1.71438959,0.94082965,0.77050773,0.00000000
-5.77788894,2.54067676,0.00798140,0.44068823,0.46390502,0.25117436,1.76456776,0.93911714,0.75701931,0.00000000
-5.77188594,2.53341897,0.00882261,0.44712431,0.45392305,0.25213347,1.81885242,0.93766072,0.74513202,0.00000000
-5.76588294,2.52881996,0.00973200,0.45371972,0.44449317,0.25386589,1.87663499,0.93642354,0.73484839,0.00000000
-5.75987994,2.52663377,0.01070082,0.46034574,0.43567336,0.25633095,1.93721291,0.93533885,0.72611274,0.00000000
-5.75387694,2.52649921,0.01171825,0.46686384,0.42749447,0.25946271,1.99980798,0.93431427,0.71881740,0.00000000
-5.74787394,2.52795840,0.01277143,0.47313023,0.41996214,0.26317266,2.06358537,0.93323671,0.71281063,0.00000000
-5.74187094,2.53047793,0.01384574,0.47900020,0.41305961,0.26735312,2.12767247,0.93197774,0.70790585,0.00000000
-5.73586793,2.53347164,0.01492497,0.48433222,0.40675117,0.27188164,2.19117694,0.93039907,0.70389172,0.00000000
-5.72986493,2.53632410,0.01599170,0.48899172,0.40098617,0.27662591,2.25320374,0.92835798,0.70054255,0.00000000
-5.72386193,2.53841390,0.01702771,0.49285422,0.39570330,0.28144924,2.31287068,0.92571252,0.69762866,0.00000000
-5.71785893,2.53913605,0.01801443,0.49580802,0.39083505,0.28621610,2.36932250,0.92232640,0.69492632,0.00000000
-5.71185593,2.53792280,0.01893344,0.49775627,0.38631211,0.29079784,2.42174362,0.91807338,0.69222685,0.00000000
-5.70585293,2.53426259,0.01976702,0.49861855,0.38206764,0.29507807,2.46936948,0.91284128,0.68934470,0.00000000
-5.69984992,2.52771649,0.02049871,0.49833189,0.37804118,0.29895756,2.51149695,0.90653548,0.68612429,0.00000000
-5.69384692,2.51793216,0.02111378,0.49685144,0.37418215,0.30235848,2.54749382,0.89908199,0.68244549,0.00000000
-5.68784392,2.50465501,0.02159977,0.49415080,0.37045296,0.30522778,2.57680771,0.89043010,0.67822763,0.00000000
-5.68184092,2.48773650,0.02194691,0.49022206,0.36683148,0.30753946,2.59897447,0.88055459,0.67343204,0.00000000
-5.67583792,2.46713964,0.02214841,0.48507568,0.36331305,0.30929572,2.61362616,0.86945758,0.66806326,0.00000000
-5.66983492,2.44294156,0.02220078,0.47874022,0.35991188,0.31052686,2.62049853,0.85716991,0.66216883,0.00000000
-5.66383192,2.41533332,0.02210394,0.47126206,0.35666190,0.31128992,2.61943781,0.84375208,0.65583788,0.00000000
-5.65782891,2.38461696,0.02186123,0.46270493,0.35361712,0.31166617,2.61040670,0.82929463,0.64919867,0.00000000
-5.65182591,2.35119995,0.02147935,0.45314942,0.35085145,0.31175744,2.59348908,0.81391796,0.64241513,0.00000000
-5.64582291,2.31558716,0.02096813,0.44269240,0.34845808,0.31168156,2.56889324,0.79777146,0.63568265,0.00000000
-5.63981991,2.27837051,0.02034025,0.43144624,0.34654837,0.31156708,2.53695314,0.78103195,0.62922325,0.00000000
-5.63381691,2.24021663,0.01961082,0.41953789,0.34525040,0.31154750,2.49812749,0.76390130,0.62328032,0.00000000
-5.62781391,2.20185271,0.01879693,0.40710772,0.34470709,0.31175525,2.45299636,0.74660335,0.61811294,0.00000000
-5.62181091,2.16405101,0.01791712,0.39430801,0.34507395,0.31231591,2.40225505,0.72938004,0.61399017,0.00000000
-5.61580790,2.12761223,0.01699083,0.38130129,0.34651652,0.31334256,2.34670531,0.71248690,0.61118515,0.00000000
-5.60980490,2.09334834,0.01603784,0.36825819,0.34920743,0.31493097,2.28724370,0.69618794,0.60996929,0.00000000
-5.60380190,2.06206512,0.01507775,0.35535511,0.35332307,0.31715551,2.22484745,0.68075020,0.61060656,0.00000000
-5.59779890,2.03454491,0.01412944,0.34277153,0.35904005,0.32006611,2.16055790,0.66643796,0.61334796,0.00000000
-5.59179590,2.01152990,0.01321061,0.33068703,0.36653119,0.32368641,2.09546186,0.65350695,0.61842608,0.00000000
