energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.25395879,1.01627737,0.51078854,0.00253353,0.44950316,0.89199427,0.72778031,0.01525921,1.54305414
-5.99399700,3.31211501,1.02970806,0.51773174,0.00255126,0.45362356,0.91069873,0.74199273,0.01546973,1.57878312
-5.98799400,3.36559850,1.04084087,0.52407760,0.00257842,0.45680724,0.92735350,0.75538118,0.01569272,1.61262752
-5.98199100,3.41390035,1.04960034,0.52974816,0.00261604,0.45901407,0.94176833,0.76779265,0.01593254,1.64430581
-5.97598799,3.45650587,1.05591723,0.53466991,0.00266530,0.46020497,0.95375986,0.77907115,0.01619326,1.67352217
-5.96998499,3.49289415,1.05972716,0.53877336,0.00272746,0.46034014,0.96315264,0.78905921,0.01647838,1.69996771
-5.96398199,3.52254324,1.06097096,0.54199317,0.00280384,0.45937821,0.96978145,0.79760070,0.01679053,1.72332465
-5.95797899,3.54494091,1.05959645,0.54426868,0.00289575,0.45727653,0.97349489,0.80454496,0.01713128,1.74327339
-5.95197599,3.55960035,1.05556178,0.54554503,0.00300445,0.45399233,0.97416012,0.80975179,0.01750086,1.75950220
-5.94597299,3.56607987,1.04883982,0.54577462,0.00313112,0.44948496,0.97166841,0.81309731,0.01789801,1.77171885
-5.93996998,3.56400499,1.03942322,0.54491886,0.00327679,0.44371864,0.96594115,0.81447998,0.01831990,1.77966347
-5.93396698,3.55309160,1.02732981,0.54295004,0.00344234,0.43666585,0.95693594,0.81382656,0.01876202,1.78312180
-5.92796398,3.53316806,1.01260760,0.53985328,0.00362842,0.42831086,0.94465218,0.81109750,0.01921824,1.78193781
-5.92196098,3.50419473,0.99533915,0.53562808,0.00383544,0.41865315,0.92913588,0.80629128,0.01968090,1.77602488
-5.91595798,3.46627922,0.97564465,0.53028971,0.00406350,0.40771054,0.91048307,0.79944743,0.02014096,1.76537456
-5.90995498,3.41968593,0.95368347,0.52386995,0.00431242,0.39552165,0.88884161,0.79064787,0.02058821,1.75006232
-5.90395198,3.36483904,0.92965390,0.51641729,0.00458163,0.38214754,0.86441102,0.78001637,0.02101160,1.73024973
-5.89794897,3.30231831,0.90379094,0.50799649,0.00487020,0.36767237,0.83744028,0.76771617,0.02139954,1.70618277
-5.89194597,3.23284766,0.87636210,0.49868736,0.00517680,0.35220299,0.80822363,0.75394568,0.02174025,1.67818633
-5.88594297,3.15727702,0.84766153,0.48858308,0.00549964,0.33586741,0.77709427,0.73893268,0.02202219,1.64665503
-5.87993997,3.07655841,0.81800251,0.47778776,0.00583649,0.31881229,0.74441655,0.72292699,0.02223445,1.61204098
-5.87393697,2.99171734,0.78770898,0.46641382,0.00618465,0.30119950,0.71057673,0.70619239,0.02236709,1.57483895
-5.86793397,2.90382141,0.75710626,0.45457887,0.00654095,0.28320195,0.67597290,0.68899792,0.02241156,1.53557011
-5.86193097,2.81394769,0.72651172,0.44240267,0.00690176,0.26499888,0.64100444,0.67160929,0.02236094,1.49476489
-5.85592796,2.72315077,0.69622578,0.43000406,0.00726303,0.24677097,0.60606178,0.65428072,0.02221028,1.45294627
-5.84992496,2.63243319,0.66652377,0.41749822,0.00762027,0.22869540,0.57151657,0.63724772,0.02195670,1.41061418
-5.84392196,2.54271991,0.63764907,0.40499424,0.00796868,0.21094106,0.53771312,0.62072131,0.02159961,1.36823196
-5.83791896,2.45483792,0.60980786,0.39259330,0.00830318,0.19366436,0.50496116,0.60488365,0.02114063,1.32621555
-5.83191596,2.36950192,0.58316571,0.38038732,0.00861848,0.17700558,0.47353041,0.58988563,0.02058365,1.28492575
-5.82591296,2.28730662,0.55784620,0.36845832,0.00890926,0.16108597,0.44364700,0.57584625,0.01993464,1.24466403
-5.81990995,2.20872545,0.53393139,0.35687834,0.00917023,0.14600579,0.41549182,0.56285365,0.01920148,1.20567168
-5.81390695,2.13411548,0.51146416,0.34570990,0.00939629,0.13184315,0.38920074,0.55096790,0.01839372,1.16813226
-5.80790395,2.06372763,0.49045216,0.33500699,0.00958265,0.11865379,0.36486655,0.54022491,0.01752224,1.13217692
-5.80190095,1.99772107,0.47087296,0.32481634,0.00972503,0.10647159,0.34254229,0.53064139,0.01659896,1.09789192
-5.79589795,1.93618059,0.45268018,0.31517890,0.00981971,0.09530986,0.32224569,0.52222017,0.01563645,1.06532791
-5.78989495,1.87913542,0.43581000,0.30613138,0.00986376,0.08516319,0.30396439,0.51495577,0.01464759,1.03450996
-5.78389195,1.82657809,0.42018783,0.29770777,0.00985507,0.07600971,0.28766156,0.50883943,0.01364519,1.00544780
-5.77788894,1.77848204,0.40573463,0.28994055,0.00979248,0.06781370,0.27328144,0.50386354,0.01264171,0.97814543
-5.77188594,1.73481672,0.39237261,0.28286164,0.00967581,0.06052828,0.26075473,0.50002498,0.01164894,0.95260963
-5.76588294,1.69555942,0.38002998,0.27650294,0.00950596,0.05409817,0.25000328,0.49732716,0.01067777,0.92885666
-5.75987994,1.66070309,0.36864461,0.27089639,0.00928481,0.04846231,0.24094408,0.49578078,0.00973803,0.90691702
-5.75387694,1.63025998,0.35816648,0.26607365,0.00901525,0.04355630,0.23349239,0.49540302,0.00883827,0.88683797
-5.74787394,1.60426109,0.34855892,0.26206528,0.00870110,0.03931457,0.22756383,0.49621563,0.00798579,0.86868383
-5.74187094,1.58275179,0.33979857,0.25889959,0.00834698,0.03567221,0.22307561,0.49824174,0.00718655,0.85253416
-5.73586793,1.56578431,0.33187447,0.25660123,0.00795818,0.03256649,0.21994692,0.50150195,0.00644518,0.83848014
-5.72986493,1.55340781,0.32478610,0.25518957,0.00754054,0.02993807,0.21809860,0.50600982,0.00576512,0.82661943
-5.72386193,1.54565695,0.31854087,0.25467701,0.00710026,0.02773179,0.21745222,0.51176731,0.00514864,0.81705008
-5.71785893,1.54254009,0.31315119,0.25506738,0.00664372,0.02589728,0.21792889,0.51876039,0.00459703,0.80986372
-5.71185593,1.54402787,0.30863129,0.25635448,0.00617734,0.02438924,0.21944788,0.52695520,0.00411072,0.80513879
-5.70585293,1.55004320,0.30499416,0.25852085,0.00570735,0.02316754,0.22192522,0.53629518,0.00368944,0.80293393
-5.69984992,1.56045324,0.30224859,0.26153694,0.00523969,0.02219715,0.22527256,0.54669917,0.00333239,0.80328213
-5.69384692,1.57506400,0.30039671,0.26536058,0.00477987,0.02144792,0.22939631,0.55806085,0.00303835,0.80618572
-5.68784392,1.59361772,0.29943188,0.26993692,0.00433281,0.02089426,0.23419724,0.57024951,0.00280587,0.81161259
-5.68184092,1.61579322,0.29933720,0.27519874,0.00390282,0.02051481,0.23957044,0.58311203,0.00263335,0.81949357
-5.67583792,1.64120908,0.30008452,0.28106716,0.00349349,0.02029198,0.24540591,0.59647606,0.00251914,0.82972110
-5.66983492,1.66942923,0.30163399,0.28745267,0.00310769,0.02021155,0.25158947,0.61015419,0.00246159,0.84214911
-5.66383192,1.69997068,0.30393408,0.29425650,0.00274756,0.02026219,0.25800411,0.62394881,0.00245911,0.85659399
-5.65782891,1.73231261,0.30692207,0.30137215,0.00241453,0.02043500,0.26453161,0.63765735,0.00251015,0.87283647
-5.65182591,1.76590647,0.31052478,0.30868708,0.00210936,0.02072302,0.27105442,0.65107777,0.00261322,0.89062431
-5.64582291,1.80018632,0.31465956,0.31608451,0.00183220,0.02112077,0.27745753,0.66401368,0.00276676,0.90967563
-5.63981991,1.83457900,0.31923554,0.32344520,0.00158268,0.02162371,0.28363034,0.67627917,0.00296916,0.92968268
-5.63381691,1.86851352,0.32415487,0.33064926,0.00135996,0.02222782,0.28946844,0.68770287,0.00321859,0.95031590
-5.62781391,1.90142960,0.32931404,0.33757780,0.00116284,0.02292902,0.29487506,0.69813117,0.00351297,0.97122827
-5.62181091,1.93278488,0.33460529,0.34411461,0.00098985,0.02372274,0.29976236,0.70743053,0.00384979,0.99205983
-5.61580790,1.96206095,0.33991791,0.35014761,0.00083930,0.02460345,0.30405226,0.71548878,0.00422607,1.01244233
-5.60980490,1.98876818,0.34513968,0.35557026,0.00070939,0.02556418,0.30767701,0.72221558,0.00463820,1.03200399
-5.60380190,2.01244956,0.35015821,0.36028288,0.00059826,0.02659623,0.31057938,0.72754199,0.00508191,1.05037453
-5.59779890,2.03268373,0.35486243,0.36419385,0.00050406,0.02768881,0.31271263,0.73141947,0.00555218,1.06719019
-5.59179590,2.04908769,0.35914410,0.36722074,0.00042500,0.02882883,0.31404012,0.73381842,0.00604326,1.08209916
-5.58579290,2.06131933,0.36289935,0.36929141,0.00035936,0.03000087,0.31453486,0.73472648,0.00654862,1.09476707
-5.57978989,2.06908009,0.36603044,0.37034503,0.00030556,0.03118713,0.31417894,0.73414688,0.00706102,1.10488270
-5.57378689,2.07211823,0.36844746,0.37033310,0.00026216,0.03236765,0.31296290,0.73209691,0.00757262,1.11216385
-5.56778389,2.07023246,0.37007021,0.36922041,0.00022786,0.03352061,0.31088522,0.72860676,0.00807512,1.11636325
-5.56178089,2.06327637,0.37082999,0.36698591,0.00020153,0.03462275,0.30795190,0.72371883,0.00855986,1.11727437
-5.55577789,2.05116336,0.37067147,0.36362354,0.00018216,0.03564994,0.30417616,0.71748754,0.00901810,1.11473702
-5.54977489,2.03387192,0.36955433,0.35914295,0.00016892,0.03657786,0.29957838,0.70997966,0.00944121,1.10864249
-5.54377189,2.01145102,0.36745478,0.35357000,0.00016109,0.03738273,0.29418610,0.70127502,0.00982090,1.09893805
-5.53776888,1.98402523,0.36436679,0.34694719,0.00015808,0.03804211,0.28803426,0.69146760,0.01014949,1.08563063
-5.53176588,1.95179900,0.36030294,0.33933369,0.00015939,0.03853568,0.28116543,0.68066681,0.01042016,1.06878925
-5.52576288,1.91505984,0.35529476,0.33080526,0.00016461,0.03884606,0.27363011,0.66899865,0.01062714,1.04854629
-5.51975988,1.87417973,0.34939269,0.32145366,0.00017341,0.03895944,0.26548697,0.65660675,0.01076594,1.02509719
-5.51375688,1.82961450,0.34266531,0.31138588,0.00018549,0.03886625,0.25680287,0.64365300,0.01083350,0.99869847
-5.50775388,1.78190076,0.33519815,0.30072286,0.00020061,0.03856155,0.24765280,0.63031754,0.01082828,0.96966412
-5.50175088,1.73165025,0.32709175,0.28959790,0.00021855,0.03804540,0.23811942,0.61679815,0.01075035,0.93836020
-5.49574787,1.67954143,0.31845938,0.27815467,0.00023909,0.03732291,0.22829233,0.60330876,0.01060137,0.90519783
-5.48974487,1.62630849,0.30942412,0.26654488,0.00026201,0.03640423,0.21826696,0.59007721,0.01038454,0.87062461
-5.48374187,1.57272792,0.30011573,0.25492566,0.00028710,0.03530427,0.20814315,0.57734215,0.01010450,0.83511482
-5.47773887,1.51960302,0.29066713,0.24345664,0.00031414,0.03404228,0.19802335,0.56534924,0.00976714,0.79915851
-5.47173587,1.46774690,0.28121096,0.23229693,0.00034286,0.03264125,0.18801058,0.55434675,0.00937947,0.76325003
-5.46573287,1.41796443,0.27187602,0.22160194,0.00037302,0.03112723,0.17820617,0.54458062,0.00894930,0.72787623
-5.45972986,1.37103392,0.26278401,0.21152022,0.00040433,0.02952852,0.16870740,0.53628929,0.00848506,0.69350482
-5.45372686,1.32768898,0.25404659,0.20219037,0.00043650,0.02787478,0.15960513,0.52969843,0.00799547,0.66057320
-5.44772386,1.28860146,0.24576289,0.19373811,0.00046921,0.02619618,0.15098155,0.52501563,0.00748937,0.62947840
-5.44172086,1.25436581,0.23801755,0.18627363,0.00050217,0.02452251,0.14290812,0.52242547,0.00697536,0.60056810
-5.43571786,1.22548553,0.23087944,0.17988922,0.00053505,0.02288236,0.13544377,0.52208484,0.00646167,0.57413340
-5.42971486,1.20236200,0.22440091,0.17465735,0.00056756,0.02130239,0.12863363,0.52411886,0.00595590,0.55040336
-5.42371186,1.18528606,0.21861778,0.17062908,0.00059940,0.01980668,0.12250806,0.52861730,0.00546488,0.52954146
-5.41770885,1.17443240,0.21354987,0.16783311,0.00063030,0.01841621,0.11708222,0.53563167,0.00499454,0.51164415
-5.41170585,1.16985686,0.20920201,0.16627517,0.00066000,0.01714849,0.11235620,0.54517303,0.00454985,0.49674132
-5.40570285,1.17149661,0.20556547,0.16593804,0.00068828,0.01601726,0.10831557,0.55721048,0.00413472,0.48479877
-5.39969985,1.17917290,0.20261975,0.16678201,0.00071495,0.01503246,0.10493239,0.57167027,0.00375207,0.47572227
-5.39369685,1.19259633,0.20033438,0.16874585,0.00073983,0.01420015,0.10216670,0.58843575,0.00340377,0.46936321
-5.38769385,1.21137428,0.19867091,0.17174829,0.00076279,0.01352268,0.09996818,0.60734796,0.00309078,0.46552539
-5.38169085,1.23502019,0.19758471,0.17568989,0.00078372,0.01299889,0.09827826,0.62820688,0.00281319,0.46397279
-5.37568784,1.26296445,0.19702664,0.18045536,0.00080254,0.01262444,0.09703216,0.65077344,0.00257029,0.46443784
-5.36968484,1.29456654,0.19694449,0.18591614,0.00081919,0.01239216,0.09616121,0.67477229,0.00236075,0.46663007
-5.36368184,1.32912812,0.19728401,0.19193338,0.00083362,0.01229247,0.09559494,0.69989518,0.00218266,0.47024474
-5.35767884,1.36590689,0.19798978,0.19836107,0.00084580,0.01231381,0.09526323,0.72580512,0.00203369,0.47497117
