energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.38697960,0.12207009,1.05061741,0.00122008,0.01843724,0.10053416,0.15716858,0.00629310,0.20784345
-5.99399700,1.39922482,0.11801676,1.06823540,0.00124914,0.01732475,0.09652982,0.15547263,0.00634854,0.20544775
-5.98799400,1.41260511,0.11504617,1.08632048,0.00127721,0.01638321,0.09288253,0.15371648,0.00637661,0.20345642
-5.98199100,1.42680236,0.11303531,1.10464445,0.00130365,0.01559360,0.08955933,0.15188898,0.00637788,0.20182767
-5.97598799,1.44147864,0.11185921,1.12295748,0.00132789,0.01493739,0.08652969,0.14998251,0.00635333,0.20051737
-5.96998499,1.45627078,0.11139094,1.14098512,0.00134941,0.01439653,0.08376472,0.14799148,0.00630421,0.19947772
-5.96398199,1.47078846,0.11150210,1.15842792,0.00136771,0.01395334,0.08123643,0.14591095,0.00623199,0.19865645
-5.95797899,1.48461551,0.11206377,1.17496356,0.00138235,0.01359062,0.07891735,0.14373570,0.00613829,0.19799671
-5.95197599,1.49731460,0.11294790,1.19025138,0.00139292,0.01329170,0.07678019,0.14145951,0.00602478,0.19743741
-5.94597299,1.50843457,0.11402900,1.20393894,0.00139902,0.01304062,0.07479778,0.13907489,0.00589318,0.19691415
-5.93996998,1.51752023,0.11518612,1.21567021,0.00140032,0.01282229,0.07294311,0.13657302,0.00574516,0.19636048
-5.93396698,1.52412368,0.11630491,1.22509499,0.00139652,0.01262265,0.07118957,0.13394402,0.00558236,0.19570950
-5.92796398,1.52781666,0.11727971,1.23187879,0.00138737,0.01242893,0.06951122,0.13117751,0.00540631,0.19489559
-5.92196098,1.52820301,0.11801548,1.23571288,0.00137269,0.01222980,0.06788322,0.12826321,0.00521849,0.19385624
-5.91595798,1.52493056,0.11842963,1.23632365,0.00135239,0.01201551,0.06628222,0.12519176,0.00502030,0.19253378
-5.90995498,1.51770196,0.11845335,1.23348111,0.00132644,0.01177804,0.06468677,0.12195549,0.00481308,0.19087695
-5.90395198,1.50628351,0.11803273,1.22700582,0.00129492,0.01151118,0.06307773,0.11854915,0.00459814,0.18884229
-5.89794897,1.49051204,0.11712933,1.21677423,0.00125802,0.01121058,0.06143856,0.11497062,0.00437677,0.18639511
-5.89194597,1.47029920,0.11572029,1.20272199,0.00121600,0.01087369,0.05975562,0.11122136,0.00415025,0.18351029
-5.88594297,1.44563331,0.11379799,1.18484532,0.00116926,0.01049972,0.05801831,0.10730680,0.00391990,0.18017256
-5.87993997,1.41657862,0.11136928,1.16320057,0.00111825,0.01008953,0.05621912,0.10323643,0.00368708,0.17637658
-5.87393697,1.38327236,0.10845429,1.13790185,0.00106354,0.00964545,0.05435367,0.09902378,0.00345317,0.17212664
-5.86793397,1.34591977,0.10508485,1.10911724,0.00100575,0.00917107,0.05242054,0.09468615,0.00321960,0.16743611
-5.86193097,1.30478747,0.10130277,1.07706381,0.00094556,0.00867103,0.05042112,0.09024424,0.00298780,0.16232670
-5.85592796,1.26019568,0.09715782,1.04200164,0.00088371,0.00815079,0.04835937,0.08572158,0.00275924,0.15682752
-5.84992496,1.21250965,0.09270573,1.00422736,0.00082092,0.00761632,0.04624152,0.08114391,0.00253534,0.15097407
-5.84392196,1.16213081,0.08800615,0.96406736,0.00075795,0.00707390,0.04407577,0.07653851,0.00231749,0.14480721
-5.83791896,1.10948781,0.08312063,0.92187109,0.00069553,0.00652988,0.04187196,0.07193351,0.00210702,0.13837204
-5.83191596,1.05502805,0.07811090,0.87800449,0.00063433,0.00599041,0.03964120,0.06735721,0.00190512,0.13171693
-5.82591296,0.99920969,0.07303722,0.83284392,0.00057503,0.00546134,0.03739561,0.06283746,0.00171287,0.12489248
-5.81990995,0.94249443,0.06795702,0.78677054,0.00051820,0.00494796,0.03514801,0.05840116,0.00153121,0.11795072
-5.81390695,0.88534109,0.06292386,0.74016527,0.00046437,0.00445498,0.03291163,0.05407377,0.00136090,0.11094421
-5.80790395,0.82820009,0.05798659,0.69340435,0.00041400,0.00398638,0.03069989,0.04987903,0.00120252,0.10392542
-5.80190095,0.77150883,0.05318884,0.64685553,0.00036749,0.00354541,0.02852621,0.04583872,0.00105649,0.09694605
-5.79589795,0.71568779,0.04856881,0.60087471,0.00032518,0.00313456,0.02640388,0.04197255,0.00092303,0.09005648
-5.78989495,0.66113757,0.04415916,0.55580326,0.00028735,0.00275559,0.02434589,0.03829819,0.00080225,0.08330538
-5.78389195,0.60823657,0.03998728,0.51196573,0.00025424,0.00240962,0.02236490,0.03483128,0.00069409,0.07673924
-5.77788894,0.55733936,0.03607560,0.46966813,0.00022609,0.00209716,0.02047320,0.03158570,0.00059839,0.07040211
-5.77188594,0.50877581,0.03244210,0.42919669,0.00020310,0.00181824,0.01868271,0.02857371,0.00051494,0.06433536
-5.76588294,0.46285073,0.02910093,0.39081702,0.00018550,0.00157251,0.01700505,0.02580625,0.00044347,0.05857747
-5.75987994,0.41984422,0.02606301,0.35477392,0.00017354,0.00135936,0.01545163,0.02329330,0.00038373,0.05316397
-5.75387694,0.38001256,0.02333677,0.32129154,0.00016753,0.00117806,0.01403376,0.02104416,0.00033551,0.04812744
-5.74787394,0.34358964,0.02092886,0.29057406,0.00016782,0.00102784,0.01276287,0.01906779,0.00029870,0.04349751
-5.74187094,0.31078888,0.01884475,0.26280683,0.00017484,0.00090805,0.01165067,0.01737318,0.00027330,0.03930106
-5.73586793,0.28180554,0.01708944,0.23815786,0.00018913,0.00081827,0.01070943,0.01596961,0.00025951,0.03556237
-5.72986493,0.25681923,0.01566797,0.21677954,0.00021129,0.00075836,0.00995217,0.01486696,0.00025771,0.03230339
-5.72386193,0.23599662,0.01458591,0.19881058,0.00024205,0.00072862,0.00939298,0.01407588,0.00026853,0.02954404
-5.71785893,0.21949394,0.01384976,0.18437793,0.00028223,0.00072980,0.00904719,0.01360796,0.00029288,0.02730249
-5.71185593,0.20745921,0.01346719,0.17359841,0.00033272,0.00076319,0.00893164,0.01347582,0.00033193,0.02559548
-5.70585293,0.20003390,0.01344721,0.16658012,0.00039450,0.00083065,0.00906482,0.01369305,0.00038716,0.02443855
