energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.16870941,0.02618819,0.16247805,0.13198498,1.38226888,0.69623989,0.05182601,0.96441827
-5.99399700,2.16630696,0.02645460,0.15836377,0.13391608,1.36069574,0.70275171,0.05175091,0.96369407
-5.98799400,2.16051232,0.02662481,0.15458787,0.13607517,1.33726511,0.70876623,0.05154013,0.96078582
-5.98199100,2.15137816,0.02670519,0.15117799,0.13840640,1.31245411,0.71418684,0.05119024,0.95571973
-5.97598799,2.13915501,0.02670371,0.14818432,0.14085824,1.28692789,0.71897951,0.05070126,0.94860013
-5.96998499,2.12427549,0.02662956,0.14567782,0.14338302,1.26152108,0.72317103,0.05007637,0.93960186
-5.96398199,2.10733174,0.02649272,0.14374757,0.14593632,1.23721240,0.72684491,0.04932152,0.92896027
-5.95797899,2.08904708,0.02630353,0.14249729,0.14847611,1.21509345,0.73013515,0.04844498,0.91695914
-5.95197599,2.07024321,0.02607227,0.14204115,0.15096188,1.19633258,0.73321798,0.04745682,0.90391738
-5.94597299,2.05180432,0.02580871,0.14249904,0.15335380,1.18213494,0.73630216,0.04636843,0.89017491
-5.93996998,2.03463931,0.02552177,0.14399138,0.15561195,1.17369984,0.73961786,0.04519200,0.87607848
-5.93396698,2.01964351,0.02521915,0.14663358,0.15769582,1.17217669,0.74340472,0.04394013,0.86196790
-5.92796398,2.00766110,0.02490713,0.15053039,0.15956396,1.17862060,0.74789934,0.04262532,0.84816313
-5.92196098,1.99944944,0.02459034,0.15577023,0.16117404,1.19394905,0.75332271,0.04125975,0.83495280
-5.91595798,1.99564634,0.02427176,0.16241962,0.16248309,1.21890073,0.75986792,0.03985491,0.82258430
-5.90995498,1.99674123,0.02395261,0.17051806,0.16344816,1.25399801,0.76768856,0.03842149,0.81125584
-5.90395198,2.00305124,0.02363253,0.18007330,0.16402723,1.29951406,0.77688832,0.03696921,0.80111066
-5.89794897,2.01470272,0.02330968,0.19105740,0.16418028,1.35544613,0.78751219,0.03550677,0.79223331
-5.89194597,2.03161903,0.02298098,0.20340369,0.16387068,1.42149593,0.79953947,0.03404191,0.78464824
-5.88594297,2.05351503,0.02264239,0.21700478,0.16306657,1.49705840,0.81287922,0.03258144,0.77832055
-5.87993997,2.07989853,0.02228918,0.23171186,0.16174228,1.58121953,0.82736822,0.03113134,0.77315878
-5.87393697,2.11007900,0.02191631,0.24733539,0.15987975,1.67276419,0.84277164,0.02969693,0.76901968
-5.86793397,2.14318336,0.02151870,0.26364728,0.15746969,1.77019426,0.85878676,0.02828298,0.76571472
-5.86193097,2.17817868,0.02109155,0.28038457,0.15451258,1.87175702,0.87504949,0.02689390,0.76301807
-5.85592796,2.21390122,0.02063063,0.29725468,0.15101933,1.97548376,0.89114376,0.02553388,0.76067581
-5.84992496,2.24909110,0.02013250,0.31394204,0.14701167,2.07923745,0.90661344,0.02420700,0.75841620
-5.84392196,2.28243149,0.01959470,0.33011603,0.14252201,2.18076864,0.92097650,0.02291741,0.75596034
-5.83791896,2.31259115,0.01901590,0.34543985,0.13759307,2.27777765,0.93374092,0.02166935,0.75303326
-5.83191596,2.33826875,0.01839592,0.35958025,0.13227702,2.36798102,0.94442167,0.02046723,0.74937476
-5.82591296,2.35823741,0.01773583,0.37221750,0.12663431,2.44918000,0.95255821,0.01931569,0.74474974
-5.81990995,2.37138764,0.01703783,0.38305538,0.12073215,2.51932814,0.95773172,0.01821951,0.73895764
-5.81390695,2.37676693,0.01630523,0.39183073,0.11464283,2.57659558,0.95958122,0.01718368,0.73184056
-5.80790395,2.37361433,0.01554229,0.39832209,0.10844177,2.61942701,0.95781801,0.01621321,0.72328973
-5.80190095,2.36138831,0.01475409,0.40235706,0.10220553,2.64659107,0.95223757,0.01531314,0.71325012
-5.79589795,2.33978678,0.01394634,0.40381811,0.09600979,2.65721876,0.94272845,0.01448833,0.70172281
-5.78989495,2.30875813,0.01312521,0.40264641,0.08992739,2.65082928,0.92927761,0.01374339,0.68876514
-5.78389195,2.26850273,0.01229715,0.39884372,0.08402647,2.62734210,0.91197204,0.01308252,0.67448843
-5.77788894,2.21946475,0.01146867,0.39247194,0.07836888,2.58707474,0.89099633,0.01250931,0.65905348
-5.77188594,2.16231465,0.01064619,0.38365067,0.07300876,2.53072641,0.86662654,0.01202664,0.64266386
-5.76588294,2.09792296,0.00983589,0.37255264,0.06799139,2.45934847,0.83922041,0.01163646,0.62555735
-5.75987994,2.02732672,0.00904357,0.35939736,0.06335247,2.37430305,0.80920448,0.01133972,0.60799590
-5.75387694,1.95168997,0.00827453,0.34444332,0.05911752,2.27721199,0.77705873,0.01113616,0.59025443
-5.74787394,1.87226022,0.00753346,0.32797892,0.05530180,2.16989847,0.74329939,0.01102425,0.57260914
-5.74187094,1.79032292,0.00682442,0.31031284,0.05191037,2.05432407,0.70846077,0.01100107,0.55532577
-5.73586793,1.70715590,0.00615078,0.29176398,0.04893856,1.93252414,0.67307694,0.01106228,0.53864838
-5.72986493,1.62398594,0.00551520,0.27265165,0.04637261,1.80654427,0.63766407,0.01120210,0.52278912
-5.72386193,1.54194928,0.00491962,0.25328622,0.04419056,1.67838038,0.60270425,0.01141328,0.50791963
-5.71785893,1.46205764,0.00436529,0.23396074,0.04236337,1.54992491,0.56863131,0.01168724,0.49416425
-5.71185593,1.38517119,0.00385283,0.21494372,0.04085611,1.42292070,0.53581938,0.01201411,0.48159553
-5.70585293,1.31197919,0.00338224,0.19647328,0.03962929,1.29892405,0.50457441,0.01238290,0.47023212
-5.69984992,1.24298885,0.00295296,0.17875297,0.03864026,1.17927776,0.47512894,0.01278173,0.46003910
-5.69384692,1.17852245,0.00256398,0.16194900,0.03784459,1.06509427,0.44764017,0.01319799,0.45093078
-5.68784392,1.11872236,0.00221384,0.14618921,0.03719747,0.95724874,0.42219118,0.01361868,0.44277569
-5.68184092,1.06356323,0.00190078,0.13156338,0.03665501,0.85638132,0.39879504,0.01403066,0.43540354
-5.67583792,1.01287022,0.00162272,0.11812495,0.03617547,0.76290747,0.37740153,0.01442099,0.42861374
